,company_industry,company_ipo_code,company_country,company_revenue,company_name,company_rank
32,"['Internet', 'Tech', 'ECommerce']",3690.HK,China,$141.73 B,Meituan,80
33,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",CVS,USA,$134.39 B,CVS Health,84
34,"['Entertainment', 'Internet', 'Tech']",NFLX,USA,$137.25 B,Netflix,82
35,['Telecommunication'],T,USA,$137.55 B,AT&T,81
36,"['Luxurygoods', 'Clothing']",CDI.PA,France,$134.89 B,Dior,83
37,"['OilGas', 'Energy']",COP,USA,$143.14 B,ConocoPhillips,78
38,"['Banks', 'Financialservices']",601288.SS,China,$142.89 B,Agricultural Bank of China,79
39,['Insurance'],601318.SS,China,$120.97 B,Ping An Insurance,105
40,"['Dowjones', 'GlovesPPE']",MMM,USA,$69.83 B,3M,196
41,"['Electricity', 'Utilitycompanies']",600900.SS,China,$68.17 B,China Yangtze Power,200
42,['Insurance'],HUM,USA,$69.52 B,Humana,198
43,"['Electricity', 'Energy']",IBE.MC,Spain,$69.79 B,Iberdrola,197
44,"['Pharmaceuticals', 'mRNAtherapeutics', 'Biotech']",MRNA,USA,$68.76 B,Moderna,199
45,['Chemicals'],APD,USA,$70.01 B,Air Products and Chemicals,194
46,"['Automakers', 'Manufacturing', 'DAX', 'Autonomousdriving']",MBG.DE,Germany,$70.56 B,Mercedes-Benz,192
47,['Medicaldevices'],BDX,USA,$69.84 B,Becton Dickinson,195
48,"['Pharmaceuticals', 'Biotech']",ZTS,USA,$70.02 B,Zoetis,193
49,['Insurance'],ZURN.SW,Switzerland,$70.97 B,Zurich Insurance Group,189
50,"['Retail', 'SupermarketChains']",TGT,USA,$70.77 B,Target,190
51,"['OilGas', 'Energy']",SLB,USA,$70.61 B,Schlumberger,191
52,"['Banks', 'Financialservices']",MUFG,Japan,$71.08 B,Mitsubishi UFJ Financial,188
53,"['OilGas', 'Energy']",PBR,Brazil,$72.26 B,Petrobras,187
54,"['OilGas', 'Energy']",600028.SS,China,$73.63 B,Sinopec,184
55,"['Railways', 'Transportation', 'Infrastructure']",CP,Canada,$73.45 B,Canadian Pacific Railway,185
56,"['OilGas', 'Energy']",GAZP.ME,Russia,$73.26 B,Gazprom,186
57,['Luxurygoods'],CFR.SW,Switzerland,$74.11 B,Compagnie FinanciÃ¨re Richemont,182
58,"['Energy', 'OilGas', 'Electricity', 'Utilitycompanies']",SO,USA,$74.57 B,Southern Company,181
59,"['Biotech', 'Pharmaceuticals']",GSK,UK,$75.49 B,GlaxoSmithKline,180
60,"['Internet', 'Travel', 'OnlineTravel', 'Tech']",BKNG,USA,$75.85 B,Booking Holdings (Booking.com),179
61,"['Energy', 'OilGas']",EOG,USA,$74.10 B,EOG Resources,183
62,"['CAC40', 'Chemicals']",AI.PA,France,$75.98 B,Air Liquide,178
63,"['Energy', 'Electricity', 'OilGas', 'Utilitycompanies']",DUK,USA,$76.68 B,Duke Energy,176
64,['Insurance'],PGR,USA,$76.33 B,Progressive,177
65,"['Pharmaceuticals', 'Chemicals', 'DAX', 'Biotech']",BAYZF,Germany,$55.33 B,Bayer,267
66,[],MPC,USA,$51.08 B,Marathon Petroleum,298
67,['Tobacco'],ITC.NS,India,$50.96 B,ITC,300
68,['Food'],ADM,USA,$51.18 B,Archer Daniels Midland (ADM),297
69,"['Energy', 'OilGas', 'Electricity', 'Infrastructure']",SRE,USA,$51.05 B,Sempra Energy,299
70,['Food'],GIS,USA,$51.76 B,General Mills,296
71,"['OilGas', 'Energy']",ROSN.ME,Russia,$52.21 B,Rosneft,292
72,"['OilGas', 'Energy']",EPD,USA,$51.90 B,Enterprise Products,294
73,['Consumergoods'],RKT.L,UK,$52.26 B,Reckitt Benckiser,291
74,"['HomeKitchenAppliances', 'Manufacturing']",000333.SZ,China,$51.92 B,Midea,293
75,[],ORLY,USA,$51.86 B,O'Reilly Automotive,295
76,"['Realestate', 'Investment', 'REITs']",PSA,USA,$52.27 B,Public Storage,290
77,"['CAC40', 'Aerospace', 'Defensecontractors']",SAF.PA,France,$52.56 B,Safran,289
78,"['Ridesharing', 'Internet', 'Tech', 'Transportation']",UBER,USA,$52.65 B,Uber,288
79,"['Automakers', 'Manufacturing']",F,USA,$52.66 B,Ford,287
80,['Investment'],KKR,USA,$53.14 B,KKR & Co.,284
81,"['Banks', 'Financialservices']",601166.SS,China,$52.86 B,Industrial Bank,285
82,['Beverages'],MNST,USA,$52.85 B,Monster Beverage,286
83,"['Financialservices', 'Stockexchanges', 'StockCryptoexchanges']",LS4C.F,UK,$53.40 B,London Stock Exchange,281
84,['Financialservices'],MCO,USA,$53.25 B,Moody's,282
85,['Food'],603288.SS,China,$53.17 B,Foshan Haitian Flavouring and Food,283
86,"['Machinerymanufacturing', 'Manufacturing']",OMZZP.ME,Russia,$53.58 B,United Heavy Machinery,280
87,['Mining'],AAL.L,UK,$53.73 B,Anglo American,278
88,['Telecommunication'],0728.HK,China,$53.92 B,China Telecom,277
89,['Beverages'],KDP,USA,$53.73 B,Keurig Dr Pepper,279
90,"['Automakers', 'Manufacturing']",GM,USA,$53.92 B,General Motors,276
91,['Mining'],1211.SR,Saudi Arabia,$44.77 B,Maaden,369
92,"['Biotech', 'Manufacturing']",207940.KS,South Korea,$44.62 B,Samsung Biologics,370
93,"['OilGas', 'Energy']",HES,USA,$41.55 B,Hess,400
94,"['Software', 'Tech']",ADSK,USA,$41.71 B,Autodesk,398
95,['Chemicals'],600309.SS,China,$41.63 B,Wanhua Chemical,399
96,"['OilGas', 'Energy']",CQP,USA,$27.67 B,Cheniere Energy,627
97,[],DVN,USA,$42.00 B,Devon Energy,395
98,['Electricity'],EXC,USA,$42.04 B,Exelon Corporation,394
99,"['Restaurantchains', 'Food']",CMG,USA,$41.84 B,Chipotle Mexican Grill,397
100,"['Pharmaceuticals', 'Biotech']",BIIB,USA,$42.06 B,Biogen,393
101,"['Semiconductors', 'Tech', 'DAX', 'TechHardware']",IFX.DE,Germany,$42.45 B,Infineon,390
102,"['Semiconductors', 'Tech', 'TechHardware']",NXPI,Netherlands,$42.48 B,NXP Semiconductors,389
103,"['Software', 'Tech']",WDAY,USA,$42.33 B,Workday,391
104,"['Telecommunication', 'MediaPress']",BCE,Canada,$42.68 B,BCE,387
105,[],SYY,USA,$42.66 B,Sysco,388
106,['WasteRecycling'],RSG,USA,$42.84 B,Republic Services,385
107,[],ECL,USA,$42.14 B,Ecolab,392
108,"['OilGas', 'Transportation', 'Energy', 'Infrastructure']",TRP,Canada,$42.69 B,TC Energy,386
109,"['Pharmaceuticals', 'Biotech']",4519.T,Japan,$43.33 B,Chugai Pharmaceutical,382
110,"['ECommerce', 'Internet', 'Tech']",MELI,Argentina,$43.44 B,MercadoLibre,380
111,"['Software', 'Tech', 'Electronics']",ENPH,USA,$43.09 B,Enphase Energy,384
112,['Mining'],FMG.AX,Australia,$43.11 B,Fortescue,383
113,"['Dowjones', 'Insurance']",TRV,USA,$44.06 B,The Travelers Companies,377
114,"['Banks', 'Financialservices']",ING,Netherlands,$43.92 B,ING,379
115,"['Software', 'Tech', 'Electronics', 'TechHardware']",CDNS,USA,$44.05 B,Cadence Design Systems,378
116,['Professionalservices'],PAYX,USA,$43.40 B,Paychex,381
117,"['Electricity', 'Energy']",ED,USA,$34.27 B,Consolidated Edison,500
118,"['Tech', 'Semiconductors', 'TechHardware', 'Manufacturing']",MRVL,USA,$34.47 B,Marvell Technology Group,496
119,"['Electronics', 'Tech', 'TechHardware']",XIACF,China,$34.29 B,Xiaomi,499
120,"['Machinerymanufacturing', 'Manufacturing']",CMI,USA,$34.40 B,Cummins,498
121,['Transportation'],DSV.VI,Denmark,$34.50 B,DSV,494
122,['Insurance'],ALL,USA,$34.50 B,Allstate,495
123,['Healthcare'],ABC,USA,$34.47 B,AmerisourceBergen,497
124,"['Pharmaceuticals', 'Medicaldevices', 'Biotech']",2359.HK,China,$34.62 B,WuXi AppTec,493
125,['Chemicals'],DD,USA,$34.62 B,Dupont De Nemours,492
126,"['Transportation', 'Containershipping', 'Maritimetransportation']",HLAG.DE,Germany,$34.66 B,Hapag-Lloyd,491
127,[],IDXX,USA,$34.79 B,IDEXX Laboratories,489
128,"['CAC40', 'Semiconductors', 'Tech', 'TechHardware', 'Manufacturing']",STM,Switzerland,$34.86 B,STMicroelectronics,488
129,"['Glassesandcontactlenses', 'Manufacturing']",7741.T,Japan,$34.89 B,Hoya,486
130,"['Banks', 'Financialservices']",AXISBANK.BO,India,$34.89 B,Axis Bank,487
131,"['Videogames', 'Esports', 'Entertainment', 'Tech']",EA,USA,$34.78 B,Electronic Arts,490
132,"['Banks', 'Financialservices']",BBVA,Spain,$35.08 B,Banco Bilbao Vizcaya Argentaria,485
133,"['Dowjones', 'Retail', 'Drugstore', 'Pharmaceuticals']",WBA,USA,$35.15 B,Walgreens Boots Alliance,484
134,"['SupermarketChains', 'Retail']",3382.T,Japan,$35.48 B,7-Eleven,481
135,"['Conglomerate', 'Investment']",J36.SI,Hong Kong,$35.50 B,Jardine Matheson,479
136,"['OilGas', 'Energy']",CVE,Canada,$35.21 B,Cenovus Energy,483
137,"['Electricity', 'Batteries']",006405.KS,South Korea,$35.24 B,Samsung SDI,482
138,"['Construction', 'Engineering']",601668.SS,China,$35.48 B,China State Construction Engineering,480
139,"['Pharmaceuticals', 'Biotech']",600276.SS,China,$35.56 B,Jiangsu Hengrui Medicine,478
140,['Sportsgoods'],AS7.F,China,$33.97 B,Anta Sports,503
141,"['Banks', 'Financialservices']",COF,USA,$35.58 B,Capital One,477
142,"['Retail', 'Food', 'SupermarketChains']",AD.AS,Netherlands,$29.20 B,Ahold Delhaize,598
143,[],L.TO,Canada,$28.99 B,Loblaw Companies,600
144,"['Energy', 'Utilitycompanies', 'Electricity']",ES,USA,$29.17 B,Eversource Energy,599
145,[],ROK,USA,$29.25 B,Rockwell Automation,597
146,[],6273.T,Japan,$29.45 B,SMC corp,596
147,"['Cement', 'Buildingmaterials']",CRH,Ireland,$29.50 B,Cement Roadstone Holding,594
148,"['DAX', 'Chemicals', 'Consumergoods']",HEN3.DE,Germany,$29.48 B,Henkel,595
149,"['Financialservices', 'Banks']",STT,USA,$29.52 B,State Street Corporation,593
150,"['FlavorsFragrances', 'CosmeticsandBeauty']",GIVN.SW,Switzerland,$29.57 B,Givaudan,592
151,[],GWW,USA,$29.63 B,W. W. Grainger,591
152,"['Banks', 'Financialservices', 'CAC40']",ACA.PA,France,$29.81 B,CrÃ©dit Agricole,586
153,['Telecommunication'],TU,Canada,$29.66 B,Telus,590
154,['Construction'],DHI,USA,$29.70 B,D. R. Horton,589
155,"['Restaurantchains', 'Food']",QSR,Canada,$29.72 B,Restaurant Brands International,588
156,"['Electricity', 'DAX', 'Energy']",RWE.DE,Germany,$29.74 B,RWE,587
157,[],WEC,USA,$29.83 B,WEC Energy Group,585
158,"['Healthcare', 'MedicalCareFacilities']",300015.SZ,China,$29.90 B,AIER Eye Hospital,583
159,"['Tech', 'TechHardware', 'Electronics']",DELL,USA,$30.02 B,Dell,580
160,"['Energy', 'Electricity', 'Utilitycompanies']",CEG,USA,$30.07 B,Constellation Energy,578
161,[],0066.HK,Hong Kong,$29.99 B,MTR Corporation,581
162,"['Electricity', 'Energy']",PEG,USA,$29.91 B,PSEG,582
163,"['Mining', 'Goldmining']",GOLD,Canada,$29.85 B,Barrick Gold,584
164,[],WEGE3.SA,Brazil,$30.05 B,WEG ON,579
165,['Telecommunication'],VOD,UK,$30.16 B,Vodafone,577
166,['Chemicals'],ALB,USA,$30.17 B,Albemarle,576
167,['Dairycompanies'],600887.SS,China,$28.66 B,Yili Group,605
168,"['Electricity', 'Energy']",EBK.DE,Germany,$24.19 B,EnBW Energie,700
169,['Realestate'],EQR,USA,$24.28 B,Equity Residential,698
170,['Beverages'],CCEP,UK,$24.20 B,Coca-Cola European Partners,699
171,[],SEBA.F,Sweden,$24.29 B,Skandinaviska Enskilda Banken,697
172,['RentalLeasingServices'],URI,USA,$24.36 B,United Rentals,696
173,"['Retail', 'CosmeticsandBeauty']",ULTA,USA,$24.42 B,ULTA Beauty,695
174,['CAC40'],SGO.PA,France,$24.45 B,Compagnie de Saint-Gobain,694
175,[],7733.T,Japan,$24.55 B,Olympus,691
176,"['Automakers', 'Manufacturing', 'ElectricVehicles']",RIVN,USA,$24.68 B,Rivian,689
177,[],KBCSF,Belgium,$24.88 B,KBC,687
178,[],RJF,USA,$24.49 B,Raymond James,692
179,"['Utilitycompanies', 'Energy', 'Electricity']",ETR,USA,$24.47 B,Entergy,693
180,['Banks'],1010.SR,Saudi Arabia,$24.57 B,Riyad Bank,690
181,"['Electricity', 'DAX', 'Energy', 'Utilitycompanies']",EOAN.DE,Germany,$24.93 B,E.ON,686
182,"['Energy', 'OilGas']",FANG,USA,$24.84 B,Diamondback Energy,688
183,[],EIX,USA,$24.96 B,Edison International,685
184,['Retail'],CDW,USA,$25.02 B,CDW Corporation,684
185,['Tires'],5108.T,Japan,$25.07 B,Bridgestone,683
186,"['OilGas', 'Energy']",6505.TW,Taiwan,$25.27 B,Formosa Petrochemical,680
187,['Food'],K,USA,$25.21 B,Kellogg's,681
188,[],ASAZF,Sweden,$25.28 B,Assa Abloy,679
189,[],ULTRACEMCO.NS,India,$25.12 B,UltraTech Cement,682
190,"['DAX', 'Consumergoods']",BEI.DE,Germany,$25.37 B,Beiersdorf,677
191,['Construction'],LEN,USA,$25.35 B,Lennar,678
192,['Financialservices'],EFX,USA,$23.73 B,Equifax,712
193,"['Pharmaceuticals', 'Biotech']",LH,USA,$20.70 B,LabCorp,800
194,['Internet'],VRSN,USA,$20.77 B,VeriSign,799
195,"['Cement', 'Buildingmaterials']",AHCHF,China,$20.78 B,Anhui Conch Cement,798
196,"['FoodDelivery', 'Internet', 'Food', 'Tech']",DASH,USA,$20.81 B,DoorDash,797
197,[],1766.HK,China,$20.88 B,CRRC,795
198,['Construction'],0390.HK,China,$20.87 B,China Railway Group,796
199,"['Banks', 'Financialservices']",STAN.L,UK,$20.88 B,Standard Chartered,794
200,['Conglomerate'],4901.T,Japan,$20.88 B,Fujifilm,793
201,"['Electronics', 'Tech', 'TechHardware']",6752.T,Japan,$20.90 B,Panasonic,792
202,[],600016.SS,China,$20.95 B,China Minsheng Bank,791
203,[],ARES,USA,$20.99 B,Ares Management,790
204,['Healthcare'],CAH,USA,$21.01 B,Cardinal Health,789
205,"['Travel', 'Internet', 'OnlineTravel', 'Tech']",TCOM,China,$21.04 B,Trip.com,788
206,[],GWO.TO,Canada,$21.07 B,Great-West Lifeco,787
207,"['Internet', 'Tech']",035420.KS,South Korea,$21.08 B,Naver,786
208,['Realestate'],1113.HK,Hong Kong,$21.12 B,CK Asset Holdings,785
209,"['Software', 'Tech']",ANSS,USA,$21.16 B,Ansys,784
210,"['Banks', 'Financialservices']",HBAN,USA,$21.16 B,Huntington Bancshares,783
211,['Engineering'],PWR,USA,$21.19 B,Quanta Services,781
212,['Medicaldevices'],PODD,USA,$21.17 B,Insulet,782
213,['Financialservices'],GFNORTEO.MX,Mexico,$21.30 B,Banorte,779
214,"['Automakers', 'ElectricVehicles']",NIO,China,$21.23 B,NIO,780
215,"['Tech', 'Internet', 'Software']",ZM,USA,$20.42 B,Zoom,806
216,"['Manufacturing', 'Machinerymanufacturing']",6301.T,Japan,$21.31 B,Komatsu,778
217,"['Manufacturing', 'Steelindustry']",TS,Luxembourg,$19.46 B,Tenaris,848
218,['Financialservices'],NTRS,USA,$18.28 B,Northern Trust,900
219,"['Manufacturing', 'Renewableenergy', 'Energy']",688599.SS,China,$18.29 B,Trina Solar,899
220,['Food'],CAG,USA,$18.32 B,Conagra Brands,898
221,"['CosmeticsandBeauty', 'Consumergoods']",4452.T,Japan,$18.33 B,KaÅ,897
222,"['Internet', 'Tech']",035720.KS,South Korea,$18.36 B,Kakao,894
223,['Consumergoods'],CLX,USA,$18.42 B,Clorox,892
224,[],WAB,USA,$18.35 B,Wabtec,895
225,"['Consumergoods', 'CosmeticsandBeauty']",4911.T,Japan,$18.37 B,Shiseido,893
226,"['AssetManagement', 'Investment']",LGEN.L,UK,$18.42 B,Legal & General,891
227,"['OilGas', 'Energy']",TOU.TO,Canada,$18.34 B,Tourmaline Oil,896
228,"['Videogames', 'Entertainment']",RBLX,USA,$18.48 B,Roblox,889
229,['Food'],F34.SI,Singapore,$18.52 B,Wilmar International,887
230,['Pharmaceuticals'],068270.KS,South Korea,$18.50 B,Celltrion,888
231,"['Electricity', 'Infrastructure']",POWERGRID.NS,India,$18.43 B,Powergrid Corporation of India,890
232,[],STE,Ireland,$18.52 B,Steris,886
233,"['Pharmaceuticals', 'Biotech']",RPRX,UK,$18.58 B,Royalty Pharma,884
234,"['Alcoholicbeverages', 'Beverages']",CBGA.F,Denmark,$18.60 B,Carlsberg,882
235,"['Software', 'Tech']",PAYC,USA,$18.54 B,Paycom,885
236,"['Banks', 'Financialservices']",NU,Brazil,$18.60 B,Nu Holdings,883
237,['Mining'],TECK,Canada,$18.68 B,Teck Resources,880
238,"['Electricity', 'Energy']",AES,USA,$18.68 B,AES,879
239,[],INCY,USA,$18.69 B,Incyte,878
240,"['Banks', 'Financialservices']",SWED-A.ST,Sweden,$18.68 B,Swedbank,881
241,"['Realestate', 'Investment', 'REITs']",SUI,USA,$17.91 B,Sun Communities,914
242,"['Pharmaceuticals', 'Biotech']",4578.T,Japan,$17.93 B,Otsuka Holdings,913
243,"['Banks', 'Financialservices']",SBK.JO,South Africa,$16.61 B,Standard Bank Group,978
244,[],HINDZINC.NS,India,$16.26 B,Hindustan Zinc,1000
245,"['Automakers', 'Manufacturing']",0175.HK,China,$16.30 B,Geely,999
246,[],BOP.F,France,$16.31 B,BollorÃ©,998
247,[],GEBN.SW,Switzerland,$16.31 B,Geberit,997
248,"['ECommerce', 'Internet', 'Tech']",ETSY,USA,$16.35 B,Etsy,995
249,"['Electricity', 'Utilitycompanies', 'Energy']",H.TO,Canada,$16.32 B,Hydro One,996
250,[],AGR,USA,$16.36 B,Avangrid,994
251,['Entertainment'],LYV,USA,$16.42 B,Live Nation,993
252,[],ITSA3.SA,Brazil,$16.43 B,ItaÃºsa,992
253,[],WPC,USA,$16.44 B,W. P. Carey,991
254,"['Software', 'Tech', 'ITsecurity']",ZS,USA,$16.47 B,Zscaler,989
255,['Packaging'],BALL,USA,$16.47 B,Ball Corporation,988
256,['Insurance'],CINF,USA,$16.47 B,Cincinnati Financial,990
257,"['Software', 'Tech', 'ITsecurity']",CHKP,Israel,$16.49 B,Check Point Software,987
258,[],POW.TO,Canada,$16.49 B,Power Corporation of Canada,986
259,[],FSLR,USA,$16.49 B,First Solar,985
260,"['Realestate', 'Financialservices']",RKT,USA,$16.51 B,Rocket Companies,984
261,['Utilitycompanies'],ATO,USA,$16.54 B,Atmos Energy,983
262,[],NZYM.VI,Denmark,$16.57 B,Novozymes,981
263,"['Steelproducers', 'Steelindustry']",TATASTEEL.NS,India,$16.57 B,Tata Steel,980
264,"['OilGas', 'Energy']",PKY1.F,Poland,$16.56 B,PKN Orlen,982
265,['Tobacco'],SWMA.ST,Sweden,$16.64 B,Swedish Match,977
266,['Food'],SJM,USA,$16.60 B,J.M. Smucker Company,979
267,['AutomotiveSuppliers'],MGA,Canada,$16.65 B,Magna International,976
268,['Chemicals'],EMSN.SW,Switzerland,$15.97 B,Ems-Chemie,1014
269,"['Medicaldevices', 'Tech']",ALGN,USA,$14.63 B,Align Technology,1077
270,"['Internet', 'Tech', 'Entertainment']",SPOT,Sweden,$14.62 B,Spotify,1078
271,"['Realestate', 'Investment']",ESS,USA,$14.26 B,Essex Property Trust,1099
272,"['Utilitycompanies', 'Electricity', 'Energy']",ENELAM.SN,Chile,$14.24 B,Enel AmÃ©ricas,1100
273,"['Software', 'Professionalservices', 'Tech']",PTC,USA,$14.28 B,PTC,1097
274,"['Semiconductors', 'Tech']",ASX,Taiwan,$14.27 B,ASE Group,1098
275,['Food'],BG,USA,$14.30 B,Bunge,1096
276,"['Energy', 'Electricity']",FORTUM.HE,Finland,$14.32 B,Fortum,1095
277,['Food'],SW.PA,France,$14.32 B,Sodexo,1094
278,"['OilGas', 'Energy']",1605.T,Japan,$14.34 B,Inpex,1093
279,"['Airlines', 'Travel', 'Transportation']",UAL,USA,$14.40 B,United Airlines Holdings,1091
280,['Beverages'],AC.MX,Mexico,$14.41 B,Arca Continental,1090
281,"['Energy', 'OilGas']",TATN.ME,Russia,$14.35 B,Tatneft,1092
282,"['Travel', 'CruiseLines']",RCL,USA,$14.42 B,Royal Caribbean,1089
283,"['Automakers', 'ElectricVehicles']",LCID,USA,$14.46 B,Lucid Motors,1088
284,[],GRASIM.NS,India,$14.48 B,Grasim Industries,1087
285,[],SHG,South Korea,$14.48 B,Shinhan Financial Group,1086
286,[],UCB.VI,Belgium,$14.48 B,UCB,1085
287,['Aircraftleasing'],AER,Ireland,$14.50 B,AerCap,1084
288,[],012330.KS,South Korea,$14.50 B,Hyundai Mobis,1083
289,"['Financialservices', 'Banks']",2891.TW,Taiwan,$14.57 B,CTBC Financial Holding,1080
290,"['Software', 'Tech']",AZPN,USA,$14.58 B,AspenTech,1079
291,"['Internet', 'Tech', 'ITsecurity', 'Software']",NET,USA,$14.54 B,Cloudflare,1081
292,"['OilGas', 'Energy']",SNGS.ME,Russia,$14.53 B,Surgutneftegas,1082
293,"['Steelproducers', 'Steelindustry']",2002A.TW,Taiwan,$14.64 B,China Steel,1076
294,['Chemicals'],AVTR,USA,$14.70 B,Avantor,1075
295,"['Cement', 'Buildingmaterials']",AMBUJACEM.NS,India,$14.17 B,Ambuja Cements,1105
296,"['Software', 'Tech']",TRMB,USA,$14.17 B,Trimble,1104
297,"['Software', 'Tech']",PLTR,USA,$14.70 B,Palantir,1074
298,"['Software', 'Tech']",HUBS,USA,$13.39 B,HubSpot,1153
299,[],LBRDA,USA,$12.80 B,Liberty Broadband,1200
300,"['OilGas', 'Energy']",CHK,USA,$12.84 B,Chesapeake Energy,1199
301,[],GCTAF,Spain,$12.84 B,Siemens Gamesa,1198
302,[],BRITANNIA.NS,India,$12.84 B,Britannia Industries,1197
303,['Pulpandpaper'],IP,USA,$12.85 B,International Paper,1196
304,"['Software', 'Tech']",TYL,USA,$12.85 B,Tyler Technologies,1195
305,"['Banks', 'Financialservices']",CPI.JO,South Africa,$12.86 B,Capitec Bank,1194
306,"['Healthcare', 'MedicalCareFacilities']",BDMS.BK,Thailand,$12.90 B,Bangkok Dusit Medical Services (BDMS),1192
307,['Electronics'],6762.T,Japan,$12.91 B,TDK,1191
308,['Telecommunication'],TEL.OL,Norway,$12.90 B,Telenor,1193
309,"['Steelproducers', 'Steelindustry']",NLMK.ME,Russia,$12.94 B,Novolipetsk Steel,1189
310,['Infrastructure'],1038.HK,Hong Kong,$12.94 B,CK Infrastructure,1188
311,"['Retail', 'Clothing']",BURL,USA,$12.94 B,Burlington Stores,1190
312,"['AssetManagement', 'Financialservices', 'Insurance', 'Investment']",CRBG,USA,$12.96 B,Corebridge Financial,1186
313,"['OilGas', 'Energy']",TPIA.JK,Indonesia,$12.96 B,Chandra Asri Petrochemical,1187
314,[],CSL,USA,$12.97 B,Carlisle Companies,1185
315,[],9735.T,Japan,$13.03 B,Secom,1182
316,['Consumergoods'],DABUR.NS,India,$12.99 B,Dabur,1184
317,"['Software', 'Electronics', 'Tech', 'TechHardware']",ZBRA,USA,$13.03 B,Zebra Technologies,1181
318,['Retail'],XEKT.MC,Mexico,$13.00 B,Grupo Elektra,1183
319,[],PLZL.ME,Russia,$13.04 B,Polyus,1178
320,['Insurance'],RE,BM,$13.03 B,Everest Re,1180
321,['Insurance'],QBE.AX,Australia,$13.04 B,QBE Insurance,1179
322,['Engineering'],ACM,USA,$11.77 B,AECOM,1272
323,"['MediaPress', 'Entertainment']",PARA,USA,$11.78 B,Paramount Global,1271
324,['Retail'],ACI,USA,$11.47 B,Albertsons,1298
325,['Chemicals'],CRDA.L,UK,$11.44 B,Croda International,1300
326,[],TTC,USA,$11.48 B,The Toro Company,1296
327,"['Software', 'Tech']",ZI,USA,$11.47 B,ZoomInfo,1297
328,"['Financialservices', 'Banks']",2884.TW,Taiwan,$11.48 B,E.SUN Bank,1295
329,"['Tires', 'DAX']",CON.DE,Germany,$11.44 B,Continental,1299
330,"['Financialservices', 'Banks']",BAP,Bermuda,$11.50 B,Credicorp,1294
331,['Mining'],MIN.AX,Australia,$11.50 B,Mineral Resources,1293
332,"['Alcoholicbeverages', 'Beverages']",TAP,USA,$11.53 B,Molson Coors,1292
333,"['Travel', 'CruiseLines']",CCL,USA,$11.54 B,Carnival,1290
334,[],GBLB.VI,Belgium,$11.55 B,GBL,1289
335,"['AssetManagement', 'Investment']",AMUN.PA,France,$11.54 B,Amundi,1291
336,"['Internet', 'Tech']",GDDY,USA,$11.58 B,GoDaddy,1286
