,company_country,company_employees,company_founded,company_industry,company_name
200,Japan,18,2016,Technology,SBWorks
201,India,40,2012,Cyber Security,InstaSafe
202,Japan,30,2014,Financial Services,Crowd Bank
203,Latvia,800,2012,Fintech,Sun Finance
204,UK,595,2015,Energy,Octopus Energy
205,Germany,22,2014,Support Services,InStaff & Jobs
206,Germany,34,2014,Industrial Goods,farmermobil
207,South Korea,8,2017,Chemicals,AD Corp.
208,South Korea,65,2015,Technology,42Maru
209,India,"2,217",2016,Fintech,Vyapar
210,Japan,15,2011,Construction,KiMURA
211,Japan,70,2013,Fintech,Crowd Credit
212,Singapore,465,2014,Ecommerce,Ecommerce Enablers
213,Italy,56,2015,Financial Services,Credimi
214,Germany,133,2017,Retail,SIRPLUS
215,France,90,2016,Technology,Kickmaker
216,France,60,2010,Support Services,Eskimoz
217,Germany,100,2014,Technology,Holidu
218,Germany,6,2014,Â Sales & MarketingÂ ,Feiniko Handelsgesellschaft
219,South Korea,29,2010,Technology,SIKSIN
220,South Korea,53,2012,Law,LawTalk
221,South Korea,40,2010,Ecommerce,IâMWEB
222,Japan,108,1994,Education,mothergoose
223,Australia,19,2013,Education,Classe365
224,The Netherlands,31,2016,Education,AIHR | Academy to Innovate HR
225,UK,122,2014,Technology,Privitar
226,Germany,45,2003,Ecommerce,Tantal
227,Germany,180,2014,Food & Beverage,Franco Fresco
228,Australia,16,2013,Ecommerce,Solbari
229,India,40,2012,Technology,InstaSafe
230,Singapore,50,2015,Telecoms,Blue Wireless
231,South Korea,9,2010,Support Services,Archisound
232,Taiwan,270,2001,Technology,HLJ Technology
233,Australia,24,2015,Technology,Max Kelsen
234,Luxembourg,27,2015,Property,Logistics Capital Partners (LCP)
235,Germany,10,2017,Property,SÃ¼dwest Invest
236,Bulgaria,15,2011,Retail,Amco-Bulgaria
237,Italy,65,2013,Media,Buzzoole
238,Finland,129,2010,Interiors,Framery
239,Germany,68,2015,Technology,MessengerPeople
240,Spain,18,2012,Ecommerce,Foot District
241,Singapore,21,2016,Ecommerce,JCO Jewelry
242,Japan,160,2015,Education,Torana (Toysub!)
243,South Korea,271,2012,Fintech,wadiz
244,South Korea,21,2013,Support Services,GoodMonitoring
245,Singapore,75,2014,Advertising,Redhill Communications
246,South Korea,25,2013,Travel & Leisure,Jeju Angel Car
247,France,7,2000,Property,CORADE (Plurimmo)
248,Spain,5,2006,Food & Beverage,Carranco
249,UK,50,2015,Technology,EO Charging
250,Germany,52,2008,Advertising,Metacrew Group
251,Netherlands,21,2014,Travel & Leisure,Deelit Ventures
252,Singapore,18,2016,Cyber Security,Pragma
253,Japan,40,2016,Management Consulting,ProjectCompany
254,India,42,2017,Financial Services,SafeGold
255,Australia,70,2015,Technology,RxMx
256,Australia,40,2013,Education,Tutor2You
257,Malaysia,26,2016,Technology,Supplycart
258,Poland,50,2014,Health,Telemedi
259,Germany,56,2014,Technology,Inkitt
260,Netherlands,47,2012,Technology,Fastned
261,United Kingdom,43,2014,Energy,GF Genovate*
262,Spain,399,2015,Fintech,ID Finance Investments
263,Germany,Not found,2014,Industrial Goods,getAir
264,India,250,2010,Technology,Minfy Technologies
265,India,330,2014,Fintech,M2P Fintech
266,South Korea,67,2014,Technology,Cardoc
267,Japan,9,2016,Management Consulting,North Star Management
268,South Korea,62,2015,Financial Services,Agilesoda
269,Japan,167,2005,Support Services,Hope
270,Italy,2,2016,Retail,H.K.Trading
271,Spain,40,2012,Ecommerce,Foot District
272,Poland,200,2010,Technology,TenderHut
273,Netherlands,15,2012,Ecommerce,PastBook
274,Italy,80,2014,Ecommerce,Supermercato24
275,South Korea,14,2017,Advertising,GGDP
276,India,12,2016,Ecommerce,excess2sell
277,Australia,10,2017,Technology,Reflow Hub
278,Japan,9,2014,Advertising,Ryukyu Style
279,India,Not found,2010,Ecommerce,Zomato
280,UK,124,2015,Technology,Attest
281,Spain,400,2015,Fintech,ID Finance Investments
282,United Kingdom,234,2013,Technology,AND Digital
283,Germany,10,2014,Food & Beverage,Donatella
284,Finland,26,2015,Games industry,Futureplay*
285,Singapore,49,2016,Fintech,Spark Systems
286,India,37,2012,Technology,E42 (formerly NLPBOTS)
287,Japan,9,2015,Aerospace & Defence,AirX
288,Singapore,8,2008,Education,Prince Education
289,Australia,33,2015,Technology,Hivery
290,Japan,7,2015,Restaurants,Sanmi
291,France,11,2016,Property,LGM IMMOBILIER
292,The Netherlands,29,2017,Management Consulting,Wolfram Chain*
293,Germany,220,2015,Construction,NISA GebÃ¤udeservice
294,UK,52,2014,Technology,Velocity Mobile
295,United Kingdom,161,2010,Technology,Perkbox
296,Spain,302,2008,Technology,Jobandtalent 
297,United Kingdom,135,2014,Media,Jungle Creations
298,Singapore,175,2010,Technology,Sqreem Technologies
299,Taiwan,296,1992,Energy,Taiwan Cogeneration Corporation
300,Taiwan,170,1989,Games industry,Astro Group
301,Japan,70,2011,Property,Partners
302,Japan,48,2007,Chemicals,Microwave Chemical
303,Australia,21,2015,Technology,TechForce Services
304,Germany,38,2017,Technology,RightNow
305,UK,63,2014,Technology,EO Charging
306,Italy,5,2015,Transport,LMM Logistics
307,Italy,22,2013,Pharmaceuticals,Kolinpharma
308,Germany,14,2015,Retail,#sinob
309,South Korea,11,2017,Industrial Goods,"Arcontek Co., Ltd."
310,South Korea,25,2015,Advertising,AD Intelligence
311,Japan,50,2015,Management Consulting,SoLabo
312,Malaysia,26,2016,Construction,SONICON CONSTRUCTION
313,Japan,140,2005,Ecommerce,inglewood
314,Japan,131,2008,Fintech,Paidy
315,Italy,9,2013,Support Services,CheTariffa.it
316,Germany,202,2016,Food & Beverage,Franco Fresco
317,Spain,190,2014,Technology,Anteco Systems
318,United Kingdom,179,2013,Ecommerce,Global-e Online
319,South Korea,78,2009,Support Services,Artience
320,India,400,2015,Food & Beverage,Vahdam India
321,India,113,2016,Technology,Increff
322,Japan,30,2010,Cyber Security,Cyber Security Cloud
323,Japan,314,2013,Property,GA technologies
324,Japan,18,2011,Industrial Goods,SuperOx Japan
325,UK,90,2017,Financial Services,Simply
326,UK,187,2015,Fintech,Salary Finance
327,Italy,41,2016,Technology,Gellify
328,Germany,70,2016,Technology,Kavera Elektrotechnik
329,Poland,104,2012,Technology,Tooploox
330,Italy,5,2015,Retail,Rinah
331,Australia,60,2015,Advertising,Zeal Digital
332,Singapore,120,2016,Health,Homage Co
333,South Korea,19,2016,Media,Postype
334,India,100,1983,Energy,HOEC
335,India,116,2016,Construction,Isprava
336,Sweden,10,2017,Fintech,DBT
337,Italy,34,2016,Telecoms,Mg Project
338,Italy,67,2013,Travel & Leisure,Musement**
339,Poland,40,2004,Personal & Household Goods,Domator24.com
340,Japan,40,2016,Support Services,Shuumatsu Worker
341,Australia,11,2000,Technology,My Rewards
342,Japan,45,2015,Retail,NJ-ENEX
343,Singapore,155,2014,Food & Beverage,Grain
344,India,Not found,1995,Financial Services,Indiabulls Ventures
345,India,19,2008,Construction,Dipon Group
346,Poland,140,2016,Education,Tutlo
347,France,27,2013,Ecommerce,Ponera
348,Germany,103,2015,Ecommerce,Grover Group
349,Greece,86,2015,Automobiles,Spotawheel
350,Germany,18,2013,Media,DMS
351,Germany,29,2013,Telecoms,UPLINK Network
352,United Kingdom,80,2015,Technology,Trouva
353,South Korea,85,2016,Transport,Logispot
354,South Korea,22,2013,Property,SpaceCloud
355,South Korea,20,2015,Automobiles,Macarong Factory
356,India,1235,2011,Financial Services,Kinara Capital
357,Japan,10,2015,Management Consulting,"CB, Ltd"
358,Australia,170,2015,Support Services,Calleo
359,Greece,2,2014,Energy,Active Energy Solutions
360,France,28,2016,Technology,Le Hibou
361,United Kingdom,12,2014,Ecommerce,One Retail Group*
362,France,237,2012,Support Services,STA PORTAGE (H2S)
363,Poland,200,2015,Technology,SoftwareHut
364,Singapore,10,2014,Ecommerce,Zairyo
365,Japan,3,2017,Architecture,kujiraterrace
366,Japan,26,2014,Construction,æ ªå¼ä¼ç¤¾GSC
367,Japan,240,2012,Technology,PKSHA Technology
368,India,52,2015,Education,InterviewBit
369,France,8,2012,Energy,ACTEAM ENR
370,UK,70,2015,Technology,Everflow
371,UK,87,2013,Technology,Elvie*
372,Italy,15,2013,Energy,Unicoenergia
373,United Kingdom,21,2014,Construction,Beattie Passive Group
374,Germany,10,2013,Ecommerce,Fensterblick
375,Japan,150,2005,Support services,inglewood
376,Australia,45,2013,Technology,CIM Environmental Pty Ltd
377,Japan,20,2015,Food & Beverage,Food Force
378,Singapore,57,2015,Energy,I Switch
379,Singapore,24,2014,Transport,Declarators
380,Taiwan,1371,2011,Technology,Lintes Technology
381,UK,1,2016,Retail,Azure Prism
382,Germany,7,2017,Transport,WR Logistics
383,Austria,48,2010,Telecoms,Mavoco
384,United Kingdom,68,2013,Advertising,Byte London
385,France,90,2012,Media,Eskimoz
386,Portugal,93,2013,Travel & Leisure,Indie Campers
387,Japan,8,2016,Sales & Marketing,UNITED SILK
388,Taiwan,"7,500",1989,Health,Medtecs
389,Japan,150,2009,Property,sumarch
390,South Korea,38,2015,Technology,Twinny
391,Australia,144,2013,Technology,Lakeba Group
392,UK,61,2011,Technology,iProov
393,Italy,5,2017,Advertising,Spin Up
394,Italy,25,2014,Industrial Goods,Tmt International
395,Germany,13,2013,Sales & Marketing,Digidip
396,Netherlands,85,2012,Energy,Zonneplan
397,Germany,42,2014,Technology,ITP Nord
398,Japan,29,2009,Media,Amazia
399,Taiwan,15,1949,Construction,Tidehold Development
400,Japan,754,2015,Support Services,Suprieve
401,India,383,2015,Property,IndiQube
402,Singapore,28,2012,Transport,Sing Fuel
403,Germany,16,2012,Retail,BeGreat
404,Italy,17,2017,Ecommerce,Tsunami Nutrition*
405,Germany,72,2015,Industrial Goods,J-PM Systems
406,Poland,20,2004,Personal & Household Goods,Domator24.com
407,France,76,2014,Retail,Agriconomie
408,Germany,175,2013,Retail,Bettzeit
409,Japan,479,2013,Property,GA Technologies
410,Australia,60,2008,Technology,RENEW IT
