,company_country,company_name,company_industry
163,Sweden,Svea Solar,Energy
164,Ireland,Bevcraft Group,Food & Beverage
165,UK,Learning Technologies Group,Technology
166,Italy,Cura Farma,Health
167,Lithuania,Kamado Bono,Personal & Household Goods
168,Spain,SIPADAN,Management Consulting
169,Czech Republic,Dateio,Fintech
170,Germany,CREST Investment,Property
171,Italy,Componenti Digitali,Retail
172,Germany,IMMO-KONZEPTE,Property
173,Denmark,SwipBox,Technology
174,Sweden,Nextory,Media
175,Poland,ITDS Polska,Technology
176,Italy,Savait,Ecommerce
177,Spain,Adpone,Advertising
178,Lithuania,Nord Security,Cyber Security
179,The Netherlands,Mews,Technology
180,Spain,Titulae,Education
181,Ireland,systeme.io,Ecommerce
182,Greece,EODH SA,Aerospace & Defence
183,Italy,Multix solutions,Health
184,France,B2DIGIT,Technology
185,UK,A Million Ads,Advertising
186,The Netherlands,WoodWatch,Retail
187,France,FenÃªtres du Doubs,Construction
188,Germany,Koesea,Construction
189,Italy,Podium Advanced Technologies,Automobiles
190,Croatia,SPEGRA,Construction
191,Spain,GPAINNOVA,Industrial Goods
192,Italy,Soluzione Tasse,Management Consulting
193,Germany,Velocultour,Retail
194,Hungary,butorpiac.hu,Ecommerce
195,Czech Republic,Success Solutions,Technology
196,Denmark,Bug Bite Thing Europe,Health
197,Estonia,Dexatel,Technology
198,Italy,Gemco,Construction
199,France,Lyonnaise de Construction et Renovation,Construction
200,UK,Gousto,Food & Beverage
201,UK,Winter in Venice,Beauty
202,Germany,Infratech Bau,Construction
203,Italy,4Streets Building Innovation Tunnels Bridges Roads,Construction
204,UK,Landbay,Fintech
205,Sweden,Degoo,Technology
206,Germany,Franco Fresco,Food & Beverage
207,UK,Lendable,Fintech
208,Germany,Ulrich MÃ¼ller Wealth Academy,Education
209,Germany,cerascreen,Health
210,France,Eqinov,Energy
211,Italy,Serre Famiglia Pederiva Viticoltori dal 1958,Food & Beverage
212,UK,Bloom & Wild,Ecommerce
213,Germany,BrÃ¤utigam,Automobiles
214,Finland,Newil & Bau,Construction
215,Spain,ID Finance,Fintech
216,Sweden,Kry,Health
217,Italy,Sixth Sense,Technology
218,Italy,Nethive,Cyber Security
219,UK,Latitude Investment Management,Financial Services
220,Sweden,Qred,Fintech
221,Germany,oculavis,Technology
222,Italy,The Information Lab,Technology
223,Germany,MD Sonnenschutztechnik,Construction
224,Croatia,Syntio,Technology
225,Denmark,Bomae,Financial Services
226,UK,Gophr,Technology
227,Germany,Memory PC,Retail
228,Germany,Sollis SolargroÃhandel,Retail
229,Greece,Spotawheel,Automobiles
