,company_ipo_code,company_name
668,EW,Edwards Lifesciences
669,EA,Electronic Arts
670,EMR,Emerson Electric Company
671,ENDP,Endo International
672,ETR,Entergy Corp.
673,EOG,EOG Resources
674,EQT,EQT Corporation
675,EFX,Equifax Inc.
676,EQIX,Equinix
677,EQR,Equity Residential
678,ESS,Essex Property Trust Inc
679,EL,Estee Lauder Cos.
680,ES,Eversource Energy
681,EXC,Exelon Corp.
682,EXPE,Expedia Inc.
683,EXPD,Expeditors Int'l
684,ESRX,Express Scripts
685,EXR,Extra Space Storage
686,XOM,Exxon Mobil Corp.
687,FFIV,F5 Networks
688,FB,Facebook
689,FAST,Fastenal Co
690,FRT,Federal Realty Investment Trust
691,FDX,FedEx Corporation
692,FIS,Fidelity National Information Services
693,FITB,Fifth Third Bancorp
694,FSLR,First Solar Inc
695,FE,FirstEnergy Corp
696,FISV,Fiserv Inc
697,FLIR,FLIR Systems
698,FLS,Flowserve Corporation
699,FLR,Fluor Corp.
700,FMC,FMC Corporation
701,FTI,FMC Technologies Inc.
702,FL,Foot Locker Inc
703,F,Ford Motor
704,FTV,Fortive Corp
705,FBHS,Fortune Brands Home & Security
706,BEN,Franklin Resources
707,FCX,Freeport-McMoran Cp & Gld
708,FTR,Frontier Communications
709,GPS,Gap (The)
710,GRMN,Garmin Ltd.
711,GD,General Dynamics
712,GE,General Electric
713,GGP,General Growth Properties Inc.
714,GIS,General Mills
715,GM,General Motors
716,GPC,Genuine Parts
717,GILD,Gilead Sciences
718,GPN,Global Payments Inc
719,GS,Goldman Sachs Group
720,GT,Goodyear Tire & Rubber
721,GWW,Grainger (W.W.) Inc.
722,HAL,Halliburton Co.
723,HBI,Hanesbrands Inc
724,HOG,Harley-Davidson
725,HAR,Harman Int'l Industries
726,HRS,Harris Corporation
727,HIG,Hartford Financial Svc.Gp.
728,HAS,Hasbro Inc.
729,HCA,HCA Holdings
730,HCP,HCP Inc.
731,HP,Helmerich & Payne
732,HES,Hess Corporation
733,HPE,Hewlett Packard Enterprise
734,HOLX,Hologic
735,HD,Home Depot
736,HON,Honeywell Int'l Inc.
737,HRL,Hormel Foods Corp.
738,HST,Host Hotels & Resorts
739,HPQ,HP Inc.
740,HUM,Humana Inc.
741,HBAN,Huntington Bancshares
742,ITW,Illinois Tool Works
743,ILMN,Illumina Inc
