,company_ipo_code,company_name
896,RHI,Robert Half International
897,ROK,Rockwell Automation Inc.
898,COL,Rockwell Collins
899,ROP,Roper Industries
900,ROST,Ross Stores
901,RCL,Royal Caribbean Cruises Ltd
902,R,Ryder System
903,CRM,Salesforce.com
904,SCG,SCANA Corp
905,SLB,Schlumberger Ltd.
906,SNI,Scripps Networks Interactive Inc.
907,STX,Seagate Technology
908,SEE,Sealed Air
909,SRE,Sempra Energy
910,SHW,Sherwin-Williams
911,SIG,Signet Jewelers
912,SPG,Simon Property Group Inc
913,SWKS,Skyworks Solutions
914,SLG,SL Green Realty
915,SJM,Smucker (J.M.)
916,SNA,Snap-On Inc.
917,SO,Southern Co.
918,LUV,Southwest Airlines
919,SWN,Southwestern Energy
920,SE,Spectra Energy Corp.
921,SPGI,"S&P Global, Inc."
922,STJ,St Jude Medical
923,SWK,Stanley Black & Decker
924,SPLS,Staples Inc.
925,SBUX,Starbucks Corp.
926,STT,State Street Corp.
927,SRCL,Stericycle Inc
928,SYK,Stryker Corp.
929,STI,SunTrust Banks
930,SYMC,Symantec Corp.
931,SYF,Synchrony Financial
932,SYY,Sysco Corp.
933,TROW,T. Rowe Price Group
934,TGT,Target Corp.
935,TEL,TE Connectivity Ltd.
936,TGNA,Tegna
937,TDC,Teradata Corp.
938,TSO,Tesoro Petroleum Co.
939,TXN,Texas Instruments
940,TXT,Textron Inc.
941,COO,The Cooper Companies
942,HSY,The Hershey Company
943,TRV,The Travelers Companies Inc.
944,TMO,Thermo Fisher Scientific
945,TIF,Tiffany & Co.
946,TWX,Time Warner Inc.
947,TJX,TJX Companies Inc.
948,TMK,Torchmark Corp.
949,TSS,Total System Services
950,TSCO,Tractor Supply Company
951,TDG,TransDigm Group
952,RIG,Transocean
953,TRIP,TripAdvisor
954,FOXA,Twenty-First Century Fox Class A
955,FOX,Twenty-First Century Fox Class B
956,TSN,Tyson Foods
957,UDR,UDR Inc
958,ULTA,Ulta Salon Cosmetics & Fragrance Inc
959,USB,U.S. Bancorp
960,UA,Under Armour
961,UA.C,Under Armour
962,UNP,Union Pacific
963,UAL,United Continental Holdings
964,UNH,United Health Group Inc.
965,UPS,United Parcel Service
966,URI,"United Rentals, Inc."
967,UTX,United Technologies
968,UHS,"Universal Health Services, Inc."
969,UNM,Unum Group
970,URBN,Urban Outfitters
971,VFC,V.F. Corp.
972,VLO,Valero Energy
973,VAR,Varian Medical Systems
974,VTR,Ventas Inc
975,VRSN,Verisign Inc.
976,VRSK,Verisk Analytics
977,VZ,Verizon Communications
978,VRTX,Vertex Pharmaceuticals Inc
979,VIAB,Viacom Inc.
980,V,Visa Inc.
981,VNO,Vornado Realty Trust
982,VMC,Vulcan Materials
983,WMT,Wal-Mart Stores
984,WBA,Walgreens Boots Alliance
985,DIS,The Walt Disney Company
986,WM,Waste Management Inc.
987,WAT,Waters Corporation
988,WFC,Wells Fargo
989,HCN,Welltower Inc.
990,WDC,Western Digital
991,WU,Western Union Co
992,WRK,Westrock Co
993,WY,Weyerhaeuser Corp.
994,WHR,Whirlpool Corp.
995,WFM,Whole Foods Market
996,WMB,Williams Cos.
997,WLTW,Willis Towers Watson
998,WEC,Wisconsin Energy Corporation
999,WYN,Wyndham Worldwide
1000,WYNN,Wynn Resorts Ltd
1001,XEL,Xcel Energy Inc
1002,XRX,Xerox Corp.
1003,XLNX,Xilinx Inc
1004,XL,XL Capital
1005,XYL,Xylem Inc.
1006,YHOO,Yahoo Inc.
1007,YUM,Yum! Brands Inc
1008,ZBH,Zimmer Biomet Holdings
1009,ZION,Zions Bancorp
1010,ZTS,Zoetis
1011,Ticker symbol,Security
1012,MMM,3M Company
1013,ABT,Abbott Laboratories
1014,ABBV,AbbVie
1015,ACN,Accenture plc
1016,ATVI,Activision Blizzard
1017,AYI,Acuity Brands Inc
1018,ADBE,Adobe Systems Inc
1019,AAP,Advance Auto Parts
1020,AES,AES Corp
1021,AET,Aetna Inc
1022,AFL,AFLAC Inc
1023,AMG,Affiliated Managers Group Inc
1024,A,Agilent Technologies Inc
1025,APD,Air Products & Chemicals Inc
1026,AKAM,Akamai Technologies Inc
1027,ALK,Alaska Air Group Inc
1028,ALB,Albemarle Corp
1029,AA,Alcoa Inc
1030,AGN,Allergan plc
1031,LNT,Alliant Energy Corp
1032,ALXN,Alexion Pharmaceuticals
1033,ALLE,Allegion
1034,ADS,Alliance Data Systems
1035,ALL,Allstate Corp
1036,GOOGL,Alphabet Inc Class A
1037,GOOG,Alphabet Inc Class C
1038,MO,Altria Group Inc
1039,AMZN,Amazon.com Inc
1040,AEE,Ameren Corp
1041,AAL,American Airlines Group
1042,AEP,American Electric Power
1043,AXP,American Express Co
1044,AIG,"American International Group, Inc."
1045,AMT,American Tower Corp A
1046,AWK,American Water Works Company Inc
1047,AMP,Ameriprise Financial
1048,ABC,AmerisourceBergen Corp
1049,AME,Ametek
1050,AMGN,Amgen Inc
1051,APH,Amphenol Corp A
1052,APC,Anadarko Petroleum Corp
1053,ADI,"Analog Devices, Inc."
1054,ANTM,Anthem Inc.
1055,AON,Aon plc
1056,APA,Apache Corporation
1057,AIV,Apartment Investment & Mgmt
1058,AAPL,Apple Inc.
1059,AMAT,Applied Materials Inc
1060,ADM,Archer-Daniels-Midland Co
1061,AJG,Arthur J. Gallagher & Co.
1062,AIZ,Assurant Inc
1063,T,AT&T Inc
1064,ADSK,Autodesk Inc
1065,ADP,Automatic Data Processing
1066,AN,AutoNation Inc
1067,AZO,AutoZone Inc
1068,AVGO,Avago Technologies
1069,AVB,"AvalonBay Communities, Inc."
1070,AVY,Avery Dennison Corp
1071,BHI,Baker Hughes Inc
1072,BLL,Ball Corp
1073,BAC,Bank of America Corp
1074,BK,The Bank of New York Mellon Corp.
1075,BCR,Bard (C.R.) Inc.
1076,BAX,Baxter International Inc.
1077,BBT,BB&T Corporation
1078,BDX,Becton Dickinson
1079,BBBY,Bed Bath & Beyond
1080,BRK-B,Berkshire Hathaway
1081,BBY,Best Buy Co. Inc.
1082,BIIB,BIOGEN IDEC Inc.
1083,BLK,BlackRock
1084,HRB,Block H&R
1085,BA,Boeing Company
1086,BWA,BorgWarner
1087,BXP,Boston Properties
1088,BSX,Boston Scientific
1089,BMY,Bristol-Myers Squibb
1090,BF-B,Brown-Forman Corporation
1091,CHRW,C. H. Robinson Worldwide
1092,CA,"CA, Inc."
1093,COG,Cabot Oil & Gas
1094,CPB,Campbell Soup
1095,COF,Capital One Financial
1096,CAH,Cardinal Health Inc.
1097,HSIC,Henry Schein
1098,KMX,Carmax Inc
1099,CCL,Carnival Corp.
1100,CAT,Caterpillar Inc.
1101,CBG,CBRE Group
1102,CBS,CBS Corp.
1103,CELG,Celgene Corp.
1104,CNC,Centene Corporation
1105,CNP,CenterPoint Energy
1106,CTL,CenturyLink Inc
1107,CERN,Cerner
1108,CF,CF Industries Holdings Inc
1109,SCHW,Charles Schwab Corporation
1110,CHTR,Charter Communications
1111,CHK,Chesapeake Energy
1112,CVX,Chevron Corp.
1113,CMG,Chipotle Mexican Grill
1114,CB,Chubb Limited
1115,CHD,Church & Dwight
1116,CI,CIGNA Corp.
1117,XEC,Cimarex Energy
1118,CINF,Cincinnati Financial
1119,CTAS,Cintas Corporation
1120,CSCO,Cisco Systems
1121,C,Citigroup Inc.
1122,CTXS,Citrix Systems
1123,CLX,The Clorox Company
1124,CME,CME Group Inc.
1125,CMS,CMS Energy
1126,COH,Coach Inc.
1127,KO,The Coca Cola Company
1128,CTSH,Cognizant Technology Solutions
1129,CL,Colgate-Palmolive
1130,CMCSA,Comcast A Corp
1131,CMA,Comerica Inc.
1132,CAG,ConAgra Foods Inc.
1133,CXO,Concho Resources
1134,COP,ConocoPhillips
1135,ED,Consolidated Edison
1136,STZ,Constellation Brands
1137,GLW,Corning Inc.
1138,COST,Costco Co.
1139,COTY,"Coty, Inc"
1140,CCI,Crown Castle International Corp.
1141,CSRA,CSRA Inc.
1142,CSX,CSX Corp.
1143,CMI,Cummins Inc.
1144,CVS,CVS Health
1145,DHI,D. R. Horton
1146,DHR,Danaher Corp.
1147,DRI,Darden Restaurants
1148,DVA,DaVita Inc.
1149,DE,Deere & Co.
1150,DLPH,Delphi Automotive
1151,DAL,Delta Air Lines
1152,XRAY,Dentsply Sirona
1153,DVN,Devon Energy Corp.
1154,DLR,Digital Realty Trust
1155,DFS,Discover Financial Services
1156,DISCA,Discovery Communications-A
1157,DISCK,Discovery Communications-C
1158,DG,Dollar General
1159,DLTR,Dollar Tree
1160,D,Dominion Resources
1161,DOV,Dover Corp.
1162,DOW,Dow Chemical
1163,DPS,Dr Pepper Snapple Group
1164,DTE,DTE Energy Co.
1165,DD,Du Pont (E.I.)
1166,DUK,Duke Energy
1167,DNB,Dun & Bradstreet
1168,ETFC,E*Trade
1169,EMN,Eastman Chemical
1170,ETN,Eaton Corporation
1171,EBAY,eBay Inc.
1172,ECL,Ecolab Inc.
1173,EIX,Edison Int'l
1174,EW,Edwards Lifesciences
1175,EA,Electronic Arts
1176,EMR,Emerson Electric Company
1177,ENDP,Endo International
1178,ETR,Entergy Corp.
1179,EOG,EOG Resources
1180,EQT,EQT Corporation
1181,EFX,Equifax Inc.
1182,EQIX,Equinix
1183,EQR,Equity Residential
1184,ESS,Essex Property Trust Inc
1185,EL,Estee Lauder Cos.
1186,ES,Eversource Energy
1187,EXC,Exelon Corp.
1188,EXPE,Expedia Inc.
1189,EXPD,Expeditors Int'l
1190,ESRX,Express Scripts
1191,EXR,Extra Space Storage
1192,XOM,Exxon Mobil Corp.
1193,FFIV,F5 Networks
1194,FB,Facebook
1195,FAST,Fastenal Co
1196,FRT,Federal Realty Investment Trust
1197,FDX,FedEx Corporation
1198,FIS,Fidelity National Information Services
1199,FITB,Fifth Third Bancorp
1200,FSLR,First Solar Inc
1201,FE,FirstEnergy Corp
1202,FISV,Fiserv Inc
1203,FLIR,FLIR Systems
1204,FLS,Flowserve Corporation
1205,FLR,Fluor Corp.
1206,FMC,FMC Corporation
1207,FTI,FMC Technologies Inc.
1208,FL,Foot Locker Inc
1209,F,Ford Motor
1210,FTV,Fortive Corp
1211,FBHS,Fortune Brands Home & Security
1212,BEN,Franklin Resources
1213,FCX,Freeport-McMoran Cp & Gld
1214,FTR,Frontier Communications
1215,GPS,Gap (The)
1216,GRMN,Garmin Ltd.
1217,GD,General Dynamics
1218,GE,General Electric
1219,GGP,General Growth Properties Inc.
1220,GIS,General Mills
1221,GM,General Motors
1222,GPC,Genuine Parts
1223,GILD,Gilead Sciences
1224,GPN,Global Payments Inc
1225,GS,Goldman Sachs Group
1226,GT,Goodyear Tire & Rubber
1227,GWW,Grainger (W.W.) Inc.
1228,HAL,Halliburton Co.
1229,HBI,Hanesbrands Inc
1230,HOG,Harley-Davidson
1231,HAR,Harman Int'l Industries
1232,HRS,Harris Corporation
1233,HIG,Hartford Financial Svc.Gp.
1234,HAS,Hasbro Inc.
1235,HCA,HCA Holdings
1236,HCP,HCP Inc.
1237,HP,Helmerich & Payne
1238,HES,Hess Corporation
1239,HPE,Hewlett Packard Enterprise
1240,HOLX,Hologic
1241,HD,Home Depot
1242,HON,Honeywell Int'l Inc.
1243,HRL,Hormel Foods Corp.
1244,HST,Host Hotels & Resorts
1245,HPQ,HP Inc.
1246,HUM,Humana Inc.
1247,HBAN,Huntington Bancshares
1248,ITW,Illinois Tool Works
1249,ILMN,Illumina Inc
1250,IR,Ingersoll-Rand PLC
1251,INTC,Intel Corp.
1252,ICE,Intercontinental Exchange
1253,IBM,International Bus. Machines
1254,IP,International Paper
1255,IPG,Interpublic Group
1256,IFF,Intl Flavors & Fragrances
1257,INTU,Intuit Inc.
1258,ISRG,Intuitive Surgical Inc.
1259,IVZ,Invesco Ltd.
1260,IRM,Iron Mountain Incorporated
1261,JEC,Jacobs Engineering Group
1262,JBHT,J. B. Hunt Transport Services
1263,JNJ,Johnson & Johnson
1264,JCI,Johnson Controls International Plc
1265,JPM,JPMorgan Chase & Co.
1266,JNPR,Juniper Networks
1267,KSU,Kansas City Southern
1268,K,Kellogg Co.
1269,KEY,KeyCorp
1270,KMB,Kimberly-Clark
1271,KIM,Kimco Realty
1272,KMI,Kinder Morgan
1273,KLAC,KLA-Tencor Corp.
1274,KSS,Kohl's Corp.
1275,KHC,Kraft Heinz Co
1276,KR,Kroger Co.
1277,LB,L Brands Inc.
1278,LLL,L-3 Communications Holdings
1279,LH,Laboratory Corp. of America Holding
1280,LRCX,Lam Research
1281,LM,Legg Mason
1282,LEG,Leggett & Platt
1283,LEN,Lennar Corp.
1284,LVLT,Level 3 Communications
1285,LUK,Leucadia National Corp.
1286,LLY,Lilly (Eli) & Co.
1287,LNC,Lincoln National
1288,LLTC,Linear Technology Corp.
1289,LKQ,LKQ Corporation
1290,LMT,Lockheed Martin Corp.
1291,L,Loews Corp.
1292,LOW,Lowe's Cos.
1293,LYB,LyondellBasell
1294,MTB,M&T Bank Corp.
1295,MAC,Macerich
1296,M,Macy's Inc.
1297,MNK,Mallinckrodt Plc
1298,MRO,Marathon Oil Corp.
1299,MPC,Marathon Petroleum
1300,MAR,Marriott Int'l.
1301,MMC,Marsh & McLennan
1302,MLM,Martin Marietta Materials
1303,MAS,Masco Corp.
1304,MA,Mastercard Inc.
1305,MAT,Mattel Inc.
1306,MKC,McCormick & Co.
1307,MCD,McDonald's Corp.
1308,MCK,McKesson Corp.
1309,MJN,Mead Johnson
1310,MDT,Medtronic plc
1311,MRK,Merck & Co.
1312,MET,MetLife Inc.
1313,MTD,Mettler Toledo
1314,KORS,Michael Kors Holdings
1315,MCHP,Microchip Technology
1316,MU,Micron Technology
1317,MSFT,Microsoft Corp.
1318,MHK,Mohawk Industries
1319,TAP,Molson Coors Brewing Company
1320,MDLZ,Mondelez International
1321,MON,Monsanto Co.
1322,MNST,Monster Beverage
1323,MCO,Moody's Corp
1324,MS,Morgan Stanley
1325,MOS,The Mosaic Company
1326,MSI,Motorola Solutions Inc.
1327,MUR,Murphy Oil
1328,MYL,Mylan N.V.
1329,NDAQ,NASDAQ OMX Group
1330,NOV,National Oilwell Varco Inc.
1331,NAVI,Navient
1332,NTAP,NetApp
1333,NFLX,Netflix Inc.
1334,NWL,Newell Rubbermaid Co.
1335,NFX,Newfield Exploration Co
1336,NEM,Newmont Mining Corp. (Hldg. Co.)
1337,NWSA,News Corp. Class A
1338,NWS,News Corp. Class B
1339,NEE,NextEra Energy
1340,NLSN,Nielsen Holdings
1341,NKE,Nike
1342,NI,NiSource Inc.
1343,NBL,Noble Energy Inc
1344,JWN,Nordstrom
1345,NSC,Norfolk Southern Corp.
1346,NTRS,Northern Trust Corp.
1347,NOC,Northrop Grumman Corp.
1348,NRG,NRG Energy
1349,NUE,Nucor Corp.
1350,NVDA,Nvidia Corporation
1351,ORLY,O'Reilly Automotive
1352,OXY,Occidental Petroleum
1353,OMC,Omnicom Group
1354,OKE,ONEOK
1355,ORCL,Oracle Corp.
1356,OI,Owens-Illinois Inc
1357,PCAR,PACCAR Inc.
1358,PH,Parker-Hannifin
1359,PDCO,Patterson Companies
1360,PAYX,Paychex Inc.
1361,PYPL,PayPal
1362,PNR,Pentair Ltd.
1363,PBCT,People's United Financial
1364,PEP,PepsiCo Inc.
1365,PKI,PerkinElmer
1366,PRGO,Perrigo
1367,PFE,Pfizer Inc.
1368,PCG,PG&E Corp.
1369,PM,Philip Morris International
1370,PSX,Phillips 66
1371,PNW,Pinnacle West Capital
1372,PXD,Pioneer Natural Resources
1373,PBI,Pitney-Bowes
1374,PNC,PNC Financial Services
1375,RL,Polo Ralph Lauren Corp.
1376,PPG,PPG Industries
1377,PPL,PPL Corp.
1378,PX,Praxair Inc.
1379,CFG,Citizens Financial Group
1380,PCLN,Priceline.com Inc
1381,PFG,Principal Financial Group
1382,PG,Procter & Gamble
1383,PGR,Progressive Corp.
1384,PLD,Prologis
1385,PRU,Prudential Financial
1386,PEG,Public Serv. Enterprise Inc.
1387,PSA,Public Storage
1388,PHM,Pulte Homes Inc.
1389,PVH,PVH Corp.
1390,QRVO,Qorvo
1391,PWR,Quanta Services Inc.
1392,QCOM,QUALCOMM Inc.
1393,DGX,Quest Diagnostics
1394,RRC,Range Resources Corp.
1395,RTN,Raytheon Co.
1396,O,Realty Income Corporation
1397,RHT,Red Hat Inc.
1398,REGN,Regeneron
1399,RF,Regions Financial Corp.
1400,RSG,Republic Services Inc
1401,RAI,Reynolds American Inc.
1402,RHI,Robert Half International
1403,ROK,Rockwell Automation Inc.
1404,COL,Rockwell Collins
1405,ROP,Roper Industries
1406,ROST,Ross Stores
1407,RCL,Royal Caribbean Cruises Ltd
1408,R,Ryder System
1409,CRM,Salesforce.com
1410,SCG,SCANA Corp
1411,SLB,Schlumberger Ltd.
1412,SNI,Scripps Networks Interactive Inc.
1413,STX,Seagate Technology
1414,SEE,Sealed Air
1415,SRE,Sempra Energy
1416,SHW,Sherwin-Williams
1417,SIG,Signet Jewelers
1418,SPG,Simon Property Group Inc
1419,SWKS,Skyworks Solutions
1420,SLG,SL Green Realty
1421,SJM,Smucker (J.M.)
1422,SNA,Snap-On Inc.
1423,SO,Southern Co.
1424,LUV,Southwest Airlines
1425,SWN,Southwestern Energy
1426,SE,Spectra Energy Corp.
1427,SPGI,"S&P Global, Inc."
1428,STJ,St Jude Medical
1429,SWK,Stanley Black & Decker
1430,SPLS,Staples Inc.
1431,SBUX,Starbucks Corp.
1432,STT,State Street Corp.
1433,SRCL,Stericycle Inc
1434,SYK,Stryker Corp.
1435,STI,SunTrust Banks
1436,SYMC,Symantec Corp.
1437,SYF,Synchrony Financial
1438,SYY,Sysco Corp.
1439,TROW,T. Rowe Price Group
1440,TGT,Target Corp.
1441,TEL,TE Connectivity Ltd.
1442,TGNA,Tegna
1443,TDC,Teradata Corp.
1444,TSO,Tesoro Petroleum Co.
1445,TXN,Texas Instruments
1446,TXT,Textron Inc.
1447,COO,The Cooper Companies
1448,HSY,The Hershey Company
1449,TRV,The Travelers Companies Inc.
1450,TMO,Thermo Fisher Scientific
1451,TIF,Tiffany & Co.
1452,TWX,Time Warner Inc.
1453,TJX,TJX Companies Inc.
1454,TMK,Torchmark Corp.
1455,TSS,Total System Services
1456,TSCO,Tractor Supply Company
1457,TDG,TransDigm Group
1458,RIG,Transocean
1459,TRIP,TripAdvisor
1460,FOXA,Twenty-First Century Fox Class A
1461,FOX,Twenty-First Century Fox Class B
1462,TSN,Tyson Foods
1463,UDR,UDR Inc
1464,ULTA,Ulta Salon Cosmetics & Fragrance Inc
1465,USB,U.S. Bancorp
1466,UA,Under Armour
1467,UA.C,Under Armour
1468,UNP,Union Pacific
1469,UAL,United Continental Holdings
1470,UNH,United Health Group Inc.
1471,UPS,United Parcel Service
1472,URI,"United Rentals, Inc."
1473,UTX,United Technologies
1474,UHS,"Universal Health Services, Inc."
1475,UNM,Unum Group
1476,URBN,Urban Outfitters
1477,VFC,V.F. Corp.
1478,VLO,Valero Energy
1479,VAR,Varian Medical Systems
1480,VTR,Ventas Inc
1481,VRSN,Verisign Inc.
1482,VRSK,Verisk Analytics
1483,VZ,Verizon Communications
1484,VRTX,Vertex Pharmaceuticals Inc
1485,VIAB,Viacom Inc.
1486,V,Visa Inc.
1487,VNO,Vornado Realty Trust
1488,VMC,Vulcan Materials
1489,WMT,Wal-Mart Stores
1490,WBA,Walgreens Boots Alliance
1491,DIS,The Walt Disney Company
1492,WM,Waste Management Inc.
1493,WAT,Waters Corporation
1494,WFC,Wells Fargo
1495,HCN,Welltower Inc.
1496,WDC,Western Digital
1497,WU,Western Union Co
1498,WRK,Westrock Co
1499,WY,Weyerhaeuser Corp.
1500,WHR,Whirlpool Corp.
1501,WFM,Whole Foods Market
1502,WMB,Williams Cos.
1503,WLTW,Willis Towers Watson
1504,WEC,Wisconsin Energy Corporation
1505,WYN,Wyndham Worldwide
1506,WYNN,Wynn Resorts Ltd
1507,XEL,Xcel Energy Inc
1508,XRX,Xerox Corp.
1509,XLNX,Xilinx Inc
1510,XL,XL Capital
1511,XYL,Xylem Inc.
1512,YHOO,Yahoo Inc.
1513,YUM,Yum! Brands Inc
1514,ZBH,Zimmer Biomet Holdings
1515,ZION,Zions Bancorp
1516,ZTS,Zoetis
