,company_name,company_country,company_industry
118,ISODECO,France,Construction
119,Treedom,Italy,Support Services
120,Fenstermaxx24,Germany,Retail
121,Pohl & SÃ¶hne GerÃ¼stbau,Germany,Construction
122,YSO CORP,France,Media
123,Gyada Cosmetics,Italy,Beauty
124,Privitar,UK,Technology
125,Delineate,UK,Technology
126,Spyrosoft,Poland,Technology
127,Bio Energy Solutions,Slovakia,Waste management & recycling
128,Increso,Italy,Management Consulting
129,LSG - Logistic & Service Group,Italy,Transport
130,Energihem,Sweden,Construction
131,Amity,UK,Technology
132,Goyago,Germany,Retail
133,LA REGIE DE PORTAGE SALARIAL,France,Support Services
134,Dall Energy,Denmark,Energy
135,Appinio,Germany,Technology
136,Pinsami,Italy,Food & Beverage
137,AER TRADING,France,Retail
138,VALUMEN,France,Support Services
139,Follow,France,Advertising
140,Darpdecade,Germany,Retail
141,Bolt,Estonia,Technology
142,Kiteworldshop.com,Italy,Ecommerce
143,Peter Kenkel,Germany,Retail
144,Templafy,Denmark,Technology
145,Comservice,Italy,Support Services
146,Falcor Presse,Italy,Industrial Goods
147,RoomRaccoon,The Netherlands,Technology
148,Signaturit,Spain,Technology
149,Modulr,UK,Fintech
150,PROFISHOP,Germany,Ecommerce
151,Floer,The Netherlands,Interiors
152,Audiosalus,Italy,Retail
153,StatsBomb,UK,Technology
154,Theras Biocare,Italy,Pharmaceuticals
155,Stenn,UK,Fintech
156,Nanushka,Hungary,Fashion
157,DPM - Deutsches Personal Management,Germany,Support Services
158,Monese,UK,Fintech
159,Arquimea,Spain,Technology
160,GroupeÂ PERSPECTIVE,France,Education
161,Funnel,Sweden,Technology
162,Living Quarter,Germany,Health
163,Svea Solar,Sweden,Energy
164,Bevcraft Group,Ireland,Food & Beverage
165,Learning Technologies Group,UK,Technology
166,Cura Farma,Italy,Health
167,Kamado Bono,Lithuania,Personal & Household Goods
168,SIPADAN,Spain,Management Consulting
169,Dateio,Czech Republic,Fintech
170,CREST Investment,Germany,Property
171,Componenti Digitali,Italy,Retail
172,IMMO-KONZEPTE,Germany,Property
173,SwipBox,Denmark,Technology
174,Nextory,Sweden,Media
175,ITDS Polska,Poland,Technology
176,Savait,Italy,Ecommerce
177,Adpone,Spain,Advertising
178,Nord Security,Lithuania,Cyber Security
179,Mews,The Netherlands,Technology
180,Titulae,Spain,Education
181,systeme.io,Ireland,Ecommerce
182,EODH SA,Greece,Aerospace & Defence
183,Multix solutions,Italy,Health
184,B2DIGIT,France,Technology
185,A Million Ads,UK,Advertising
186,WoodWatch,The Netherlands,Retail
187,FenÃªtres du Doubs,France,Construction
188,Koesea,Germany,Construction
189,Podium Advanced Technologies,Italy,Automobiles
190,SPEGRA,Croatia,Construction
191,GPAINNOVA,Spain,Industrial Goods
192,Soluzione Tasse,Italy,Management Consulting
193,Velocultour,Germany,Retail
194,butorpiac.hu,Hungary,Ecommerce
195,Success Solutions,Czech Republic,Technology
196,Bug Bite Thing Europe,Denmark,Health
197,Dexatel,Estonia,Technology
198,Gemco,Italy,Construction
199,Lyonnaise de Construction et Renovation,France,Construction
200,Gousto,UK,Food & Beverage
201,Winter in Venice,UK,Beauty
202,Infratech Bau,Germany,Construction
203,4Streets Building Innovation Tunnels Bridges Roads,Italy,Construction
204,Landbay,UK,Fintech
205,Degoo,Sweden,Technology
206,Franco Fresco,Germany,Food & Beverage
207,Lendable,UK,Fintech
208,Ulrich MÃ¼ller Wealth Academy,Germany,Education
209,cerascreen,Germany,Health
210,Eqinov,France,Energy
211,Serre Famiglia Pederiva Viticoltori dal 1958,Italy,Food & Beverage
212,Bloom & Wild,UK,Ecommerce
213,BrÃ¤utigam,Germany,Automobiles
214,Newil & Bau,Finland,Construction
215,ID Finance,Spain,Fintech
216,Kry,Sweden,Health
217,Sixth Sense,Italy,Technology
218,Nethive,Italy,Cyber Security
219,Latitude Investment Management,UK,Financial Services
220,Qred,Sweden,Fintech
221,oculavis,Germany,Technology
222,The Information Lab,Italy,Technology
223,MD Sonnenschutztechnik,Germany,Construction
224,Syntio,Croatia,Technology
225,Bomae,Denmark,Financial Services
226,Gophr,UK,Technology
227,Memory PC,Germany,Retail
228,Sollis SolargroÃhandel,Germany,Retail
229,Spotawheel,Greece,Automobiles
230,Ooni Pizza Ovens,UK,Personal & Household Goods
231,Robovox Distributions,Germany,Retail
232,CentralNic Group,UK,Technology
233,Bernd Andert Transporte,Germany,Transport
234,Bluewater Bio,UK,Technology
235,Tecma Solutions,Italy,Technology
236,Delante,Poland,Sales & Marketing
237,intumind,Germany,Health
238,Saljol,Germany,Health
239,TKD Solutions,Germany,Telecoms
240,Kuori,Finland,Technology
241,Ferroamp,Sweden,Energy
242,Valor Real Estate Partners,UK,Financial Services
243,Anexiti,France,Technology
244,GENIUS,France,Support Services
245,Instilla,Italy,Advertising
246,FOOTDISTRICT,Spain,Ecommerce
247,Spiideo,Sweden,Technology
248,ContractPodAi,UK,Technology
249,Tarhan BauausfÃ¼hrungen,Germany,Construction
250,Matillion,UK,Technology
251,Extra Mile Live Service,Germany,Retail
252,LITTLEBIG CONNECTION,France,Support Services
253,SPC General Service,Italy,Construction
254,jobandtalent,Spain,Technology
255,Financial House,UK,Fintech
256,MyLead,Poland,Sales & Marketing
257,Mia-Platform,Italy,Technology
258,Tecnimed,Italy,Health
259,Longevity Partners,UK,Retail
260,NexumStp,Italy,Management Consulting
261,G-ON,France,Support Services
262,Picnic,UK,Advertising
263,Egomnia,Italy,Technology
264,LoyaltyLion,UK,Technology
265,reMarkable,Norway,Technology
266,Kubrick,UK,Management Consulting
267,Contrader,Italy,Technology
268,SAMONT,Germany,Industrial Goods
269,Sirive,Italy,Construction
270,Multienergia Verde,Spain,Energy
271,Wielandts UPMT,Belgium,Technology
272,ASKET,Sweden,Fashion
273,Central Warehouse Solution,Czech Republic,Transport
274,Chef in Camicia,Italy,Advertising
275,Piper Homes,UK,Construction
276,Alturas Cubiertas Y Fachadas,Spain,Construction
277,Autosalon Uhingen,Germany,Automobiles
278,Yumi Beauty,France,Chemicals & Pharmaceuticals
279,FOR ME LAB,France,Ecommerce
280,Stockholms Elbolag,Sweden,Energy
281,Flohr,Germany,Waste management & recycling
282,Agricodem,Italy,Agricultural Commodities
283,DACH Schutzbekleidung,Germany,Industrial Goods
284,EM-Tec Energiemontagen,Germany,Construction
285,Wave Studio,Romania,Technology
286,bazzar,Croatia,Retail
287,Cybersprint,The Netherlands,Cyber Security
288,Brandon Group,Italy,Ecommerce
289,Feiniko Handelsgesellschaft,Germany,Retail
290,PharmaGrin,Italy,Health
291,Life M,Czech Republic,Technology
292,PlÃ¡sticos DÃ£o / Sacos & Saquetas,Portugal,Industrial Goods
293,Logipal24,Germany,Transport
294,PastBook,The Netherlands,Technology
295,Bluefin,UK,Ecommerce
296,Milk & Honey PR,UK,Sales & Marketing
297,Prodeval,France,Energy
298,Virta,Finland,Technology
299,BizAway,Italy,Travel & Leisure
300,Karl & LÃ©on,France,Retail
301,Identity,UK,Management Consulting
302,BlackBelt Holding,Hungary,Technology
303,DYNVEO,France,Retail
304,Favi,Czech Republic,Ecommerce
305,Hopkins,Finland,Sales & Marketing
306,AP Italian Luxury,Italy,Fashion
307,Novicap,UK,Fintech
308,IGLM Store,Italy,Ecommerce
309,LUIS Technology,Germany,Technology
310,Quantexa,UK,Fintech
311,Enerbrain,Italy,Energy
312,Brinckmann,Germany,Construction
313,LMG Building,Italy,Construction
314,Nordic Unmanned,Norway,Aerospace & Defence
315,Hemisphere,France,Property
316,therapiezentrum.com NW,Germany,Health
317,Beauhurst,UK,Technology
318,C.U.N. Cargo Carriers,Romania,Transport
319,MG Project,Italy,Telecoms
320,BONMEA,Germany,Retail
321,Oceanis Yachts,Italy,Travel & Leisure
322,OPUS DB,France,Construction
323,Devensys Cybersecurity,France,Technology
324,Project Agora,Cyprus,Advertising
325,BETTERTRUST,Germany,Advertising
326,Banale,Italy,Ecommerce
327,Maatwerk Online,The Netherlands,Sales & Marketing
328,Les constructeurs du bois,France,Property
329,Esserre Pharma,Italy,Pharmaceuticals
330,OnBuy.com,UK,Ecommerce
331,Gojob,France,Support Services
332,Newroom,Germany,Retail
333,Christmas the Original,Italy,Retail
334,Dimaxbau,Germany,Construction
335,Comnovis IT,Germany,Technology
336,Die Direktkontakter,Germany,Support Services
337,Mega Trasporti,Italy,Transport
338,LeHibou,France,Technology
339,Stufe A Pellet Italia,Italy,Interiors
340,Aquis Exchange,UK,Financial Services
341,Chattermill,UK,Technology
342,SchÃ¶nerTel,Germany,Construction
343,Global Work,Italy,Telecoms
344,allygatr,Germany,Support Services
345,Cru Wine,UK,Food & Beverage
346,Abc Rent,Italy,Automobiles
347,Superior Wellness,UK,Personal & Household Goods
348,Schrott24,Austria,Waste management & recycling
349,Mazzoni Etech,Italy,Industrial Goods
350,Berdugo Immobilier,France,Property
351,Nova rent,Lithuania,Industrial Goods
352,Rouvy,Czech Republic,Games industry
353,Business Analysis & Legal Expertise - B.A.L.E.,Italy,Management Consulting
354,JMB,Poland,Energy
355,NOCNOC,France,Travel & Leisure
356,CrowdProperty,UK,Fintech
357,TutosâMe,France,Education
358,Studio Ekoâ,Italy,Management Consulting
359,Beings,UK,Technology
360,dmrgroupltd.com,Poland,Chemicals & Pharmaceuticals
361,Ice Telecommunications Ltd,UK,Telecoms
362,Gallas Group,Italy,Support Services
363,Etracom,Italy,Ecommerce
364,Xalient,UK,Technology
365,Labevolution,Italy,Health
366,Kuadra,Italy,Interiors
367,Kyo Electric,Spain,Telecoms
368,SoPost,UK,Technology
369,S.F.R.E.,Italy,Construction
370,Sportstech,Germany,Retail
371,OpÃ©ra Energie,France,Energy
372,RouteNote,UK,Technology
373,Doctify,UK,Health
374,Fruugo,UK,Ecommerce
375,Insidemarketing,Germany,Technology
376,Falzi,Italy,Waste management & recycling
377,Atrys Health,Spain,Health
378,Il Cantiere Costruzioni,Italy,Construction
379,Soorce,Germany,Support Services
380,Sortlist,Belgium,Technology
381,VirtusLab,Poland,Technology
382,SkalHuset.se,Sweden,Ecommerce
383,VIPINO,Germany,Retail
384,GEA Service,Italy,Waste management & recycling
385,Gellify,Italy,Technology
386,Billion Dollar Boy,UK,Advertising
387,Westrafo,Italy,Energy
388,Goboony,The Netherlands,Travel & Leisure
389,Multiservice Ambrosiana,Italy,Support Services
390,b&c systems,Germany,Construction
391,S&G Solar,Bulgaria,Energy
392,BITTNET,Romania,Management Consulting
393,Ibanfirst,Belgium,Fintech
394,UPLINK Network,Germany,Telecoms
395,BASE ORGANIC FOOD,France,Agricultural Commodities
396,CurrentBody,UK,Ecommerce
397,Apex Aero,UK,Aerospace & Defence
398,Startup Development House,Poland,Technology
399,Gruppo Gheron,Italy,Health
400,DyFlowing,Italy,Technology
401,Digital Masters,Germany,Advertising
402,Prusseit Auto-Outlet,Germany,Automobiles
403,Techouse,Norway,Energy
404,SVS,Italy,Construction
405,TelcoSwitch Group,UK,Telecoms
406,BOTHE-REIMANN Tortechnik,Germany,Construction
407,e-Pol / Personalizzalo,Italy,Ecommerce
408,Riluxa,Spain,Interiors
409,Modalis,France,Transport
410,OLYMPP,France,Technology
411,Zeck Fishing,Germany,Retail
412,StorPool Storage,Bulgaria,Technology
413,Vimcar,Germany,Technology
414,JOANNES DISTRIBUTION SAS,France,Retail
415,Sourcing Force,France,Technology
416,Schalttechnik Nord,Germany,Technology
417,DGC,Germany,Cyber Security
418,Superprof,France,Education
419,Improveasy,UK,Management Consulting
420,ViarÃ©no,France,Construction
421,CMT,Slovakia,Waste management & recycling
422,Rets,Poland,Property
423,MUBI,UK,Media
424,Dynamicom Education,Italy,Education
425,Touch4IT,Slovakia,Technology
426,TattaHome.com,Italy,Interiors
427,Speechmatics,UK,Technology
428,Samy Road,Spain,Advertising
429,Prometeo,Italy,Support Services
430,Dialectica,UK,Management Consulting
431,Wolf & Badger,UK,Ecommerce
432,Eco CO2,France,Support Services
433,LakÃ³gÃ©p Kft.,Hungary,Construction
434,Beyer Betonwaren,Germany,Construction
435,Fill Up MÃ©dia,France,Media
436,Zara Imballaggi Fabriano,Italy,Industrial Goods
437,CD Projekt,Poland,Games industry
438,VPACE Bikes,Germany,Retail
439,Tooltester,Spain,Sales & Marketing
440,Bunker Partner,Estonia,Energy
441,Tikamoon,France,Ecommerce
442,S.T.A.R. Digital,Croatia,Advertising
443,Funding Options,UK,Fintech
444,Isimed,Italy,Health
445,"Sonar, SonarQube, SonarCloud, SonarLint",Switzerland,Technology
446,Scherer,Germany,Support Services
447,Mycroclean Italia,Italy,Support Services
448,Piscor,Italy,Ecommerce
449,Marwincar,Italy,Automobiles
450,Brighton & Hove Albion Football Club,UK,Travel & Leisure
451,INPE Transport,Bulgaria,Transport
452,RTB House,Poland,Technology
453,Obiz,France,Media
454,VmWay,Italy,Technology
455,Legimi,Poland,Media
456,MSG Beauty,Germany,Retail
457,Leogra Trading,Germany,Retail
458,Benefind,Italy,Technology
459,AB Oil & Gas Service,Italy,Support Services
460,Mailtrack,Spain,Technology
461,Bumper,UK,Fintech
462,OTL - Online Trainer,Germany,Health
463,Macingo Technologies,Italy,Support Services
464,MYCS,Germany,Retail
465,Audience Serv,Germany,Advertising
466,Start,Italy,Telecoms
467,MvH Media,The Netherlands,Sales & Marketing
468,PURE GAMING,France,Ecommerce
469,Parcel Compare,UK,Transport
470,Ames Centro Polidiagnostico Strumentale,Italy,Health
471,Arcadia Italia,Italy,Energy
472,Zia Lucia,UK,Restaurants
473,Travaglini Costruzioni,Italy,Construction
474,Versa Design Zycle,Spain,Technology
475,MAUCHER CONSULT,Germany,Construction
476,Ayes,Italy,Technology
477,BrandUp Group,Italy,Advertising
478,Opyn,Italy,Financial Services
479,VAR Capital,UK,Financial Services
480,StoryTerrace,UK,Technology
481,Blubit,Slovenia,Technology
482,ZENâUP,France,Insurance
483,LÃ¶rcher Bauunternehmen,Germany,Construction
484,Barcode Architects,The Netherlands,Architecture
485,TOP CHALEUR,France,Retail
486,Seingim,Italy,Construction
487,Amphibian Scaffolding,UK,Construction
488,Beliani,Liechtenstein,Ecommerce
489,Hatstore,Sweden,Ecommerce
490,Carpenteria Martino,Italy,Construction
491,CapitalOnTap,UK,Fintech
492,Netguru,Poland,Technology
493,Fazio,Italy,Retail
494,GrillfÃ¼rst,Germany,Retail
495,Dealernet,Italy,Automobiles
496,Alpha Real Estate,Germany,Property
497,Appwise,Belgium,Technology
498,Convert Group,Greece,Technology
499,Revolution Race,Sweden,Ecommerce
500,GONG Galaxy,France,Retail
501,GDR Costruzioni,Italy,Construction
502,Emporio Elettrico,Italy,Ecommerce
503,Exscientia AI,UK,Technology
504,Featurespace,UK,Fintech
505,XL ENERGIES,France,Energy
506,Claveria,Spain,Support Services
507,Timberagents,Germany,Retail
508,fermeture econâhome,France,Construction
509,NRSE,Sweden,Management Consulting
510,SIMWERT,Germany,Telecoms
511,Flex Legal,UK,Law
512,Documaster,Norway,Technology
513,Immo-Team AllgÃ¤u,Germany,Construction
514,creditshelf,Germany,Financial Services
515,Blife,Italy,Food & Beverage
516,Nohup,Italy,Technology
517,Noctuai,Poland,Technology
518,Ares,Germany,Industrial Goods
519,Moonpig Group,UK,Ecommerce
520,Wealth Club,UK,Financial Services
521,FACTORY,France,Property
522,Beck Ingredients,Spain,Health
523,Mentors & Partners Group,Hungary,Management Consulting
524,SB Supply,The Netherlands,Ecommerce
525,Mediaboard,Czech Republic,Media
526,DW TRANS,France,Transport
527,NACELEXPERT,France,Industrial Goods
528,keylight,Germany,Technology
529,Technacy,Italy,Technology
530,Genoskin,France,Chemicals & Pharmaceuticals
531,Payment Assist,UK,Fintech
532,my Boo,Germany,Retail
533,84codes.com,Sweden,Technology
534,KLG LIQUIDA,Germany,Chemicals & Pharmaceuticals
535,Ignimission,France,Technology
536,Adamant BioNRG,Italy,Energy
537,Xplort,UK,Interiors
538,Bambridge Accountants,UK,Financial Services
539,G2Park,Slovakia,Property
540,Pelizzari Studio,Italy,Architecture
541,Postex,The Netherlands,Technology
542,Consorzio Stabile Ambientemilia,Italy,Waste management & recycling
543,Yocabeâ,Italy,Ecommerce
544,Chez Nestor,France,Property
545,Mint Italia,Italy,Transport
546,Sendcloud,The Netherlands,Ecommerce
547,Datakey Software Engineering,Italy,Technology
548,Metaminds,Romania,Cyber Security
549,Time Vision,Italy,Education
550,WerksrÃ¤der24,Germany,Automobiles
551,FOD Mobility Group,UK,Technology
552,Selferg,Italy,Energy
553,Poppri Fashion Auctions,Lithuania,Ecommerce
554,Vizion Network,UK,Automobiles
555,Beyond Law Group*,UK,Law
556,EDA Warehousing,Germany,Transport
557,BPV,Germany,Telecoms
558,Ultra Premium Direct,France,Agricultural Commodities
559,AFR-IX telecom,Spain,Telecoms
560,Blue energy,Poland,Cyber Security
561,CâJUSTE PARIS,France,Retail
562,SOS-accessoire,France,Ecommerce
563,Hannes KÃ¶nig,Germany,Construction
564,ZANATTA media group,Germany,Advertising
565,Wastepack,UK,Waste management & recycling
566,Radar Consulting Italia,Italy,Support Services
567,Agriconomie,France,Agricultural Commodities
568,AnyTech365,Spain,Technology
569,Cladspray Solutions,UK,Construction
570,iM Global Partner,France,Financial Services
571,Confinvest,Italy,Precious metals
572,Ethic Technology,France,Technology
573,Bomax,Italy,Telecoms
574,KK-Trade,Germany,Retail
575,Marsapet,Germany,Retail
576,Gruppo Tera,Italy,Ecommerce
577,CodicePlastico,Italy,Technology
578,Tremend,Romania,Technology
579,Doofinder,Spain,Technology
580,Hostinger,Lithuania,Technology
581,Catalyx,Switzerland,Sales & Marketing
582,Harness Code,Bulgaria,Sales & Marketing
583,Nanoprom Chemicals,Italy,Chemicals & Pharmaceuticals
584,Elite,Spain,Construction
585,AppUnite,Poland,Technology
586,Eskalia et Nakupenda,France,Retail
587,LGX Logistics,Germany,Transport
588,Polipop,Portugal,Industrial Goods
589,StampaSi,Italy,Ecommerce
590,CAM,Italy,Industrial Goods
591,Plug In Digital,France,Media
592,Predica,Poland,Technology
593,Ocean Transport,Spain,Transport
594,Serinus,UK,Energy
595,DEMV Deutscher Maklerverbund,Germany,Financial Services
596,STI Norland,Spain,Energy
597,HD Elektrotechnik,Germany,Technology
598,Engenie Group,Italy,Technology
599,Groupe N.A.T,France,Support Services
600,La Sarraz Pictures,Italy,Media
601,Smart-Planet,Germany,Retail
602,Sidea Group,Italy,Management Consulting
603,COUTEAUJAPONAIS.COM,France,Retail
604,PHYSIDIA,France,Health
605,Horando Deutschland,Germany,Retail
606,"Diablochairs, Jan Nowak",Poland,Ecommerce
607,Parkster,Sweden,Technology
608,BIOTYFULL,France,Ecommerce
609,Bioksan,Spain,Food & Beverage
610,Trippel,Norway,Support Services
611,Yourparkingspace Limited,UK,Technology
612,Carslift,France,Automobiles
613,Zimmerei Nordmann,Germany,Construction
614,SI Silicone Innovation,Germany,Industrial Goods
615,A.U.E. Genc Warenhandels-UG,Germany,Retail
616,MGvision,Italy,Advertising
617,New General Service,Italy,Support Services
618,ANDRE RENOVATION,France,Construction
619,M.D.G. Components Unipersonale,Italy,Industrial Goods
620,Amco-Bulgaria,Bulgaria,Retail
621,Symprove,UK,Personal & Household Goods
622,Tecknuovo,UK,Technology
623,Platform.sh,France,Technology
624,ISG Express Logistik,Germany,Transport
625,Manelli Impresa,Italy,Construction
626,SA FormaÃ§Ã£o,Portugal,Education
627,SM SektManufaktur,Germany,Industrial Goods
628,Beauty Consult Deutschland,Germany,Health
629,Finauto,Italy,Automobiles
630,AuCOFFRE.com,France,Financial Services
631,Divido,UK,Fintech
632,R&K Ingenieure,Germany,Construction
633,Nephos Technologies,UK,Technology
634,La Vida,UK,Support Services
635,Midstream Lighting,UK,Technology
636,PROPULSE IT,France,Technology
637,Additius Santa Maria,Spain,Agricultural Commodities
638,CONEXIO TELECOM,France,Telecoms
639,Tripin,Germany,Retail
640,Continental Wood Kft.,Hungary,Industrial Goods
641,GeoTeam,Italy,Energy
642,Leascorp,France,Financial Services
643,Positive Healthcare,UK,Management Consulting
644,Ralph Schmolke,Germany,Retail
645,Roomie Milano,Italy,Property
646,Trencadis Corp,Romania,Technology
647,WORTEKS,France,Technology
648,REMOVE,France,Construction
649,Citadelo,Czech Republic,Cyber Security
650,Grill Autoservice,Germany,Automobiles
651,Inbrooll,Spain,Industrial Goods
652,Cross,Germany,Retail
653,B1gas S.p.A,Italy,Energy
654,Filva,Italy,Construction
655,Archingest,Italy,Construction
656,Alpha FX Group,UK,Financial Services
657,lemonads,Switzerland,Advertising
658,Signicat,Norway,Technology
659,Alfred DÃ¶pker,Germany,Construction
660,Bavaria-Ei,Germany,Retail
661,Oxylabs.io,Lithuania,Technology
662,A.S.H. Automobile,Germany,Automobiles
663,Vascular,Hungary,Health
664,ANDJARO,France,Support Services
665,RÃ¶hrtaler Wertstoff,Germany,Waste management & recycling
666,Autel Karnetic,UK,Technology
667,Discoup.com,Italy,Advertising
668,Hellas Direct,Cyprus,Insurance
669,HERRLES,Germany,Automobiles
670,Investmentpunk Academy,Austria,Education
671,Born Stahlbau,Germany,Industrial Goods
672,RETTEL Projektbau,Germany,Construction
673,Suntronic,Italy,Energy
674,TMT,Italy,Industrial Goods
675,Gedankenburg,Germany,Advertising
676,SVOP Special Vehicle Operation,Sweden,Automobiles
677,Glenholme Healthcare Group,UK,Health
678,AUDENSIEL,France,Technology
679,Ivnosys,Spain,Technology
680,Mulconsa,Spain,Construction
681,50NRTH,Germany,Retail
682,Delecto,Croatia,Retail
683,Mardruk Opakowania,Poland,Industrial Goods
684,MANANG,France,Construction
685,bestbion dx,Germany,Health
686,Avamore Capital,UK,Financial Services
687,Solaris and more,Germany,Energy
688,Clearcycle,UK,Retail
689,Opteamis,France,Support Services
690,Codenor,Spain,Construction
691,HAPPYBULLE,France,Ecommerce
692,Aurora Energy Research,UK,Energy
693,Bacci,Spain,Fashion
694,Emilia Foods,Italy,Food & Beverage
695,T.E.A.M. - Ti educa a migliorare,Italy,Health
696,Brainhub,Poland,Technology
697,Assitech,Italy,Construction
698,Schott Packaging,UK,Ecommerce
699,Alba,Italy,Energy
700,FinTrU,UK,Financial Services
701,Global Edilizia,Italy,Construction
702,TPXimpact,UK,Management Consulting
703,LGS SportLab,Italy,Advertising
704,Weiser Brandschutz & Technik,Germany,Construction
705,Fairfax and Favor,UK,Fashion
706,FAO Consulting,France,Technology
707,Gruppo Del Barba Consulting,Italy,Financial Services
708,Exclaimer,UK,Technology
709,Join Business Management Consulting,Italy,Management Consulting
710,Vennes,Germany,Construction
711,Piggy,The Netherlands,Technology
712,Epassi,Finland,Fintech
713,Atheneum Partners,Germany,Technology
714,Pharmacy2U,UK,Technology
715,PHOENIX DEVELOPPEMENT,France,Support Services
716,Wiwie Transport,Germany,Transport
717,Mevas Auto Center,Romania,Automobiles
718,BK Beachhouse Mode,Germany,Retail
719,F.lli Urso,Italy,Construction
720,GoHenry,UK,Financial Services
721,Adrilog,Italy,Transport
722,Attachment,UK,Advertising
723,PARIS HERBES,France,Agricultural Commodities
724,Interlog Logistic,France,Transport
725,Conglomerati Bituminosi,Italy,Construction
726,Nikkel Art,Belgium,Ecommerce
727,Esyen,Italy,Technology
728,Sav-eco Packaging Ltd,UK,Industrial Goods
729,Elmar Mair Tiefbau,Germany,Construction
730,ATLAS Innovative Engineering,Spain,Energy
731,SECURE-IC,France,Technology
732,DATALYO,France,Technology
733,Signify Technology,UK,Management Consulting
734,BOXT,UK,Ecommerce
735,James and James Fulfilment,UK,Ecommerce
