,company_ceo,company_name,company_employees
4576,,China Grand Automotive Services Group,"50,490"
4577,,Shenzhen Mtc,"13,424"
4578,,Tohoku Electric Power Company,"25,032"
4579,,"Jinko Power Technology Co.,ltd.",
4580,,Bnp Paribas Bank Polska S.a.,
4581,,Allreal Holding Ag,
4582,,Kb Home,"2,244"
4583,,"Lifestance Health Group, Inc.","4,790"
4584,,"Meihua Holdings Group Co.,ltd","11,644"
4585,,Kyushu Electric Power Company,"20,968"
4586,,Air Water,"18,211"
4587,,Sagen Mi Canada,
4588,,Grand Canyon Education,"4,625"
4589,,Orion Corp.,"3,343"
4590,,Wolong Electric Drive Group,"14,470"
4591,,China Traditional Chinese Medicine Holdings,"17,796"
4592,,California Resources Corporation,970
4593,,Zhejiang Crystal-optech,"6,134"
4594,,Kinsus Interconnect Technology,"5,779"
4595,,Zhen Ding Technology Holding,
4596,,"Advanced Energy Industries, Inc.","10,000"
4597,,Gcl System Integration Technology,"1,317"
4598,,Flywire Corp,473
4599,,Ballard Power Systems,703
4600,,Qt Group Oyj,
4601,,Neogenomics,"2,000"
4602,,Glarun Technology,"1,343"
4603,,Comfort Systems Usa,"13,200"
4604,,"Wuxi Nce Power Co., Ltd.",219
4605,,Group 1 Automotive,"13,711"
4606,,Hangjin Technology,"4,327"
4607,,Evertec,"2,500"
4608,,Ssr Mining,"2,345"
4609,,Jinduicheng Molybdenum,"5,216"
4610,,Woolworths Holdings,"210,067"
4611,,E-mart,"25,214"
4612,,Kinaxis,986
4613,,Chinasoft International,
4614,,Cgn New Energy Holdings,
4615,,Nexteer Automotive Group,"11,900"
4616,,Tradegate Ag Wertpapierhandelsbank,
4617,,Dana,"40,200"
4618,,Nine Entertainment Co. Holdings,
4619,,Viasat,"5,800"
4620,,Chengdu Santai Holding Group,
4621,,Rothschild & Co Sca,"3,500"
4622,,Verint Systems,"4,300"
4623,,Himile Mechanical Science And Technology (shandong) Co. Ltd,"12,890"
4624,,Jeol,"3,029"
4625,,Spire,"3,710"
4626,,East Group,75
4627,,Essential Properties Realty Trust,37
4628,,Haseko Corporation,"7,315"
4629,,Xinyangfeng Agricultural Technology,
4630,,"Qingdao Sentury Tire Co., Ltd.",
4631,,Qingdao Rural Commercial Bank Corporation,"5,198"
4632,,Brf,"101,002"
4633,,Carabao Group Public Company,
4634,,Barwa Real Estate Company,
4635,,Quilter,"4,325"
4636,,Xi'an Triangle Defense,
4637,,Hypoport Ag,"2,049"
4638,,Henan Shenhuo Coal & Power,"26,286"
4639,,Pierer Mobility Ag,"4,586"
4640,,Guangdong Hongda Blasting,"4,836"
4641,,Zhejiang Semir Garment,"3,677"
4642,,Csg Holding,"4,800"
4643,,Amtrust Financial Services,"5,329"
4644,,"Hygeia Healthcare Holdings Co., Limited","2,989"
4645,,Compass Inc,"478,070"
4646,,Pt Bukalapak.com Tbk,
4647,,"Engagesmart, Inc.",690
4648,,Dorman Products,"2,370"
4649,,Internet Initiative Japan,"3,805"
4650,,Britvic,"4,460"
4651,,Q-linea Ab (publ),200
4652,,Ffp Societe Anonyme,
4653,,Mueller Industries,"5,337"
4654,,Mivne Real Estate (k.d) Ltd,
4655,,Shenzhen Everwin Precision Technology,"24,298"
4656,,Yantai Changyu Pioneer Wine Company,
4657,,Freenet Ag,"4,004"
4658,,"Zhejiang Publishing & Media Co., Ltd.",
4659,,Tianjin Faw Xiali Automobile,
4660,,Ruchi Soya Industries Limited,
4661,,Infore Environment Technology Group,
4662,,Jiangsu Guotai International Group,
4663,,Avon Products,
4664,,Jiangsu Jiejie Microelectronics,"1,279"
4665,,China Resources Pharmaceutical Group,"66,000"
4666,,Pt Mayora Indah Tbk,"12,416"
4667,,Oc Oerlikon Corporation Ag,
4668,,Galapagos Nv,"1,319"
4669,,Fancl Corporation,"1,055"
4670,,Telesites,242
4671,,Welbilt,"4,800"
4672,,Site Centers,361
4673,,Syngene International,"6,148"
4674,,"Ssangyong C&e Co., Ltd.",
4675,,Parsons Corporation,"15,500"
4676,,Twist Bioscience Corporation,652
4677,,Suofeiya Home Collection,"13,602"
4678,,Zhejiang Shuanghuan Driveline,
4679,,Owens & Minor,"6,900"
4680,,Gcl Energy Technology,"7,657"
4681,,Turkiye Petrol Rafinerileri,"5,934"
4682,,Dialog Group Berhad,"2,900"
4683,,Bloom Energy Corporation,"1,719"
4684,,Hitachi Capital Corporation,"5,643"
4685,,Bahri National Shipping Company Of Saudi Arabia,
4686,,"Chengdu Kanghua Biological Products Co., Ltd.","2,900"
4687,,Escorts,"10,000"
4688,,Sprouts Farmers Market,"31,000"
4689,,"Paymentus Holdings, Inc.","1,116"
4690,,Prospect Capital Corporation,95
4691,,Kennedy-wilson Holdings,220
4692,,Associated Banc-corp,"4,000"
4693,,Cargotec Corporation,"11,552"
4694,,Giga-byte Technology,
4695,,Aditya Birla Fashion And Retail,"25,000"
4696,,Gett,964
4697,,Xi'an Shaangu Power,"3,154"
4698,,China Overseas Property Holdings,"42,710"
4699,,Corvel Corporation,"3,681"
4700,,Inficon Holding Ag,
4701,,Anhui Anke Biotechnology (group),
4702,,Krones Ag,
4703,,Pt Sumber Alfaria Trijaya Tbk,"121,953"
4704,,Companhia De Gas De Sao Paulo - Comgas,
4705,,"Guangdong Lyric Robot Automation Co., Ltd.",
4706,,Fluor Corporation,"40,582"
4707,,Guangxi Fortune Technology,
4708,,"Hovnanian Enterprises, Inc. Pfd Dep1/1000a",
4709,,Beijing Vantone Real Estate,
4710,,Canopy Growth Corporation,"4,434"
4711,,Beijing Jingyuntong Technology,"2,944"
4712,,Sambanova Systems,50
4713,,Skydance Media,288
4714,,Onetrust,"2,289"
4715,,Cohesity,"2,056"
4716,,Celonis,"1,081"
4717,,Bird Rides,600
4718,,Aurora,"1,761"
4719,,Virtu Financial,973
4720,,Brink's Company,"2,900"
4721,,Vizio Holding Corp.,
4722,,Merit Medical Systems,"6,446"
4723,,Lithium Americas Corp.,230
4724,,"Xinxing Ductile Iron Pipes Co., Ltd.","15,837"
4725,,Gaztransport & Technigaz Sa,553
4726,,Onesavings Bank,"1,828"
4727,,"Instructure Holdings, Inc.","1,283"
4728,,Beijing E-hualu Information Technology,
4729,,Sunpower Corporation,"2,200"
4730,,Hays,"11,377"
4731,,"Bengang Steel Plates Co., Ltd.","16,745"
4732,,Abcellera Biologics Inc.,174
4733,,Shapir Engineering And Industry Ltd,"1,699"
4734,,Offshore Oil Engineering,
4735,,Fiberhome Telecommunication Technologies,"15,986"
4736,,Ligao Foods Co.ltd,
4737,,Apollo Medical Holdings,
4738,,Texas Capital Bancshares,"1,751"
4739,,Bombardier,"60,000"
4740,,Icici Securities Limited,
4741,,Growthpoint Properties,
4742,,Boyd Group Services,"8,956"
4743,,Korian,
4744,,Guangyuyuan Chinese Herbal Medicine,
4745,,Makkah Construction & Development Company,
4746,,Weingarten Realty Investors,239
4747,,Cabot Corporation,"4,500"
4748,,Mediclinic International,"33,140"
4749,,Boyd Group Services Inc.,
4750,,Nifco,
4751,,Enersys,"11,400"
4752,,Altra Industrial Motion,"9,600"
4753,,Wihlborgs Fastigheter Ab (publ),236
4754,,Mavi Giyim Sanayi Ve Ticaret,
4755,,Tanla Platforms Limited,
4756,,Tanla Solutions,117
4757,,Methanex Corporation,"1,500"
4758,,Formfactor,"2,293"
4759,,Basic-fit,"5,110"
4760,,Cogent Communications Holdings,"1,001"
4761,,"Newegg Commerce, Inc.",
4762,,Cint Group Ab (publ),299
4763,,Audentes Therapeutics,250
4764,,Electric Connector Technology,
4765,,Alony-hetz Properties & Investments Ltd,
4766,,Guangzhou Port Company,"8,808"
4767,,Independent Bank Group,"1,543"
4768,,Kuka,"13,676"
4769,,Wd-40 Company,495
4770,,General Insurance Corporation Of India,567
4771,,Multichoice Group,"7,028"
4772,,Varun Beverages,"11,000"
4773,,Redrow,"2,368"
4774,,Rohto Pharmaceutical,"188,327"
4775,,Haisco Pharmaceutical Group,
4776,,Beijing Jingneng Power,"2,817"
4777,,Elite Material,
4778,,Frasers Property,"4,960"
4779,,Foxconn Technology,
4780,,Turkiye Sise Ve Cam Fabrikalari,"21,475"
4781,,Hyundai Heavy Industries Holdings,39
4782,,Hengten Networks Group Limited,
4783,,Adaptive Biotechnologies Corporation,858
4784,,Piper Sandler Companies,"1,665"
4785,,Jiangsu Phoenix Publishing & Media Corporation,"7,228"
4786,,Jilin Aodong Pharmaceutical Group,
4787,,Masonite International Corporation,"10,300"
4788,,Arqule,"68,000"
4789,,Corporate Office Properties Trust,394
4790,,Hanjin Kal,
4791,,Baic Motor Corporation,"120,000"
4792,,Cimc Vehicle (group),
4793,,China Aerospace Times Electronics,"15,497"
4794,,Zhengzhou Coal Mining Machinery Group Company,"17,415"
4795,,Sprott Physical Silver Trust,
4796,,Sabra Health Care Reit,34
4797,,Konecranes,
4798,,Mr Price Group,
4799,,Double Medical Technology,
4800,,China Communications Services Corporation,"90,003"
4801,,Promotora Y Operadora De Infraestructura S. A. B. De C. V,
4802,,Durr,
4803,,Fonterra Co-operative Group,"20,000"
4804,,Tibet Urban Development And Investment,
4805,,Sulzer Ltd,"15,054"
4806,,"Coursera, Inc.","1,138"
4807,,Kingsoft Cloud,
4808,,Acer,"7,054"
4809,,Luenmei Quantum,"3,146"
4810,,Pt Indah Kiat Pulp & Paper Tbk,"12,000"
4811,,Fromageries Bel Sa,
4812,,Bure Equity Ab (publ),350
4813,,Lgi Homes,857
4814,,Rubis,
4815,,Mitsui High-tec,"3,970"
4816,,First Bancorp.,"3,075"
4817,,Old National Bancorp,"2,374"
4818,,Technopro Holdings,"22,708"
4819,,Cpfl Energias Renovaveis,
4820,,Ramco Cements,"3,327"
4821,,Aircastle,
4822,,Forbo Holding Ag,"5,317"
4823,,Ninety One,
4824,,"Eyebright Medical Technology (beijing) Co., Ltd.",
4825,,Softwareone Holding Ag,
4826,,"Shandong Dongyue Organosilicon Materials Co., Ltd.",852
4827,,Pt Multistrada Arah Sarana Tbk,"2,921"
4828,,Rajesh Exports,377
4829,,Phison Electronics,
4830,,Cobank Acb,"1,115"
4831,,Equity Commonwealth,25
4832,,Shaftesbury,
4833,,Estun Automation Co. Ltd,"2,507"
4834,,Drax Group,"3,015"
4835,,Dian Diagnostics Group,"9,300"
4836,,Hubei Dinglong,"3,010"
4837,,Inventec Corporation,
4838,,Pt Indoritel Makmur Internasional,143
4839,,Tri-continental Corporation Pfd $2.50,
4840,,Kadokawa Corporation,"4,546"
4841,,Bata India,"9,762"
4842,,Guangdong Janus Intelligent Group Corporation,
4843,,Premier Investments,
4844,,Sats,"17,155"
4845,,Allegiant Travel Company,"4,733"
4846,,Hysan Development Company,467
4847,,Miniso Group Holding Ltd,"3,011"
4848,,Zip Co Limited,
4849,,Toshiba Plant Systems & Services Corporation,"4,182"
4850,,Guangzhou Zhujiang Brewery Co. Ltd,"4,562"
4851,,Cracker Barrel Old Country Store,"70,000"
4852,,Aeon Mall,
4853,,Japan Prime Realty Investment Corporation,
4854,,Kawasaki Heavy Industries,"18,195"
4855,,Virgin Galactic Holdings,804
4856,,Shenzhen Topband,"6,229"
4857,,"Opko Health, Inc.","5,767"
4858,,Visteon Corporation,"10,000"
4859,,Nuvoco Vistas Corporation Limited,
4860,,"Marssenger Kitchenware Co., Ltd.","1,895"
4861,,Dajin Heavy Industry Corporation,
4862,,Mercury Systems,"2,384"
4863,,Endurance Technologies,"5,000"
4864,,Samsung Securities,
4865,,China Merchants Property Operation And Service,
4866,,Intercorp Financial Services,"6,856"
4867,,Chroma Ate,"1,754"
4868,,Northeast Securities,
4869,,First Capital Real Estate,369
4870,,Qurate Retail,"26,659"
4871,,Eaton Vance Tax-managed Global Diversified Equity Income Fund,
4872,,Northwestern Corporation,"1,483"
4873,,Sudzucker Ag,"20,129"
4874,,"Shanghai Hiuv New Materials Co.,ltd",
4875,,Nuode Investment,"1,650"
4876,,Shandong Iron And Steel Company Ltd.,"21,398"
4877,,Topicus.com Inc.,
4878,Chris Blunt,Fgl Holdings,
4879,,Seaspan Corporation,"4,800"
4880,,Challenger Limited,735
4881,,"Life Time Group Holdings, Inc.",
4882,,Callon Petroleum Company,322
4883,,Sichuan Teway Food Group,
4884,,Taubman Centers,420
4885,,Phoenix Holdings Ltd,"1,249"
4886,,Hyundai Autoever Corporation,
4887,,Tsinghua Tongfang,"12,556"
4888,,"Wuxi Autowell Technology Co.,ltd.",
4889,,Oriental Energy,
4890,,I-mab,228
4891,,Terex Corporation,"8,600"
4892,,Turkcell Iletisim Hizmetleri,
4893,,Rush Enterprises,"7,166"
4894,,Silicon Motion Technology Corporation,"1,237"
4895,,Thk,"3,891"
4896,,Amicus Therapeutics,496
4897,,Sumitomo Heavy Industries,"23,635"
4898,,Walsin Lihwa Corporation,
4899,,Kyushu Railway Company,"17,450"
4900,,Cnhtc Jinan Truck,"6,957"
4901,,Livongo Health,
4902,,Sunresin New Materials,952
4903,,Wanxiang Qianchao,"8,245"
4904,,Sngn Romgaz Sa,
4905,,Suntec Real Estate Investment Trust,
4906,,Thai Oil Public Company,
4907,,Jtekt Corporation,"49,933"
4908,,Iluka Resources,
4909,,Bumrungrad Hospital Public Company,
4910,,Milkyway Chemical Supply Chain Service Co. Ltd,"2,661"
4911,,Energisa Mato Grosso - Distribuidora De Energia S/a,"3,136"
4912,,Intrum Ab (publ),
4913,,Neoenergia S.a.,
4914,,Extended Stay America,"8,100"
4915,,New Oriental Education & Technology Group,
4916,,Dongyue Group Limited,
4917,,Inter Parfums,467
4918,,Bright Dairy & Food,"11,856"
4919,,Shandongdenghai Seeds,723
4920,,Laobaixing Pharmacy Chain Joint Stock Company,
4921,,Mianyang Fulin Precision Machining,"2,631"
4922,,Bim Birlesik Magazalar,"60,663"
4923,,C3.ai,628
4924,,Harbourvest Global Private Equity Limited,
4925,,Helios Technologies,"2,000"
4926,,Valiant,131
4927,,Shanghai Flyco Electrical Appliance,"2,996"
4928,,Tata Chemicals,"4,600"
4929,,"Zentalis Pharmaceuticals, Inc.",62
4930,,Ninety One Group,
4931,,John Wiley & Sons,"7,400"
4932,,Gs Engineering & Construction Corporation,"6,672"
4933,,Pt Vale Indonesia Tbk,"3,006"
4934,,Sekisui House Reit,
4935,,Frontdoor,"2,190"
4936,,Ollie's Bargain Outlet Holdings,"9,800"
4937,,Hubei Feilihua Quartz Glass,
4938,,Cofco Tunhe Sugar Co. Ltd,
4939,,Mr. Cooper Group,"8,200"
4940,,Risesun Real Estate Development,"24,054"
4941,,Playtech,
4942,,Elion Energy Company,"3,963"
4943,,North China Pharmaceutical Company. Ltd,
4944,,Tofas Turk Otomobil Fabrikasi,"6,482"
4945,,Cofco Biotechnology,"9,565"
4946,,Empire State Realty Op,693
4947,,Wpg Holdings,"5,000"
4948,,Immofinanz Ag,325
4949,,Cno Financial Group,"3,350"
4950,,Korea Investment Holdings,51
4951,,Southern Shuanglin Bio-pharmacy,902
4952,,Embraer,"18,125"
4953,,Calbee,"3,860"
4954,,Nh Investment & Securities,
4955,,Gs Holdings,31
4956,,Vinda International Holdings,"11,679"
4957,,Rws Holdings,
4958,,Chongqing Iron & Steel Company Limited,"6,601"
4959,,Whirlpool Of India,"1,883"
4960,,Chow Tai Seng Jewellery,"3,068"
4961,,Pebblebrook Hotel Trust,58
4962,,Grainger,"23,100"
4963,,Mercury General Corporation,"4,300"
4964,,Liveramp Holdings,"1,200"
4965,,360 Finance,"1,643"
4966,,Weber Inc.,
4967,,National Bank Of Greece,"9,107"
4968,,Ta Chen Stainless Pipe,
4969,,Graham Holdings Company,"6,100"
4970,,Atlantic Union Bankshares Corporation,"1,609"
4971,,Canfor Corporation,"7,111"
4972,,Oil India,"33,498"
4973,,Graftech International,"1,353"
4974,,Ct Real Estate Investment Trust,39
4975,,Ihi Corporation,"28,964"
4976,,White Mountains Insurance Group,"1,648"
4977,,Vimian Group Ab (publ),
4978,,Meg Energy,
4979,,Fibocom Wireless,
4980,,Red Rock Resorts,"14,000"
4981,,Ningbo Xusheng Auto Technology,"1,862"
4982,,Cvb Financial,585
4983,,Turquoise Hill Resources Ltd.,
4984,,Arb Corporation,
4985,,Beijing Bdstar Navigation,"5,030"
4986,,Vishay Intertechnology,"22,800"
4987,,Air France-klm Sa,"82,132"
4988,,Breville Group,
4989,,Cteep - Companhia De Transmissao De Energia Eletrica Paulista,
4990,,Kennametal,"8,635"
4991,,Southern California Gas Company Pfd Ser A 6%,
4992,,Pets At Home Group,
4993,,Allwinnertech Technology,630
4994,,Casio Computer,"11,193"
4995,,Sundrug,"5,241"
4996,,Countryside Properties,
4997,,Cerence,"1,700"
4998,,Rent-a-center,"14,500"
4999,,Alpargatas,
5000,,Pingdingshan Tianan Coal. Mining,
5001,,Vats Liquor Chain Store Management Joint Stock,
5002,,Forward Air Corporation,"4,362"
5003,,Cnx Resources Corporation,441
5004,,St. Joe Company,55
5005,,Jm Ab (publ),
5006,,Guangzhou Wondfo Biotech,"2,926"
5007,,Main Street Capital Corporation,58
5008,,Sichuan Shuangma Cement Co. Ltd,382
5009,,Technipfmc,"37,966"
5010,,Yingkou Port Liability,
5011,,Tokyo Tatemono,"5,396"
5012,,Kuraray,"7,550"
5013,,Hemfosa Fastigheter Ab (publ),
5014,,Meitetsu Nagoya Railroad,"29,576"
5015,,Kinden Corporation,"7,645"
5016,,Duratex,
5017,,Greentown Service Group,
5018,,Arjo Ab (publ),
5019,,Itm Power,190
5020,,Werner Enterprises,"9,988"
5021,,China Wafer Level Csp,
5022,,Land And Houses Public Company,
5023,,Ahlstrom-munksjo Oyj,
5024,,Ultra Electronics Holdings,"4,500"
5025,,Alabama Power Company,
5026,,Emami,"25,000"
5027,,Jiangsu Pacific Quartz Co. Ltd,"1,115"
5028,,Mips Ab (publ),
5029,,Uniti Group,250
5030,,Tianjin Zhong Xin Pharmaceutical Group Corporation,
5031,,Sistema Public Joint Stock Financial Corporation,
5032,,Artisan Partners Asset Management,425
5033,,Zhejiang Xinan Chemical Industrial Group,"5,766"
5034,,51job,"8,650"
5035,,Hisense Home Appliances Group,
5036,,Jizhong Energy Resources,"38,063"
5037,,Sina Corporation,
5038,,"Hongda Xingye Co., Ltd.","5,382"
5039,,The Schiehallion Fund Limited,
5040,,Nichirei Corporation,"15,824"
5041,,National Standard (india),
5042,,Cannae Holdings,"22,482"
5043,,Nyfosa Ab (publ),67
5044,,Bper Banca,"13,550"
5045,,Lasalle Logiport Reit,850
5046,,Credit Bank Of Moscow (public Joint-stock Company),"9,000"
5047,,Coromandel International,"4,894"
5048,,"Frontier Group Holdings, Inc.","4,974"
5049,,Synthorx,
5050,,Tilray,"1,030"
5051,,Alpha Bank,"10,528"
5052,,Insmed,613
5053,,Shimamura,"3,110"
5054,,Worldwide Healthcare Trust,333
5055,,Rosseti,
5056,,New India Assurance Company,"17,330"
5057,,Conzzeta Ag,
5058,,Hypera,"7,500"
5059,,Tuya Inc.,"2,258"
5060,,"Grupo Sanborns, S.a.b. De C.v.","42,187"
5061,,Bank Of Xi'an,
5062,,"Leader Harmonious Drive Systems Co., Ltd.",
5063,,Db Insurance,"4,691"
5064,,Kewpie Corporation,"16,003"
5065,,Port Of Tauranga,238
5066,,B.grimm Power Public Company,
5067,,Commvault Systems,"2,848"
5068,,Pfizer India,"2,489"
5069,,Shanghai Aerospace Automobile Electromechanical,"2,490"
5070,,Avista Corporation,"1,809"
5071,,H&r Real Estate Investment Trust,728
5072,,Thermax,"3,601"
5073,,Inner Mongolia First Machinery Group,
5074,,Jinyu Bio-technology,
5075,,Swissquote Group Holding Ltd,
5076,,Jiangsu Akcome Science And Technology,"1,610"
5077,,"E2open Parent Holdings, Inc.","2,436"
5078,,Shenzhen Fastprint Circuit Tech,"6,218"
5079,,Frasers Logistics & Industrial Trust,
5080,,Hembla Ab (publ),
5081,,Opko Health,"5,767"
5082,,Befesa,"1,137"
5083,,Keppel Reit,
5084,,Wisconsin Electric Power Company Pfd 3.60%,
5085,,Keshun Waterproof Technology,"3,378"
5086,,J & J Snack Foods,"4,300"
5087,,Nolato Ab (publ),
5088,,Zenkoku Hosho,
5089,,Champion Real Estate Investment Trust,
5090,,Lee And Man Paper Manufacturing,"8,500"
5091,,"Arctech Solar Holding Co., Ltd.","1,009"
5092,,Pt Berkah Beton Sadaya Tbk,
5093,,Metcash,
5094,,Prestige Consumer Healthcare,505
5095,,Lem Holding Sa,
5096,,Cofco Capital Holdings,
5097,,Chengzhi Shareholding,"4,469"
5098,,Mantech International Corporation,"9,800"
5099,,Ansell,"13,513"
5100,,Sabre Corporation,"7,583"
5101,,Outokumpu Oyj,"9,915"
5102,,Citic Heavy Industries,
5103,,Horten Ag,
5104,,Af Poyry Ab (publ),"17,000"
5105,,Devyani International Limited,
5106,,Rambus,690
5107,,Argan Sa,
5108,,Dfds A/s,"8,213"
5109,,Osotspa Public Company,
5110,,Dar Al Arkan Real Estate Development Company,
5111,,Aptus Value Housing Finance India Limited,
5112,,Irhythm Technologies,"1,700"
5113,,Triumph Bancorp,"1,251"
5114,,Shenzhen Expressway Company,
5115,,Dream Industrial Real Estate Investment Trust,
5116,,Xiamen Kingdomway Group Company,"2,003"
5117,,Zhongshan Broad-ocean Motor,
5118,,Helmerich & Payne,"5,444"
5119,,Sinomine Resource Group,"1,081"
5120,,Veon,"46,492"
5121,,Wemakeprice,363
5122,,Wistron Corporation,"80,000"
5123,,Osterreichische Post Ag,
5124,,Tan Chong International,"5,868"
5125,,Investec Bank,
5126,,Keppel Dc Reit,
5127,,Public Joint Stock Oil Company Bashneft,
5128,,Quakesafe Technologies,523
5129,,African Rainbow Minerals,"13,220"
5130,,Aavas Financiers Limited,
5131,,Sino Wealth Electronic,361
5132,,Integral Ad Science Holding Corp.,651
5133,,Compania Cervecerias Unidas,"9,051"
5134,,Energisa,
5135,,Asos,"3,824"
5136,,Royal Bafokeng Platinum,
5137,,Valaris,"4,500"
5138,,Xiamen Xiangyu,"5,799"
5139,,Simcere Pharmaceutical Group Limited,
5140,,Lao Feng Xiang,"2,349"
5141,,Jiangsu Nata Opto-electronic Material,
5142,,Pt Semen Indonesia (persero) Tbk,"7,769"
5143,,Sany Heavy Equipment International Holdings Company,
5144,,Nantong Jianghai Capacitor,
5145,,Transalta Corporation,"1,476"
5146,,Gestamp Automocion,
5147,,China Railway Hi-tech Industry Corporation,
5148,,Covivio Hotels Societe Anonyme,
5149,,Summit Industrial Income Reit,
5150,,Bayer Cropscience,"1,230"
5151,,Indian Hotels Company,"33,797"
5152,,Shikun & Binui,
5153,,Linde India,654
5154,,Cytokinetics,253
5155,,Toyoda Gosei,"39,403"
5156,,Agl Energy,"3,980"
5157,,Petro Rio,
5158,,Sesa,
5159,,"Bank Of Jinzhou Co., Ltd.","6,037"
5160,,Kingclean Electric Co.ltd,"7,622"
5161,,Jingjin Environmental Protection,
5162,,Caledonia Investments,
5163,,China Enterprise Company,
5164,,America Great Health,
5165,,Bystronic Ag,
5166,,Daiwa Office Investment Corporation,
5167,,Amorepacific Group,"13,257"
5168,,Pt Bank Harda Internasional Tbk,
5169,,China Datang Corporation Renewable Power,
5170,,Zhongyu Gas Holdings,"4,497"
5171,,Arabian Centres Company,
5172,,Close Brothers Group,"3,000"
5173,,Viscofan,"4,609"
5174,,Nippon Life India Asset Management,"1,043"
5175,,Seibu Holdings,"23,504"
5176,,"Akeso, Inc.",
5177,,Daqo New Energy,
5178,,Kce Electronics Public Company,
5179,,Sunac Services Holdings Limited,"27,909"
5180,,Adama,
5181,,Hufvudstaden Ab (publ),
5182,,Qianhe Condiment And Food,
5183,,Donlinks International Investment,
5184,,Boya Bio-pharmaceutical Group,
5185,,Fulton Financial Corporation,"3,200"
5186,,Hilltop Holdings,"4,900"
5187,,Beijing Capital International Airport Company,"1,556"
5188,,Calamos Strategic Total Return Fund,
5189,,Guangdong Shunkong Development Co. Ltd.,
5190,,Aimmune Therapeutics,
5191,,Itron,"6,065"
5192,Xia Haijun,China Evergrande Group,"133,000"
5193,,Zhejiang Jinke Culture Industry,925
5194,,Eoptolink Technology,"1,791"
5195,,"Krispy Kreme, Inc.","21,500"
5196,,Ebro Foods,
5197,,Adapthealth,"10,700"
5198,,Mitsui Fudosan Logistics Park,
5199,,1life Healthcare Inc,"3,090"
5200,,Shanghai Huayi Group Corporation,"12,580"
5201,,South Jersey Industries,"1,173"
5202,,Zhongtian Financial Group Company,"5,950"
5203,,Worthington Industries,"9,000"
5204,,Greif,"16,000"
5205,,Casino Guichard-perrachon Societe Anonyme,
5206,,The A2 Milk Company,319
5207,,Walsin Technology Corporation,
5208,,Iheartmedia,"9,588"
5209,,Downer Edi,
5210,,Chengdu Kanghong Pharmaceuticals Group Co. Ltd,
5211,,Jiangsu Changshu Rural Commercial Bank,"6,864"
5212,,Com7 Public Company,
5213,,Mge Energy,706
5214,,Medacta Group Sa,
5215,,Fondul Proprietatea Sa,
5216,,Corporation Bank,
5217,,Marathon Patent Group,9
5218,,Dingdong (cayman) Ltd,
5219,,Joyoung,
5220,,Freightways,
5221,,Hisense Visual Technology,"80,000"
5222,,Hunan Zhongke Electric,"1,110"
5223,,Newland Digital Technology,"6,570"
5224,,Beijing Geoenviron Engineering & Technology,"3,184"
5225,,Iwatani Corporation,"1,275"
5226,,Pandox Ab (publ),
5227,,Vidrala,"3,500"
5228,,Bin Dawood Holding Company,
5229,,"Xiamen Bank Co., Ltd.","2,840"
5230,,Shenzhen Changhong Technology,
5231,,Denka Company,"6,316"
5232,,Kontoor Brands,"14,000"
5233,,Shangri-la Asia Limited,
5234,,Shangri-la Asia,"29,400"
5235,,Abm Industries Incorporated,"124,000"
5236,,Chugoku Electric Power,"13,163"
5237,,Jmdc,582
5238,,Usinas Siderurgicas De Minas Gerais,
5239,,"Legalzoom.com, Inc.","1,218"
5240,,Fortis Healthcare,"23,000"
5241,,Yamazaki Baking,"19,832"
5242,,Software Aktiengesellschaft,
5243,,Shanghai Haohai Biological Technology,
5244,,Qatar Aluminium Manufacturing Company Q.p.s.c.,
5245,,Gansu Shangfeng Cement,"2,433"
5246,,Troax Group Ab (publ),
5247,,Godrej Industries,"1,046"
5248,,Shenzhen Yinghe Technology Co. Ltd,"3,544"
5249,,"Relay Therapeutics, Inc.",245
5250,,Abm Industries,"124,000"
5251,,Chengdu Xingrong Environment,"4,200"
5252,,Albany International,"4,100"
5253,,Vinati Organics,865
5254,,Korea Gas Corporation,
5255,,Uniqa Insurance Group Ag,
5256,,Europcar Mobility Group,"8,999"
5257,,Shaanxi Yanchang Petroleum Chemical Engineering,
5258,,Ingevity Corporation,"1,850"
5259,,Skylark Holdings,"48,480"
5260,,Shandong Head,
5261,,Kajaria Ceramics,"2,521"
5262,,Ramsay Generale De Sante Sa,
5263,,St. Galler Kantonalbank Ag,
5264,,Carel Industries,
5265,,Yuexiu Property Company,"10,100"
5266,,Instructure,"1,283"
5267,,"Lecron Industrial Development Group Co., Ltd.",
5268,,Sirius International Insurance Group,
5269,,"Freedom Holdings, Inc.","2,028"
5270,,"Henan Zhongfu Industrial Co.,ltd",
5271,,Guosheng Financial Holding,
5272,,Central China Securities,
5273,,Bank Of Qingdao,
5274,,Guodian Changyuan Electric Power,
5275,,Victrex,900
5276,,Mercantile Investment Trust (the),
5277,,Keywords Studios,
5278,,Hisamitsu Pharmaceutical,"2,745"
5279,,Sbm Offshore,"4,507"
5280,,Maple Leaf Foods,
5281,,Hang Lung Group,"4,626"
5282,,Akbank T.a.s,
5283,,Xinyu Iron & Steel Co. Ltd,
5284,,Hanmi Science,"2,419"
5285,,Jasmine Telecom Systems Public Company,
5286,,Alm. Brand A/s,"1,725"
5287,,Enovix Corporation,206
5288,,Jolywood (suzhou) Sunwatt,
5289,,Unicaja Banco,
5290,,Colony Capital,250
5291,,Ulvac,"6,370"
