,company_ceo,company_name,company_employees
229,Francesco Starace,Enel,"66,438"
230,RJ Scaringe,Rivian Automotive Inc,"7,000"
231,Sanjiv Mehta,Hindustan Unilever,"21,000"
232,Michael A Mussallem,Edwards Lifesciences Corporation,"15,700"
233,Mike Cannon-Brookes,Atlassian Corporation,"6,433"
234,Ernest Scott Santi,Illinois Tool Works,"45,000"
235,David Cordani,Cigna Corporation,"73,800"
236,Jeffrey C. Sprecher,Intercontinental Exchange,"8,858"
237,Pieter van der,Adyen,"1,750"
238,Igor Sechin,Rosneft Oil Company,"315,000"
239,Bjorn Rosengren,Abb,"105,000"
240,Pang Kang,Foshan Haitian Flavouring And Food Company,"6,058"
241,James A. Squires,Norfolk Southern Corporation,"18,100"
242,Thomas Polen,Becton Dickinson And Company,"75,000"
243,Thomas A. Fanning,The Southern Company,"27,300"
244,Lee Seok-Hee,Sk Hynix,"29,008"
245,Hongjia Gong,Hangzhou Hikvision Digital Technology,"42,685"
246,Nicolas Aguzin,Hong Kong Exchanges And Clearing (hkex),"2,372"
247,Sandeep Bakhshi,Icici Bank,"130,170"
248,Darryl White,Bank Of Montreal,"43,863"
249,Thomas Buberl,Axa,"96,595"
250,Keith Creel,Canadian Pacific Railway,"11,834"
251,,Bayerische Motoren Werke (bmw),"120,726"
252,Gary Nagle,Glencore,"134,878"
253,Noel R. Wallace,Colgate-palmolive Company,"33,800"
254,Bernard Charles,Dassault Systemes,"19,789"
255,Yasuhiko Saito,Shin-etsu Chemical,"24,069"
256,Gary A. Norcross,Fidelity National Information Services,"65,000"
257,Eduardo Bartolomeo,Vale Sa,"74,316"
258,Frank Bisignano,Fiserv,"44,000"
259,Jose Ignacio Sanchez Galan,Iberdrola,"45,000"
260,,Basf Se,"110,302"
261,Ross McEwan,National Australia Bank,"34,944"
262,,"Lucid Group, Inc.","2,000"
263,Rob Fauber,Moody's Corporation,"13,023"
264,Leonid Viktorovich Mikhelson,Novatek,"16,821"
265,Charles J. Meyers,Equinix,"10,944"
266,Raj Subramaniam,Fedex Corporation,"289,000"
267,Colin Huang Zheng,Pinduoduo,"7,986"
268,Matthew Murphy,Marvell Technology Group,"5,633"
269,,Ernst & Young,"312,250"
270,Ding Lei,Netease,"28,239"
271,Craig Arnold,Eaton Corporation,"85,947"
272,,Nongfu Spring,
273,James C. Fish Jr,Waste Management,"48,500"
274,Mario Greco,Zurich Insurance Group Ag,"52,930"
275,,Longi Green Energy Technology,"32,873"
276,Takashi Tanaka,Kddi Corporation,"47,320"
277,,Aldi,"25,000"
278,Roberto Castello Branco,Petroleo Brasileiro - Petrobras,"49,050"
279,Soren Skou,A.p. Moller - Maersk A/s,"80,000"
280,Jun Seki,Nidec Corporation,"117,356"
281,Richard Fairbank,Capital One Financial Corporation,"50,800"
282,Christophe Beck,Ecolab,"47,000"
283,Seifi Ghasemi,Air Products And Chemicals,"20,875"
284,Jahja Setiaatmadja,Pt Bank Central Asia Tbk,"26,123"
285,Daniel Hajj Aboumrad,America Movil,"186,851"
286,"Doyle Mitchell, Jr.",Industrial Bank,"60,500"
287,Evan Spiegel,Snap Inc,"5,661"
288,Ralph Hamers,Ubs Group Ag,"71,551"
289,Koji Arima,Denso Corporation,"168,391"
290,,China Tourism Group Duty Free Corporation Limited,"10,780"
291,Tricia Griffith,Progressive Corporation,"49,000"
292,Carlos Tavares,Stellantis N.v,"189,512"
293,Leonard Schleifer,Regeneron Pharmaceuticals,"10,368"
