,company_ceo,company_name
182,Mary Barra,GENERAL MOTORS COMPANY
183,,CARGILL
184,Hisayuki Idekoba,RECRUIT HOLDINGS
185,Bruce Flatt,BROOKFIELD ASSET MANAGEMENT
186,Anders Opedal,EQUINOR ASA
187,Jack Bowles,BRITISH AMERICAN TOBACCO
188,Ola Kallenius,MERCEDEC BENZ GROUP AG
189,Daniel O'Day,GILEAD SCIENCES
190,Francesco Milleri,ESSILOR LUXOTTICA
191,Ernie Herrman,THE TJX COMPANIES
192,Vincent Roche,ANALOG DEVICES
193,Brian J. Porter,BANK OF NOVA SCOTIA
194,Toshiki Kawai,TOKYO ELECTRON LIMITED
195,TRACY ROBINSON,CANADIAN NATIONAL RAILWAY COMPANY
196,William H. âBillâ Rogers Jr,TRUIST FINANCIAL CORPORATION
197,Stephane Bancel,MODERNA
198,Evan G. Greenberg,CHUBB
199,Nick Hayek Jr.,SWATCH GROUP AG
200,Paul Fang,MIDEA GROUP
201,John G. Morikis,SHERWIN-WILLIAMS COMPANY
202,,PRICEWATERHOUSECOOPERS
203,Jerome Lambert,COMPAGNIE FINANCIERE RICHEMONT SA
204,Francois Jackow,AIR LIQUIDE
205,Jay A. Brown,CROWN CASTLE INTERNATIONAL CORPORATION
206,Herman Gref,SBERBANK OF RUSSIA
207,James M. Foote,CSX CORPORATION
208,Stephen A. Schwarzman,BLACKSTONE GROUP
209,Brenton L. Saunders,ALLERGAN
210,Daniel S. Glaser,MARSH & MCLENNAN COMPANIES
211,,PUBLIX
212,Al Monaco,ENBRIDGE
213,Masayoshi Son,SOFTBANK GROUP
214,Bernd Montag,SIEMENS HEALTHINEERS AG
215,Terrence A. Duffy,CME GROUP
216,Dara Khosrowshahi,UBER TECHNOLOGIES
217,Lynn Good,DUKE ENERGY CORPORATION
218,Faisal Omar al-Sakkaf,NATIONAL COMMERCIAL BANK
219,,LIFE INSURANCE CORPORATION OF INDIA
220,Francesco Starace,ENEL
221,Lv Jiajin,PSBC (POSTAL SAVINGS BANK OF CHINA)
222,Lei Mingshan,CHINA YANGTZE POWER
223,Hironori Kamezawa,MITSUBISHI UFJ FINANCIAL GROUP
224,Frank Appel,DEUTSCHE POST AG
225,,RELIANCE JIO
226,Samuel N. Hazen,HCA HEALTHCARE
