,company_ceo,company_name
5944,,ENPRO INDUSTRIES
5945,,SHANGHAI 2345 NETWORK HOLDING GROUP
5946,,ZHONGMIN ENERGY
5947,,LIVEPERSON
5948,,CHINA YONGDA AUTOMOBILES SERVICES HOLDINGS
5949,,INSTALCO AB (PUBL)
5950,,GB GROUP
5951,,VERRA MOBILITY CORPORATION
5952,,GUOCHENG MINING
5953,,SUMITOMO BAKELITE COMPANY
5954,,CHAMBAL FERTILISERS AND CHEMICALS
5955,,TDCX INC.
5956,,AIXTRON SE
5957,,"VERTEX, INC."
5958,,TAIHEIYO CEMENT CORPORATION
5959,,BALFOUR BEATTY
5960,,BABCOCK INTERNATIONAL GROUP
5961,,POSCO INTERNATIONAL CORPORATION
5962,,KAGOME
5963,,CROMBIE REAL ESTATE INVESTMENT TRUST
5964,,WONDERS INFORMATION
5965,,WASHINGTON FEDERAL
5966,,ZHEJIANG SANWEI RUBBER ITEM
5967,,FAR EAST SMARTER ENERGY
5968,,GCP APPLIED TECHNOLOGIES
5969,,CHINA TIANYING
5970,,HORNBACH HOLDING AG & CO. KGAA
5971,,SHENZHEN DESAY BATTERY TECHNOLOGY
5972,,"BIGCOMMERCE HOLDINGS, INC."
5973,,SYNTHOMER
5974,,NEKTAR THERAPEUTICS
5975,,SHO-BONDHOLDINGS
5976,,J. FRONT RETAILING
5977,,TRIPOD TECHNOLOGY CORPORATION
5978,,G R INFRAPROJECTS LIMITED
5979,,SHENZHEN BEAUTY STAR
5980,,SINBON ELECTRONICS
5981,,B. RILEY FINANCIAL
5982,,AP MEMORY TECHNOLOGY CORPORATION
5983,,IKD
5984,,WEIMOB
5985,,ADVANTAGE SOLUTIONS INC.
5986,,"WEIHAI CITY COMMERCIAL BANK CO., LTD."
5987,,AMERICAN ASSETS TRUST
5988,,VICTORY CAPITAL HOLDINGS
5989,,AF GRUPPEN ASA
5990,,NUSTAR ENERGY L.P. 9.00% CUM PFD C
5991,,NORTHWEST HEALTHCARE PROPERTIES REAL ESTATE INVESTMENT TRUST
5992,,COHEN & STEERS QUALITY INCOME REALTY FUND
5993,,KARDEX AG
5994,,BLACK STONE MINERALS
5995,,SANDY SPRING BANCORP
5996,,NORTH NAVIGATION CONTROL TECHNOLOGY
5997,,TAIJI COMPUTER CORPORATION
5998,,PT PERUSAHAAN GAS NEGARA TBK
5999,,AFFLE (INDIA) LIMITED
6000,,GREAT CHINASOFT TECHNOLOGY
6001,,TOKAI CARBON
6002,,SANOFI INDIA
6003,,ELECTRIC POWER DEVELOPMENT
6004,,BURFORD CAPITAL
6005,,AIA ENGINEERING
6006,,BODYCOTE
6007,,TISCO FINANCIAL GROUP PUBLIC COMPANY
6008,,ALLEGHENY TECHNOLOGIES
6009,,BNK FINANCIAL GROUP
6010,,QATAR INSURANCE COMPANY Q.S.P.C
6011,,GMS
6012,,NIPPON ELECTRIC GLASS
6013,,PARK NATIONAL CORPORATION
6014,,GCI SCIENCE & TECHNOLOGY
6015,,DUTCH BROS INC.
6016,,EVERBRIDGE
6017,,CERES POWER HOLDINGS
6018,,ASTON MARTIN LAGONDA GLOBAL HOLDINGS
6019,,JUBILANT LIFE SCIENCES
6020,,KYOWA EXEO CORPORATION
6021,,HEADHUNTER GROUP
6022,,WEBUILD S.P.A.
6023,,GILLETTE INDIA
6024,,HELIOS TOWERS
6025,,STAR BULK CARRIERS
6026,,"GUANGDONG FANGYUAN ENVIRONMENT CO., LTD."
6027,,NETSCOUT SYSTEMS
6028,,HUNAN AIHUA GROUP
6029,,CHINA ALUMINUM INTERNATIONAL ENGINEERING CORPORATION
6030,,STO EXPRESS
6031,,ZHEJIANG STARRY PHARMACEUTICAL
6032,,LUCKIN COFFEE
6033,,KRATOS DEFENSE & SECURITY SOLUTIONS
6034,,MEDNAX
6035,,MOBILE MINI
6036,,MITSUBISHI MATERIALS CORPORATION
6037,,TOKYO OHKA KOGYO
6038,,ASCENTIAL
6039,,SHANGHAI CHINAFORTUNE
6040,,YAOKO
6041,,RHI MAGNESITA
6042,,SHANGHAI DZH
6043,,MEMBERSHIP COLLECTIVE GROUP INC.
6044,,RENEWABLE ENERGY GROUP
6045,,ESCO TECHNOLOGIES
6046,,JEUDAN A/S
6047,,OLAV THON EIENDOMSSELSKAP ASA
6048,,SERCO GROUP
6049,,STATE AUTO FINANCIAL CORPORATION
6050,,GUANGSHEN RAILWAY COMPANY
6051,,NANJING XINJIEKOU DEPARTMENT STORE
6052,,APPOTRONICS CORPORATION
6053,,BEIJING SIFANG AUTOMATION
6054,,GUANGDONG WENCAN DIE CASTING
6055,,SHIMAO PROPERTY HOLDINGS
6056,,A-LIVING SERVICES
6057,,LEMONADE
6058,,"STEM, INC."
6059,,ZHONGYUAN BANK
6060,,KAZAN ORGANICHESKY SINTEZ
6061,,"GANSU JIU STEEL GROUP HONGXING IRON & STEEL CO.,LTD."
6062,,PRICESMART
6063,,JELD-WEN HOLDING
6064,,MYTILINEOS S.A.
6065,,DYE & DURHAM LIMITED
6066,,SUNING UNIVERSAL
6067,,CHINA FORTUNE LAND DEVELOPMENT
6068,,BANCO DEL BAJIO INSTITUCION DE BANCA MULTIPLE
6069,,"SICHUAN EM TECHNOLOGY CO., LTD."
6070,,GOLDEN AGRI-RESOURCES LTD
6071,,FRONTIER REAL ESTATE INVESTMENT CORPORATION
6072,,URBAN EDGE PROPERTIES
6073,,METROPOLIS HEALTHCARE LIMITED
6074,,PFEIFFER VACUUM TECHNOLOGY AG
6075,,STEPSTONE GROUP INC.
6076,,COLUMBIA FINANCIAL
6077,,AXCELIS TECHNOLOGIES
6078,,"SHOALS TECHNOLOGIES GROUP, INC."
6079,,CHINA WORLD TRADE CENTER
6080,,NEC NETWORKS & SYSTEM INTEGRATION CORPORATION
6081,,SANKYU
6082,,GLOBALDATA
6083,,EATON VANCE TAX-MANAGED DIVERSIFIED EQUITY INCOME FUND
6084,,SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY
6085,,JGC HOLDINGS CORPORATION
6086,,JENOPTIK AG
6087,,HC SEMITEK CORPORATION
6088,,PAREX RESOURCES
6089,,VIVO ENERGY
6090,,GUIZHOU XINBANG PHARMACEUTICAL
6091,,KONICA MINOLTA
6092,,CORPORATE TRAVEL MANAGEMENT
6093,,CERVED GROUP
6094,,SUBSEA 7
6095,,ROS AGRO
6096,,"SONAE, SGPS, S.A."
6097,,"COCREATION GRASS CO., LTD"
6098,,JIANGSU LIHUA ANIMAL HUSBANDRY
6099,,VERMILION ENERGY
6100,,ABA CHEMICALS CORPORATION
6101,,"SCHRODINGER, INC."
6102,,BBK ELECTRONICS
6103,,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC
6104,,"CLAROS MORTGAGE TRUST, INC."
6105,,YAPI VE KREDI BANKASI
6106,,SERITAGE GROWTH PROPERTIES
6107,,ECHOSTAR CORPORATION
6108,,HEALIUS
6109,,QINHUANGDAO PORT
6110,,PT XL AXIATA TBK
6111,,HEARTLAND FINANCIAL USA
6112,,LIBERTY OILFIELD SERVICES
6113,,YIJIAHE TECHNOLOGY
6114,,PAYONEER GLOBAL INC.
6115,,STELCO HOLDINGS
6116,,AMP
6117,,DAEWOO SHIPBUILDING & MARINE ENGINEERING
6118,,PACTIV EVERGREEN INC.
6119,,CHARTWELL RETIREMENT RESIDENCES
6120,,TRUKING TECHNOLOGY
6121,,CREDITO EMILIANO
6122,,PARKWAY LIFE REAL ESTATE INVESTMENT TRUST
6123,,TERANGA GOLD CORPORATION
6124,,WASHINGTON REAL ESTATE INVESTMENT TRUST
6125,,KANSAI MIRAI FINANCIAL GROUP
6126,,SIMPLO TECHNOLOGY
6127,,BANPU PUBLIC COMPANY
6128,,RENASANT CORPORATION
6129,,SUPER MICRO COMPUTER
6130,,ENERGEAN OIL & GAS
6131,,FUBOTV INC
6132,,JCR PHARMACEUTICALS
6133,,LENDINGCLUB CORPORATION
6134,,WOLVERINE WORLD WIDE
6135,,NIHON KOHDEN CORPORATION
6136,,AS ONE CORPORATION
6137,,ALPEK
6138,,NATCO PHARMA
6139,,SHENZHEN CHIPSCREEN BIOSCIENCES
6140,,SIMS LIMITED
6141,,PATRIA INVESTMENTS LTD
6142,,ID LOGISTICS GROUP SA
6143,,SHUFERSAL
6144,,CARETRUST REIT
6145,,UNIZO HOLDINGS COMPANY
6146,,REAVES UTILITY INCOME FUND
6147,,VIETNAM ENTERPRISE INVESTMENTS LIMITED
6148,,PT BUKIT ASAM TBK
6149,,XILINMEN FURNITURE
6150,,BANGKOK LIFE ASSURANCE PUBLIC COMPANY
6151,,MYCRONIC AB (PUBL)
6152,,ALMIRALL
6153,,GRUPO MATEUS S.A.
6154,,CRYOPORT
6155,,GLAUKOS CORPORATION
6156,,SOLARWINDS CORPORATION
6157,,SAUDI CEMENT COMPANY
6158,,KAMIGUMI
6159,,ANHUI YINGLIU ELECTROMECHANICAL
6160,,ENLIGHT RENEWABLE ENERGY LTD
6161,,SEACOAST BANKING CORPORATION OF FLORIDA
6162,,CHONGQING FULING ELECTRIC POWER INDUSTRIAL
6163,,SIRIUS REAL ESTATE
6164,,TRANSACTION CAPITAL
6165,,RADICO KHAITAN
6166,,"ZHEJIANG GONGDONG MEDICAL TECHNOLOGY CO.,LTD."
6167,,SANSAN
6168,,COMMSCOPE HOLDING COMPANY
6169,,POSTNL
6170,,COMFORTDELGRO CORPORATION
6171,,SOLARIA ENERGIA Y MEDIO AMBIENTE
6172,,TRANSMISSORA ALIANCA DE ENERGIA ELETRICA
6173,,MONTNETS RONGXIN TECHNOLOGY GROUP
6174,,DELHIVERY
6175,,FUJI MEDIA HOLDINGS
6176,,SHANDONG BOHUI PAPER INDUSTRY
6177,,ADEKA CORPORATION
6178,,NEXGEN ENERGY
6179,,JIANXI LIANCHUANG OPTO-ELECTRONIC SCIENCE & TECHNOLOGY
6180,,ARION BANKA HF
6181,,TRINSEO
6182,,SHANGHAI ENVIRONMENT GROUP CO. LTD
6183,,CHICONY ELECTRONICS
6184,,BANNER CORPORATION
6185,,XENCOR
6186,,FB FINANCIAL CORPORATION
6187,,"HARMONY BIOSCIENCES HOLDINGS, INC."
6188,,"CHUTIAN DRAGON CO., LTD."
6189,,SHANGHAI PRET COMPOSITES
6190,,ENERGEAN PLC
6191,,NINGXIA ZHONGYIN CASHMERE
6192,,"SIGNIFY HEALTH, INC."
6193,,MGM CHINA HOLDINGS
6194,Bangxin Zhang,TAL EDUCATION GROUP
6195,,PT BANK RAKYAT INDONESIA AGRONIAGA TBK
6196,,LIUZHOU IRON & STEEL
6197,,TOYO SEIKAN GROUP HOLDINGS
6198,,PT MITRA KELUARGA KARYASEHAT TBK
6199,,PIONEER FOOD GROUP LTD
6200,,SHOWA CORPORATION
6201,,SYSTEMAIR AB (PUBL)
6202,Stephan Shakespeare,YOUGOV
6203,,HEILONGJIANG ZBD PHARMACEUTICAL
6204,,INDIVIOR
6205,,SPAREBANK 1 SMN
6206,,SHANGHAI EAST-CHINA COMPUTER
6207,,JIANGSU HUAHONG TECHNOLOGY STOCK
6208,,L.K. TECHNOLOGY HOLDINGS LIMITED
6209,,LAUREATE EDUCATION
6210,,CS WIND CORPORATION
6211,,MOONPIG GROUP PLC
6212,,ZHENRO PROPERTIES GROUP
6213,,CORCEPT THERAPEUTICS
6214,,SUZHOU CRYSTAL CLEAR CHEMICAL
6215,,VIRTUS INVESTMENT PARTNERS
6216,,APPSFLYER
6217,,VERKADA
6218,,SINOPEC ENGINEERING (GROUP)
6219,,JAPAN RENTAL HOUSING INVESTMENTS
6220,,MABUCHI MOTOR
6221,,SAIPEM
6222,,RISING NONFERROUS METALS SHARE
6223,,JINKOSOLAR HOLDING
6224,,UNITED ELECTRONICS COMPANY
6225,,FOUR CORNERS PROPERTY TRUST
6226,,MONETA MONEY BANK
6227,,GENIUS ELECTRONIC OPTICAL
6228,,FIBRA PROLOGIS
6229,,ZHEJIANG JIEMEI ELECTRONIC AND TECHNOLOGY
6230,,BOARDWALK REAL ESTATE INVESTMENT TRUST
6231,,HUAPONT LIFE SCIENCES
6232,,WT MICROELECTRONICS
6233,,PORTO SEGURO
6234,,KIWOOM SECURITIES
6235,,SUMMERSET GROUP HOLDINGS
6236,,SUNEVISION HOLDINGS
6237,,NUVEEN CALIFORNIA QUALITY MUNICIPAL INCOME FUND
6238,,ORORA
6239,,PHOENIX MILLS
6240,,MAKALOT INDUSTRIAL
6241,,GUANGZHOU RESTAURANT GROUP COMPANY
6242,,TRUSTMARK CORPORATION
6243,,SEVEN GENERATIONS ENERGY
6244,,B&G FOODS
6245,,"WUHAN KEQIAN BIOLOGY CO.,LTD"
6246,,ENNOSTAR INC.
6247,,CHINA WATER AFFAIRS GROUP
6248,,DAIBIRU CORPORATION
6249,,CHINA HUARONG ASSET MANAGEMENT
6250,,TSUMURA & CO
6251,,MUELLER WATER PRODUCTS
6252,,HACI OMER SABANCI HOLDING
6253,,UNIPRO
6254,,NATIONS TECHNOLOGIES
6255,,HARMONY GOLD MINING COMPANY
6256,,CHORUS
6257,,FUJIAN STAR-NET COMMUNICATION
6258,,SINCLAIR BROADCAST GROUP
6259,,GRUPO LALA
6260,,VELOXIS PHARMACEUTICALS A/S
6261,,BIEM.L.FDLKK GARMENT
6262,,ALACER GOLD
6263,,INDIAN BANK
6264,,FINABLR
6265,,NANJING HUADONG ELECTRONICS INFORMATION & TECHNOLOGY
6266,,NANJING YUNHAI SPECIAL METALS
6267,,CARGOJET
6268,,ELKEM ASA
6269,,FIDELITY CHINA SPECIAL SITUATIONS
6270,,TRANSOCEAN
6271,,CMST DEVELOPMENT
6272,,NORTHVIEW APARTMENT REAL ESTATE INVESTMENT TRUST
6273,,"YUEYANG FOREST & PAPER CO., LTD."
6274,,ZUGER KANTONALBANK
6275,,UNITI GROUP LIMITED
6276,,QISDA CORPORATION
6277,,NELES OYJ
6278,,CHAMPION IRON LIMITED
6279,,TDG HOLDING
6280,,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED
6281,,HASTINGS GROUP HOLDINGS
6282,,ZHE JIANG TAIHUA NEW MATERIAL
6283,,DEXERIALS CORPORATION
6284,,BRIDGEBIO PHARMA
6285,,FORESCOUT TECHNOLOGIES
6286,,HYOSUNG TNC CORPORATION
6287,,ESPRESSIF SYSTEMS (SHANGHAI)
6288,,JIANGXI BANK
6289,,XINJIANG TIANYE
6290,,BREEDON GROUP
6291,,MOBIMO HOLDING AG
6292,,TOSHIBA TEC CORPORATION
6293,,HELLENIC PETROLEUM
6294,,MAXAR TECHNOLOGIES
6295,,CRITEO
6296,,WISDOM MARINE LINES
6297,,GUANGDONG GOLDEN DRAGON DEVELOPMENT
6298,,DIGITAL CHINA INFORMATION SERVICE COMPANY
6299,,ALLSCRIPTS HEALTHCARE SOLUTIONS
6300,,GENWORTH FINANCIAL
6301,,WABCO INDIA
6302,,CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL
6303,,YOOZOO GAMES
6304,,SUNTAK TECHNOLOGY
6305,,CHINA SHANDONG HI-SPEED FINANCIAL GROUP
6306,,"THREE'S COMPANY MEDIA GROUP CO., LTD."
6307,,JINLEI TECHNOLOGY
6308,,SHOP APOTHEKE EUROPE
6309,,XD
6310,,SERIA
6311,,KANEKA CORPORATION
6312,,OCI COMPANY LTD
6313,,YAMATO KOGYO
6314,,BLACKROCK CAPITAL ALLOCATION TRUST
6315,,DAICEL CORPORATION
6316,,TELECOM ARGENTINA
6317,,TONGLING JINGDA SPECIAL MAGNET WIRE
6318,,BEIJING TONGTECH
6319,,MEDIGEN VACCINE BIOLOGICS CORPORATION
6320,,HIGHWEALTH CONSTRUCTION
6321,,DENTALCORP HOLDINGS LTD.
6322,,BRIGHTGENE BIO-MEDICAL TECHNOLOGY
6323,,EATON VANCE TAX-ADVANTAGED DIVIDEND INCOME FUND
6324,,TILT RENEWABLES
6325,,"CHINA-SINGAPORE SUZHOU INDUSTRIAL PARK DEVELOPMENT GROUP CO., LTD."
6326,,KNOWLES CORPORATION
6327,,OPC ENERGY
6328,,GUANGDONG SOUTH NEW MEDIA
6329,,SHEELA FOAM
6330,,BIRLASOFT LIMITED
6331,,POWERLONG REAL ESTATE HOLDINGS
6332,,AUCTION TECHNOLOGY GROUP PLC
6333,,GOEASY
6334,,KYUDENKO CORPORATION
6335,,SPIRENT COMMUNICATIONS
6336,,LIFE HEALTHCARE GROUP HOLDINGS
6337,,SHIP HEALTHCARE HOLDINGS
6338,,L&T FINANCE HOLDINGS
6339,,DOMAIN HOLDINGS AUSTRALIA
6340,,CONTROLADORA VUELA COMPANIA DE AVIACION
6341,,PLUS500
6342,,TR PROPERTY INVESTMENT TRUST
6343,,CEMBRA MONEY BANK AG
6344,,HAMMERSON
6345,,TELEVISION FRANCAISE 1 SOCIETE ANONYME
6346,,TONGYU HEAVY INDUSTRY
6347,,SHANGHAI WAIGAOQIAO FREE TRADE ZONE GROUP
6348,,HIMAX TECHNOLOGIES
6349,,SALZGITTER AG
6350,,SHENZHEN AISIDI
6351,,QUALITAS CONTROLADORA
6352,,BLUE DART EXPRESS
6353,,AMVIS HOLDINGS
6354,,"SUZHOU RECODEAL INTERCONNECT SYSTEM CO.,LTD"
6355,,ADELAIDE BRIGHTON
6356,,FRANCHISE GROUP
6357,,AVZ MINERALS LIMITED
6358,,TURNING POINT THERAPEUTICS
6359,,ADITYA BIRLA SUN LIFE AMC LIMITED
6360,,PT BANK ALADIN SYARIAH TBK
6361,,"SHAANXI HEIMAO COKING CO., LTD."
6362,,JAPAN HOTEL REIT INVESTMENT CORPORATION
6363,,DONGFENG AUTOMOBILE CO. LTD
6364,,METALURGICA GERDAU
6365,,FRASER & NEAVE HOLDINGS BHD
6366,,NANKAI ELECTRIC RAILWAY
6367,,"DL E&C CO.,LTD."
6368,,DMG MORI
6369,,HERALD INVESTMENT TRUST
6370,,KIOCL
6371,,"QUANTUMCTEK CO., LTD."
6372,,ALEMBIC PHARMACEUTICALS
6373,,PRA GROUP
6374,,SKYWORTH DIGITAL
6375,,CJ LOGISTICS CORPORATION
6376,,KKR ACQUISITION HOLDINGS I CORP.
6377,,SINO-PLATINUM METALS
6378,,NUVEEN MUNICIPAL VALUE FUND
6379,,MORNEAU SHEPELL
6380,,"SUZHOU ZELGEN BIOPHARMACEUTICALS CO., LTD."
6381,,RADIANCE HOLDINGS (GROUP) COMPANY LIMITED
6382,,RATOS AB (PUBL)
6383,,ADAMS DIVERSIFIED EQUITY FUND
6384,,INTERDIGITAL
6385,,NATIONAL EXPRESS GROUP
6386,,ORGANIZACION SORIANA S. A. B. DE C. V
6387,,SHANDONG HUMON SMELTING
6388,,DIAMONDROCK HOSPITALITY COMPANY
6389,,PLAINS GROUP HOLDINGS
6390,,RENHE PHARMACY CO. LTD
6391,,CREADES AB
6392,,AUSNUTRIA DAIRY CORPORATION LTD
6393,,ZHEJIANG WINDEY
6394,,CHINA ANIMAL HUSBANDRY INDUSTRY
6395,,CHONGQING TAIJI INDUSTRY(GROUP)
6396,,ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AG
6397,,NETWORK INTERNATIONAL HOLDINGS
6398,,VITASOY INTERNATIONAL HOLDINGS
6399,,YANGO GROUP CO. LTD
6400,,DAEWOO ENGINEERING & CONSTRUCTION
6401,,SHENZHEN KSTAR SCIENCE AND TECHNOLOGY
6402,,JIANGSU SHAGANG
6403,,NOVAGOLD RESOURCES
6404,,HYOSUNG ADVANCED MATERIALS CORPORATION
6405,,CHENGDU LEEJUN INDUSTRIAL
6406,,HULIC REIT
6407,,ALPS ALPINE
6408,,HANWHA AEROSPACE
6409,,BIG BASKET
6410,,PINE LABS
6411,,LENSKART
6412,,XIAMEN MEIYA PICO INFORMATION
6413,,HAINAN STRAIT SHIPPING
6414,,SOL
6415,,PARAMOUNT GROUP
6416,,SUPERMAP SOFTWARE
6417,,LAKELAND FINANCIAL CORPORATION
6418,,"GRID DYNAMICS HOLDINGS, INC."
6419,,SHENZHEN HOPEWIND ELECTRIC
6420,,GRUPO LAMOSA
6421,,UPI SEMICONDUCTOR CORP.
6422,,NINGBO PEACEBIRD FASHION
6423,,COCA-COLA BOTTLERS JAPAN HOLDINGS
6424,,OFFICE DEPOT
6425,,EZAKI GLICO
6426,,LIFETECH SCIENTIFIC CORPORATION
6427,,JINNENG SCIENCE&TECHNOLOGY CO. LTD
6428,,MINERA VALPARAISO
6429,,VALNEVA SE
6430,,SJW GROUP
6431,,BERNER KANTONALBANK AG
6432,,BEIBU GULF PORT
6433,,XENIA HOTELS & RESORTS
6434,,CSR LIMITED
6435,,STORAGEVAULT CANADA
6436,,GUANGXI WUZHOU ZHONGHENG GROUP
6437,,SHANDONG SINOBIOWAY BIOMEDICINE
6438,,TIANJIN QUANYECHANG (GROUP)
6439,,SICHUAN EXPRESSWAY COMPANY
6440,,"CYTEK BIOSCIENCES, INC."
6441,,QINETIQ GROUP
6442,,GENUIT GROUP PLC
6443,,AKTIESELSKABET SCHOUW & CO
6444,,CISION
6445,,GENESIS ENERGY LIMITED
6446,,STILLFRONT GROUP AB (PUBL)
6447,,MITCHELLS & BUTLERS
6448,,PATRIZIA AG
6449,,INDUSTRIAS BACHOCO
6450,,CORNERSTONE BUILDING BRANDS
6451,,ZUORA
6452,,PHILIP MORRIS CR
6453,,JIHUA GROUP CORPORATION LIMITED
6454,,GUANGDONG TAPAI GROUP
6455,,NEW HOPE DAIRY
6456,,SUMAVISION TECHNOLOGIES
6457,,AKER HORIZONS ASA
6458,,WELSPUN INDIA
6459,,TIMKEN INDIA
6460,,STEWART INFORMATION SERVICES CORPORATION
6461,,ZHEJIANG CONBA PHARMACEUTICAL
6462,,VAISALA OYJ
6463,,CHINA SPORTS INDUSTRY GROUP
6464,,INNER MONGOLIA XINGYE MINING
6465,,BIOCRYST PHARMACEUTICALS
6466,,NET ONE SYSTEMS
6467,,THE SPAR GROUP LTD
6468,,ANRITSU CORPORATION
6469,,GIBRALTAR INDUSTRIES
6470,,SKYWEST
6471,,YANTAI TAYHO ADVANCED MATERIALS
6472,,SCHWEITER TECHNOLOGIES AG
6473,,IMPAX ENVIRONMENTAL MARKETS
6474,,CHONGQING GAS GROUP CORPORATION
6475,,SHAANXI INTERNATIONAL TRUST
6476,,THAI PRESIDENT FOODS PUBLIC COMPANY
6477,,HEBEI SITONG NEW METAL MATERIAL CO. LTD
6478,,NORWEGIAN FINANS HOLDING ASA
6479,,DCM SHRIRAM
6480,,"HENAN HUANGHE WHIRLWIND CO., LTD."
6481,,SHANDONG PUBLISHING&MEDIA
6482,,VERITEX HOLDINGS
6483,,XINHUA WINSHARE PUBLISHING AND MEDIA
6484,,SHANGHAI JIN JIANG CAPITAL COMPANY
6485,,KAPE TECHNOLOGIES
6486,,STITCH FIX
6487,,"EXCELERATE ENERGY, INC."
6488,,"MAGNITE, INC."
6489,,GAMMA COMMUNICATIONS
6490,,3SBIO
6491,,TAKARA HOLDINGS
6492,,LOTTE SHOPPING
6493,,STELLA-JONES
6494,,"CHENGDU WINTRUE HOLDING CO., LTD."
6495,,SHENMA INDUSTRIAL
6496,,HIPGNOSIS SONGS FUND LIMITED
6497,,ZHEJIANG HISOAR PHARMACEUTICAL
6498,,ANJI MICROELECTRONICS TECHNOLOGY (SHANGHAI)
6499,,SHENZHEN KINGDOM SCI-TECH
6500,,TAICHUNG COMMERCIAL BANK
6501,,VIVA ENERGY REIT
6502,,YINYI
6503,,OURPALM
6504,,PATTERSON-UTI ENERGY
6505,,BANCO INTER
6506,,FISKARS OYJ ABP
6507,,CHINDATA
6508,,BANCO PAN
6509,,CAREDX
6510,,GOLDEN SOLAR NEW ENERGY TECHNOLOGY HOLDINGS LIMITED
6511,,ZHEJIANG SANMEI CHEMICAL INDUSTRY
6512,,KOBE STEEL
6513,,TIGER BRANDS
6514,,SAO MARTINHO
6515,,EVOLENT HEALTH
6516,,YFY
6517,,NINGBO HUAXIANG ELECTRONIC
6518,,SHANGHAI HANBELL PRECISE MACHINERY
6519,,PARADOX INTERACTIVE AB (PUBL)
6520,,AIR TRANSPORT SERVICES GROUP
6521,,ESKER SA
6522,,MONMOUTH REAL ESTATE INVESTMENT CORPORATION
6523,,YANTAI ZHENGHAI MAGNETIC MATERIAL
6524,,DOOSAN SOLUS
6525,,GREE REAL ESTATE
6526,,GVS S.P.A.
6527,,AJ BELL
6528,,S-1 CORPORATION
6529,,ELECTROLUX PROFESSIONAL AB (PUBL)
6530,,SHINSEGAE
6531,,CINEMARK HOLDINGS
6532,,SONIC AUTOMOTIVE
6533,,ZUG ESTATES HOLDING AG
6534,,HUAFA INDUSTRIAL.ZHUHAI
6535,,FUYO GENERAL LEASE
6536,,NMI HOLDINGS
6537,,YANTAI DONGCHENG PHARMACEUTICAL GROUP
6538,,ARGO GROUP INTERNATIONAL HOLDINGS
6539,,TANGER FACTORY OUTLET CENTERS
6540,,GREAT WESTERN BANCORP
6541,,"ALLBIRDS, INC."
6542,,STRIDE STAPLED GROUP
6543,,O-I GLASS
6544,,WORKSPACE GROUP
6545,,FIRST NATIONAL FINANCIAL CORPORATION
6546,,FORTUNE REAL ESTATE INVESTMENT TRUST
6547,,WACKER NEUSON SE
6548,,MFA FINANCIAL
6549,,WHITEHAVEN COAL
6550,,ZHONGSHAN PUBLIC UTILITIES GROUP
6551,,HARBIN HATOU INVESTMENT
6552,,SENSIRION HOLDING AG
6553,,FLSMIDTH & CO. A/S
6554,,VISIONOX TECHNOLOGY
6555,,TIBET RHODIOLA PHARMACEUTICAL HOLDING
6556,,LINK ADMINISTRATION HOLDINGS
6557,,WADDELL & REED FINANCIAL
6558,,ZHEJIANG HUACE FILM & TV
6559,,VEIDEKKE ASA
6560,,NP3 FASTIGHETER AB (PUBL)
6561,,SHANGHAI PHICHEM MATERIAL
6562,,DELIXI XINJIANG TRANSPORTATION
6563,,UDEMY
6564,,PROTHENA CORPORATION
6565,,CARDLYTICS
6566,,INFORMATION SERVICES INTERNATIONAL-DENTSU
6567,,CHEESECAKE FACTORY
6568,,LOOMIS AB (PUBL)
6569,,CHUNG HUNG STEEL CORPORATION
6570,,CHINA YOURAN DAIRY GROUP LIMITED
6571,,SUPLET POWER
6572,,IPSOS SA
6573,,JUMBO
6574,,SALLY BEAUTY HOLDINGS
6575,,SONOSCAPE MEDICAL
6576,,LUOLAI LIFESTYLE TECHNOLOGY
6577,,BGF RETAIL
6578,,"SHANDONG JINJING SCIENCE AND TECHNOLOGY STOCK CO., LTD."
6579,,IZUMI
6580,,GUANGDONG DOWSTONE TECHNOLOGY
6581,,GOLDEN OCEAN GROUP
6582,,JIANGLING MOTORS CORPORATION
6583,,K-FAST HOLDING AB (PUBL)
6584,,EDP - ENERGIAS DO BRASIL
6585,,TEEKAY LNG PARTNERS L.P. PFD UNIT SER A
6586,,GUANGDONG MARUBI BIOTECHNOLOGY
6587,,KAR AUCTION SERVICES
6588,,ENERGIX - RENEWABLE ENERGIES LTD
6589,,NKT A/S
6590,,SPH REIT
6591,,BANGKOK COMMERCIAL ASSET MANAGEMENT COMPANY
6592,,PARK24
6593,,LANCY
6594,,SANNE GROUP
6595,,EQUITABLE GROUP
6596,,KEPPEL INFRASTRUCTURE TRUST
6597,,PT JASA MARGA (PERSERO) TBK
6598,,ZHEJIANG SOUTHEAST SPACE FRAME
6599,,CARDTRONICS
6600,,EAGLE BANCORP
6601,,PROVIDENT FINANCIAL SERVICES
6602,,"SHENZHEN UNITED WINNERS LASER CO., LTD."
6603,,ZHEJIANG XIANJU PHARMACEUTICAL
6604,,SUZHOU TFC OPTICAL COMMUNICATION
6605,,CVR ENERGY
6606,,ITAU CORPBANCA
6607,,INTERTRUST
6608,,SANDFIRE RESOURCES NL
6609,,AGILE GROUP HOLDINGS
