,company_ceo,company_country,company_name,company_industry
242,Remo Ruffini,italy,moncler,consumer cyclical
243,Patrice Caine,france,thales,industries
244,Fabien Simon,netherlands,jde peet's n.v.,consumer defensive
245,Steve Foots,uk,croda international,basic materials
246,Christian Bruch,germany,siemens energy,engineering products
247,Vladimir Bogdanov,russia,surgutneftegas,energy
248,Mark Read,uk,wpp plc,communication services
249,Vivek Badrinath,germany,vantage towers ag,industries
250,Josu Jon Imaz,spain,repsol,energy
251,Ivan Arriagada,uk,antofagasta,basic materials
252,Aleksandr Shevelev,russia,pao severstal,basic materials
253,Bjorn Gulden,germany,puma se,consumer cyclical
254,Markus Weber,germany,carl zeiss meditec ag,healthcare
255,Arthur Sadoun,france,publicis groupe,communication services
256,David Knibbe,netherlands,nn group,financial services
257,Matteo Del Fante,italy,poste italiane spa,industries
258,Stephane Dedeyan,france,cnp assurances sa,financial services
259,Grigory Vitalevich Fedorishin,russia,novolipetsk steel,basic materials
260,Klaus-Dieter Maubach,germany,uniper se,utilities
261,Rolv Erik Ryssdal,norway,adevinta asa,communication services
262,Ian Gallienne,belgium,groupe bruxelles lambert sa,financial services
263,Aengus Kelly,ireland,aercap holdings,industries
264,Valerie Baudson,france,amundi,financial services
265,Jack Truong,ireland,james hardie industries,basic materials
266,Tom Erixon,sweden,alfa laval ab (publ),industries
267,Hilde Merete Aasheim,norway,norsk hydro asa,basic materials
268,Morten Hubbe,denmark,tryg a/s,financial services
269,Gilles Grapinet,france,worldline,technology
270,Tim Hauwermeiren,netherlands,argenx se,healthcare
271,Dr. Jan Michael Mrosik,germany,knorr-bremse,consumer cyclical
272,,france,carrefour sa,consumer defensive
273,,france,bollore,communication services
274,Harold Boel,belgium,sofina societe anonyme,financial services
275,Tim Steiner,uk,ocado group,consumer defensive
276,Allison Kirkby,sweden,telia company ab (publ),communication services
277,Roland Diggelmann,uk,smith & nephew,healthcare
278,Jerre Stead,uk,clarivate plc,technology
279,Stefano Antonio Donnarumma,italy,terna s.p.a. ,utilities
280,Carlo Bertazzo,italy,atlantia,industries
281,Andrew Williams,uk,halma,industries
282,Andreas Nauen,spain,siemens gamesa renewable energy,industries
283,Robert Kunze-Concewitz,italy,davide campari-milano,consumer defensive
284,Christian Kullmann,germany,evonik industries ag,basic materials
285,Carsten Rasch Egeriis,denmark,danske bank a/s,financial services
286,,russia,transneft,energy
287,Alexandre Merieux,france,biomerieux,healthcare
288,Michael Zahn,germany,deutsche wohnen se,real estate
289,Nicholas J. Anderson,uk,spirax-sarco engineering,industries
290,Miuccia Prada,italy,prada,consumer cyclical
291,Annica Bresky,finland,stora enso oyj,basic materials
292,Robert Swaak,netherlands,abn amro bank,financial services
293,Mike Fries,uk,liberty global,communication services
294,Peter Cowgill,uk,jd sports fashion,consumer cyclical
295,Evgenii Nikitin,russia,united company rusal,basic materials
296,Sasndor Csanyi,hungary,otp bank nyrt,financial services
