,company_ceo,company_country,company_name,company_industry
609,,germany,fuchs petrolub se,basic materials
610,,germany,hochtief,industries
611,,austria,bawag group ag,financial services
612,,germany,synlab ag,healthcare
613,,uk,spectris,technology
614,,sweden,aak ab (publ.),consumer defensive
615,,germany,gelsenwasser ag,utilities
616,,ireland,perrigo company,healthcare
617,,uk,diploma plc,industries
618,,finland,nokian renkaat oyj,automobile parts
619,,uk,bellway,real estate
620,,uk,johnson matthey,basic materials
621,,germany,fielmann,consumer cyclical
622,,belgium,lotus bakeries nv,consumer defensive
623,,switzerland,sfs group ag,industries
624,,poland,cyfrowy polsat,communication services
625,,uk,frasers group,consumer cyclical
626,,denmark,alk-abello a/s,healthcare
627,,italy,italgas,utilities
628,,austria,evn ag,utilities
629,,italy,de'longhi,consumer cyclical
630,,switzerland,dksh holding,industries
631,,uk,mimecast,technology
632,,sweden,avanza bank holding ab (publ),financial services
633,,uk,direct line insurance group,financial services
634,,france,wendel,financial services
635,,uk,convatec group,healthcare
636,,greece,greek organization of football prognostics,consumer cyclical
637,,spain,fomento de construcciones y contratas,industries
638,,sweden,fabege ab (publ),real estate
639,,austria,andritz ag,industries
640,,switzerland,crispr therapeutics ag,healthcare
641,,poland,powszechny zaklad ubezpieczen sa,financial services
642,,uk,derwent london,real estate
643,,denmark,topdanmark a/s,financial services
644,,germany,varta ag,industries
645,,poland,cd projekt,communication services
646,,poland,mbank,financial services
647,,switzerland,bucher industries ag,industry machinery
648,,germany,jungheinrich,industries
649,,spain,merlin properties socimi,real estate
650,,iceland,marel,industries
651,,luxembourg,inpost s.a.,industries
652,,belgium,cofinimmo sa,real estate
653,,uk,dr. martens plc,footwear
654,,hungary,richter gedeon vegyeszeti gyar nyilvanosan mukodo,healthcare
655,,spain,inmobiliaria colonial socimi,real estate
656,,switzerland,vontobel holding ag,financial services
657,,uk,deliveroo plc,online food delivery
658,,sweden,securitas ab,industries
659,,spain,bankinter,financial services
660,,norway,storebrand asa,financial services
661,,ireland,glanbia,consumer defensive
662,,denmark,h. lundbeck a/s,healthcare
663,,italy,banca generali,financial services
664,,switzerland,bb biotech ag,healthcare
665,,uk,atotech ltd,electronics
666,,france,atos se,technology
667,,switzerland,sportradar,media
668,,italy,banco bpm societa per azioni,financial services
669,,uk,ig group holdings,financial services
670,,uk,travis perkins,industries
671,,switzerland,dufry ag,consumer cyclical
672,,germany,1&1 ag,communication services
673,,germany,dermapharm holding se,healthcare
674,,italy,brembo,consumer cyclical
675,,uk,harbour energy plc,energy
676,,italy,stevanato group s.p.a.,medical equipment
677,,uk,abcam,healthcare
678,,denmark,netcompany group a/s,technology
679,,norway,leroy seafood group asa,consumer defensive
680,,france,colas sa,industries
681,,uk,inchcape,consumer cyclical
682,,uk,polar capital technology trust,investments
683,,sweden,hexpol ab (publ),basic materials
684,,sweden,oatly group ab,non-alcoholic beverages
685,,belgium,melexis nv,technology
686,,italy,brunello cucinelli,consumer cyclical
687,,sweden,elekta ab (publ),healthcare
688,,uk,watches of switzerland group,consumer cyclical
689,,uk,sophos group,technology
690,,italy,erg spa,utilities
691,,france,tikehau capital,financial services
692,,austria,ams ag,technology
693,,belgium,aedifica sa,real estate
694,,uk,hicl infrastructure,investments
695,,germany,siltronic ag,technology
696,,uk,arrival,electric vehicles
697,,luxembourg,ses,communication services
698,,france,interparfums sa,consumer defensive
699,,ireland,adient,consumer cyclical
700,,finland,huhtamaki oyj,consumer cyclical
701,,france,compagnie du cambodge,industries
702,,germany,aurubis ag,basic materials
703,,belgium,financiere de tubize sa,healthcare
704,,uk,greencoat uk wind,asset management
705,,germany,stroer se & co. kgaa,communication services
706,,switzerland,stadler rail ag,industries
707,,italy,salvatore ferragamo,consumer cyclical
708,,france,nexans s.a.,industries
709,,uk,softcat,technology
710,,sweden,nordnet ab (publ),financial services
711,,uk,smithson investment trust,asset management
712,,russia,moscow exchange micex-rts,financial services
713,,uk,games workshop group,consumer cyclical
714,,sweden,corem property group ab (publ),real estate
715,,sweden,dometic group ab (publ),technology
716,,luxembourg,aperam,basic materials
717,,uk,livanova,healthcare
718,,netherlands,vopak,energy
719,,uk,petershill partners plc,financial services
720,,austria,strabag se,industries
721,,russia,federal hydro-generating company - rushydro,utilities
722,,uk,tate & lyle,consumer defensive
723,,uk,3i infrastructure,investments
724,,france,nexans,industries
725,,italy,acea spa,utilities
726,,france,spie sa,industries
727,,uk,"diversey holdings, ltd.",fmcg
728,,uk,pennon group,utilities
729,,sweden,addlife ab (publ),healthcare
730,,uk,computacenter,technology
731,,luxembourg,brederode sa,financial services
732,,germany,rheinmetall ag,industries
733,,uk,alliance trust,financial services
734,,uk,greggs,consumer defensive
735,,belgium,telenet group holding nv,communication services
736,,austria,mayr-melnhof karton ag,consumer cyclical
737,,uk,ihs holding ltd,telecom
738,,russia,raspadskaya,basic materials
739,,spain,laboratorios farmaceuticos rovi,healthcare
740,,italy,buzzi unicem,basic materials
741,,denmark,simcorp a/s,technology
742,,uk,rotork,industries
743,,russia,united aircraft corporation,industries
744,,austria,wienerberger ag,basic materials
745,,spain,banco de sabadell,financial services
746,,france,neoen,utilities
747,,uk,monks investment trust,investments
748,,uk,man group,financial services
749,,italy,leonardo,industries
750,,switzerland,vz holding ag,financial services
751,,uk,s4 capital,advertising
752,,uk,the renewables infrastructure group limited,renewable energy
753,,switzerland,polypeptide group ag,healthcare
754,,norway,entra asa,real estate
755,,russia,inter rao ues,utilities
756,,uk,genus,healthcare
757,,uk,big yellow group,real estate
758,,spain,grupo catalana occidente,financial services
759,,isle of man,nepi rockcastle,real estate
760,,luxembourg,iwg,industries
761,,uk,fevertree drinks,consumer defensive
762,,germany,verbio vereinigte bioenergie ag,utilities
763,,netherlands,arcadis nv,industries
764,,germany,hugo boss ag,consumer cyclical
765,,sweden,veoneer,consumer cyclical
766,,uk,beazley,financial services
767,,france,trigano,consumer cyclical
768,,uk,investec group,financial services
769,,france,elis sa,industries
770,,germany,metro ag,consumer defensive
771,,uk,safestore holdings,property investments
772,,belgium,kbc ancora sca,financial services
773,,greece,public power corporation s.a.,utilities
774,,norway,sparebank 1 sr-bank asa,financial services
775,,italy,unipol gruppo,financial services
776,,uk,international public partnerships ld,investments
777,,germany,alstria office reit-ag,real estate
778,,italy,azimut holding,financial services
779,,sweden,sectra ab (publ),healthcare
780,,sweden,billerudkorsnas ab (publ),basic materials
781,,denmark,ringkjobing landbobank a/s,financial services
782,,germany,tag immobilien ag,real estate
783,,spain,cie automotive,consumer cyclical
784,,france,compagnie plastic omnium sa,consumer cyclical
785,,ireland,grafton group plc,construction materials
786,,switzerland,siegfried holding ag,healthcare
787,,switzerland,also holding ag,technology
788,,germany,zooplus ag,consumer cyclical
789,,uk,homeserve,industries
790,,ireland,alkermes,healthcare
791,,france,lagardere sca,consumer cyclical
792,,greece,eurobank ergasias,financial services
793,,france,societe fonciere lyonnaise sa,real estate
794,,austria,lenzing,basic materials
795,,switzerland,luzerner kantonalbank ag,financial services
796,,netherlands,royal boskalis westminster,industries
797,,italy,iren spa,utilities
798,,luxembourg,grand city properties,real estate
799,,austria,vienna insurance group ag,financial services
800,,switzerland,dottikon es holding ag,basic materials
801,,sweden,nordic entertainment group ab (publ),communication services
802,,uk,atlantica yield,utilities
803,,france,virbac sa,healthcare
804,,france,altarea,real estate
805,,france,altarea sca,real estate
806,,austria,ca immobilien anlagen ag,real estate
807,,poland,pge polska grupa energetyczna,utilities
808,,germany,dmg mori aktiengesellschaft,industries
809,,spain,"zardoya otis, s.a.",industries
810,,denmark,jyske bank a/s,financial services
811,,uk,dunelm group,consumer cyclical
812,,germany,compugroup medical societas europaea,healthcare
813,,czech republic,o2 czech republic,communication services
814,,faroe islands,p/f bakkafrost,consumer defensive
815,,uk,darktrace plc,artificial intelligence
816,,germany,prosiebensat.1 media se,communication services
817,,spain,acerinox,basic materials
818,,sweden,peab ab (publ),industries
819,,finland,metsa board oyj,basic materials
820,,switzerland,galenica ag,healthcare
821,,uk,virgin money uk,financial services
822,,austria,oberbank ag,financial services
823,,uk,londonmetric property,real estate
824,,uk,bovis homes group,consumer cyclical
825,,finland,tietoevry corporation,technology
826,,uk,thg plc,ecommerce
827,,belgium,compagnie d'entreprises cfe sa,industries
828,,germany,mainova ag,utilities
829,,sweden,fortnox ab (publ),technology
830,,uk,jet2 plc,industries
831,,finland,tietoevry oyj,technology
832,,uk,vistry group,real estate
833,,france,imerys,basic materials
834,,france,sopra steria group sa,technology
835,,switzerland,interroll holding ag,industries
836,,russia,rostelecom,communication services
837,,denmark,iss a/s,industries
838,,luxembourg,reinet investments,financial services
839,,germany,k+s,basic materials
840,,switzerland,idorsia ltd,healthcare
841,,poland,bnp paribas bank polska s.a.,financial services
842,,sweden,saab ab (publ),industries
843,,spain,corporacion financiera alba,financial services
844,,switzerland,allreal holding ag,real estate
845,,finland,qt group oyj,technology
846,,germany,tradegate ag wertpapierhandelsbank,financial services
847,,austria,pierer mobility ag,consumer cyclical
848,,france,rothschild & co sca,financial services
849,,uk,quilter,financial services
850,,germany,hypoport ag,financial services
851,,germany,freenet ag,communication services
852,,uk,britvic,consumer defensive
853,,switzerland,oc oerlikon corporation ag,industries
854,,sweden,q-linea ab (publ),healthcare
855,,belgium,galapagos nv,healthcare
856,,switzerland,inficon holding ag,technology
857,,finland,cargotec corporation,industries
858,,germany,krones ag,industries
859,,uk,onesavings bank,financial services
860,,france,gaztransport & technigaz sa,energy
861,,uk,hays,industries
862,,france,korian,healthcare
863,,netherlands,basic-fit,consumer cyclical
864,,sweden,cint group ab (publ),technology
865,,germany,kuka,industries
866,,sweden,wihlborgs fastigheter ab (publ),real estate
867,,uk,redrow,real estate
868,,finland,konecranes,industries
869,,switzerland,sulzer ltd,industries
870,,germany,durr,industries
871,,sweden,bure equity ab (publ),financial services
872,,france,rubis,utilities
873,,france,fromageries bel sa,consumer defensive
874,,switzerland,forbo holding ag,industries
875,,uk,ninety one,asset management
876,,uk,drax group,utilities
877,,switzerland,softwareone holding ag,technology
878,,uk,shaftesbury,real estate
879,,germany,sudzucker ag,consumer defensive
880,,romania,sngn romgaz sa,energy
881,,sweden,intrum ab (publ),financial services
882,,uk,harbourvest global private equity limited,asset management
883,,isle of man,playtech,consumer cyclical
884,,austria,immofinanz ag,real estate
885,,uk,rws holdings,industries
886,,greece,national bank of greece,financial services
887,,uk,grainger,real estate
888,,sweden,vimian group ab (publ),consumer cyclical
889,,france,air france-klm sa,industries
890,,uk,countryside properties,consumer cyclical
891,,sweden,jm ab (publ),consumer cyclical
892,,uk,pets at home group,consumer cyclical
893,,uk,technipfmc,energy
894,,sweden,mips ab (publ),consumer cyclical
895,,uk,itm power,technology
896,,sweden,arjo ab (publ),healthcare
897,,uk,ultra electronics holdings,industries
898,,uk,the schiehallion fund limited,financial services
899,,italy,bper banca,financial services
900,,russia,sistema public joint stock financial corporation,conglomerate
901,,sweden,nyfosa ab (publ),real estate
902,,russia,credit bank of moscow (public joint-stock company),financial services
903,,uk,worldwide healthcare trust,investments
904,,russia,rosseti,utilities
905,,greece,alpha bank,financial services
906,,switzerland,swissquote group holding ltd,financial services
907,,sweden,nolato ab (publ),industries
908,,luxembourg,befesa,industries
909,,switzerland,lem holding sa,technology
910,,france,argan sa,real estate
911,,denmark,dfds a/s,industries
912,,finland,outokumpu oyj,basic materials
913,,sweden,af poyry ab (publ),industries
914,,netherlands,veon,communication services
915,,austria,osterreichische post ag,industries
916,,uk,valaris,energy
917,,russia,public joint stock oil company bashneft,energy
918,,uk,asos,consumer cyclical
919,,france,covivio hotels societe anonyme,real estate
920,,spain,gestamp automocion,consumer cyclical
921,,italy,sesa,technology
922,,uk,caledonia investments,investments
923,,switzerland,bystronic ag,industries
924,,uk,close brothers group,financial services
925,,spain,viscofan,consumer cyclical
926,,spain,ebro foods,consumer defensive
927,,sweden,hufvudstaden ab (publ),real estate
928,,france,casino guichard-perrachon societe anonyme,consumer defensive
929,,romania,fondul proprietatea sa,financial services
930,,switzerland,medacta group sa,healthcare
931,,sweden,pandox ab (publ),consumer cyclical
932,,spain,vidrala,consumer cyclical
933,,sweden,troax group ab (publ),industries
934,,france,europcar mobility group,industries
935,,austria,uniqa insurance group ag,financial services
936,,france,ramsay generale de sante sa,healthcare
937,,italy,carel industries,technology
938,,switzerland,st. galler kantonalbank ag,financial services
939,,uk,mercantile investment trust (the),asset management
940,,netherlands,sbm offshore,energy
941,,denmark,alm. brand a/s,financial services
942,,spain,unicaja banco,financial services
943,,uk,victrex,basic materials
944,,ireland,keywords studios,communication services
945,,uk,kainos group,technology
946,,germany,software ag,technology
947,,italy,falck renewables,utilities
948,,luxembourg,millicom international cellular,communication services
949,,germany,gerresheimer ag,healthcare
950,,uk,ashmore group,financial services
951,,uk,paysafe limited,technology
952,,uk,templeton emerging markets investment trust plc,financial services
953,,sweden,bravida holding ab (publ),industries
954,,uk,wh smith,retail
955,,poland,orange polska,communication services
956,,germany,mvv energie ag,utilities
957,,germany,nagarro se,technology
958,,belgium,solvac,basic materials
959,,germany,kws saat se & co. kgaa,consumer defensive
960,,iceland,ossur,healthcare
961,,france,eutelsat communications,technology
962,,uk,ssp group,consumer cyclical
963,,russia,federal grid company of unified energy system,utilities
964,,germany,h&k ag,industries
965,,netherlands,corbion,basic materials
966,,portugal,banco comercial portugues,financial services
967,,uk,assura,real estate
968,,uk,pagegroup,industries
969,,luxembourg,samsonite international,consumer cyclical
970,,uk,finsbury growth & income trust,asset management
971,,portugal,"the navigator company, s.a.",paper and pulp
972,,belgium,nv bekaert sa,industries
973,,russia,nizhnekamskneftekhim,basic materials
974,,netherlands,cnova,consumer cyclical
975,,sweden,atrium ljungberg ab (publ),real estate
976,,uk,cranswick,consumer defensive
977,,norway,arendals fossekompani asa,utilities
978,,malta,kindred group,consumer cyclical
979,,sweden,hms networks ab (publ),technology
980,,uk,primary health properties,real estate
981,,sweden,lagercrantz group ab (publ),technology
982,,uk,hg capital trust,asset management
983,,france,robertet sa,basic materials
984,,germany,secunet security networks,technology
985,,malta,unibet group plc,consumer cyclical
986,,switzerland,dormakaba holding ag,industries
987,,norway,wallenius wilhelmsen asa,industries
988,,uk,savills,real estate
989,,france,technip energies n.v.,energy
990,,spain,compania de distribucion integral logista holdings,industries
991,,france,constellium se,basic materials
992,,switzerland,comet holding ag,technology
993,,denmark,bavarian nordic a/s,healthcare
994,,germany,encavis ag,utilities
995,,uk,domino's pizza group,consumer cyclical
996,,germany,teamviewer ag,technology
997,,germany,gag immobilien ag,real estate
998,,france,nexity sa,real estate
999,,sweden,fastpartner ab (publ),real estate
