,company_location,company_industry,company_revenue,company_name,company_employees,company_website
887,"Beursplein 5, Amsterdam, 1012JW",Financial Services,$8.7B,Euronext NV,"2,108",www.euronext.com
888,"27f, China Central Place, Tower Ii, 79 Jianguo Road, Chaoyang District, Beijing, 100025",Construction,$24.8M,Xinyuan Real Estate Co Ltd,"1,701",ir.xyre.com
889,"3120 Hansen Way, M/S G100, Palo Alto, California, 94304-1038",Medical Equipment,,Varian Medical Systems Inc,"10,613",www.varian.com
890,"1-12-35, Nanko Kita, Suminoe-Ku, Osaka-Shi, 559-8510",Consumer Packaged Goods,$562.6M,Mizuno Corp,"3,782",corp.mizuno.com
891,"5-25-1, Shimo-Oguchi, Oguchi-Cho, Niwa-Gun, Aichi, 480-0193",Industrial Goods and Machinery,$1.3B,Okuma Corp,"3,953",www.okuma.co.jp
892,"29 Nakajima-cho, Kisshoin, Kyoto-Shi, 6018530",Consumer Packaged Goods,$1.2B,Wacoal Holdings Corp,"19,717",www.wacoalholdings.jp
893,"287 Xiangke Road, Pudong New District, Shanghai, 201210",Pharmaceuticals and Healthcare,$13.0B,Jiangsu Hansoh Pharmaceutical Group Co Ltd,"10,783",www.hspharm.com
894,"Suites 3003-04, 30/F,Tower 2,The Gateway, 25 Canton Road, Tsimshatsui, Kowloon, Hong Kong",Consumer Packaged Goods,$782.2M,Stella International Holdings Ltd,"43,360",www.stella.com.hk
895,"1200 17th Street, Floor 15, Denver, Colorado, 80202",Technology and Communications,$14.4B,Palantir Technologies Inc,"3,712",www.palantir.com
896,"399 Park Avenue, 5th Floor, New York, 10022",Financial Services,$3.1B,Moelis & Co,990,www.moelis.com
897,"1100 Campus Road, Princeton, New Jersey, 08540",Medical Equipment,$4.6B,Integra LifeSciences Holdings Corp,"3,800",www.integralife.com
898,"Erika-Mann-Str. 69, Muenchen, 80636",Technology and Communications,$1.3B,Cancom SE,"3,698",www.cancom.com
899,"Samuel Asabia House, 35 Marina, P.O. Box 5216, Lagos",Financial Services,$919.0M,FBN Holdings Plc,"8,178",www.fbnholdings.com
900,"2-18-8, Sotokanda, Chiyoda-Ku, Tokyo, 101-8621",Leisure and Arts,$1.7B,Kyoritsu Maintenance Co Ltd,"5,639",www.kyoritsugroup.co.jp
901,"Ndk Daini Ikenohata Bldg., 1-2-23, Ikenohata, Taito-Ku, Tokyo, 110-8706",Construction,$746.8M,Nippon Densetsu Kogyo Co Ltd,"4,706",www.densetsuko.co.jp
902,"1000 Urban Center Drive, Suite 501, Birmingham, Alabama, 35242",Construction,$8.1B,Medical Properties Trust Inc,112,medicalpropertiestrust.com
903,"No.26, Zilian Road, Xinshi District, Tainan, 741",Technology and Communications,$1.3B,Himax Technologies Inc,"2,083",www.himax.com.tw
904,"33 Broadway, Newmarket, Auckland, 1023",Power,$5.2B,Mercury NZ Ltd,"1,335",www.mercury.co.nz
905,"2227 Welbilt Blvd, New Port Richey, Florida, 34655-5130",Industrial Goods and Machinery,$3.4B,Welbilt Inc,"4,800",www.welbilt.com
906,"Menara Bank Danamonjl. Hr. Rasuna Said, Blok C No 10kel. Karet, Kec. Setiabudi, Jakarta Selatan, 12920",Financial Services,$1.6B,PT Bank Danamon Indonesia Tbk,"22,447",www.danamon.co.id
907,"L 24 175 Liverpool Street, Sydney, New South Wales, 2000",Metals and Mining,$4.2B,Evolution Mining Ltd,"2,689",evolutionmining.com.au
908,"Xiamen Xtep Tower, No. 89 Jiayi Road, Guanyinshan, Fujian, 361008",Consumer Packaged Goods,$3.3B,Xtep International Holdings Ltd,"8,500",www.xtep.com.hk
909,"Rue Joseph Pata, Cognac, 16100",Consumer Packaged Goods,$9.5B,Remy Cointreau SA,"1,924",www.remy-cointreau.com
910,"Ayritie 20, Vantaa, 01510",Construction,$1.3B,Uponor Oyj,"4,326",www.uponor.com
911,"9300 Lee Hwy, Fairfax, Virginia, 22031-6050",Technology and Communications,$1.8B,ICF International Inc,"8,000",www.icf.com
912,"No. 1 Guangfeng Industrial Avenue, West District, Zhongshan, Guangdong, 528411",Industrial Goods and Machinery,$1.9B,Zhongshan Broad-Ocean Motor Co Ltd,"12,704",www.broad-ocean.com
913,"Fpt Building, Lot B2, Duy Tan Road, Pham Hung Street, Cau Giay District, Hanoi",Technology and Communications,$3.9B,FPT Corp,"41,124",www.fpt.com.vn
914,"19, Yeocheon-Ro 217beon-Gil, Nam-Gu, Ulsan, 44714",Chemicals,$1.2B,LOTTE Fine Chemical Co Ltd,810,www.lottefinechem.com
915,"Level 13, Block 4, Plaza Sentrl, Jalan Stesen Sentral 5, Kuala Lumpur, 50470",Power,$791.9M,Malakoff Corporation Bhd,"3,922",www.malakoff.com.my
916,"Costain House, Vanwall Business Park, Maidenhead, SL64UB",Construction,$142.6M,Costain Group Plc,"3,311",www.costain.com
917,"Moskva, Ul. Mashi Poryvaevoy, 34, Moscow, 107078",Financial Services,$2.5B,Rosbank PAO,,www.rosbank.ru
918,"12f, Landmark Tower, 2-2-1, Minatomirai, Nishi-Ku, Yokohama-Shi, Kanagawa, 220-8112",Retailing,$1.2B,Colowide Co Ltd,"5,319",www.colowide.co.jp
919,"3-6-3, Kitano, Niiza-Shi, Saitama, 352-8666",Technology and Communications,$1.4B,Sanken Electric Co Ltd,"8,101",www.sanken-ele.co.jp
920,"10 Crown Place, London, EC2A4FT",Financial Services,$2.0B,Close Brothers Group Plc,"3,823",www.closebrothers.com
921,"22 Sylvan Way, Parsippany, New Jersey, 07054-3801",Leisure and Arts,$6.4B,Wyndham Hotels & Resorts Inc,"8,000",corporate.wyndhamhotels.com
922,"8 Crosby Dr, Bedford, Massachusetts, 01730-1402",Consumer Packaged Goods,$1.3B,iRobot Corp,"1,316",www.irobot.com
923,"6f, No.23, Hsin Hu 3rd Road, Neihu District, Taipei, 114",Consumer Packaged Goods,$334.6M,"Test Rite International Co., Ltd.","4,713",www.testritegroup.com
924,"No. 238, Tianshan Avenue, High-Tech Industrial Development Zone, Shijiazhuang, Hebei, 050035",Pharmaceuticals and Healthcare,$7.1B,Shijiazhuang Yiling Pharmaceutical Co Ltd,"15,155",www.yiling.cn/en
925,"5-2-1, Makiminato, Urasoe-Shi, Okinawa, 901-2602",Power,$450.1M,Okinawa Electric Power Co Inc,"2,806",www.okiden.co.jp
926,"1717 S Boulder Ave, Tulsa, Oklahoma, 74119",Metals and Mining,$2.6B,Alliance Resource Partners LP,"2,990",www.arlp.com
927,"The Hayesbery, 1-11 Hayes Road, Rosebery, New South Wales, 2018",Construction,$25.1B,Goodman Group,"1,100",www.goodman.com
928,"75-1, Hasunuma-Cho, Itabashi-Ku, Tokyo, 174-8580",Metals and Mining,$1.3B,Topcon Corp,"5,248",www.topcon.co.jp
929,"8f, No.3-1, Yuan Qu Strt,San Chong Li, Nangang Dst., Taipei, 115",Technology and Communications,$675.8M,SerComm Corp,"4,172",www.sercomm.com
930,"No. 592, Linping Avenue, Yuhang Economic Development Zone, Hangzhou, Zhejiang, 311100",Consumer Packaged Goods,$4.4B,Hangzhou Robam Appliances Co Ltd,"4,879",www.robam.com
931,"5956 W Las Positas Blvd, Pleasanton, California, 94588-8540",Construction,$4.1B,Simpson Manufacturing Co Inc,"3,971",www.simpsonmfg.com
932,"No.123 Park 3rd Avenue, Hsinchu Science-Based Industrial Park, Baoshan, 300",Technology and Communications,$5.0B,Vanguard International Semiconductor Corp,"3,564",www.vis.com.tw
933,"2 Hamra Dr, Adelaide, South Australia, 5950",Metals and Mining,$6.5B,OZ Minerals Ltd,"1,037",www.ozminerals.com
934,"21823 30th Drive Se, Suite, Bothell, Washington, 98021",Pharmaceuticals and Healthcare,$24.2B,Seagen Inc,"2,675",www.seagen.com
935,"1001 Fannin Street, Suite 1500, Houston, Texas, 77002",Energy and Utilities,$5.7B,Chord Energy Corporation,255,www.chordenergy.com
936,"Greggs House, Quorum Business Park, Newcastle Upon Tyne, NE128BU",Retailing,$3.3B,Greggs Plc,"22,883",corporate.greggs.co.uk
937,"4f, 19, Academy-Ro 51beon-Gil, Yeonsu-Gu, Incheon, 22014",Pharmaceuticals and Healthcare,$7.7B,Celltrion Healthcare Co Ltd,,www.celltrionhealthcare.com
938,"2795 Cottonwood Parkway, Suite 400, Salt Lake City, Utah, 84121",Construction,$20.2B,Extra Space Storage Inc,"4,309",www.extraspace.com
939,"1740 Technology Dr Ste 150, San Jose, California, 95110-1348",Technology and Communications,$6.1B,Nutanix Inc,"6,450",www.nutanix.com
940,"1 Rockingham Way, Redhouse Interchange, Adwick-Le-Street, Doncaster, DN67NA",Retailing,$472.1M,DFS Furniture plc,"5,048",www.dfscorporate.co.uk
941,"Suite 250, 1800 Hughes Landing Blvd, The Woodlands, Texas, 77380",Construction,$966.0M,Sterling Infrastructure Inc,"2,900",www.strlco.com
942,"Level 2, 299 Coronation Drive, Milton, Brisbane, Queensland, 4064",Business and Consumer Services,$4.4B,ALS Ltd,"18,500",www.alsglobal.com
943,"Industriezeile 35, Linz, 4020",Technology and Communications,$1.3B,Kontron AG,"5,991",www.snt-systemhaus.at
944,"1200-10423 101 St Nw, Edmonton, Alberta, T5H0E9",Power,$4.0B,Capital Power Corp,827,www.capitalpower.com
945,"International Business Gateway Park, Corner Of New Road And 6th Street, Johannesburg, 1685",Technology and Communications,$189.3M,Alviva Holdings Ltd,"3,800",alvivaholdings.com
946,"Suite 800, 2445 Technology Forest Boulevard, The Woodlands, Texas, 77381",Retailing,$253.1M,Conn's Inc,"4,000",www.conns.com
947,"888 7th Ave, New York, 10106-0001",Construction,$4.4B,Vornado Realty Trust,"3,224",www.vno.com
948,"5-8f, Pola Ginza Bldg., 1-7-7, Ginza, Chuo-Ku, Tokyo, 104-0061",Consumer Packaged Goods,$3.1B,POLA Orbis Holdings Inc,"4,261",www.po-holdings.co.jp
949,"5101 Tennyson Parkway, Plano, Texas, 75024",Technology and Communications,$12.7B,Tyler Technologies Inc,"7,176",www.tylertech.com
950,"No.10 Building, Guangqu Home, Dongcheng District, Beijing, 100085",Technology and Communications,$2.3B,China TransInfo Technology Co Ltd,"7,090",www.ctfo.com
951,"1-6-21, Sogawa, Toyama-Shi, 930-8583",Pharmaceuticals and Healthcare,$41.2M,Nichi-Iko Pharmaceutical Co Ltd,"2,656",www.nichiiko.co.jp
952,"22-24f, Huaqiao International Mansion, Section 2, Furong Middle Road, Furong District, Changsha, Hunan, 410002",Financial Services,$8.2B,Founder Securities Co Ltd,"6,818",www.foundersc.com
953,"20 Davis Drive, Belmont, California, 94002-3002",Technology and Communications,$3.5B,RingCentral Inc,"3,919",www.ringcentral.com
954,"No. 108, Meiliang Road, Mashan, Wuxi, Jiangsu",Pharmaceuticals and Healthcare,$37.5B,WuXi Biologics Cayman Inc,"10,593",www.wuxibiologics.com
955,"Suite G-350, 3375 Koapaka Street, Honolulu, Hawaii, 96819-1804",Transport and Logistics,$626.7M,Hawaiian Holdings Inc,"6,932",www.hawaiianairlines.com
956,"Post Box No. 3000, Hosur Road, Adugodi, Bangalore, 560030",Automotive,$6.2B,Bosch Ltd,"6,041",www.bosch.in
957,"600 N Hurstbourne Pkwy Ste 400, Louisville, Kentucky, 40222-5389",Leisure and Arts,$8.6B,Churchill Downs Incorporated,"5,000",www.churchilldownsincorporated.com
958,"Core -1, Scope Complex, Lodhi Road, 7 Institutional Area, New Delhi, 110003",Metals and Mining,$656.9M,MMTC Ltd,702,mmtclimited.com
959,"15 Changi Business Park Central 1, #06-00, Singapore, 486057",Industrial Goods and Machinery,,Excelpoint Technology Ltd,700,www.excelpoint.com
960,"Blekholmstorget 30 E7, Stockholm, 11164",Construction,$379.4M,Nobia AB,"6,199",www.nobia.com
961,"Wisma Kossan, Lot 782, Off Batu 3 3/4 Jalan Kapar, Jalan Sungai Putus, Klang, 42100",Industrial Goods and Machinery,$638.7M,Kossan Rubber Industries Berhad,"7,000",www.kossan.com
962,"5th Floor Melbourne House, 44-46 Aldwych, London, WC2B4LL",Industrial Goods and Machinery,$4.2B,Spectris Plc,"7,788",www.spectris.com
963,"No.1 Higashikata-Cho, Tsuzuki-Ku, Yokohama-Shi, Kanagawa, 221-0056",Technology and Communications,$583.7M,Tokyo Electron Device Ltd,"1,279",www.teldevice.co.jp
964,"150 Peabody Pl, Memphis, Tennessee, 38103",Business and Consumer Services,$1.9B,Frontdoor Inc,"2,081",www.frontdoorhome.com
965,"No. 18, Changsheng Road, Changping District, Beijing, 102200",Technology and Communications,$6.4B,China National Software & Service Co Ltd,"11,892",www.css.com.cn
966,"14901 South Orange Blossom Trail, Orlando, Florida, 32837",Consumer Packaged Goods,$193.0M,Tupperware Brands Corp,"10,000",www.tupperwarebrands.com
967,"210 E Earll Dr, Phoenix, Arizona, 85012-2626",Technology and Communications,$4.4B,Cable One Inc,"3,628",www.cableone.biz
968,"No.8 Fenghui South Road, High-Tech Zone, Xi'An, Shaanxi, 710075",Industrial Goods and Machinery,$3.3B,Xi'An Shaangu Power Co Ltd,"3,430",www.shaangu.com
969,"Building 2495, Road 2832, P.O. Box 2424, Al Seef, 428",Financial Services,$10.9B,Ahli United Bank BSc,"3,294",www.ahliunited.com
970,"Dusager 4, Aarhus N, 8200",Alternative Energy,,Vestas Offshore Wind AS,"3,000",www.mhivestasoffshore.com
971,"Corso Di Francia 200, Roma, 00191",Construction,$1.1B,Cementir Holding NV,"3,104",www.cementirholding.it
972,"107, Ihyeon-Ro 30beon-Gil, Giheung-Gu, Yongin, 16924",Pharmaceuticals and Healthcare,$654.1M,GC Corp,170,www.greencross.com
973,"Austurhraun 9, Gardabaer, 210",Industrial Goods and Machinery,$3.1B,Marel hf,"6,645",marel.com
974,"1800 W Ashton Blvd, Lehi, Utah, 84043-5490",Alternative Energy,,Vivint Solar Inc,"1,200",www.vivintsolar.com
975,"225 Bush St Ste 1400, San Francisco, California, 94104-4249",Alternative Energy,$6.1B,Sunrun Inc,"11,383",www.sunrun.com
976,"170 Industriel Blvd, Boucherville, Quebec, J4B2X3",Retailing,$1.3B,Uni-Select Inc.,"1,321",www.uniselect.com
977,"Avenue Du Bourget 3, Bruxelles, 1140",Technology and Communications,$1.0B,Orange Belgium SA,"1,321",www.orange.be
978,"No. 1, Section 1, Minsheng Road, Banqiao District, New Taipei, 220",Paper and Packaging,$1.0B,Cheng Loong Corp,"9,680",www.clc.com.tw
979,"No. 388, Heping East Road, Shijiazhuang, Hebei, 050015",Pharmaceuticals and Healthcare,$1.6B,North China Pharmaceutical Co Ltd,"11,501",www.ncpc.com
980,"2f, Morinaga Plaza Bldg., 5-33-1, Shiba, Minato-Ku, Tokyo, 108-8403",Consumer Packaged Goods,$1.4B,Morinaga & Co Ltd,"2,937",www.morinaga.co.jp
981,"306-9440 202 St, Langley, British Columbia, V1M4A6",Construction,$500.0M,ADENTRA Inc,"2,734",www.hardwoods-inc.com
982,"Sulbia Bsde Lnd Cstms Clrng Area Saft, P.O. Box 25418, Safat, 13115",Transport and Logistics,$5.1B,Agility Public Warehousing Co,"5,005",www.agility.com
983,"1505 S Pavilion Center Dr, Las Vegas, Nevada, 89135-1403",Leisure and Arts,$4.5B,"Red Rock Resorts, Inc.","7,800",www.redrockresorts.com
984,"1-2-26, Tsutsumicho-Dori, Toyama-Shi, 930-8637",Financial Services,$997.0M,Hokuhoku Financial Group Inc,"4,670",www.hokuhoku-fg.co.jp
985,"Block - 1, Neyveli, Cuddalore, 607801",Power,$1.4B,NLC India Ltd,"11,246",www.nlcindia.in/new_website/index.htm
986,"L 6 161 Collins St, Melbourne, Victoria, 3000",Financial Services,$1.7B,Insignia Financial Ltd,"1,300",www.insigniafinancial.com.au
987,"19003 Ih-10 West, San Antonio, Texas, 78257",Energy and Utilities,$1.8B,NuStar Energy LP,"1,267",www.nustarenergy.com
988,"Ryogoku City Core, 2-10-14, Ryogoku, Sumida-Ku, Tokyo, 130-0026",Paper and Packaging,$96.0M,Mitsubishi Paper Mills Ltd,"3,384",www.mpm.co.jp
989,"Suite 100, 9 Pasteur, Irvine, California, 92618",Technology and Communications,,Razer Inc,"1,576",www.razer.com
990,"Bagmane Technology Park, Byrasandra, C V Raman Nagar, Bangalore, 560095",Technology and Communications,$4.7B,MphasiS Ltd,"14,098",www.mphasis.com
991,"Xinhua Star Tower A, 238 Sanse Road, Jinjiang District, Chengdu, Sichuan, 610063",Retailing,$1.5B,Xinhua Winshare Publishing and Media Co Ltd,"7,481",www.winshare.com.cn
992,"Gulab Bhawan, 6a, Bahadur Shah Zafar Marg, New Delhi, 110002",Automotive,$549.3M,JK Tyre & Industries Ltd,"5,904",www.jktyre.com
993,"Aleje Jerozolimskie 92, Warszawa, 00-807",Metals and Mining,$279.0M,Boryszew SA,"9,000",www.boryszew.com.pl
994,"Gustav Mahlerlaan 10, Amsterdam, Noord-Holland, 1082",Financial Services,,ABN AMRO Private Banking,"2,848",www.abnamroprivatebanking.com
995,"2f, Bx Hall, 1-17-3, Nishi-Kata, Bunkyo-Ku, Tokyo, 113-8535",Construction,$636.2M,Bunka Shutter Co Ltd,"4,794",www.bunka-s.co.jp
996,"Rayon Yesil', Ul. Ye-10, 17/12, Astana, 010000",Metals and Mining,$7.9B,Kazatomprom,"21,000",www.kazatomprom.kz
997,"3636 North Central Ave, Ste 1200, Phoenix, Arizona, 85012",Construction,$2.3B,Cavco Industries Inc,"6,300",www.cavco.com
998,"3500, 520 - 3rd Avenue S.W., Calgary, Alberta, T2P0R3",Energy and Utilities,$2.5B,Vermilion Energy Inc,716,www.vermilionenergy.com
999,"P.O. Box 435, Heerenveen, 8440AK",Consumer Packaged Goods,,Accell Group N.V.,"3,763",www.accell-group.com
1000,"No. 7, Rongda Road, Chaoyang District, Beijing, 100102",Technology and Communications,$3.1B,Taiji Computer Corp Ltd,"4,760",www.taiji.com.cn
1001,"1500-625 Howe Street, Vancouver, British Columbia, V6C2T6",Metals and Mining,$3.8B,Pan American Silver Corp,"7,100",www.panamericansilver.com
1002,"Suite 3000, 161 Bay Street, Toronto, Ontario, M5J2S1",Financial Services,$828.7M,Canaccord Genuity Group Inc,"2,615",www.cgf.com
1003,"High Cross, Madingley Road, Cambridge, CB30HB",Technology and Communications,$11.9B,AVEVA Group Plc,"6,319",www.aveva.com
1004,"No.999 Meili Road, Huaiyin District, Ji'Nan, Shandong , 250018",Consumer Packaged Goods,$2.2B,Joyoung Co Ltd,"2,915",www.joyoung.com
1005,"Birger Jarlsgatan 43, Box 5112, Stockholm, 10243",Industrial Goods and Machinery,$4.1B,Addtech AB,"3,805",www.addtech.com
1006,"One Lands' End Ln, Dodgeville, Wisconsin, 53595",Retailing,$265.0M,Lands' End Inc,"5,000",www.landsend.com
1007,"Airlines House, 113 Gurudwara Rakabganj Road, New Delhi, 110001",Transport and Logistics,,Air India Ltd,,www.airindia.in
1008,"6-28, Rokuban-Cho, Chiyoda-Ku, Tokyo, 102-8465",Construction,$869.4M,Sumitomo Osaka Cement Co Ltd,"3,068",www.soc.co.jp
1009,"So 72 Pho Tran Hung Dao, Phuong Tran Hung Dao, Quan Hoan Kiem, Hanoi",Financial Services,$1.5B,Baoviet Holdings,"5,180",www.baoviet.com.vn
1010,"Suite 300, 3220 Tillman Drive, Bensalem, Pennsylvania, 19020",Business and Consumer Services,$992.8M,Healthcare Services Group Inc,"39,200",www.hcsgcorp.com
1011,"305, Jongga-Ro, Jung-Gu, Ulsan, 44538",Energy and Utilities,,Korea National Oil Corp,,www.knoc.co.kr
1012,"Suite 900, 40 Pacifica, Irvine, California, 92618",Construction,,CoreLogic Inc,"5,300",www.corelogic.com
1013,"Graha Cimb Niaga, Jl. Jend. Sudirman Kav. 58, Jakarta, 12190",Financial Services,$1.9B,PT Bank CIMB Niaga Tbk,"10,786",www.cimbniaga.com
1014,"555 Broadway, New York, 10012-3919",Media,$1.4B,Scholastic Corp,"5,160",www.scholastic.com
1015,"2 Nd Floor Muthootchambers, Opp Saritha, Kochi, 682018",Financial Services,$5.2B,Muthoot Finance Ltd,"26,716",www.muthootfinance.com
1016,"Level 1, 555 Coronation Drive, Toowong, Queensland, 4066",Technology and Communications,$723.7M,Data#3 Ltd,"1,378",www.data3.com
1017,"89 Avenue Charles De Gaulle, Neuilly-Sur-Seine, 92200",Media,$2.1B,Metropole Television SA,"2,240",www.groupem6.fr
1018,"Room 03-07, 30th Floor, Shanghai Mart, 2299 Yanan Road West, 200062",Automotive,$338.2M,Xingda International Holdings Limited,"8,000",www.xingda.com.cn
1019,"Tokyo Fujimi Bldg., 1-11-2, Fujimi, Chiyoda-Ku, 100-0005",Chemicals,$1.5B,Nippon Kayaku Co Ltd,"5,703",www.nipponkayaku.co.jp
1020,"Level 15, 133 Castlereagh Street, Sydney, New South Wales, 2000",Construction,,GHD Group Pty Ltd,"10,000",www.ghd.com
1021,"968 James St, Syracuse, New York, 13203-2503",Leisure and Arts,$116.7M,Carrols Restaurant Group Inc,"25,500",www.carrols.com
1022,"Business Central Towers, 2302 A, Ofc 5, Sheikh Zayed Road, P.O. Box 95946 Dubai Media City",Transport and Logistics,$1.4B,Aramex,"18,000",www.aramex.com
1023,"10 Avenue de la Ballastiere, Libourne, 33500",Pharmaceuticals and Healthcare,,Ceva Sante Animale SA,"6,300",www.ceva.com
1024,"Klarabergsviadukten 70, Section C6, Box 13089, Stockholm, 10302",Automotive,,Veoneer Inc,"7,099",www.veoneer.com
1025,"18 F, China Minmetals Tower, 79 Chatham Road South, Tsimshatsui, Kowloon, Hong Kong",Construction,$235.5M,Minmetals Land Ltd,"1,180",www.minmetalsland.com
1026,"Schlossplatz 1, Bad Neustadt An Der Saale, 97616",Pharmaceuticals and Healthcare,$1.1B,Rhon-Klinikum AG,"18,137",www.rhoen-klinikum-ag.com
1027,"5-21-3, Sendagaya, Shibuya-Ku, Tokyo, 151-0051",Medical Equipment,$1.1B,BML Inc,"4,290",www.bml.co.jp
1028,"Velikiy Novgorod, 173012",Chemicals,$10.7B,Acron,"11,205",www.acron.ru
1029,"Einsteinstrasse 172, Muenchen, 81677",Technology and Communications,$2.6B,Siltronic AG,"4,300",www.siltronic.com
1030,"9255 Coverdale Road, Fort Wayne, Indiana, 46809",Industrial Goods and Machinery,$3.9B,Franklin Electric Co Inc,"6,400",franklin-electric.com
1031,"430 Airport Rd, Greeneville, Tennessee, 37745",Transport and Logistics,$2.7B,Forward Air Corp,"4,035",www.forwardair.com
1032,"Pirojshanagar, Eastern Express Highway, Vikhroli, Mumbai, 400079",Consumer Packaged Goods,$11.6B,Godrej Consumer Products Ltd,"2,601",www.godrejcp.com
1033,"Big Wing, 591-1, Miyata-Cho, Hikone-Shi, Shiga, 522-8588",Industrial Goods and Machinery,$2.0B,Fujitec Co Ltd,"10,683",www.fujitec.co.jp
1034,"B D S Marg, Chakala, Off Western Express Highway, Andheri (E), Mumbai, 400099",Pharmaceuticals and Healthcare,$1.4B,Glenmark Pharmaceuticals Ltd,"15,415",glenmarkpharma.com
1035,"Ste. 1500, 5400 Lbj Freeway, Dallas, Texas, 75240",Energy and Utilities,$7.0B,Matador Resources Co,286,www.matadorresources.com
1036,"Brindavan, Plot No. 177, C.S.T Road Kalina, Santacruz (East), Mumbai, Maharashtra, 400098",Financial Services,$2.9B,L&T Finance Holdings Ltd,"24,643",www.ltfs.com
1037,"30 St.Clair Avenue West, 17th Floor, Toronto, Ontario, M4V3A1",Power,$7.1B,Northland Power Inc,"1,186",www.northlandpower.com/Default.aspx
1038,"23, Academy-Ro, Yeonsu-Gu, Incheon, 22014",Pharmaceuticals and Healthcare,$19.4B,Celltrion Inc,"1,074",www.celltrion.com
1039,"R Fortunato Ferraz, 1001 1141, Vila Anastacio, Sao Paulo, 05.425-070",Consumer Packaged Goods,$631.0M,Camil Alimentos SA,"7,000",www.camil.com.br
1040,"Mall Of Asia Complex Annex Building, Coral Way Cor. J.W. Diokno Blvd., Brgy. 76, Zone 10, Cbp-1a, Pasay, 1300",Construction,$20.1B,SM Prime Holdings Inc,"8,141",www.smprime.com
1041,"1-12-3, Kasuga, Nishi-ku, Kumamoto-Shi, 860-0047",Financial Services,$1.7B,Kyushu Financial Group Inc,"4,596",www.kyushu-fg.co.jp
1042,"Victoria Place, 5th Floor, 31 Victoria Street, Hamilton, HM10",Transport and Logistics,$4.2B,Triton International Ltd,237,www.tritoninternational.com
1043,"266 - 268 Nam Ky Khoi Nghia, Phuong Vo Thi Sau, Quan 3, Ho Chi Minh",Financial Services,$2.2B,Saigon Thuong Tin Commercial Joint Stock Bank,"18,380",www.sacombank.com
1044,"380 Polaris Parkway, Westerville, Ohio, 43082",Consumer Packaged Goods,$5.3B,Lancaster Colony Corp,"3,200",www.lancastercolony.com
1045,"24f, Jp Tower, 2-7-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-7024",Technology and Communications,$2.3B,Net One Systems Co Ltd,"2,703",www.netone.co.jp
1046,"436 7th Ave, Pittsburgh, Pennsylvania, 15219-1826",Chemicals,$661.6M,Koppers Holdings Inc,"2,088",www.koppers.com
1047,"Av. Abramo Randon, 770, Interlagos, Caxias Do Sul, 95.055-010",Automotive,$493.6M,Randon SA Implementos e Participacoes,"6,413",www.randon.com.br
1048,"Via Spagna 20, Rimini, 47921",Retailing,$930.5M,Marr SpA,"1,003",www.marr.it
1049,"Praca Antonio Prado, 48 7 Andar, Centro, Sao Paulo, 01.010-901",Financial Services,$15.4B,B3 SA,"2,135",www.b3.com.br
1050,"Nhn Ent. Play Museum, 16, Daewangpangyo-Ro 645beon-Gil, Bundang-Gu, Seongnam, 13487",Technology and Communications,$736.5M,NHN Corp,627,www.nhn.com
1051,"345 Encinal Street, Santa Cruz, California, 95060",Technology and Communications,,Plantronics Inc,"6,500",www.poly.com/us/en
1052,"No.11, Jingke Road, Nantun District, Taichung, 408",Technology and Communications,$9.2B,Largan Precision Co Ltd,"6,285",www.largan.com.tw
1053,"11/13, Botawala Building, 1st Floor, Office No. 2 -6, Horniman Circle Fort, Mumbai, Maharashtra, 400001",Consumer Packaged Goods,$8.5B,Tata Consumer Products Ltd,"2,932",www.tataconsumer.com
1054,"Block-C, Sector - 45, Gurgaon, 122003",Chemicals,$7.9B,SRF Ltd,"6,674",www.srf.com/index.html
1055,"300 Kimball Dr Ste 101, Parsippany, New Jersey, 07054-2181",Chemicals,$1.2B,AdvanSix Inc,"1,375",www.advansix.com
1056,"1040 Spring St, Silver Spring, Maryland, 20910",Pharmaceuticals and Healthcare,$11.8B,United Therapeutics Corp,965,www.unither.com
1057,"Podium Level 2-4, Jiangsu Building, Yitian Road, Futian District, Shenzhen, Guangdong, 518057",Construction,$2.6B,Shenzhen Expressway Co Ltd,"7,032",www.sz-expressway.com
1058,"11720 Plaza America Drive, 9th Floor, Reston, Virginia, 20190",Business and Consumer Services,$1.4B,Stride Inc,"7,500",www.stridelearning.com
1059,"16f, No.3 Building,Dnghhchng Mnsn, Zijin Digital Park, Zhichun Road, Haidian District, Beijing, 100190",Technology and Communications,$2.9B,DHC Software Co Ltd,"11,766",www.dhcc.com.cn
1060,"No. 28, Weixin Road, Zhongxin Eclgcl Science Hub, Suzhou Industrial Park Zone, Beijing, 100015",Technology and Communications,$7.3B,360 Security Technology Inc,"7,393",www.360.cn
1061,"Level 1, Harbour City Tower, 29 Brandon Street, Wellington, 6011",Power,$4.0B,Contact Energy Ltd,"1,179",contact.co.nz
1062,"9f, No.360, Ruei Guang Road, Neihu District, Taipei, 114",Technology and Communications,$272.0M,Alltek Technology Corp,645,www.alltek.com
1063,"3-14-15, Nishiki, Naka-Ku, Nagoya-Shi, Aichi, 460-0003",Consumer Packaged Goods,$2.2B,Kagome Co Ltd,"2,822",www.kagome.co.jp
