,company_location,company_industry,company_revenue,company_name,company_employees,company_website
3252,"No. 988 Technology Road, Hi-Tech Development Zone, Kunming, Yunnan, 650106",Metals and Mining,$1.8B,Sino-Platinum Metals Co Ltd,"1,503",www.sino-platinum.com.cn
3253,"Saudamini, Plot No.2, Sector 29, Near IFFCO Chowk, Gurgaon, Haryana, 122001",Power,$18.7B,Power Grid Corporation of India Ltd,"8,536",www.powergrid.in
3254,"19f, Gate City Osaki West Tower, 1-11-1, Osaki, Shinagawa-Ku, Tokyo, 141-8584",Metals and Mining,$1.5B,Mitsui Mining & Smelting Co Ltd,"11,881",www.mitsui-kinzoku.com
3255,"222 Er' Huan Xi Road, Kunming, Yunnan, 650500",Pharmaceuticals and Healthcare,$15.2B,Yunnan Baiyao Group Co Ltd,"8,464",www.yunnanbaiyao.com.cn
3256,"33 Wigmore Street, London, W1U1QX",Construction,$1.9B,Babcock International Group Plc,"28,975",www.babcockinternational.com
3257,"Zuidpoolsingel 2, Alphen Aan Den Rijn, 2408ZE",Business and Consumer Services,$28.0B,Wolters Kluwer N.V.,"19,827",www.wolterskluwer.nl
3258,"Am Hof 6a, Wien, 1010",Power,$13.8B,Verbund AG,"3,457",www.verbund.com
3259,"Hiililaiturinkuja 2, Helsinki, 00180",Industrial Goods and Machinery,$5.7B,Wartsila Corp,"17,585",www.wartsila.com
3260,"33 Kingsway, London, WC2B6UF",Retailing,$8.2B,Capri Holdings Ltd,"9,700",www.capriholdings.com/corporate-overview/default.a
3261,"Room 4606-08, China Resources Building, 26, Harbour Road, Wanchai, Hong Kong",Construction,$4.0B,China Resources Cement Holdings Ltd,"18,700",www.crcement.com
3262,"25 Airline Road, Airline House, Singapore, 819829",Transport and Logistics,$13.3B,Singapore Airlines Ltd,"22,222",www.singaporeair.com/en_UK/hk/home#/book/bookfligh
3263,"Oksenoyveien 10, Lysaker, 1366",Energy and Utilities,$20.0B,Aker BP ASA,"1,839",akerbp.com
3264,"227 W. Monroe St., 27th Floor, Chicago, Illinois, 60606",Metals and Mining,$1.2B,Ryerson Holding Corp,"4,000",ir.ryerson.com
