,company_country,company_name
130,Ireland,Medtronic
131,China,BYD
132,Japan,Sony
133,UK,Diageo
134,Japan,Keyence
135,USA,Automatic Data Processing
136,Germany,Porsche
137,Japan,NTT (Nippon Telegraph & Telephone)
138,Japan,Mitsubishi UFJ Financial
139,Netherlands,Airbus
140,USA,Stryker Corporation
141,Norway,Equinor
142,USA,Citigroup
143,Australia,CSL
144,USA,Cigna
145,Germany,Allianz
146,USA,Estee Lauder
147,Switzerland,Chubb
148,USA,TJX Companies
149,Germany,Merck KGaA
150,Spain,Inditex
151,USA,Applied Materials
152,USA,Mondelez
153,USA,Intuitive Surgical
154,S. Korea,LG Energy Solution
155,USA,PayPal
156,France,Schneider Electric
157,USA,Booking Holdings (Booking.com)
158,USA,General Electric
159,Switzerland,Glencore
160,USA,Marsh & McLennan Companies
161,USA,Analog Devices
162,UK,British American Tobacco
163,Brazil,Vale
164,France,EssilorLuxottica
165,Canada,Enbridge
166,Switzerland,Compagnie FinanciÃ¨re Richemont
167,Canada,Canadian National Railway
168,USA,ServiceNow
169,S. Arabia,Al Rajhi Bank
170,USA,Schlumberger
171,France,Air Liquide
172,USA,Altria Group
173,China,China Shenhua Energy
174,USA,Duke Energy
175,France,BNP Paribas
176,Germany,Volkswagen
177,USA,Regeneron Pharmaceuticals
178,USA,Progressive
179,Germany,Mercedes-Benz
180,India,Infosys
181,USA,Vertex Pharmaceuticals
182,China,Sinopec
183,USA,Southern Company
184,USA,EOG Resources
185,S. Arabia,SABIC
186,USA,Target
187,India,ICICI Bank
188,India,Hindustan Unilever
189,USA,Zoetis
190,France,Kering
191,USA,Moderna
192,Canada,Canadian Pacific Railway
193,USA,HCA Healthcare
194,USA,Becton Dickinson
195,UK,GlaxoSmithKline
196,USA,U.S. Bancorp
197,Spain,Iberdrola
198,USA,Illinois Tool Works
199,USA,3M
200,China,China Tourism Group Duty Free
201,China,China Yangtze Power
202,USA,Northrop Grumman
203,France,AXA
204,Switzerland,Zurich Insurance Group
205,Brazil,Petrobras
206,UAE,Alpha Dhabi
207,Australia,National Australia Bank
208,Mexico,Walmex
209,USA,Air Products and Chemicals
210,Canada,Bank of Montreal
211,USA,CSX Corporation
212,Singapore,DBS Group
213,China,CNOOC
214,USA,Equinix
215,USA,Boston Scientific
216,Indonesia,Bank Central Asia
217,India,State Bank of India
218,Japan,SoftBank
219,USA,PNC Financial Services
220,Switzerland,UBS
221,USA,General Dynamics
222,China,Postal Savings Bank of China
223,Germany,BMW
224,UK,Aon
225,Ireland,Eaton
226,USA,Crown Castle
227,USA,Fiserv
228,USA,Colgate-Palmolive
229,Mexico,America Movil
230,China,Nongfu Spring
231,USA,Lam Research
232,Japan,KDDI
233,USA,Freeport-McMoRan
234,USA,Sherwin-Williams
235,Italy,Enel
236,Canada,Canadian Natural Resources
237,USA,Airbnb
238,USA,Waste Management
239,USA,CME Group
240,USA,Truist Financial
241,Switzerland,ABB
242,USA,Humana
243,USA,Micron Technology
244,France,Vinci
245,China,Mindray
246,Sweden,Investor AB
247,Canada,Scotiabank
248,Japan,Sumitomo Mitsui Financial Group
249,USA,Blackstone Group
250,Germany,Bayer
251,Germany,Siemens Healthineers
252,Japan,Daiichi SankyÅ
253,USA,KKR & Co.
254,USA,Charter Communications
255,China,Midea
256,UAE,Emirates Telecom (Etisalat Group)
257,USA,Intercontinental Exchange
258,USA,Activision Blizzard
259,USA,Southern Copper
260,USA,KLA
261,USA,Occidental Petroleum
262,S. Arabia,The Saudi National Bank
263,USA,Norfolk Southern
264,Hong Kong,Hong Kong Exchanges & Clearing
265,Sweden,Atlas Copco
266,China,Foshan Haitian Flavouring and Food
267,USA,Uber
268,France,Safran
269,India,Housing Development Finance Corporation
270,Australia,Westpac Banking
271,UK,Anglo American
272,China,China Telecom
273,China,NetEase
274,USA,Moody's
275,Austria,Verbund AG
276,Netherlands,Heineken
277,USA,Marathon Petroleum
278,USA,Emerson
279,Japan,Fast Retailing
280,USA,Pioneer Natural Resources
281,Spain,Santander
282,China,Industrial Bank
283,Canada,Thomson Reuters
284,USA,MetLife
285,USA,Enterprise Products
286,UK,RELX
287,India,Bharti Airtel
288,Italy,ENI
289,India,Life Insurance Corporation of India (LIC)
290,Argentina,MercadoLibre
291,France,Pernod Ricard
292,USA,McKesson
293,Russia,United Heavy Machinery
294,USA,Vmware
295,USA,Monster Beverage
296,Japan,Tokyo Electron
297,Germany,BASF
298,UK,Reckitt Benckiser
299,USA,Valero Energy
300,USA,Dominion Energy
301,USA,Dollar General
302,Australia,ANZ Bank
303,USA,Kraft Heinz
304,USA,General Motors
305,Germany,Deutsche Post
306,France,Dassault SystÃ¨mes
307,Japan,Shin-Etsu Chemical
308,USA,Public Storage
309,USA,Marriott International
310,USA,Ford
311,USA,O'Reilly Automotive
312,India,Adani Enterprises
313,USA,Synopsys
314,Japan,Recruit
315,France,EDF (ElectricitÃ© de France)
316,USA,Sempra Energy
317,USA,Keurig Dr Pepper
318,India,Adani Total Gas
319,S. Arabia,Saudi Telecom Company
320,India,ITC
321,Japan,Takeda Pharmaceutical
322,China,Bank of Communications
323,China,LONGi Green Energy Technology
324,Netherlands,ING
325,Netherlands,Stellantis
326,Canada,Shopify
327,Australia,Woodside Energy
328,UK,London Stock Exchange
329,Japan,Nintendo
330,China,Hikvision
331,Germany,Munich RE (MÃ¼nchener RÃ¼ck)
332,USA,American Electric Power
333,Brazil,ItaÃº Unibanco
334,USA,Phillips 66
335,USA,General Mills
336,USA,Archer Daniels Midland (ADM)
337,Australia,Macquarie
338,USA,Edwards Lifesciences
339,Japan,Mitsubishi Corporation
340,UAE,First Abu Dhabi Bank
341,Japan,Oriental Land
342,S. Arabia,Maaden
343,Japan,Daikin
344,China,Baidu
345,Australia,Fortescue
346,USA,American International Group
347,USA,Amphenol
348,USA,Roper Technologies
349,S. Korea,SK Hynix
350,USA,FedEx
351,Italy,Intesa Sanpaolo
352,Ireland,Johnson Controls
353,USA,Simon Property Group
354,USA,Hess
355,Canada,Alimentation Couche-Tard
356,Netherlands,Universal Music Group
357,USA,The Hershey Company
358,USA,Agilent Technologies
359,UK,National Grid
360,USA,Cadence Design Systems
361,S. Korea,Samsung Biologics
362,Japan,Hitachi
363,USA,Kimberly-Clark
364,Japan,ItÅchÅ« ShÅji
365,USA,Cintas
366,USA,The Travelers Companies
367,Japan,Mitsui Bussan
368,Netherlands,Adyen
369,Indonesia,Bank Rakyat Indonesia
370,USA,Snowflake
371,USA,Aflac
372,China,CITIC Securities
373,Germany,Infineon
374,Taiwan,Foxconn (Hon Hai Precision Industry)
375,USA,Corteva
376,India,Bajaj Finance
377,China,Wanhua Chemical
378,China,Zijin Mining
379,China,S.F. Express
380,Netherlands,NXP Semiconductors
381,USA,Motorola Solutions
382,USA,AutoZone
383,China,East Money Information
384,Indonesia,Bayan Resources
385,USA,Ecolab
386,Canada,Suncor Energy
387,USA,Realty Income
388,China,Ping An Bank
389,UK,Prudential
390,India,Kotak Mahindra Bank
391,USA,Centene
392,Hong Kong,Budweiser APAC
393,Brazil,Banco Santander Brasil
394,USA,Paychex
395,USA,Autodesk
396,China,WuXi AppTec
397,USA,Newmont
398,USA,Exelon Corporation
399,Italy,Ferrari
400,Singapore,OCBC Bank
401,USA,Workday
402,USA,Block
403,Canada,TC Energy
404,Brazil,Ambev
405,Canada,BCE
406,USA,DexCom
407,Finland,Nordea Bank
408,USA,Kinder Morgan
409,USA,Chipotle Mexican Grill
410,Japan,Tokio Marine
411,Ireland,Trane Technologies
412,South Africa,Naspers
413,USA,Las Vegas Sands
414,USA,Palo Alto Networks
415,China,YANGHE
416,USA,Apollo Global Management
417,Switzerland,Sika
418,Japan,Mizuho Financial Group
419,USA,Devon Energy
420,Spain,Banco Bilbao Vizcaya Argentaria
421,USA,Constellation Brands
422,USA,Biogen
423,USA,Arthur J. Gallagher & Co.
424,USA,Fidelity National Information Services
425,Denmark,Ãrsted
426,USA,Ross Stores
427,USA,Dow
428,USA,IQVIA
429,USA,Microchip Technology
430,Japan,Chugai Pharmaceutical
431,China,Jiangsu Hengrui Medicine
432,UK,Compass Group
433,Japan,7-Eleven
434,China,Muyuan Foods
435,USA,Parker-Hannifin
436,India,Adani Green Energy
437,USA,Sysco
438,UK,Lloyds Banking Group
439,USA,Nucor
440,USA,MSCI
441,Hong Kong,Sun Hung Kai Properties
442,Canada,lululemon athletica
443,China,Anta Sports
444,USA,Williams Companies
445,Switzerland,Lonza
446,Japan,Honda
447,USA,IDEXX Laboratories
448,USA,Bank of New York Mellon
449,China,Kuaishou Technology
450,Canada,CIBC
451,China,WuXi Biologics
452,USA,Republic Services
453,Switzerland,TE Connectivity
454,USA,Capital One
455,Sweden,Volvo Group
456,USA,Energy Transfer Partners
457,Canada,Nutrien
458,USA,Xcel Energy
459,USA,Cheniere Energy
460,USA,Halliburton
461,Australia,Wesfarmers
462,USA,Carrier
463,Denmark,Maersk
464,USA,Fortinet
465,S. Korea,LG Chem
466,Japan,Denso
467,Finland,Neste
468,Australia,Atlassian
469,Germany,Hapag-Lloyd
470,China,Xiaomi
471,Singapore,UOB
472,USA,L3Harris Technologies
473,Hong Kong,Bank of China (Hong Kong)
474,USA,Dupont De Nemours
475,USA,TransDigm
476,Switzerland,STMicroelectronics
477,India,Adani Transmission
478,USA,Prudential Financial
479,Canada,Cenovus Energy
480,China,Haier Smart Home
481,USA,Hilton Worldwide
482,Taiwan,MediaTek
483,India,Larsen & Toubro
484,UK,Haleon
485,USA,Allstate
486,USA,Yum! Brands
487,India,HCL Technologies
488,Hong Kong,Jardine Matheson
489,Switzerland,Alcon
490,Mexico,Grupo MÃ©xico
491,Japan,Hoya
492,China,AIER Eye Hospital
493,Canada,Constellation Software
494,USA,Paccar
495,USA,Cummins
496,UK,Barclays
497,UK,NatWest Group
498,Canada,Manulife Financial
499,USA,Ameriprise Financial
500,USA,Arista Networks
501,Germany,BioNTech
502,France,Danone
503,Japan,Japan Tobacco
504,France,CrÃ©dit Agricole
505,USA,Old Dominion Freight Line
506,France,ENGIE
507,USA,Mettler-Toledo
508,USA,Marvell Technology Group
509,USA,Otis Worldwide
510,USA,Electronic Arts
511,Canada,Barrick Gold
512,Japan,Murata Manufacturing (Murata Seisakusho)
513,India,Asian Paints
514,India,Axis Bank
515,China,China Pacific Insurance
516,USA,Consolidated Edison
517,Denmark,DSV
518,USA,MPLX
519,China,China State Construction Engineering
520,Ireland,Cement Roadstone Holding
521,Japan,Japan Post Bank
522,Singapore,Sea (Garena)
523,USA,Pacific Gas and Electric
524,S. Korea,Samsung SDI
525,China,Bank of Ningbo
526,Switzerland,Holcim Group
527,USA,Welltower
528,USA,Waste Connections
529,USA,Ametek
530,Hong Kong,MTR Corporation
531,USA,Enphase Energy
532,China,CITIC limited
533,USA,AmerisourceBergen
534,USA,SBA Communications
535,USA,CoStar Group
536,USA,D. R. Horton
537,USA,Cognizant Technology Solutions
538,USA,Rockwell Automation
539,China,CITIC Bank
540,Germany,Deutsche BÃ¶rse
541,USA,Dollar Tree
542,USA,Kroger
543,Australia,Telstra
544,USA,Keysight
545,USA,GlobalFoundries
546,Ireland,Experian
547,USA,Interactive Brokers
548,USA,Brown Forman
549,Brazil,WEG ON
550,China,Shanghai Pudong Development Bank
551,Japan,Nidec
552,USA,ResMed
553,USA,VICI Properties
554,Thailand,Airports of Thailand
555,China,Yili Group
556,USA,Baker Hughes
557,France,Capgemini
558,USA,Walgreens Boots Alliance
559,Spain,CaixaBank
560,USA,Oneok
561,USA,Illumina
562,USA,Warner Bros. Discovery
563,China,Luxshare Precision
564,Denmark,Vestas Wind Systems
565,UK,BAE Systems
566,China,Vanke
567,Hong Kong,Hang Seng Bank
568,USA,PSEG
569,S. Korea,Hyundai
570,India,Maruti Suzuki India
571,USA,Digital Realty
572,Italy,UniCredit
573,Brazil,Banco Bradesco
574,USA,Nasdaq
575,USA,PPG Industries
576,China,The People's Insurance Company (PICC)
577,Singapore,Singtel
578,Sweden,Hexagon
579,China,Peopleâs Insurance Company of China
580,Japan,Fanuc
581,China,Great Wall Motors
582,Germany,RWE
583,Japan,SMC corp
584,UK,Vodafone
585,India,Sun Pharmaceutical
586,USA,LyondellBasell
587,USA,Corning
588,USA,State Street Corporation
589,Mexico,Fomento EconÃ³mico Mexicano
590,Belgium,KBC
591,Hong Kong,Galaxy Entertainment
592,USA,WEC Energy Group
593,Switzerland,Swisscom
594,Japan,Japan Post Holdings
595,Canada,Telus
596,Hong Kong,China Overseas Land & Investment
597,Germany,Henkel
598,Netherlands,Ahold Delhaize
599,S. Korea,Coupang
600,USA,Copart
601,France,Compagnie de Saint-Gobain
602,Switzerland,Givaudan
603,China,Gree Electric Appliances
604,Italy,Generali
605,Thailand,PTT PCL
606,Finland,KONE
607,Germany,Adidas
608,Canada,Restaurant Brands International
609,USA,International Flavors & Fragrances
610,Sweden,EQT
611,Norway,DNB
612,India,DMart
613,USA,Discover Financial Services
614,Australia,Transurban
615,USA,Eversource Energy
616,Taiwan,Chunghwa Telecom
617,USA,Global Payments
618,USA,W. W. Grainger
619,USA,Alnylam Pharmaceuticals
620,USA,American Water Works
621,UK,Ferguson
622,USA,Dell
623,USA,Verisk Analytics
624,Australia,Woolworths Group
625,Switzerland,KÃ¼hne + Nagel
626,Canada,Imperial Oil
627,France,Orange
628,Switzerland,Swiss Re
629,Germany,Sartorius
630,USA,Albemarle
631,Canada,Sun Life Financial
632,USA,ON Semiconductor
633,China,Foxconn Industrial Internet
634,USA,Lennar
635,Finland,Nokia
636,China,BeiGene
637,Canada,Franco-Nevada
638,Germany,E.ON
639,Canada,Loblaw Companies
640,USA,Fastenal
641,USA,Constellation Energy
642,Indonesia,Bank Mandiri
643,Spain,Amadeus IT Group
644,USA,Cheniere Energy
645,UK,Willis Towers Watson
646,UK,Ashtead
647,Ireland,Aptiv
648,China,JD Health
649,USA,HP
650,Germany,Beiersdorf
651,USA,CBRE Group
652,USA,United Rentals
653,Ireland,Flutter Entertainment
654,India,Bajaj Finserv
655,Spain,Naturgy
656,Japan,Fujitsu
657,Japan,Astellas Pharma
658,China,Shenzhen Inovance
659,Finland,Sampo
660,France,Thales
661,USA,Equifax
662,USA,Gartner
663,Netherlands,Wolters Kluwer
664,Denmark,Genmab
665,USA,T. Rowe Price
666,Israel,Mobileye
667,USA,Diamondback Energy
668,USA,CDW Corporation
669,Taiwan,Formosa Petrochemical
670,India,Titan Company
671,Sweden,Assa Abloy
672,India,Wipro
673,Germany,Daimler Truck
674,Canada,Intact Financial
675,USA,Edison International
676,Sweden,Skandinaviska Enskilda Banken
677,Germany,Deutsche Bank
678,Denmark,Coloplast
679,USA,Zimmer Biomet
680,China,SMIC
681,India,UltraTech Cement
682,USA,M&T Bank
683,China,China Securities
684,UK,Coca-Cola European Partners
685,Ireland,Horizon Therapeutics
686,China,SAIC Motor
687,USA,Veeva Systems
688,USA,Alexandria Real Estate Equities
689,Canada,Agnico Eagle Mines
690,S. Arabia,Saudi Electricity
691,Luxembourg,ArcelorMittal
692,Germany,EnBW Energie
693,S. Arabia,Riyad Bank
694,Sweden,Sandvik
695,China,Yum China
696,USA,Hormel Foods
697,Hong Kong,China Resources Beer
698,USA,eBay
699,USA,ULTA Beauty
700,Switzerland,Partners Group
701,USA,Raymond James
702,Australia,Goodman Group
703,Japan,Bridgestone
704,UK,Standard Chartered
705,Switzerland,Lindt
706,Hong Kong,CK Hutchison Holdings
707,Indonesia,Telkom Indonesia
708,Canada,National Bank of Canada
709,Spain,Cellnex Telecom
710,China,KE Holdings
711,USA,Seagen
712,USA,Delta Air Lines
713,Malaysia,Maybank
714,USA,FirstEnergy
715,Hong Kong,Techtronic Industries
716,USA,Tractor Supply
717,USA,The Hartford
718,USA,Vulcan Materials
719,S. Korea,Naver
720,Taiwan,Fubon Financial
721,Canada,Rogers Communication
722,Mexico,Banorte
723,Taiwan,Delta Electronics
724,China,Trip.com
725,Germany,Vonovia
726,USA,Genuine Parts Company
727,Chile,Sociedad QuÃ­mica y Minera
728,USA,Kellogg's
729,Colombia,Ecopetrol
730,USA,Fortive
731,Japan,Dai-ichi Life Holdings
732,USA,Equity Residential
733,Canada,Great-West Lifeco
734,USA,Fifth Third Bank
735,France,Legrand
736,Bermuda,Arch Capital
737,Germany,Hannover RÃ¼ck
738,USA,First Republic Bank
739,Japan,Central Japan Railway
740,UK,CNH Industrial
741,USA,AvalonBay Communities
742,India,NestlÃ© India
743,USA,Weyerhaeuser
744,China,Shanghai Airport
745,UK,Imperial Brands
746,Brazil,BTG Pactual
747,USA,CrowdStrike
748,USA,Ameren
749,Ireland,Ingersoll Rand
750,USA,Tyson Foods
751,China,ZTO Express
752,Netherlands,Koninklijke DSM
753,USA,Sirius XM
754,USA,The Trade Desk
755,China,China Everbright Bank
756,Sweden,Epiroc
757,Sweden,Evolution Gaming
758,Hong Kong,CK Asset Holdings
759,Spain,TelefÃ³nica
760,France,Michelin
761,USA,Ares Management
762,India,Oil & Natural Gas
763,China,COSCO Shipping
764,USA,DTE Energy
765,Japan,Olympus
766,S. Korea,Kakao
767,USA,VeriSign
768,USA,Baxter
769,USA,PPL
770,India,JSW Steel
771,Spain,EDP RenovÃ¡veis
772,China,Trina Solar
773,Spain,Repsol
774,USA,Entergy
775,Japan,Canon
776,UAE,Borouge
777,China,Yankuang Energy (Yanzhou Coal Mining)
778,USA,Datadog
779,China,DiDi
780,Switzerland,Schindler Group
781,USA,LabCorp
782,Netherlands,Argenx
783,USA,Ansys
784,UK,SSE
785,USA,Martin Marietta
786,China,Anhui Conch Cement
787,Japan,Unicharm
788,UK,Tesco
789,China,BOE Technology
790,Spain,Aena
791,USA,Southwest Airlines
792,China,Li Auto
793,USA,UDR Apartments
794,USA,Principal
795,Hong Kong,Chow Tai Fook
796,USA,McCormick & Company
797,China,Sany Heavy Industry
798,Mexico,Grupo Bimbo
799,Spain,Endesa
800,South Africa,FirstRand
801,China,China Minsheng Bank
802,Canada,Teck Resources
803,France,SociÃ©tÃ© GÃ©nÃ©rale
804,Japan,Komatsu
805,Hong Kong,China Unicom
806,USA,Extra Space Storage
807,USA,Insulet
808,USA,Quanta Services
809,China,Ganfeng Lithium
810,Japan,Sumitomo
811,USA,Hewlett Packard Enterprise
812,Ireland,Ryanair
813,USA,Xylem
814,USA,Huntington Bancshares
815,Japan,East Japan Railway
816,UK,Antofagasta
817,Japan,Mitsubishi Electric
818,USA,Regions Financial
819,USA,BioMarin Pharmaceutical
820,S. Korea,Kia
821,India,Adani Ports & SEZ
822,Switzerland,Straumann
823,Sweden,NIBE Industrier
824,Sweden,Svenska Handelsbanken
825,Portugal,EDP Group
826,Spain,Ferrovial
827,France,Veolia
828,Luxembourg,Tenaris
829,Thailand,PTT Exploration and Production
830,China,CRRC
831,Canada,CGI
832,USA,Citizens Financial Group
833,Japan,NTT Data
834,USA,Northern Trust
835,Italy,Atlantia
836,Japan,Terumo
837,Sweden,Swedbank
838,USA,DoorDash
839,USA,Zoom
840,Brazil,Banco do Brasil
841,Sweden,H&M
842,USA,Dover
843,S. Arabia,The Saudi British Bank
844,Taiwan,Cathay Financial Holding
845,Japan,Fujifilm
846,Sweden,Ericsson
847,Japan,Z Holdings
848,Ireland,Steris
849,USA,Cardinal Health
850,USA,Waters Corporation
851,Canada,Wheaton Precious Metals
852,Brazil,Copel
853,China,Air China
854,Canada,Fortis
855,Japan,Panasonic
856,USA,Church & Dwight
857,USA,Roblox
858,Japan,Nippon Paint
859,USA,EPAM Systems
860,Canada,Pembina Pipeline
861,Japan,Marubeni
862,China,China Tower
863,India,NTPC Limited
864,USA,Coterra Energy
865,Sweden,Essity
866,Denmark,Carlsberg
867,China,NIO
868,USA,CenterPoint Energy
869,USA,Hologic
870,India,Mahindra & Mahindra
871,USA,HEICO
872,USA,Ventas
873,USA,Steel Dynamics
874,Czech Republic,ÄEZ Group
875,Taiwan,Nan Ya Plastics
876,China,Longfor Group
877,Singapore,Wilmar International
878,Japan,ORIX
879,USA,Teledyne
880,USA,W. R. Berkley
881,S. Korea,Celltrion
882,Norway,Aker BP
883,USA,Markel
884,Finland,UPM-Kymmene
885,China,China Railway Group
886,USA,First Solar
887,Japan,Shiseido
888,China,Mengniu Dairy
889,USA,Invitation Homes
890,India,Tata Motors
891,China,China Southern Airlines
892,USA,Conagra Brands
893,USA,Best Buy
894,USA,Mid-America Apartment Communities
895,USA,Wabtec
896,China,Kanzhun
897,Japan,"M3, Inc"
898,Switzerland,Garmin
899,USA,Sun Communities
900,Brazil,Centrais Electricas Brasileiras
901,UK,Legal & General
902,Japan,Nexon
903,Switzerland,SGS
904,China,Tsingtao
905,USA,Align Technology
906,Taiwan,United Microelectronics
907,USA,Monolithic Power Systems
908,S. Korea,POSCO
909,USA,AES
910,USA,Rollins
911,USA,J. B. Hunt
912,Canada,George Weston
913,Hong Kong,CLP Group
914,Thailand,CP All
915,Taiwan,Formosa Plastics
916,USA,West Pharmaceutical
917,USA,CMS Energy
918,USA,Chewy
919,India,Powergrid Corporation of India
920,Germany,Porsche SE
921,Japan,Eisai
922,Switzerland,Geberit
923,USA,LPL Financial
924,Ireland,ICON plc
925,Canada,Magna International
926,Thailand,Advanced Info Service (AIS)
927,Hong Kong,Hong Kong and China Gas
928,USA,Paycom
929,Hong Kong,Wharf REIC
930,USA,Darden Restaurants
931,Bermuda,Brookfield Renewable Partners
932,Japan,KaÅ
933,USA,Pinterest
934,Netherlands,Exor
935,Switzerland,Amcor
936,India,Tata Steel
937,USA,Clorox
938,USA,IDEX
939,USA,Incyte
940,USA,Ball Corporation
941,USA,Icahn Enterprises
942,India,Hindustan Zinc
943,Japan,Nippon Steel
944,Hong Kong,Henderson Land Development
945,S. Korea,KB Financial Group
946,Italy,Snam
947,Japan,Lasertec
948,China,ZTE
949,S. Arabia,Alinma Bank
950,Denmark,Danske Bank
951,Japan,Toyota Industries
952,Sweden,Spotify
953,Japan,Kyocera
954,China,Guotai Junan Securities
955,USA,Ubiquiti
956,Germany,Vantage Towers
957,USA,Take 2 Interactive
958,UK,Associated British Foods
959,Israel,SolarEdge
960,S. Arabia,Saudi Arabian Fertilizer Company
961,Canada,Dollarama
962,China,Huatai Securities
963,USA,Molina Healthcare
964,Canada,Power Corporation of Canada
965,Germany,Fresenius
966,Japan,Renesas Electronics
967,UK,Royalty Pharma
968,USA,Brown & Brown
969,USA,Expeditors
970,Japan,MS&AD Insurance
971,USA,W. P. Carey
972,USA,Cooper Companies
973,China,China Merchants Securities
974,Belgium,UCB
975,USA,Blue Owl Capital
976,Brazil,Nu Holdings
977,USA,Live Nation
978,France,Publicis Groupe
979,Hong Kong,Link REIT
980,USA,Abiomed
981,UK,3i Group
982,USA,Marathon Oil
983,UAE,Abu Dhabi Commercial Bank (ADCB)
984,USA,Omnicom
985,South Africa,Standard Bank Group
986,USA,Cincinnati Financial
987,S. Korea,Shinhan Financial Group
988,USA,Targa Resources
989,USA,Fox Corporation
990,China,Chongqing Changan
991,USA,CF Industries
992,Switzerland,Swiss Life
993,Poland,PKN Orlen
994,Japan,Otsuka Holdings
995,USA,KeyCorp (KeyBank)
996,USA,Broadridge Financial Solutions
997,Australia,Santos
998,USA,Etsy
999,Japan,Ajinomoto
1000,France,BollorÃ©
1001,Japan,Kubota
1002,USA,PerkinElmer
1003,USA,United Airlines Holdings
1004,Switzerland,Ems-Chemie
1005,USA,Howmet Aerospace
1006,USA,Quest Diagnostics
1007,China,China Communications Construction
1008,Austria,OMV
1009,USA,Avangrid
1010,USA,Warner Music Group
1011,Brazil,ItaÃºsa
1012,Canada,Tourmaline Oil
1013,Canada,Hydro One
1014,USA,Texas Pacific Land Trust
1015,Japan,Aeon
1016,China,China Merchants Shekou Industrial Zone
1017,Sweden,Swedish Match
1018,USA,Expedia Group
1019,China,Bank of Jiangsu
1020,USA,Tradeweb
1021,USA,J.M. Smucker Company
1022,USA,Campbell Soup
1023,Japan,Mitsui Fudosan
1024,Japan,Mitsubishi Estate
1025,USA,Rocket Companies
1026,USA,FMC
1027,China,Bank of Nanjing
1028,USA,Skyworks Solutions
1029,India,Coal India
1030,USA,Royal Caribbean
1031,USA,Atmos Energy
1032,Israel,Check Point Software
1033,Italy,Moncler
1034,Canada,First Quantum Minerals
1035,S. Korea,Hyundai Mobis
1036,UK,Rentokil Initial
1037,USA,FactSet
1038,Hong Kong,Swire Properties
1039,Norway,Norsk Hydro
1040,India,SBI Life Insurance
1041,Switzerland,Swatch
1042,India,HDFC Life
1043,Italy,Terna
1044,USA,NVR
1045,USA,Jacobs Engineering
1046,Taiwan,China Steel
1047,Germany,Symrise
1048,Japan,Asahi Group
