,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
5409,Not found,USA,1914,"['Industries', 'Consumer Durables']",BRADY CORPORATION,5134
5410,Not found,USA,Not found,"['Basic Materials', 'Metals', 'Industries', 'Iron and Steel']",SIMS METAL MANAGEMENT,5139
5411,Not found,China,Not found,"['Basic Materials', 'Copper Mining']",NINGBO BOWAY ALLOY MATERIAL COMPANY,5142
5412,Not found,India,2000,"['Digital Payment Solution Services', 'Internet or Mobile App Based Business', 'Software and IT']",BILLDESK,5140
5413,Not found,Japan,1980,"['Technology', 'Software and IT']",OBIC BUSINESS CONSULTANTS,5146
5414,Not found,USA,2006,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",NEVRO,5144
5415,Not found,USA,2017,"['Healthcare', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products']",SPRINGWORKS THERAPEUTICS,5145
5416,Not found,China,Not found,"['Consumer Cyclical', 'Automobile', 'Bikes', 'Engines Manufacturing', 'Automobile Parts']",CETC ENERGY JOINT-STOCK,5143
5417,Not found,Turkey,Not found,"['Aviation', 'Airlines']",TURKISH AIRLINES,5140
5418,Not found,India,1981,"['Basic Materials', 'Mining', 'Metals', 'Aluminum']",NATIONAL ALUMINIUM COMPANY,5140
5419,Not found,USA,1976,"['Consumer Defensive', 'Food Chains / Distributor', 'Meat / Poultry / Fish / Chicken', 'Food Products']",UNITED NATURAL FOODS,5141
5420,Not found,USA,1932,"['Basic Materials', 'FMCG', 'Consumer Non Durables', 'Chemicals']",STEPAN COMPANY,5152
5421,Not found,USA,2000,"['Technology', 'Telecom', 'Consumer Durables', 'Telecom Equipment', 'Communications Equipment']",VOCERA COMMUNICATIONS,5156
5422,Not found,Japan,2008,"['Consumer Cyclical', 'Retail', 'Super Markets']",ISETAN MITSUKOSHI HOLDINGS,5153
5423,Not found,China,Not found,"['Industries', 'Batteries', 'Electrical Products']",GUANGZHOU GREAT POWER ENERGY AND TECHNOLOGY CO. LTD,5155
5424,Not found,Portugal,2001,['Paper and Pulp'],"THE NAVIGATOR COMPANY, S.A.",5151
5425,Not found,USA,1933,"['Industries', 'Railway', 'Capital Goods']",TRINITY INDUSTRIES,5148
5426,Not found,UK,1926,['Asset Management'],FINSBURY GROWTH & INCOME TRUST,5149
5427,Not found,Mexico,1943,"['Basic Materials', 'Construction Materials']",CORPORACION MOCTEZUMA,5150
