,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
5282,Not found,Japan,2003,"['Healthcare', 'Pharmaceutical', 'Medical Equipment']",ALFRESA HOLDINGS CORPORATION,5016
5283,Not found,Turkey,1948,"['Financial Services', 'Banking Services']",AKBANK T.A.S,5014
5284,Not found,USA,Not found,"['Real Estate', 'Consumer Services']",COLONY CAPITAL,5015
5285,Not found,Hong Kong,1960,"['Real Estate', 'Investments', 'Property Investments']",HANG LUNG GROUP,5015
5286,Not found,USA,2015,"['Biotechnology', 'Healthcare', 'Biopharmaceutical']","KYMERA THERAPEUTICS, INC.",5018
5287,Not found,USA,1878,"['Healthcare', 'HealthCare Products']",PATTERSON COMPANIES,5020
5288,Not found,China,Not found,"['Energy', 'Oil and Gas']",CIMC ENRIC HOLDINGS,5021
5289,Not found,USA,1991,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Capital Goods']",GENTHERM,5022
5290,Not found,USA,1966,"['Financial Services', 'Banking Services']",INTERNATIONAL BANCSHARES CORPORATION,5023
5291,Not found,Germany,1969,"['Technology', 'Software and IT', 'Software and IT Infrastructure']",SOFTWARE AG,5027
5292,Not found,Singapore,2017,"['Communication Services', 'Telecom']",NETLINK NBN TRUST,5032
5293,Not found,Germany,1864,"['Healthcare', 'Packaging Materials', 'HealthCare Products', 'Medical Equipment']",GERRESHEIMER AG,5029
5294,Not found,Japan,1952,"['Technology', 'Electronics', 'Capital Goods']",ULVAC,5024
5295,Not found,Saudi Arabia,1998,"['Communication Services', 'Telecom']",MOBILE TELECOMMUNICATIONS COMPANY SAUDI ARABIA,5028
5296,Not found,Singapore,1963,"['Real Estate', 'Retail', 'Property Investments', 'Commercial Properties']",FRASERS CENTREPOINT TRUST,5031
5297,Not found,Luxembourg,1990,"['Communication Services', 'Telecom']",MILLICOM INTERNATIONAL CELLULAR,5026
5298,Not found,Japan,1992,"['Healthcare', 'Banking Services']",SMS,5030
5299,Not found,Brazil,2003,"['Healthcare', 'Healthcare Service', 'Hospitals', 'Health Care Diagnostics']",DIAGNOSTICOS DA AMERICA,5025
5300,Not found,USA,1972,"['Consumer Cyclical', 'Packaging']",RANPAK HOLDINGS,5033
5301,Not found,China,Not found,"['Basic Materials', 'Chemicals']",BEIJING SANJU ENVIRONMENTAL PROTECTION & NEW MATERIALS,5037
5302,Not found,China,Not found,"['Industries', 'Infrastructure']",GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT,5034
5303,Not found,Italy,2002,"['Utilities', 'Electric Utilities', 'Renewable Energy']",FALCK RENEWABLES,5035
5304,Not found,Israel,Not found,['Real Estate'],AIRPORT CITY,5036
5305,Not found,India,1941,"['Industries', 'Construction Materials', 'Adhesives', 'Building Products and Equipment']",GRINDWELL NORTON,5039
5306,Not found,India,1983,"['Basic Materials', 'Chemicals']",SOLAR INDUSTRIES INDIA,5038
5307,Not found,UK,1996,"['Technology', 'Software and IT']",PAYSAFE LIMITED,5041
5308,Not found,USA,2010,"['Healthcare', 'HealthCare Products', 'Health Care Diagnostics']",INVITAE CORPORATION,5040
5309,Not found,USA,2005,"['Online Food Delivery', 'Software and IT']",OLO INC.,5042
5310,Not found,USA,2006,"['Healthcare', 'Health Care Diagnostics', 'Biotechnology']",23ANDME HOLDING CO.,5045
5311,Not found,China,Not found,"['Basic Materials', 'Chemicals']",TANGSHAN SANYOU CHEMICAL INDUSTRIES,5043
5312,Not found,Japan,2005,"['Real Estate', 'Property Investments']",NIPPON ACCOMMODATIONS FUND,5046
5313,Not found,Hong Kong,1995,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",CHINA GRAND PHARMACEUTICAL AND HEALTHCARE HOLDINGS,5047
5314,Not found,Singapore,2000,"['Real Estate', 'Property Investments']",MAPLETREE NORTH ASIA COMMERCIAL TRUST,5049
5315,Not found,UK,1992,"['Financial Services', 'Asset Management', 'Investments']",ASHMORE GROUP,5044
5316,Not found,Israel,1963,"['Real Estate', 'Construction', 'Infrastructure', 'Construction Materials']",ASHTROM GROUP,5052
5317,Not found,USA,1994,"['Technology', 'Software and IT', 'Cameras & Accessories', 'Technology Hardware and Instruments']",ARCSOFT CORPORATION,5051
5318,Not found,China,Not found,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",JINHUI LIQUOR,5048
5319,Not found,China,Not found,"['Energy', 'Coal Mining', 'Mining']",INNER MONGOLIA YITAI COAL,5050
5320,Not found,USA,2007,"['Restaurants', 'Internet or Mobile App Based Business', 'eCommerce']",SWEETGREEN,5061
5321,Not found,Thailand,1977,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",THAI UNION GROUP PUBLIC COMPANY,5059
5322,Not found,China,Not found,"['Basic Materials', 'Mining']",SHENZHEN ZHONGJIN LINGNAN NONFEMET CO. LTD.,5058
5323,Not found,USA,1993,"['Financial Services', 'Banking Services']",COLUMBIA BANKING SYSTEM,5061
5324,Not found,Sweden,2000,"['Industries', 'Real Estate', 'Consumer Services', 'Construction']",BRAVIDA HOLDING AB (PUBL),5056
5325,Not found,China,Not found,"['Consumer Cyclical', 'Retail']",GOME RETAIL HOLDINGS LIMITED,5060
5326,Not found,USA,2000,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",ATRICURE,5055
5327,Not found,UK,1989,"['Financial Services', 'Asset Management']",TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,5057
5328,Not found,Canada,1986,"['Energy', 'Oil and Gas', 'Natural Gas Generation']",ENERPLUS CORPORATION,5054
5329,Not found,Taiwan,1986,"['Technology', 'Electronics', 'Capital Goods']",LOTES,5053
5330,Not found,China,Not found,"['Industries', 'Rent / Lease Services']",BOHAI LEASING,5062
5331,Not found,UK,1792,['Retail'],WH SMITH,5069
5332,Not found,USA,2009,"['Real Estate', 'Construction', 'Capital Goods']",TRI POINTE GROUP,5070
5333,Not found,Poland,1991,"['Communication Services', 'Telecom']",ORANGE POLSKA,5068
5334,Not found,China,Not found,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",ZHEJIANG WANLIYANG,5065
5335,Not found,Argentina,1905,"['Financial Services', 'Banking Services']",GRUPO FINANCIERO GALICIA,5067
5336,Not found,Indonesia,1985,"['Basic Materials', 'Cement', 'Construction Materials']",PT INDOCEMENT TUNGGAL PRAKARSA TBK,5066
5337,Not found,Philippines,Not found,['Real Estate'],ROBINSONS LAND CORPORATION,5068
5338,Not found,China,Not found,"['Communication Services', 'Publishing']",CHINA SOUTH PUBLISHING & MEDIA GROUP CO. LTD,5063
5339,Not found,USA,2011,"['Industries', 'Infrastructure']",FORTRESS TRANSPORTATION AND INFRASTRUCTURE INVESTORS LLC,5064
5340,Not found,USA,1907,"['Utilities', 'Electric Utilities']",OTTER TAIL CORPORATION,5074
5341,Not found,China,Not found,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",SANQUAN FOOD,5078
5342,Not found,USA,1970,"['Consumer Cyclical', 'Apparels and Accessories', 'Consumer Services', 'Retail']",URBAN OUTFITTERS,5079
5343,Not found,Germany,1996,"['Technology', 'Software and IT']",NAGARRO SE,5076
5344,Not found,USA,2013,"['Consumer Defensive', 'FMCG', 'Food Products', 'Consumer Non Durables', 'Package Foods']",HOSTESS BRANDS,5077
5345,Not found,USA,2003,"['Real Estate', 'Property Investments']","ARBOR REALTY TRUST, INC.",5071
5346,Not found,South Korea,1953,"['Technology', 'Semiconductors']",DB HITEK,5075
5347,Not found,Germany,1999,['Utilities'],MVV ENERGIE AG,5073
5348,Not found,Japan,2012,"['Real Estate', 'Retail', 'Property Investments', 'Commercial Properties']",AEON REIT INVESTMENT CORPORATION,5072
5349,Not found,South Korea,1988,"['Financial Services', 'Credit Cards', 'Debit Cards', 'Digital Payment Solution Services']",SAMSUNG CARD,5080
5350,Not found,Belgium,1983,"['Basic Materials', 'Chemicals']",SOLVAC,5081
5351,Not found,Singapore,1984,"['Communication Services', 'Publishing', 'Media', 'News Papers / Magazines']",SINGAPORE PRESS HOLDINGS,5089
5352,Not found,Hong Kong,1994,"['Industries', 'Shipping']",COSCO SHIPPING PORTS,5084
5353,Not found,Malaysia,2004,"['Real Estate', 'Property Investments']",KLCC REAL ESTATE INVESTMENT TRUST,5082
5354,Not found,China,Not found,"['Consumer Cyclical', 'Footwear']",SATURDAY,5088
5355,Not found,China,Not found,"['Communication Services', 'Publishing']",CHINESE UNIVERSE PUBLISHING AND MEDIA GROUP,5090
5356,Not found,China,Not found,['Healthcare'],CHINA NATIONAL ACCORD MEDICINES CORPORATION,5087
5357,Not found,Taiwan,1951,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",LIEN HWA INDUSTRIAL HOLDINGS CORPORATION,5086
5358,Not found,China,Not found,"['Industries', 'Industry Machinery']",SIASUN ROBOT&AUTOMATION,5085
5359,Not found,Hong Kong,1993,['Real Estate'],C&D INTERNATIONAL INVESTMENT GROUP,5083
5360,Not found,Japan,1973,"['Consumer Cyclical', 'Retail', 'Consumer Electronics', 'Electronics']",YAMADA DENKI,5091
5361,Not found,Taiwan,1915,"['Financial Services', 'Banking Services']",TAIWAN BUSINESS BANK,5100
5362,Not found,China,Not found,"['Utilities', 'Water Utilities']",GRANDBLUE ENVIRONMENT,5096
5363,Not found,USA,1991,"['Real Estate', 'Consumer Services', 'Property Investments']",NATIONAL HEALTH INVESTORS,5099
5364,Not found,Iceland,1971,"['Healthcare', 'Medical Equipment']",OSSUR,5095
5365,Not found,China,Not found,"['Basic Materials', 'Iron and Steel', 'Metals']",SANSTEEL MINGUANG.FUJIAN,5092
5366,Not found,USA,1983,"['Communication Services', 'Telecom', 'Utilities', 'Telecom Equipment']",UNITED STATES CELLULAR CORPORATION,5097
5367,Not found,China,Not found,"['Industries', 'Heavy Machinery']",TIANDI SCIENCE & TECHNOLOGY CO.LTD,5094
5368,Not found,Germany,1856,"['Consumer Defensive', 'Agriculture Related', 'Farming / Seeds / Milling']",KWS SAAT SE & CO. KGAA,5098
5369,Not found,Japan,2003,"['Industries', 'Construction', 'Infrastructure', 'Telecom', 'Engineering Services']",COMSYS HOLDINGS CORPORATION,5093
5370,Not found,Russia,2002,"['Utilities', 'Electric Utilities', 'Energy']",FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM,5110
5371,Not found,USA,1999,"['Technology', 'Software and IT']",MOMENTIVE GLOBAL INC.,5107
5372,Not found,France,1977,"['Technology', 'Satellites', 'Communications Equipment']",EUTELSAT COMMUNICATIONS,5108
5373,Not found,China,Not found,"['Energy', 'Engineering Products', 'Engineering Services', 'Oil and Gas']",CHINA PETROLEUM ENGINEERING CORPORATION,5101
5374,Not found,China,Not found,"['Industries', 'Electronics']",SHANGHAI FULLHAN MICROELECTRONICS,5109
5375,Not found,China,Not found,"['Internet or Mobile App Based Business', 'Technology']",ZHIHU INC.,5103
5376,Not found,China,Not found,"['Basic Materials', 'Iron and Steel']","HANG ZHOU IRON & STEEL CO.,LTD.",5105
5377,Not found,USA,1997,"['Education', 'Software and IT', 'Technology', 'Cloud Services']","POWERSCHOOL HOLDINGS, INC.",5104
5378,Not found,UK,1961,"['Consumer Cyclical', 'Retail', 'Food Service', 'Restaurants', 'Food and Beverage']",SSP GROUP,5106
5379,Not found,Turkey,1927,"['Consumer Defensive', 'Chocolate & Confectionery']",KENT GIDA MADDELERI SANAYII VE TICARET,5102
5380,Not found,USA,2014,"['eCommerce', 'Automobile', 'Internet or Mobile App Based Business', 'Software and IT']",ACV AUCTIONS INC.,5111
5381,Not found,China,Not found,"['Basic Materials', 'Iron and Steel', 'Metals']",FANGDA SPECIAL STEEL TECHNOLOGY,5117
5382,Not found,China,Not found,"['Technology', 'Technology Hardware and Instruments']",WUHAN JINGCE ELECTRONIC GROUP,5120
5383,Not found,China,Not found,"['Consumer Cyclical', 'Engineering Products', 'Engineering Services', 'Automobile']",CHINA AUTOMOTIVE ENGINEERING RESEARCH INSTITUTE,5119
5384,Not found,USA,1998,"['Technology', 'Software and IT', 'Security Systems and Solutions', 'Software and IT Infrastructure']","RACKSPACE TECHNOLOGY, INC.",5113
5385,Not found,USA,2004,"['Consumer Defensive', 'Retail', 'Food Products', 'Consumer Non Durables', 'Non-Alcoholic Beverages', 'Beverages', 'Food and Beverage']",PRIMO WATER CORPORATION,5115
5386,Not found,Germany,1949,"['Industries', 'Aerospace and Defense']",H&K AG,5112
5387,Not found,Singapore,1998,"['Industries', 'Renewable Energy', 'Electricity Generation', 'Power Generation', 'Infrastructure', 'Construction', 'Conglomerate']",SEMBCORP INDUSTRIES LTD,5118
5388,Not found,India,1964,"['Industries', 'Capital Goods', 'Engineering Products', 'Industry Machinery']",BHARAT HEAVY ELECTRICALS,5116
5389,Not found,USA,2010,"['Internet or Mobile App Based Business', 'Outsourcing and Staffing', 'Technology']","ZIPRECRUITER, INC.",5114
5390,Not found,USA,1971,"['Industries', 'Transportation', 'Oil Refining', 'Logistics']",HUB GROUP,5121
5391,Not found,Japan,1979,"['Technology', 'Software and IT Infrastructure']",JUSTSYSTEMS CORPORATION,5126
5392,Not found,Thailand,1994,['Financial Services'],JMT NETWORK SERVICES PUBLIC COMPANY,5124
5393,Not found,Netherlands,1919,"['Basic Materials', 'Chemicals']",CORBION,5127
5394,Not found,Japan,1962,"['Consumer Cyclical', 'Packaging', 'Packaging Materials']",FP CORPORATION,5128
5395,Not found,Japan,Not found,"['Technology', 'Software and IT']",SHIFT,5125
5396,Not found,Singapore,2014,"['Utilities', 'Electric Utilities']",KENON HOLDINGS,5122
5397,Not found,UK,Not found,"['Technology', 'Consumer Services', 'Internet or Mobile App Based Business', 'eCommerce']",AUCTION TECHNOLOGY GROUP PLC,5124
5398,Not found,Luxembourg,1910,"['Consumer Cyclical', 'Bags, Wallets & Belts', 'Luggage Suitcases', 'Travel Accessories', 'Footwear']",SAMSONITE INTERNATIONAL,5129
5399,Not found,USA,1980,"['Energy', 'Oil and Gas']",WHITING PETROLEUM CORPORATION,5123
5400,Not found,China,Not found,"['Industries', 'Industry Machinery']",JIANGSU GUOMAO REDUCER,5130
5401,Not found,China,Not found,"['Basic Materials', 'Agriculture Related']","HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD.",5137
5402,Not found,Australia,1987,"['Technology', 'Software and IT', 'Software Products']",TECHNOLOGY ONE,5138
5403,Not found,UK,1976,"['Industries', 'Outsourcing and Staffing']",PAGEGROUP,5132
5404,Not found,USA,1968,"['Financial Services', 'Banking Services']",FIRST INTERSTATE BANCSYSTEM,5135
5405,Not found,China,Not found,"['Basic Materials', 'Aluminum']",JIANGSU DINGSHENG NEW MATERIAL JOINT-STOCK,5136
5406,Not found,Portugal,1985,"['Financial Services', 'Banking Services']",BANCO COMERCIAL PORTUGUES,5139
5407,Not found,UK,2003,"['Real Estate', 'Investments', 'Property Investments']",ASSURA,5131
5408,Not found,India,1987,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",CRISIL,5133
