,company_name
619,\n                                Stefan Linde\n                            
620,\n                                Ants Sumberg\n                            
621,\n                                Jaanika Erm\n                            
622,\n                                Rita Mart\xc3\xb5nova\n                            
623,\n                                Tarmo Punger\n                            
624,\n                                Andre M\xc3\xa4gi\n                            
625,\n                                Boriss Boldin\n                            
626,\n                                Denys Rudenko\n                            
627,\n                                Iurii Bugrov\n                            
628,\n                                Ragnar Kruusla\n                            
629,\n                                Karl-Erik Taukar\n                            
630,\n                                Halit Mirahmeto\xc4\x9flu\n                            
631,\n                                Alejandro Rivera Lara\n                            
632,\n                                Matti David Ranta\n                            
633,\n                                Vadym Rozov\n                            
634,\n                                Oleg Ossinovski\n                            
635,\n                                Oleg Orekhov\n                            
636,\n                                \xc5\x81ukasz Tomasz Wilczy\xc5\x84ski\n                            
637,\n                                Oleg Ossinovski\n                            
638,\n                                Philipp Robert Marxen\n                            
639,\n                                Iaroslav Iakubivskyi\n                            
