,company_country,company_name,company_industry
908,italy,reveg fruit,food & beverage
909,bulgaria,sciant,technology
910,germany,boender & beutel,industrial goods
911,france,ekinops,telecoms
912,portugal,sano-tÃ©cnica,health
913,germany,mÃ¶belando,retail
914,italy,democom,telecoms
915,italy,erbagil,pharmaceuticals
916,finland,axopar boats,travel & leisure
917,italy,advanced composites solutions,automobiles
918,italy,spartivento yachts & charter,travel & leisure
919,poland,seargin,technology
920,germany,ttp holding,support services
921,sweden,sweef furniture,retail
922,hungary,sonic tanÃ¡csadÃ³ Ã©s szolgÃ¡ltatÃ³ kft,technology
923,belgium,spotit,cyber security
924,france,label experience,financial services
925,italy,lmm logistics,transport
926,spain,medicalfit,health
927,italy,nuova mg,industrial goods
928,france,innov and co handicap,technology
929,france,alma entreprise,construction
930,italy,radit,support services
931,france,regional express,transport
932,france,aravati,support services
933,germany,pÃ¶hner hamburg,retail
934,germany,schreinerei huber,construction
935,france,isr,technology
936,germany,kinga mathe,retail
937,lithuania,rivile,technology
938,france,magarantie5ans,retail
939,france,bebeboutik,retail
940,austria,radar cyber security,technology
941,france,clair group,aerospace & defence
942,germany,appsfactory,technology
943,uk,stiltz homelifts,interiors
944,romania,star stone,construction
945,uk,coptrz,aerospace & defence
946,uk,nurole,technology
947,germany,abao energy,construction
948,italy,welol next,technology
949,uk,intent hq,technology
950,france,cafÃ© du cycliste,ecommerce
951,germany,langer lÃ¼ftungs- und klimaanlagen,construction
952,france,formind,cyber security
953,france,oasis smart sim europe**,telecoms
954,italy,aferetica,health
955,italy,zero,energy
956,france,skills,support services
957,italy,3e studio,support services
958,slovakia,pannonia steel,construction
959,italy,kronos,fashion
960,italy,lasaponaria,beauty
961,germany,die wuhlewanderer,health
962,sweden,imint vidhance,technology
963,italy,arte e passione,restaurants
964,france,paul marius,retail
965,bulgaria,scalefocus,technology
966,germany,whiskyzone,retail
967,italy,targa telematics,technology
968,uk,sian wholesale ltd,transport
969,sweden,visage technologies,technology
970,lithuania,riotloc,games industry
971,uk,bullionvault,precious metals
972,spain,3a antioxidants,chemicals & pharmaceuticals
973,germany,on metall,industrial goods
974,the netherlands,scribbr,education
975,france,selectra,energy
976,italy,energetic,energy
977,france,faveod,support services
978,spain,cye energia,energy
979,finland,integrata oy,financial services
980,germany,regular trade,retail
981,hungary,expleo,energy
982,italy,confezioni velvet,fashion
983,germany,activ bilanz,property
984,italy,family nation,ecommerce
985,greece,majar â matzaridis bros,technology
986,spain,izertis,technology
987,italy,fashion commerce,ecommerce
988,uk,bulk tainer logistics limited,transport
989,italy,wingeco,industrial goods
990,poland,meblobranie.pl,ecommerce
991,spain,queraltÃ³,ecommerce
992,slovakia,phobos,automobiles
993,italy,archita engineering,support services
994,spain,celeritas,transport
995,germany,peopleforecast,technology
996,italy,digitalpa,management consulting
997,germany,faktenkontor,advertising
998,france,clareo,retail
999,italy,laca trade,property
