,company_name,company_website,company_employees,company_industry,company_founded
116,zuumers Careers,www.zuumers.com,1 to 50 employees,Consumer Electronics,2017
117,DocuSign Careers,www.docusign.com,"1,001 to 5,000 employees",Computer Software,2003
118,King Street Capital Management Careers,www.kingstreet.com,201 to 500 employees,Investment Management,1995
119,Inknown Careers,www.inknown.com,1 to 50 employees,Internet,2018
120,Blackhawk Network Careers,www.blackhawknetwork.com,"1,001 to 5,000 employees",Financial Services,2001
121,Northrop Grumman Federal Credit Union Careers,www.ngfcu.us,51 to 200 employees,Banking,1946
122,Syapse Careers,www.syapse.com,51 to 200 employees,Information Technology & Services,2008
123,Bigbelly Careers,www.bigbelly.com,51 to 200 employees,Environmental Services,2003
124,Track Revenue Careers,www.trackrevenue.com,1 to 50 employees,Information Technology & Services,2015
125,Bloomberg Industry Group Careers,www.bloombergindustry.com,"1,001 to 5,000 employees",Information Services,1929
126,Neato Robotics Careers,neatorobotics.com,51 to 200 employees,Consumer Electronics,2005
127,Bold Commerce Careers,boldcommerce.com,201 to 500 employees,Information Technology & Services,2012
128,Keysight Technologies Careers,www.keysight.com,"10,000+ employees",Computer Hardware,2014
129,Viziworx Creative Careers,www.viziworx.com,1 to 50 employees,Marketing & Advertising,2007
130,Credibility Capital Careers,www.credibilitycapital.com,1 to 50 employees,Financial Services,2013
131,Melio Careers,www.meliopayments.com,51 to 200 employees,Financial Services,2018
132,NRC Health Careers,www.nrchealth.com,201 to 500 employees,Hospital & Health Care,1981
133,Qontigo Careers,www.qontigo.com,"501 to 1,000 employees",Financial Services,1997
134,CipherHealth Careers,cipherhealth.com,51 to 200 employees,Hospital & Health Care,2009
135,Oriental Trading Company Careers,www.orientaltrading.com,"1,001 to 5,000 employees",Retail,1932
136,HHAeXchange Careers,www.hhaexchange.com,201 to 500 employees,Computer Software,2008
137,Postscript Careers,postscript.io,51 to 200 employees,Internet,2018
138,Leap Careers,leapcommerce.com,51 to 200 employees,Internet,2021
139,McAfee Careers,www.mcafee.com,"5,001 to 10,000 employees",Computer & Network Security,1987
140,Mouser Electronics Careers,www.mouser.com,"1,001 to 5,000 employees",Electrical & Electronic Manufacturing,1964
141,Logic20/20 Careers,www.logic2020.com,201 to 500 employees,Management Consulting,2005
