,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
750,,Hong Kong,,1862.0,28.99 Billion USD,HONG KONG AND CHINA GAS COMPANY
751,2004.0,USA,Robert Glen Goldstein,1988.0,28.96 Billion USD,LAS VEGAS SANDS CORP
752,,Australia,Scott Charlton,1996.0,28.95 Billion USD,TRANSURBAN GROUP
753,,USA,Eric M. Green,1923.0,28.93 Billion USD,WEST PHARMACEUTICAL SERVICES
754,,Switzerland,Urs Schaeppi,1998.0,28.91 Billion USD,SWISSCOM AG
755,,UK,Carl Hess,2016.0,28.85 Billion USD,WILLIS TOWERS WATSON PUBLIC COMPANY
756,,Switzerland,Christian Buhl,1874.0,28.74 Billion USD,GEBERIT AG
757,,Indonesia,Ririek Adriansyah,1856.0,28.72 Billion USD,PT TELEKOMUNIKASI INDONESIA TBK
758,2017.0,USA,Dev Ittycheria,2007.0,28.68 Billion USD,MONGODB
759,,China,,1995.0,28.64 Billion USD,CHONGQING ZHIFEI BIOLOGICAL PRODUCTS
760,,Netherlands,Nancy McKinstry,1987.0,28.49 Billion USD,WOLTERS KLUWER
761,,Mexico,Eduardo Padilla Silva,1936.0,28.48 Billion USD,FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA)
762,,USA,Steve Rendle,1899.0,28.47 Billion USD,V.F. CORPORATION
763,1998.0,USA,Andrew C. Florance,1987.0,28.39 Billion USD,COSTAR GROUP
764,1991.0,USA,Anders Gustafsson,1969.0,28.37 Billion USD,ZEBRA TECHNOLOGIES CORPORATION
765,,Canada,Paul A. Mahon,1891.0,28.25 Billion USD,GREAT-WEST LIFECO
766,,France,Stephane Richard,1988.0,28.20 Billion USD,ORANGE S.A
767,2020.0,USA,Jay Farner,1985.0,28.14 Billion USD,ROCKET COMPANIES
768,,Japan,Yasuo Takeuchi,1919.0,28.09 Billion USD,OLYMPUS CORPORATION
769,,Denmark,Henrik Andersen,1945.0,28.08 Billion USD,VESTAS WIND SYSTEMS A/S
770,,Switzerland,Thomas Oetterli,1874.0,28.05 Billion USD,SCHINDLER HOLDING AG
771,,Sweden,Martin Carlesund,2006.0,27.96 Billion USD,EVOLUTION GAMING GROUP AB (PUBL)
772,,Singapore,Kuan Moon Yuen,1879.0,27.94 Billion USD,SINGAPORE TELECOMMUNICATIONS (SINGTEL)
773,,USA,,1977.0,,MERCADONA
774,2004.0,USA,Joseph Margolis,1977.0,27.91 Billion USD,EXTRA SPACE STORAGE
775,,Finland,Torbjorn Magnusson,1909.0,27.89 Billion USD,SAMPO OYJ
776,,Japan,Yo Honma,1978.0,27.86 Billion USD,NTT DATA CORPORATION
777,,USA,Pierce H. Norton II,1906.0,27.85 Billion USD,ONEOK
778,,USA,Hassane El-Khoury,1999.0,27.82 Billion USD,ON SEMICONDUCTOR CORPORATION
779,,Japan,Takeshi Sugiyama,1921.0,27.73 Billion USD,MITSUBISHI ELECTRIC CORPORATION
780,,USA,Steven H. Collis,1985.0,27.71 Billion USD,AMERISOURCEBERGEN CORPORATION
781,,USA,Stewart Butterfield,2009.0,27.70 Billion USD,SLACK TECHNOLOGIES
782,,Canada,Alex Pourbaix,2009.0,27.66 Billion USD,CENOVUS ENERGY
783,,China,,2001.0,27.62 Billion USD,GOERTEK
784,,USA,J Kent Masters,1994.0,27.61 Billion USD,ALBEMARLE CORPORATION
785,,USA,J. Thomas Hill,1909.0,27.59 Billion USD,VULCAN MATERIALS COMPANY
