ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Bernard S. Charles,France," 20,496",,"Velizy-Villacoublay,France",Software—Application,$62.75 B,Dassault Systèmes SE,Technology,DSY
 Mr. William J. Fehrman,United States," 4,800",,"Portland,OR,UnitedStates",Utilities—Diversified,$62.87 B,PacifiCorp,Utilities,PPWLM
 Mr. Michael F. Mahoney,United States," 41,000", 1979,,Medical Devices,$63.08 B,Boston Scientific Corporation,Healthcare,BSX
 Mr. Frederick W. Smith,United States," 384,000"," May 5, 1971","Memphis,TN,UnitedStates",Integrated Freight & Logistics,$63.25 B,FedEx Corporation,Industrials,FDX
,Japan," 24,629",,"Tokyo,Japan",Chemicals,$63.43 B,Shin-Etsu Chemical Co Ltd,Basic Materials,4063
 Mr. Soren  Skou,Denmark," 95,000",,"Copenhagen,Denmark",Marine Shipping,$64.40 B,AP Moller - Maersk A-S,Industrials,MAERSK.B
,South Korea," 29,047",,"Icheon-Si,SouthKorea",Semiconductors,$64.60 B,"SK hynix, Inc.",Technology,000660
 Mr. Toshio  Kagami,Japan," 8,782",,"Urayasu,Japan",Leisure,$64.66 B,Oriental Land Co. Ltd,Consumer Discretionary,4661
 Mr. Frank  Slootman,United States," 2,495"," July 23, 2012","SanMateo,CA,UnitedStates",Software—Application,$65.04 B,Snowflake Inc.,Technology,SNOW
 Mr. Christopher Mark Crane,United States," 31,518"," October 20, 2000","Chicago,IL,UnitedStates",Utilities—Diversified,$65.53 B,Exelon Corporation,Utilities,EXC
 Mr. Noel R. Wallace,United States," 33,800", 1806,"NewYork,NY,UnitedStates",Household & Personal Products,$65.64 B,Colgate-Palmolive Company,Consumer Staples,CL
 Mr. James D. Farley Jr.,United States," 183,000"," June 16, 1903","Dearborn,MI,UnitedStates",Auto Manufacturers,$65.74 B,Ford Motor Company,Consumer Discretionary,F
 Mr. Thomas Ronald Palmer,United States," 14,400", 1921,"Denver,CO,UnitedStates",Gold,$65.89 B,Newmont Corporation,Basic Materials,NEM
 Mr. Charles J. Meyers,United States," 10,944", 1998,"RedwoodCity,CA,UnitedStates",REIT—Specialty,$66.35 B,"Equinix, Inc. (REIT)",Real Estate,EQIX
 Mr. Sandeep  Bakhshi B.E.,India," 98,750", 5 January 1994,"Mumbai,India",Banks,$66.62 B,ICICI Bank Limited,Financials,IBN
 Mr. Piyush  Gupta,Singapore," 33,000",,"Singapore,Singapore",Banks,$66.74 B,DBS Group Holdings Ltd,Financials,D05
,China," 59,630",,"Fuzhou,China",Banks,$66.87 B,Industrial Bank Co. Ltd,Financials,601166
 Mr. James C. Fish Jr.,United States," 48,500"," January 1, 1968","Houston,TX,UnitedStates",Waste Management,$66.95 B,"Waste Management, Inc.",Industrials,WM
,Switzerland," 104,400", 1988,"Zurich,Switzerland",Electrical Equipment & Parts,$67.19 B,ABB Ltd,Industrials,ABBN
" Mr. Peter Francis King F.C.A., BEc, FCA",Australia," 40,143",,"Sydney,NSW,Australia",Banks,$67.20 B,Westpac Banking Corporation,Financials,WBC
 Ms. Susan Patricia Griffith,United States," 49,077"," March 10, 1937","Mayfield,OH,UnitedStates",Insurance—Property & Casualty,$67.31 B,The Progressive Corporation,Financials,PGR
 Mr. E. Scott Santi,United States," 45,000", 1912,"Glenview,IL,UnitedStates",Specialty Industrial Machinery,$67.49 B,Illinois Tool Works Inc.,Industrials,ITW
" Dr. Reshma  Kewalramani FASN, M.D.",United States," 3,900", 1989,"Boston,MA,UnitedStates",Biotechnology,$67.49 B,Vertex Pharmaceuticals Incorporated,Healthcare,VRTX
 Mr. John G. Morikis,United States," 61,000"," Cleveland, Ohio, U.S. 1866","Cleveland,OH,UnitedStates",Specialty Chemicals,$67.54 B,The Sherwin-Williams Company,Basic Materials,SHW
 Mr. Werner  Baumann,Germany," 95,950",,"Leverkusen,Germany",Drug Manufacturers—General,$68.09 B,Bayer AG,Healthcare,BAYN
 Mr. Hisayuki  Idekoba,Japan," 46,800",,"Tokyo,Japan",Staffing & Employment Services,$68.11 B,Recruit Holdings Co Ltd,Industrials,6098
 Mr. Jose Ignacio  Sanchez Galan,Spain," 38,702",,"Bilbao,Spain",Utilities—Diversified,$68.23 B,"Iberdrola, SA",Utilities,IBE
 Mr. Frank J. Bisignano,United States," 44,000", 1984,"Brookfield,WI,UnitedStates",Information Technology Services,$68.68 B,"Fiserv, Inc.",Technology,FISV
 Mr. Herman Oskarovich Gref,Russia," 287,866",,"Moscow,Russia",Banks,$68.69 B,Sberbank of Russia PJSC,Financials,SBER
 Mr. Ralph A. J. G. Hamers,Switzerland," 71,385", 29 June 1998,"Zurich,Switzerland",Banks,$68.93 B,UBS Group AG,Financials,UBSG
 Mr. Joseph D. Russell Jr.,United States," 5,800", 1972,"Glendale,CA,UnitedStates",REIT—Industrial,$69.31 B,Public Storage,Real Estate,PSA
