ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Jeffrey A. Stoops,United States," 1,596",,"BocaRaton,FL,UnitedStates",REIT—Specialty,$37.93 B,SBA Communications Corporation,Real Estate,SBAC
 Mr. Michael A. Witynski,United States," 61,886", 1986,"Chesapeake,VA,UnitedStates",Discount Stores,$38.00 B,"Dollar Tree, Inc.",Consumer Staples,DLTR
 Mr. Philippe  Brassac,France," 75,975",,"Montrouge,France",Banks,$38.01 B,Crédit Agricole SA,Financials,ACA
 Mr. Martin  Lundstedt M.Sc.,Sweden," 92,144",,"Gothenburg,Sweden",Farm & Heavy Construction Machinery,$38.13 B,AB Volvo,Industrials,VOL4
 Mr. Yixiao  Cheng,China," 27,125",,"Beijing,China",Broadcasting,$38.15 B,Kuaishou Technology,Communication Services,1024
 Mr. Michael Saul Dell,United States," 133,000"," September 7, 2016","RoundRock,TX,UnitedStates",Computer Hardware,$38.16 B,Dell Technologies Inc.,Technology,DELL
 Mr. Onur  Genc,Spain," 110,432",,"Bilbao,Spain",Banks,$38.25 B,"Banco Bilbao Vizcaya Argentaria, SA",Financials,BBVA
 Mr. Lorenzo  Simonelli,United States," 54,000", 1907,"Houston,TX,UnitedStates",Oil & Gas Equipment & Services,$38.39 B,Baker Hughes Company,Energy,BKR
,Colombia," 18,000", 1921,"BogotÃ¡,Colombia",                                        Oil & Gas Integrated                                    ,$38.69 B,Ecopetrol SA,                                        Energy                                    ,EC
 Mr. David J. Endicott,Switzerland," 24,389"," 1945, Fort Worth, Texas, United States","Geneva,Switzerland",Medical Instruments & Supplies,$38.90 B,Alcon Inc.,Healthcare,ALC
,United Kingdom," 23,000", 1848,"London,UnitedKingdom",Insurance—Life,$39.00 B,Prudential plc,Financials,PRU
 Ms. Ester  Baiget,Denmark," 6,184",,"Bagsvaerd,Denmark",Chemicals,$39.03 B,Novozymes A-S,Basic Materials,NZYM.B
,Switzerland," 16,842",,"Vernier,Switzerland",Specialty Chemicals,$39.29 B,Givaudan SA,Basic Materials,GIVN
 Mr. Jamie J. Iannone,United States," 10,800"," September 3, 1995","SanJose,CA,UnitedStates",Internet Retail,$39.34 B,eBay Inc.,Consumer Discretionary,EBAY
 Mr. Brian P. Hannasch,Canada," 98,000", 1980,"Laval,QC,Canada",Grocery Stores,$39.56 B,Alimentation Couche-Tard Inc.,Consumer Staples,ATD.B
 Mr. Christian  Sinding,Japan," 1,059",,"Tokyo,Japan",Asset Management,$39.71 B,EQT AB,Financials,6EQ
 Mr. John B. Hess,United States," 1,545"," December 11, 1919","NewYork,NY,UnitedStates",Oil & Gas E&P,$32.81 B,Hess Corporation,Energy,HES
 Mr. Stephane  Richard,France," 132,002", 1 January 1988,"Paris,France",Telecom Services,$32.84 B,Orange SA,Communication Services,ORA
 Dr. Theodor  Weimer,Germany," 8,855",,"Eschborn,Germany",Financial Data & Stock Exchanges,$32.99 B,Deutsche Börse AG,Financials,DB1
 Mr. Alexander J. Pourbaix,Canada," 5,938", 2009,"Calgary,AB,Canada",Oil & Gas Integrated,$33.02 B,Cenovus Energy Inc.,Energy,CVE
 Mr. Kevin P. Clark,Ireland," 155,000", 1994,"Dublin,Ireland",Auto Parts,$33.02 B,Aptiv PLC,Consumer Discretionary,APTV
 Mr. Blake D. Moret,United States," 24,500", 1903,"Milwaukee,WI,UnitedStates",Specialty Industrial Machinery,$33.05 B,"Rockwell Automation, Inc.",Industrials,ROK
" Mr. Kevin David Strain C.A., CPA",Canada," 22,719",,"Toronto,ON,Canada",Insurance—Diversified,$33.08 B,Sun Life Financial Inc.,Financials,SLF
 Ms. Judith F. Marks,United States," 70,000", 20 September 1853,"Farmington,CT,UnitedStates",Specialty Industrial Machinery,$33.09 B,Otis Worldwide Corporation,Industrials,OTIS
 Mr. Eric S. Yuan,United States," 6,787"," April 21, 2011","SanJose,CA,UnitedStates",Telecom Services,$33.22 B,"Zoom Video Communications, Inc.",Communication Services,ZM
,Hong Kong," 47,537",,"WanChai,HongKong",Real Estate—Development,$33.26 B,China Resources Land Ltd,Real Estate,1109
" Mr. E. Borje Ekholm MBA, MSc",Sweden," 100,454"," Stockholm, Sweden 1876","Stockholm,Sweden",Communication Equipment,$33.29 B,Telefonaktiebolaget LM Ericsson,Technology,ERIC.A
 Mr. Franklin K. Clyburn Jr.,United States," 24,000", 1889 ,"NewYork,NY,UnitedStates",Specialty Chemicals,$33.32 B,International Flavors & Fragrances Inc.,Basic Materials,IFF
 Mr. Jiusheng  Zhu MBA,China," 140,565",,"Shenzhen,China",Real Estate—Development,$33.35 B,China Vanke Co. Ltd,Real Estate,000002
 Mr. Frans W. H. Muller,Netherlands," 144,550",,"Zaandam,Netherlands",Grocery Stores,$33.43 B,Koninklijke Ahold Delhaize N.V.,Consumer Staples,AD
 Mr. Auttapol  Rerkpiboon,Thailand,,,"Bangkok,Thailand",Oil & Gas Integrated,$33.46 B,PTT PCL,Energy,PTT
 Mr. Masahiro  Kihara,Japan," 54,492", 2001,"Tokyo,Japan",Banks,$33.47 B,"Mizuho Financial Group, Inc.",Financials,8411
 Mr. Joseph Y. Bae,United States," 3,238", 1976,"NewYork,NY,UnitedStates",Asset Management,$33.49 B,KKR & Co. Inc.,Financials,KKR
,China," 61,201",,"Guangzhou,China",Real Estate—Development,$33.64 B,Poly Developments and Holdings Group Co. Ltd,Real Estate,600048
 Dr. Chak-pui  Kam,Hong Kong," 31,968",,"KowloonBay,HongKong",Railroads,$33.66 B,MTR Corp Ltd,Industrials,0066
 Mr. Kenji  Yamaguchi,Japan," 8,256",,"Yamanashi,Japan",Specialty Industrial Machinery,$33.68 B,FANUC Corp,Industrials,6954
 Dr. Detlef A. Trefzger,Switzerland," 73,516",,"Schindellegi,Switzerland",Integrated Freight & Logistics,$33.69 B,Kuehne + Nagel International AG,Industrials,KNIN
 Mr. Roger Crosby Hochschild,United States," 16,700", 1985,"Riverwoods,IL,UnitedStates",Credit Services,$33.73 B,Discover Financial Services,Financials,DFS
 Mr. Donnie D. King,United States," 137,000", 1935,"Springdale,AR,UnitedStates",Farm Products,$33.73 B,"Tyson Foods, Inc.",Consumer Staples,TSN
 Mr. Jeffrey Allen Miller,United States," 40,000", 1919,"Houston,TX,UnitedStates",Oil & Gas Equipment & Services,$33.95 B,Halliburton Company,Energy,HAL
" Mr. Robert W. Sharps C.F.A., CPA, CFA, CPA",United States," 7,529", 1937,"Baltimore,MD,UnitedStates",Asset Management,$34.01 B,"T. Rowe Price Group, Inc.",Financials,TROW
 Mr. Chi-Mau  Sheih,Taiwan," 20,341"," June 15, 1996","TaipeiCity,Taiwan",Telecom Services,$34.06 B,"Chunghwa Telecom Co., Ltd.",Communication Services,2412
 Mr. Mark J. Parrell,United States," 2,400", 1969,"Chicago,IL,UnitedStates",REIT—Residential,$34.11 B,Equity Residential,Real Estate,EQR
,China," 3,380",,"Chongqing,China",Biotechnology,$34.13 B,Chongqing Zhifei Biological Products Co. Ltd,Healthcare,300122
 Mr. J. Patrick Gallagher Jr.,United States," 39,000", 1927,"RollingMeadows,IL,UnitedStates",Insurance Brokers,$34.22 B,Arthur J. Gallagher & Co.,Financials,AJG
 Mr. Kentaro  Kawabe,Japan," 22,531",,"Tokyo,Japan",Internet Retail,$34.24 B,Z Holdings Corp,Consumer Discretionary,4689
 Mr. Scott G. Stephenson,United States," 9,367", 1971,"JerseyCity,NJ,UnitedStates",Consulting Services,$34.39 B,"Verisk Analytics, Inc.",Industrials,VRSK
,Australia, 418, 2002,"Sydney,NSW,Australia",Airports & Air Services,$34.40 B,Sydney Airport Limited,Industrials,SYD
 Dr. Michael  Strugl M.B.A.,Austria," 2,870",,"Vienna,Austria",                                        Utilities—Renewable                                    ,$34.44 B,VERBUND AG,                                        Utilities                                    ,OEW
 Mr. Joseph M. Hogan,United States," 22,540", 1997,"Tempe,AZ,UnitedStates",Medical Devices,$34.49 B,"Align Technology, Inc.",Healthcare,ALGN
 Mr. Daniel L. Florness,United States," 18,370", 1967,"Winona,MN,UnitedStates",Industrial Distribution,$34.58 B,Fastenal Company,Industrials,FAST
 Mr. James M. Cracchiolo,United States," 12,000", 1894,"Minneapolis,MN,UnitedStates",Asset Management,$34.64 B,"Ameriprise Financial, Inc.",Financials,AMP
 Mr. Aditya  Mittal,Luxembourg," 158,000",,"LuxembourgCity,Luxembourg",                                        Steel                                    ,$34.66 B,ArcelorMittal,                                        Basic Materials                                    ,MT
 Mr. Jan Eli B.  Craps,Hong Kong," 26,038",,"CausewayBay,HongKong",Beverages—Brewers,$34.73 B,Budweiser Brewing Company APAC Ltd,Consumer Staples,1876
,China," 57,062",,"Beijing,China",Banks,$34.84 B,China CITIC Bank Corp Ltd,Financials,601998
 Mr. Timothy P. Cawley,United States," 13,871", 1823 as the New York Gas Light Company,"NewYork,NY,UnitedStates",Utilities—Regulated Electric,$34.89 B,"Consolidated Edison, Inc.",Utilities,ED
 Mr. Jack A. Fusco,United States," 1,550", 1996,"Houston,TX,UnitedStates",Oil & Gas Midstream,$34.92 B,"Cheniere Energy, Inc.",Energy,LNG
 Mr. Greg C. Gantt,United States," 23,663", 1934,"Thomasville,NC,UnitedStates",Trucking,$34.94 B,"Old Dominion Freight Line, Inc.",Industrials,ODFL
,Hong Kong," 38,500",,"WanChai,HongKong",Real Estate—Development,$35.04 B,Sun Hung Kai Properties Ltd,Real Estate,0016
 Mr. David W. Gibbs,United States," 36,000"," October 6, 1997","Louisville,KY,UnitedStates",Restaurants,$35.12 B,"Yum! Brands, Inc.",Consumer Discretionary,YUM
 Mr. Bradley William Corson BS,Canada," 5,400", 1880,"Calgary,AB,Canada",Oil & Gas Integrated,$35.13 B,Imperial Oil Limited,Energy,IMO
 Mr. Benjamin W. Schall,United States," 2,839", 1978,"Arlington,VA,UnitedStates",REIT—Residential,$35.19 B,"AvalonBay Communities, Inc.",Real Estate,AVB
 Mr. Philippe Roger Donnet,Italy," 74,621",,"Trieste,Italy",Insurance—Diversified,$35.20 B,Assicurazioni Generali,Financials,G
" Mr. Ola  RollÃ©n B.Sc., B.Sc. (Econ.)",Sweden," 22,097",,"Stockholm,Sweden",Scientific & Technical Instruments,$35.21 B,Hexagon AB,Technology,HXG
" Mr. Andrew Richard Penn M.B.A., AMP, MBA, BEc, FCCA, HFAIPM",Australia," 26,728", 1 July 1975,"Melbourne,VIC,Australia",Telecom Services,$35.24 B,Telstra Corporation Limited,Communication Services,TLS
 Dr. Carsten  Knobel,Germany," 52,450",,"Düsseldorf,Germany",Household & Personal Products,$30.53 B,Henkel AG & Co KGaA,Consumer Staples,HEN
 Mr. Parag  Agrawal,United States," 7,500"," March 21, 2006","SanFrancisco,CA,UnitedStates",Internet Content & Information,$30.83 B,"Twitter, Inc.",Communication Services,TWTR
 Mr. Marshall S. McCrea III,United States," 12,558", 1995,"Dallas,TX,UnitedStates",Oil & Gas Midstream,$30.69 B,Energy Transfer LP,Energy,ET
" Mr. Galen G. Weston B.A., M.B.A, M.B.A.",Canada," 200,000"," Toronto, Ontario, Canada 1956","Brampton,ON,Canada",Grocery Stores,$30.70 B,Loblaw Companies Limited,Consumer Staples,L
 Mr. Peter P. Gassner,United States," 4,506", 2007,"Pleasanton,CA,UnitedStates",Health Information Services,$30.76 B,Veeva Systems Inc.,Healthcare,VEEV
 Mr. Pekka Ilmari Lundmark,Finland," 87,927", 12 May 1865,"Espoo,Finland",Communication Equipment,$30.91 B,Nokia Corporation,Technology,NOKIA.SEK
,China," 204,815",,"Shanghai,China",Auto Manufacturers,$30.93 B,SAIC Motor Corp Ltd,Consumer Discretionary,600104
 Mr. Ronald Philip O'Hanley,United States," 38,784", 1792,"Boston,MA,UnitedStates",Asset Management,$30.95 B,State Street Corporation,Financials,STT
 Ms. Catherine  MacGregor,France," 154,364",,"Courbevoie,France",Utilities—Diversified,$31.00 B,Engie SA,Utilities,ENGI
,China," 47,539",,"Wuhu,China",Building Materials,$31.02 B,Anhui Conch Cement Company Ltd,Basic Materials,600585
 Mr. Paul  Brink,Canada, 38,,"Toronto,ON,Canada",Gold,$31.00 B,Franco-Nevada Corporation,Basic Materials,FNV
,China," 110,940",,"Shanghai,China",Insurance—Life,$31.04 B,China Pacific Insurance,Financials,601601
 Mr. Jagtar Singh Chaudhry,United States," 3,153", 2007,"SanJose,CA,UnitedStates",Software—Infrastructure,$31.03 B,"Zscaler, Inc.",Technology,ZS
 Dr. Leonhard  Birnbaum,Germany," 63,227",,"Essen,Germany",Utilities—Diversified,$31.12 B,E.ON SE,Utilities,EOAA
 Mr. David A. Zapico,United States," 18,500", 1930,"Berwyn,PA,UnitedStates",Specialty Industrial Machinery,$31.15 B,"AMETEK, Inc.",Industrials,AME
,China," 2,526",,"Zhangzhou,China",Drug Manufacturers—General,$31.17 B,Zhangzhou Pientzehuang Pharmaceutical. Ltd,Healthcare,600436
,Taiwan,,,"Mailiao,Taiwan",Oil & Gas Refining & Marketing,$31.22 B,Formosa Petrochemical Corp,Energy,6505
 Mr. Dimitri  de Vreeze,Netherlands," 21,358",,"Heerlen,Netherlands",Specialty Chemicals,$31.25 B,Koninklijke DSM N.V.,Basic Materials,DSM
 Mr. Urs  Schaeppi lic. oec. HSG,Switzerland," 18,905",,"Bern,Switzerland",Telecom Services,$31.26 B,Swisscom AG,Communication Services,SCMN
 Mr. Michel  Vounatsos,United States," 9,610", 1978,"Cambridge,MA,UnitedStates",Drug Manufacturers—General,$31.35 B,Biogen Inc.,Healthcare,BIIB
 Mr. Hiroya  Masuda,Japan," 243,612",,"Tokyo,Japan",Banks,$31.41 B,Japan Post Holdings Co. Ltd,Financials,6178
,Ireland," 77,400"," Cement Limited 1936, Roadstone Limited 1949 & merger to form Cement Roadstone Holdings 1970","Dublin,Ireland",Building Materials,$31.45 B,CRH plc,Basic Materials,CRH
 Mr. Ruiwen  Ke,Hong Kong," 278,922",,"WanChai,HongKong",Telecom Services,$31.49 B,China Telecom Corp Ltd,Communication Services,0728
 Mr. Joseph R. Nolan Jr.,United States," 9,227", 1966,"Springfield,MA,UnitedStates",Utilities—Regulated Electric,$31.56 B,Eversource Energy,Utilities,ES
 Mr. Hongmeng  Cheng,China," 196,159",,"Shenzhen,China",Communication Equipment,$31.58 B,Foxconn Industrial Internet Co. Ltd,Technology,601138
 Mr. Masamichi  Terabatake,Japan," 55,381",,"Tokyo,Japan",Tobacco,$31.59 B,"Japan Tobacco, Inc.",Consumer Staples,2914
 Mr. Wendell P. Weeks,United States," 61,200", 1851,"Corning,NY,UnitedStates",Electronic Components,$31.60 B,Corning Incorporated,Technology,GLW
 Mr. Gregory Leith Goodman,Australia, 941, 1989,"Rosebery,NSW,Australia",REIT—Diversified,$31.64 B,Goodman Group,Real Estate,GMG
 Mr. Pierce H. Norton II,United States," 2,847", 1906,"Tulsa,OK,UnitedStates",Oil & Gas Midstream,$31.66 B,"ONEOK, Inc.",Energy,OKE
 Mr. Patrick K. Kaltenbach,United States," 15,600", 1945,"Columbus,OH,UnitedStates",Diagnostics & Research,$31.78 B,Mettler-Toledo International Inc.,Healthcare,MTD
,Indonesia," 20,817", 23 October 1856,"Bandung,Indonesia",Telecom Services,$31.78 B,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,TLK
 Mr. Michael H. McGarry,United States," 49,300", 1883,"Pittsburgh,PA,UnitedStates",Specialty Chemicals,$31.89 B,"PPG Industries, Inc.",Basic Materials,PPG
,Japan," 12,451",,"Tokyo,Japan",Banks,$31.93 B,"JAPAN POST BANK Co.,Ltd.",Financials,7182
 Mr. Xuping  Chen,China," 44,065",,"Beijing,China",Real Estate—Development,$31.98 B,Longfor Group Holdings Ltd,Real Estate,0960
,China," 63,174",,"Baoding,China",Auto Manufacturers,$32.01 B,Great Wall Motor Co Ltd,Consumer Discretionary,601633
 Mr. R. Preston Feight,United States," 28,500", 1905,"Bellevue,WA,UnitedStates",Farm & Heavy Construction Machinery,$32.04 B,PACCAR Inc,Industrials,PCAR
 Mr. Harry  Schmelzer Jr.,Brazil," 36,987",,"JaraguádoSul,SC,Brazil",Specialty Industrial Machinery,$32.05 B,WEG SA,Industrials,WEGE3
 Mr. Lawson E. Whiting,United States," 4,700", 1870,"Louisville,KY,UnitedStates",Beverages—Wineries & Distilleries,$32.07 B,Brown-Forman Corporation,Consumer Staples,BF.B
 Mr. Coimbatore Sundararajan Venkatakrishnan,United Kingdom," 81,600", 17 November 1690,"London,UnitedKingdom",Banks,$32.19 B,Barclays plc,Financials,BARC
 Mr. Shizhong  Ding,China," 52,000",,"Jinjiang,China",Leisure,$32.20 B,ANTA Sports Products Ltd,Consumer Discretionary,2020
 Mr. Kuan Moon  Yuen,Singapore," 22,914",,"Singapore,Singapore",Telecom Services,$32.23 B,Singapore Telecommunications Ltd,Communication Services,Z74
,China," 99,299",,"Qingdao,China","Furnishings, Fixtures & Appliances",$32.31 B,Haier Smart Home Co Ltd,Consumer Discretionary,600690
 Mr. Tobias  Martinez Gimeno,Spain," 2,877",,"Madrid,Spain",Telecom Services,$32.32 B,"Cellnex Telecom, SA",Communication Services,CLNX
,Hong Kong," 135,304",,"Central,HongKong",Conglomerates,$32.33 B,CITIC Ltd,Industrials,0267
 Dr. Zhisheng  Chen,China," 9,864",,"Wuxi,China",Biotechnology,$32.41 B,WuXi Biologics,Healthcare,2269
 Mr. ZhiChao  Zhang,Hong Kong," 5,916",,"Central,HongKong",Real Estate—Development,$32.49 B,China Overseas Land & Investment Ltd,Real Estate,0688
 Mr. Steven H. Collis,United States," 38,000", Merger between AmeriSource Health and Bergen Brunswig in 2001,"Chesterbrook,PA,UnitedStates",Medical Distribution,$32.51 B,AmerisourceBergen Corporation,Healthcare,ABC
 Mr. Scott J. Lauber,United States," 6,938", 1896,"Milwaukee,WI,UnitedStates",Utilities—Regulated Electric,$32.54 B,"WEC Energy Group, Inc.",Utilities,WEC
 Ms. Barbara  Rentler,United States," 88,100", 1982,"Dublin,CA,UnitedStates",Apparel Retail,$32.71 B,"Ross Stores, Inc.",Consumer Discretionary,ROST
,China," 18,248",,"Shenzhen,China",Utilities—Independent Power Producers,$19.25 B,CGN Power Co. Ltd,Utilities,003816
 Mr. Marco  AlverÃ ,Italy," 3,388",,"SanDonatoMilanese,MI,Italy",Utilities—Regulated Gas,$19.27 B,Snam S.p.A.,Utilities,SRG
 Mr. Seetarama Swamy Kotagiri,Canada," 158,000", 1957,"Aurora,ON,Canada",Auto Parts,$19.36 B,Magna International Inc.,Consumer Discretionary,MG
 Dr. Jong-Kyoo  Yoon Ph.D.,South Korea," 25,428"," September 29, 2008","Seoul,SouthKorea",Banks,$19.39 B,KB Financial Group Inc.,Financials,105560
 Mr. Carl  Cederschiold,Sweden," 10,793",,"Stockholm,Sweden",Banks,$19.42 B,Svenska Handelsbanken AB,Financials,SHB.A
 Mr. Robert Maurice Powell Jr.,Germany," 122,909",,"BadHomburg,Germany",Medical Care Facilities,$19.42 B,Fresenius Medical Care AG & Co. KGaA,Healthcare,FME
 Mr. Miguel Stilwell de Andrade,Portugal," 12,236",,"Lisbon,Portugal",                                        Utilities—Diversified                                    ,$19.43 B,EDP - Energias de Portugal SA,                                        Utilities                                    ,EDP
 Mr. Ignacio Madridejos Fernandez,Spain," 18,680",,"Madrid,Spain",Infrastructure Operations,$19.44 B,"Ferrovial, SA",Industrials,FER
 Mr. Joseph Michael Zubretsky,United States," 14,000", 1980,"LongBeach,CA,UnitedStates",Healthcare Plans,$19.46 B,"Molina Healthcare, Inc.",Healthcare,MOH
 Mr. Michael  Stubblefield,United States," 13,500", 1904,"Radnor,PA,UnitedStates",Specialty Chemicals,$19.48 B,"Avantor, Inc.",Basic Materials,AVTR
 Mr. Guanlin  Huang,Hong Kong," 94,400",,"Kowloon,HongKong",Textile Manufacturing,$19.50 B,Shenzhou International Group Holdings Ltd,Consumer Discretionary,2313
 Mr. Gilberto  Tomazoni,Brazil," 250,000",,"SaoPaulo,SP,Brazil",Packaged Foods,$19.53 B,JBS SA,Consumer Staples,JBSS3
 Mr. Christopher A. Cartwright,United States," 10,200"," February 8, 1968","Chicago,IL,UnitedStates",Consulting Services,$19.53 B,TransUnion,Industrials,TRU
 Mr. Marc  Grandisson,Bermuda," 5,200", 1995,"Pembroke,Bermuda",                                        Insurance—Diversified                                    ,$19.54 B,Arch Capital Group Ltd.,                                        Financials                                    ,ACGL
 Mr. Lee M. Tillman,United States," 1,531", 1887,"Houston,TX,UnitedStates",Oil & Gas E&P,$19.54 B,Marathon Oil Corporation,Energy,MRO
 Mr. Yi  Zhou,China," 7,375",,"Nanjing,China",Capital Markets,$19.55 B,"Huatai Securities Co., Ltd.",Financials,601688
,China," 20,500",,"Beijing,China",Telecom Services,$19.55 B,China Tower Corp Ltd,Communication Services,0788
 Dr. F. Thomson Leighton,United States," 8,700", 1998,"Cambridge,MA,UnitedStates",Software—Infrastructure,$19.59 B,"Akamai Technologies, Inc.",Technology,AKAM
 Mr. Yifang  Wu,China," 32,258",,"Shanghai,China",Drug Manufacturers—Specialty & Generic,$19.63 B,Shanghai Fosun Pharmaceutical,Healthcare,600196
 Mr. Rene A. Lacerte,United States," 1,384", 2006,"PaloAlto,CA,UnitedStates",Software—Application,$19.65 B,"Bill.com Holdings, Inc.",Technology,BILL
,Hong Kong," 10,059",,"Central,HongKong",Real Estate Services,$19.67 B,Henderson Land Development Co Ltd,Real Estate,0012
 Mr. George D. Schindler,Canada," 82,000", June 1976,"Montreal,QC,Canada",Information Technology Services,$19.67 B,CGI Inc.,Technology,GIB.A
 Mr. Masahiko  Uotani,Japan," 39,035",,"Tokyo,Japan",Household & Personal Products,$19.69 B,Shiseido Co Ltd,Consumer Staples,4911
,Bermuda,," January 14, 2008","Hamilton,Bermuda",                                        Utilities—Diversified                                    ,$19.70 B,Brookfield Infrastructure Partners L.P.,                                        Utilities                                    ,BIP.UN
 Mr. Hidetoshi  Shibata,Japan," 18,612",,"Tokyo,Japan",Semiconductors,$19.73 B,Renesas Electronics Corp,Technology,6723
 Mr. Edmond  Scanlon,Ireland," 22,000",,"Tralee,Ireland",Packaged Foods,$19.74 B,Kerry Group plc,Consumer Staples,KRZ
 Mr. Stephen P. MacMillan,United States," 6,705", 1985,"Marlborough,MA,UnitedStates",Medical Instruments & Supplies,$19.75 B,"Hologic, Inc.",Healthcare,HOLX
 Mr. Michael  O'Leary,Ireland," 17,000", 28 November 1984,"Swords,Ireland",Airlines,$19.78 B,Ryanair Holdings plc,Industrials,RY4C
" Mr. Simpiwe Kenneth Tshabalala AMP, B.A., BA, HDip Tax, L.L.B., L.L.M., LLB, LLM",South Africa," 49,224",,"Johannesburg,SouthAfrica",Banks,$19.82 B,Standard Bank Group Ltd,Financials,SBK
,United Kingdom," 22,000", 2000,"London,UnitedKingdom",Insurance—Diversified,$19.82 B,Aviva plc,Financials,AV.
,China," 133,294",,"Beijing,China",Engineering & Construction,$19.83 B,China Communications Construction Co Ltd,Industrials,601800
 Mr. Xiaohai  Hou,Hong Kong," 25,000",,"WanChai,HongKong",Beverages—Brewers,$19.84 B,China Resources Beer (Holdings) Company Ltd,Consumer Staples,0291
 Mr. Mark E. Jagiela,United States," 5,900", 1960,"NorthReading,MA,UnitedStates",Semiconductor Equipment & Materials,$19.85 B,"Teradyne, Inc.",Technology,TER
 Mr. Yoshihiro  Hasebe,Japan," 33,409",,"Tokyo,Japan",Household & Personal Products,$19.85 B,Kao Corp,Consumer Staples,4452
 Mr. Cristiano Cardoso Teixeira,Brazil,,,"SaoPaulo,SP,Brazil",Paper & Paper Products,$19.86 B,Klabin SA,Basic Materials,KLBN11
 Mr. Chad R. Richison,United States," 5,385", 1998,"OklahomaCity,OK,UnitedStates",Software—Application,$19.87 B,"Paycom Software, Inc.",Technology,PAYC
 Mr. Sunil  Duggal,India," 17,047", 22 April 2003 as Angelchange Limited ,"Mumbai,India",Other Industrial Metals & Mining,$19.93 B,Vedanta Limited,Basic Materials,VEDL
,China," 18,645",,"Changzhou,China",Solar,$19.94 B,Trina Solar Co. Ltd,Technology,688599
 Mr. Lee  Olesky,United States," 1,046", 1998,"NewYork,NY,UnitedStates",Capital Markets,$19.98 B,Tradeweb Markets Inc.,Financials,TW
 Mr. Gary A. Shiffman,United States," 4,948", 1975,"Southfield,MI,UnitedStates",REIT—Residential,$19.98 B,"Sun Communities, Inc.",Real Estate,SUI
 Mr. Jean-Jacques  Henchoz,Germany," 3,346",,"Hanover,Germany",Insurance—Reinsurance,$20.02 B,Hannover Rück SE,Financials,HNRB
 Dr. Prahlad R. Singh Ph.D.,United States," 16,700", 1937,"Waltham,MA,UnitedStates",Diagnostics & Research,$20.05 B,"PerkinElmer, Inc.",Healthcare,PKI
 Ms. Hilde Merete Aasheim,Norway," 31,264",,"Oslo,Norway",                                        Aluminum                                    ,$20.10 B,Norsk Hydro ASA,                                        Basic Materials                                    ,NHY
 Mr. Daniel Joseph Houston,United States," 18,600", 1879,"DesMoines,IA,UnitedStates",Insurance—Diversified,$20.13 B,"Principal Financial Group, Inc.",Financials,PFG
 Mr. Stefan  Bomhard,United Kingdom," 30,300", 1901,"Bristol,UnitedKingdom",Tobacco,$20.14 B,Imperial Brands plc,Consumer Staples,IMB
,Taiwan," 21,159",,"TaipeiCity,Taiwan",Insurance—Life,$20.15 B,CTBC Financial Holding Co. Ltd,Financials,2891
,Hong Kong," 288,729",,"Kowloon,HongKong",Engineering & Construction,$20.15 B,China Railway Group Ltd,Industrials,0390
 Mr. Sigve  Brekke,Norway," 18,000",,"Fornebu,Norway",                                        Telecom Services                                    ,$20.15 B,Telenor ASA,                                        Communication Services                                    ,TEL
 Dr. Patrick  Frost,Switzerland," 8,623",,"Zurich,Switzerland",Insurance—Diversified,$20.16 B,Swiss Life Holding AG,Financials,SLHN
,China," 193,494",,"Beijing,China",Insurance—Property & Casualty,$27.93 B,The People's Insurance Company (Group) of China Ltd,Financials,601319
,Hong Kong," 172,907",,"Central,HongKong",Conglomerates,$27.94 B,CK Hutchison Holdings Ltd,Industrials,0001
,Thailand,,,"Bangkok,Thailand",Airports & Air Services,$28.00 B,Airports of Thailand Public Company Ltd,Industrials,AOT
 Ms. Jennifer C. Witz,United States," 5,590"," July 29, 2008","NewYork,NY,UnitedStates",Broadcasting,$28.05 B,Sirius XM Holdings Inc.,Communication Services,SIRI
 Mr. George  Wills,Germany, 888,,"Stuttgart,Germany",Auto Manufacturers,$28.15 B,Porsche Automobil Holding SE,Consumer Discretionary,PAHA
 Dr. Hai Jun  Zhao,China," 17,354",,"Shanghai,China",Semiconductors,$28.24 B,Semiconductor Manufacturing International Corp,Technology,688981
 Mr. Ken  Murphy,United Kingdom," 360,000"," 1919 (1919) - Hackney, London, England","WelwynGardenCity,UnitedKingdom",Grocery Stores,$28.11 B,Tesco plc,Consumer Staples,TSCO
 Mr. Mark W. Begor,United States," 12,700", 1899,"Atlanta,GA,UnitedStates",Consulting Services,$28.24 B,Equifax Inc.,Industrials,EFX
 Mr. Brendan  Horgan,United Kingdom," 21,033", 1947,"London,UnitedKingdom",Rental & Leasing Services,$28.28 B,Ashtead Group plc,Industrials,AHT
 Dr. David Todd Feinberg MBA,United States," 25,150", 1979,"NorthKansasCity,MO,UnitedStates",Health Information Services,$28.31 B,Cerner Corporation,Healthcare,CERN
 Mr. James P. Snee,United States," 20,000", 1891,"Austin,MN,UnitedStates",Packaged Foods,$28.52 B,Hormel Foods Corporation,Consumer Staples,HRL
" Mr. Robert Anthony Wheals C.A., B.Com., BCom, CA, GAICD, MAICD",Australia," 2,000",,"Sydney,NSW,Australia",Utilities—Regulated Gas,$28.55 B,APA Group,Utilities,APA
