categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
"['Ports', 'Infrastructure']",0.16%,-15.09%,POT.NZ,New Zealand,$2.67 B,Port of Tauranga,3272,$3.94
"['Electronics', 'Tech', 'TechHardware']",0.35%,0.99%,600060.SS,China,$2.67 B,Hisense Visual Technology,3273,$2.05
['Construction'],3.57%,-28.90%,KBH,USA,$2.68 B,KB Home,3271,$31.37
['Financialservices'],0.06%,-4.13%,LICHSGFIN.NS,India,$2.68 B,LIC Housing Finance,3270,$4.88
"['AssetManagement', 'Investment']",-0.68%,-16.53%,ALB.MC,Spain,$2.68 B,Corporación Financiera Alba,3269,$46.16
"['OilGas', 'OilGasEquipmentServices', 'Energy']",-1.27%,48.04%,LBRT,USA,$2.68 B,Liberty Energy,3268,$14.76
[],-0.98%,-12.68%,MEOH,Canada,$2.62 B,Methanex,3301,$37.31
"['Mining', 'CoalMining']",-0.27%,77.62%,ARCH,USA,$2.68 B,Arch Resources,3267,$148.74
[],1.90%,45.69%,S92.F,Germany,$2.45 B,SMA Solar Technology,3400,$70.44
"['OilGas', 'Energy']",0.30%,29.07%,BPT.AX,Australia,$2.52 B,Beach Energy,3356,$1.11
"['Banks', 'Financialservices']",4.16%,38.46%,MAHABANK.NS,India,$2.45 B,Bank of Maharashtra,3399,$0.36
[],-3.64%,-39.35%,LCII,USA,$2.46 B,LCI Industries,3395,$96.83
"['Banks', 'Financialservices']",-0.35%,-6.37%,COLB,USA,$2.46 B,Columbia Bank,3397,$31.29
['Food'],-0.13%,-17.18%,EBRO.MC,Spain,$2.46 B,Ebro Foods,3396,$16.00
"['Tech', 'TechHardware', 'Electronics']",3.07%,-23.41%,XRX,USA,$2.45 B,Xerox,3398,$15.80
['Construction'],-0.67%,-33.40%,FLQ.F,New Zealand,$2.46 B,Fletcher Building,3394,$3.11
['DiagnosticsandTesting'],-0.43%,-36.88%,LALPATHLAB.NS,India,$2.46 B,Dr Lal PathLabs,3393,$29.78
['Financialservices'],-6.25%,-35.17%,FNMAL,USA,$2.46 B,Fannie Mae,3391,$3.30
"['REITs', 'Realestate', 'Investment']",-0.56%,-22.35%,K71U.SI,Singapore,$2.46 B,Keppel REIT,3392,$0.66
"['Banks', 'Financialservices', 'Investment']",1.44%,-21.29%,PIPR,USA,$2.46 B,Piper Sandler,3390,$138.47
[],0.62%,-7.48%,SCL,USA,$2.47 B,Stepan Company,3387,$111.35
"['Mining', 'SilverMining']",4.50%,-18.45%,AG,Canada,$2.47 B,First Majestic Silver,3389,$9.28
"['Financialservices', 'Professionalservices']",-0.10%,31.97%,CBZ,USA,$2.47 B,CBIZ,3388,$48.67
['Professionalservices'],0.85%,-46.80%,PRFT,USA,$2.47 B,Perficient,3386,$71.48
"['OilGas', 'Energy', 'Infrastructure']",-1.52%,-4.36%,GEI.TO,Canada,$2.47 B,Gibson Energy,3384,$17.12
[],2.99%,-36.83%,IBP,USA,$2.47 B,Installed Building Products,3385,$86.59
['Defensecontractors'],1.21%,26.55%,QQ.L,UK,$2.48 B,QinetiQ,3383,$4.29
[],3.19%,-39.91%,MDC,USA,$2.30 B,MDC Holdings,3500,$32.32
[],1.05%,6.74%,OR,Canada,$2.30 B,Osisko Gold Royalties,3499,$12.51
"['Airlines', 'Travel', 'Transportation']",0.29%,221.86%,PGSUS.IS,Turkey,$2.30 B,Pegasus Airlines,3497,$22.53
['Manufacturing'],-1.68%,-12.52%,BRC,USA,$2.30 B,Brady,3498,$46.33
"['Manufacturing', 'SpecialtyVehicles']",-0.63%,,IVG.MI,Italy,$2.30 B,Iveco Group,3496,$6.48
"['OilGas', 'Transportation', 'Maritimetransportation']",-6.63%,242.20%,TRMD,UK,$2.30 B,TORM,3495,$26.76
['Healthcare'],-4.63%,-18.49%,AGTI,USA,$2.30 B,Agiliti,3494,$17.32
"['Energy', 'Infrastructure', 'Conglomerate']",0.19%,-98.49%,DLEKG.TA,Israel,$2.31 B,Delek Group,3492,$125.80
['Electronics'],1.63%,-58.82%,VICR,USA,$2.30 B,Vicor,3493,$52.44
[],-0.39%,-36.15%,ACIW,USA,$2.31 B,ACI Worldwide,3491,$20.56
['Tech'],1.07%,-30.00%,2353.TW,Taiwan,$2.31 B,Acer,3490,$0.77
"['Banks', 'Financialservices']",-0.08%,14.42%,WSBC,USA,$2.31 B,WesBanco,3489,$39.11
['Insurance'],-2.06%,-14.50%,UN9.F,Austria,$2.31 B,Uniqa Insurance Group,3488,$7.49
"['Pharmaceuticals', 'Biotech']",-6.63%,-61.65%,HCM,Hong Kong,$2.31 B,HUTCHMED,3487,$12.40
"['Telecommunication', 'Internet']",-2.34%,-54.13%,1U1.DE,Germany,$2.32 B,1&1,3486,$13.16
"['Banks', 'Financialservices']",-0.19%,0.82%,TOWN,USA,$2.32 B,TowneBank,3485,$31.87
"['Software', 'Tech']",0.72%,-16.13%,VERX,USA,$2.32 B,Vertex,3484,$15.49
[],-1.43%,-11.70%,RVMD,USA,$2.14 B,Revolution Medicines,3600,$24.15
"['Internet', 'Tech']",-2.41%,-41.31%,RUM,USA,$2.14 B,Rumble,3598,$7.70
[],-1.52%,-47.90%,KLNMA.IS,Turkey,$2.14 B,Türkiye Kalkınma,3599,$0.87
"['Software', 'Tech', 'Healthcare']",1.78%,-73.07%,OMCL,USA,$2.14 B,Omnicell,3597,$48.14
"['Software', 'Tech']",-0.76%,-30.78%,SWON.SW,Switzerland,$2.15 B,SoftwareONE,3595,$13.90
"['ECommerce', 'Internet', 'Tech', 'Retail', 'Sportsgoods']",-0.18%,-44.28%,SSU,Germany,$2.15 B,SIGNA Sports United,3596,$5.55
"['Realestate', 'Investment', 'REITs', 'Hotels', 'Travel']",0.29%,-11.12%,SHO,USA,$2.15 B,Sunstone Hotel Investors,3594,$10.23
['Realestate'],-2.21%,-50.86%,0813.HK,Hong Kong,$2.15 B,Shimao Property,3593,$0.57
"['Banks', 'Financialservices']",1.84%,5.40%,ITCB,Chile,$2.15 B,Itaú CorpBanca,3592,$3.32
"['Software', 'Tech']",0.12%,-39.66%,CXM,USA,$2.15 B,Sprinklr,3590,$8.26
[],-0.50%,-18.87%,FUN,USA,$2.15 B,Cedar Fair,3591,$39.63
[],-2.24%,-47.77%,TTEC,USA,$2.16 B,TTEC,3588,$45.77
"['Pharmaceuticals', 'Biotech']",2.77%,4.36%,GKOS,USA,$2.15 B,Glaukos,3589,$45.27
['Mining'],0.00%,-12.28%,HMY,South Africa,$2.16 B,Harmony Gold,3587,$3.50
['Realestate'],-1.31%,-29.81%,GRI.L,UK,$2.16 B,Grainger plc,3586,$2.92
['Food'],0.59%,8.49%,TBS.JO,South Africa,$2.02 B,Tiger Brands,3663,$11.75
"['Courier', 'Transportation']",-0.12%,6.69%,BLUEDART.NS,India,$2.16 B,Blue Dart Express,3585,$91.24
[],-1.86%,-63.63%,CRCT,USA,$1.97 B,Cricut,3700,$8.95
['Realestate'],-0.81%,-15.44%,JDAN.CO,Denmark,$1.97 B,Jeudan,3699,$34.77
['Transportation'],0.00%,-11.65%,C52.SI,Singapore,$1.98 B,ComfortDelGro,3698,$0.91
"['Realestate', 'Investment', 'REITs']",0.48%,-8.70%,SKT,USA,$1.98 B,Tanger Factory Outlet Centers,3697,$18.99
['Conglomerate'],-1.25%,24.92%,GFF,USA,$1.98 B,Griffon Corporation,3696,$34.74
['Insurance'],-0.83%,,HARL.TA,Israel,$1.98 B,Harel Group,3695,$9.41
['Tobacco'],-1.02%,2.16%,TBK.F,Czech Republic,$1.98 B,Philip Morris ČR,3694,$716.01
"['Goldmining', 'Mining']",2.23%,-14.49%,NG,Canada,$1.99 B,NovaGold Resources,3692,$5.96
['Conglomerate'],-5.17%,11.88%,BYW.F,Germany,$1.98 B,BayWa,3693,$57.83
[],1.29%,7.34%,EXIDEIND.NS,India,$1.99 B,Exide Industries,3690,$2.34
"['Software', 'Tech']",0.46%,-11.49%,NABL,USA,$1.99 B,N-Able,3691,$11.02
"['Videogames', 'Tech', 'Entertainment']",-0.36%,11.14%,PDX.ST,Sweden,$1.99 B,Paradox Interactive,3689,$18.86
[],-0.38%,-21.67%,YELP,USA,$1.99 B,Yelp,3688,$28.59
['Professionalservices'],-3.21%,1.35%,ICFI,USA,$1.99 B,ICF International,3686,$105.82
"['Mining', 'SilverMining', 'Goldmining']",-3.56%,4.53%,BVN,Peru,$1.99 B,Buenaventura Mining Company,3687,$7.85
"['Banks', 'Financialservices']",-0.61%,-5.60%,HTLF,USA,$1.99 B,Heartland Financial USA,3684,$47.01
"['Financialservices', 'Investment']",-1.81%,-19.44%,PAX,Cayman Islands,$1.99 B,Patria Investments,3685,$13.55
"['Beverages', 'Alcoholicbeverages']",-0.40%,66.83%,AEFES.IS,Turkey,$1.99 B,Efes Beverage Group,3683,$3.37
"['Banks', 'Financialservices']",-0.21%,-7.49%,SBCF,USA,$1.99 B,Seacoast Banking,3682,$32.50
[],0.24%,-68.15%,SMTC,USA,$1.83 B,Semtech,3800,$28.69
['Telecommunication'],-0.26%,-27.98%,TPA1.F,Poland,$1.83 B,Orange Polska,3798,$1.39
['Financialservices'],-1.48%,-55.92%,CIXX,Canada,$1.83 B,CI Financial,3799,$9.97
"['Education', 'Internet', 'Tech']",0.54%,-40.24%,UDMY,USA,$1.83 B,Udemy,3797,$13.01
['Realestate'],2.47%,-1.62%,SVI.TO,Canada,$1.83 B,StorageVault Canada,3796,$4.86
[],0.35%,-17.57%,HTH,USA,$1.84 B,Hilltop Holdings,3793,$28.53
"['Banks', 'Financialservices']",-0.56%,15.64%,NBTB,USA,$1.84 B,NBT Bancorp,3794,$42.97
"['Education', 'Internet', 'Tech']",0.48%,-55.39%,COUR,USA,$1.83 B,Coursera,3795,$12.55
"['Steelproducers', 'Steelindustry']",0.13%,-42.37%,USIM5.SA,Brazil,$1.84 B,Usiminas,3792,$1.51
[],-0.18%,-1.23%,XPEL,USA,$1.84 B,XPEL,3791,$66.89
"['OilGas', 'Energy']",-1.45%,56.33%,DK,USA,$1.84 B,Delek US,3790,$26.53
"['Mining', 'Goldmining', 'SilverMining']",2.85%,54.20%,FIL.TO,Canada,$1.85 B,Filo Mining,3789,$15.05
"['OilGas', 'Energy']",-2.21%,22.76%,ESTE,USA,$1.85 B,Earthstone Energy,3788,$13.27
"['Transportation', 'Maritimetransportation']",-4.67%,139.11%,INSW,USA,$1.85 B,International Seaways,3787,$37.78
[],0.00%,-23.66%,CBE.PA,France,$1.70 B,Robertet,3892,$778.05
"['Realestate', 'Investment', 'REITs']",1.57%,-13.97%,BEI-UN.TO,Canada,$1.85 B,Boardwalk Real Estate Investment Trust,3786,$36.94
"['Biotech', 'Pharmaceuticals']",-0.21%,-65.01%,FATE,USA,$1.85 B,Fate Therapeutics,3785,$19.10
[],-3.88%,-23.58%,WGO,USA,$1.69 B,Winnebago Industries,3899,$55.56
"['Chemicals', 'Agriculture']",-0.67%,-19.37%,DCMSHRIRAM.NS,India,$1.69 B,DCM Shriram,3900,$10.82
"['OilGas', 'Energy', 'OilGasEquipmentServices']",-4.00%,15.72%,XPRO,USA,$1.69 B,Expro Group,3897,$15.61
['Realestate'],-9.70%,-74.91%,WE,USA,$1.69 B,WeWork,3898,$2.14
['Tobacco'],-1.43%,-29.73%,VGR,USA,$1.70 B,Vector Group,3896,$10.99
['WasteRecycling'],-2.33%,-37.99%,BFSA.DE,Luxembourg,$1.70 B,Befesa,3895,$42.27
"['ITservices', 'Professionalservices']",-0.53%,-32.40%,HAPPSTMNDS.NS,India,$1.70 B,Happiest Minds Technologies,3893,$11.60
[],2.04%,-6.01%,MTRN,USA,$1.70 B,Materion,3894,$82.92
[],0.23%,-3.98%,RATNAMANI.NS,India,$1.70 B,Ratnamani Metals & Tubes,3891,$24.35
"['Software', 'Tech']",2.87%,-54.84%,AVDX,USA,$1.70 B,AvidXchange,3890,$8.59
"['Investment', 'AssetManagement', 'Biotech']",-0.86%,-31.79%,HBMN.SW,Switzerland,$1.70 B,HBM Healthcare Investments,3889,$245.41
[],-0.63%,15.05%,ADUS,USA,$1.70 B,Addus HomeCare,3887,$106.06
"['Ports', 'Infrastructure']",-1.51%,-13.04%,NS8U.SI,Singapore,$1.70 B,HPH Trust (Hutchison Port),3888,$0.20
"['Construction', 'Engineering']",-1.74%,-53.16%,PEAB-B.ST,Sweden,$1.71 B,Peab,3886,$5.70
['Realestate'],0.29%,-25.21%,AIF.TO,Canada,$1.71 B,Altus Group,3885,$38.32
[],-1.17%,-25.62%,5301.T,Japan,$1.71 B,Tokai Carbon,3884,$8.04
"['Electronics', 'Education']",0.86%,-13.41%,0303.HK,Hong Kong,$1.71 B,Vtech,3883,$6.78
"['Banks', 'Financialservices']",-0.83%,19.51%,TCBK,USA,$1.71 B,TriCo Bancshares,3882,$51.46
"['Steelproducers', 'Steelindustry']",0.45%,-16.72%,LIF.TO,Canada,$1.58 B,Labrador Iron Ore Royalty Corp.,4000,$24.71
"['Banks', 'Financialservices']",-0.08%,-9.62%,HOPE,USA,$1.58 B,Hope Bancorp,3999,$13.25
['Retail'],-2.83%,-47.08%,PETS.L,UK,$1.58 B,Pets at Home,3998,$3.26
"['Banks', 'Financialservices']",-1.46%,9.46%,STEL,USA,$1.58 B,Stellar Bancorp,3997,$30.31
['Conglomerate'],1.98%,-18.52%,001040.KS,South Korea,$1.58 B,CJ Group,3996,$58.60
"['Realestate', 'Investment', 'REITs']",1.14%,17.04%,LTC,USA,$1.58 B,LTC Properties,3995,$39.16
['Buildingmaterials'],-1.32%,-44.00%,FORN.SW,Switzerland,$1.58 B,Forbo Holding,3994,"$1,113"
"['Hotels', 'Travel']",1.08%,5.49%,0045.HK,Hong Kong,$1.58 B,Hongkong and Shanghai Hotels,3993,$0.96
"['Tech', 'Software', 'Financialservices']",-0.11%,20.20%,BTRS,USA,$1.58 B,billtrust (BTRS),3992,$9.46
"['Banks', 'Financialservices']",-0.71%,-2.90%,NBHC,USA,$1.58 B,National Bank Holdings,3991,$42.24
"['Internet', 'Gambling', 'Entertainment']",10.96%,-68.54%,SGHC,Guernsey,$1.58 B,Super Group,3990,$3.24
"['Biotech', 'Genomics', 'DiagnosticsandTesting']",0.51%,-24.72%,MYGN,USA,$1.58 B,Myriad Genetics,3989,$19.61
"['Mining', 'Goldmining']",2.30%,-9.51%,SAND,Canada,$1.58 B,Sandstorm Gold,3988,$5.33
['Food'],-0.73%,-54.01%,HAIN,USA,$1.58 B,Hain Celestial,3987,$17.80
['Entertainment'],0.16%,18.20%,035900.KQ,South Korea,$1.59 B,JYP Entertainment,3986,$48.06
['Utilitycompanies'],0.60%,-12.62%,MSEX,USA,$1.59 B,Middlesex Water Company,3985,$90.19
[],-0.23%,-7.48%,BIO.F,Germany,$1.59 B,Biotest,3984,$44.90
"['Energy', 'OilGas']",-0.16%,77.39%,TALO,USA,$1.59 B,Talos Energy,3983,$19.30
['Tires'],-0.88%,-71.85%,TYRES.HE,Finland,$1.46 B,Nokian Tyres,4099,$10.62
['Education'],-0.79%,-4.45%,LAUR,USA,$1.57 B,Laureate Education,4001,$10.08
[],-0.04%,13.83%,BLUESTARCO.NS,India,$1.46 B,Blue Star,4100,$15.23
"['OilGas', 'Energy']",0.27%,55.07%,AAV.TO,Canada,$1.46 B,Advantage Energy,4098,$8.11
"['Pharmaceuticals', 'Biotech']",-2.86%,-25.36%,RCKT,USA,$1.46 B,Rocket Pharmaceuticals,4097,$18.66
['Advertising'],3.18%,-39.08%,MGNI,USA,$1.46 B,Magnite,4096,$11.02
"['Financialservices', 'Insurance']",0.28%,-4.63%,MTM.JO,South Africa,$1.47 B,Momentum Metropolitan,4095,$1.03
"['Pharmaceuticals', 'Biotech']",-0.69%,-20.21%,DVAX,USA,$1.47 B,Dynavax Technologies,4094,$11.53
"['Realestate', 'Investment', 'REITs']",2.30%,-26.73%,0778.HK,Hong Kong,$1.47 B,Fortune REIT,4092,$0.74
"['OilGas', 'Energy']",-0.68%,99.26%,IPCO.TO,Canada,$1.47 B,International Petroleum,4093,$10.70
"['Manufacturing', 'Machinerymanufacturing']",0.15%,-50.25%,BYS.SW,Switzerland,$1.47 B,Bystronic AG,4091,$712.84
"['Hotels', 'Travel']",1.42%,-3.14%,NHH.MC,Spain,$1.47 B,NH Hotel Group,4090,$3.39
[],-0.82%,-35.21%,042660.KS,South Korea,$1.48 B,DSME (Daewoo Shipbuilding),4086,$13.80
['Telecommunicationsequipment'],-1.70%,-9.89%,ADTN,USA,$1.47 B,ADTRAN,4087,$19.05
['Pharmaceuticals'],2.23%,-20.27%,GLENMARK.NS,India,$1.47 B,Glenmark Pharmaceuticals,4088,$5.23
"['Realestate', 'Investment', 'REITs']",0.55%,-32.91%,AKR,USA,$1.47 B,Acadia Realty Trust,4089,$14.72
"['Videogames', 'Entertainment', 'Tech']",-0.95%,-16.34%,2432.T,Japan,$1.48 B,DeNA,4084,$13.00
['Pharmaceuticals'],0.58%,-50.46%,4587.T,Japan,$1.48 B,PeptiDream,4083,$11.43
[],-11.96%,-38.61%,MSGE,USA,$1.48 B,Madison Square Garden,4082,$43.00
[],0.46%,-56.20%,NVRO,USA,$1.48 B,Nevro,4085,$41.84
[],-1.70%,13.93%,CNXN,USA,$1.36 B,PC Connection,4199,$52.10
['Healthcare'],-0.86%,-57.37%,DASA3.SA,Brazil,$1.48 B,Diagnosticos da America,4081,$2.66
"['Software', 'Tech']",0.85%,-51.18%,PHR,USA,$1.36 B,Phreesia,4200,$26.05
"['Biotech', 'Software', 'Tech']",-0.33%,-63.25%,ME,USA,$1.37 B,23andMe,4198,$3.01
"['OilGas', 'Energy']",-5.28%,-19.86%,OPAL,USA,$1.37 B,OPAL Fuels,4197,$8.07
[],-6.85%,15.33%,CXW,USA,$1.37 B,CoreCivic,4195,$11.96
"['Batteries', 'Electricity']",-8.18%,-61.39%,SES,USA,$1.37 B,SES AI,4196,$3.93
"['Batteries', 'Electricity']",2.38%,-4.05%,AMARAJABAT.NS,India,$1.37 B,Amara Raja Batteries,4194,$8.05
['Healthcare'],-4.93%,,NUTX,USA,$1.37 B,Nutex Health,4193,$2.12
['Realestate'],-0.20%,-24.99%,MMI,USA,$1.37 B,Marcus & Millichap,4192,$35.00
['Tech'],-0.90%,-75.59%,TRUE-B.ST,Sweden,$1.37 B,Truecaller,4191,$3.72
"['Financialservices', 'Tech']",-1.58%,-91.30%,UPST,USA,$1.38 B,Upstart,4190,$16.86
['Robotics'],-2.07%,-31.15%,IRBT,USA,$1.38 B,iRobot,4187,$50.53
['Entertainment'],-1.52%,-3.71%,041510.KQ,South Korea,$1.38 B,SM Entertainment,4189,$59.13
['DiagnosticsandTesting'],-0.57%,63.45%,VIVO,USA,$1.38 B,Meridian Bioscience,4188,$31.53
"['Pharmaceuticals', 'Biotech']",0.27%,-30.61%,RETA,USA,$1.38 B,Reata Pharmaceuticals,4185,$37.76
['Pharmaceuticals'],-1.07%,-76.82%,BBIO,USA,$1.38 B,BridgeBio Pharma,4186,$9.25
['Advertising'],-4.15%,-58.91%,IAS,USA,$1.38 B,Integral Ad Science,4184,$9.01
['Mining'],0.43%,-14.37%,HINDCOPPER.NS,India,$1.38 B,Hindustan Copper,4183,$1.43
[],-0.17%,-22.74%,PLMR,USA,$1.33 B,Palomar Holdings,4235,$52.76
[],0.06%,-44.86%,CODI,USA,$1.27 B,Compass Diversified Holdings,4300,$17.60
['Retail'],-0.33%,-36.84%,HBH.DE,Germany,$1.27 B,Hornbach Holding,4299,$79.70
['Construction'],0.00%,-32.70%,VEI.OL,Norway,$1.27 B,Veidekke,4298,$9.55
"['Cement', 'Buildingmaterials']",0.34%,-7.38%,SCCC.BK,Thailand,$1.27 B,Siam City Cement (INSEE),4296,$4.27
['Food'],0.22%,-12.45%,007310.KS,South Korea,$1.27 B,Ottogi,4297,$340.39
[],0.53%,-39.31%,WAC.F,Germany,$1.27 B,Wacker Neuson,4295,$18.03
"['SupermarketChains', 'Retail']",1.22%,-3.48%,NWC.TO,Canada,$1.27 B,The North West Company,4294,$26.66
"['Entertainment', 'Gambling', 'Hotels']",-1.86%,-21.13%,SKC.NZ,New Zealand,$1.27 B,Skycity Entertainment Group,4293,$1.68
"['Software', 'Tech', 'ITservices', 'Professionalservices']",0.67%,-45.27%,ENGH.TO,Canada,$1.27 B,Enghouse Systems,4291,$23.08
"['Electronics', 'Manufacturing']",-1.21%,11.29%,CTS,USA,$1.27 B,CTS Corporation,4292,$40.01
[],-2.03%,-26.83%,PATK,USA,$1.27 B,Patrick Industries,4289,$56.35
['Transportation'],-1.45%,7.05%,JSL.NS,India,$1.27 B,Jindal Stainless,4290,$2.43
['Insurance'],-1.43%,9.58%,SAFT,USA,$1.27 B,Safety Insurance,4287,$86.79
[],-0.45%,14.29%,ALLCARGO.NS,India,$1.27 B,Allcargo Logistics,4288,$5.20
['Healthcare'],-2.27%,14.73%,NXGN,USA,$1.27 B,NextGen Healthcare,4286,$18.93
['Telecommunication'],-0.77%,-42.96%,GAMA.L,UK,$1.28 B,Gamma Communications,4284,$12.56
"['Banks', 'Financialservices']",-0.26%,7.55%,OFG,USA,$1.27 B,OFG Bancorp,4285,$26.91
['Aluminum'],-3.85%,-15.04%,KALU,USA,$1.28 B,Kaiser Aluminum,4283,$80.56
[],-0.37%,-5.08%,HTLD,USA,$1.28 B,Heartland Express,4282,$16.27
"['Financialservices', 'Banks']",-1.53%,0.67%,TMP,USA,$1.15 B,Tompkins Financial,4400,$79.94
['Defensecontractors'],-1.07%,-54.65%,KTOS,USA,$1.16 B,Kratos Defense & Security Solutions,4399,$9.22
['MediaPress'],-7.57%,-27.32%,SSP,USA,$1.16 B,E. W. Scripps Company,4398,$13.91
['Furniture'],-1.40%,-33.17%,HNI,USA,$1.16 B,HNI Corporation,4397,$28.08
"['Clothing', 'Retail']",3.54%,-36.98%,ANF,USA,$1.16 B,Abercrombie & Fitch,4396,$23.71
"['Clothing', 'Retail']",1.57%,-13.70%,GES,USA,$1.16 B,Guess,4395,$21.36
[],0.07%,-32.36%,UPONOR.HE,Finland,$1.16 B,Uponor,4394,$16.03
"['Realestate', 'Professionalservices']",0.09%,-43.10%,STC,USA,$1.16 B,Stewart Information Services,4393,$43.03
['Financialservices'],-0.89%,-12.53%,ECPG,USA,$1.16 B,Encore Capital Group,4392,$49.93
['Chemicals'],-2.18%,-6.07%,ECVT,USA,$1.16 B,Ecovyst,4391,$8.97
[],0.00%,-47.23%,TDS,USA,$1.16 B,Telephone and Data Systems,4390,$10.29
['Mining'],5.07%,-14.97%,ERO,Canada,$1.16 B,Ero Copper,4388,$12.84
['Conglomerate'],1.79%,-29.78%,BAW.JO,South Africa,$1.16 B,Barloworld,4389,$6.13
[],-1.79%,-24.71%,TNC,USA,$1.17 B,Tennant Company,4387,$62.93
['Insurance'],-1.53%,7.94%,EIG,USA,$1.17 B,Employers Holdings,4385,$43.08
[],-3.18%,-85.54%,KRNT,Israel,$1.17 B,Kornit Digital,4386,$23.45
['Chemicals'],-0.70%,-11.11%,GALAXYSURF.NS,India,$1.17 B,Galaxy Surfactants,4384,$33.06
"['Banks', 'Financialservices']",0.26%,5.67%,NIC,USA,$1.17 B,Nicolet Bankshares,4383,$79.98
"['Banks', 'Financialservices']",-0.44%,-0.44%,LBAI,USA,$1.17 B,Lakeland Bancorp,4382,$18.15
"['Consumergoods', 'Manufacturing']",-0.81%,-18.59%,TRS,USA,$1.17 B,TriMas,4381,$28.08
"['Biotech', 'Pharmaceuticals']",0.00%,-2.93%,C43.F,Ireland,$1.07 B,Cosmo Pharmaceuticals,4500,$65.19
[],0.00%,-54.21%,BDN,USA,$1.07 B,Brandywine Realty Trust,4498,$6.25
"['OnlineDating', 'Internet', 'Tech']",-2.67%,-38.74%,GRND,USA,$1.07 B,Grindr,4497,$6.20
['Professionalservices'],0.00%,-28.10%,SANT.F,Austria,$1.07 B,S&T AG,4499,$16.25
"['Videogames', 'Entertainment']",-2.26%,-34.04%,300113.SZ,China,$1.07 B,Hangzhou Shunwang Technology,4496,$1.55
"['Banks', 'Financialservices']",9.69%,107.69%,KARURVYSYA.NS,India,$1.07 B,Karur Vysya Bank,4495,$1.35
[],0.00%,-7.03%,RHK.DE,Germany,$1.08 B,Rhön-Klinikum,4494,$16.14
"['Energy', 'Electricity', 'Renewableenergy']",3.20%,-32.57%,AMPS,USA,$1.08 B,Altus Power,4492,$6.77
"['Banks', 'Financialservices', 'Investment']",0.00%,6.44%,COWN,USA,$1.08 B,Cowen,4493,$38.65
[],-0.55%,-56.57%,COK.F,Germany,$1.08 B,Cancom,4491,$30.68
[],-1.12%,-4.72%,XPOF,USA,$1.08 B,Xponential Fitness,4489,$22.00
"['Education', 'Tech', 'Software']",3.05%,-55.24%,DCBO,Canada,$1.08 B,Docebo,4490,$31.06
"['Pharmaceuticals', 'Biotech']",1.68%,-42.00%,VCEL,USA,$1.08 B,Vericel,4488,$23.03
"['Software', 'Tech']",-1.08%,-13.23%,CCSI,USA,$1.08 B,Consensus Cloud Solutions,4487,$54.88
"['Entertainment', 'Gambling']",-2.12%,-41.22%,BALY,USA,$1.08 B,Bally's Corporation,4486,$23.04
['Food'],-1.41%,-18.53%,AVO,USA,$1.09 B,Mission Produce,4484,$15.43
['Clothing'],-1.18%,-38.46%,FOI-B.ST,Switzerland,$1.09 B,Fenix Outdoor,4485,$80.94
['Manufacturing'],-0.05%,-17.92%,PGTI,USA,$1.09 B,PGT Innovations,4483,$18.18
['Cannabis'],-4.62%,-35.92%,CRON,Canada,$1.09 B,Cronos Group,4482,$2.89
"['Mining', 'Goldmining', 'SilverMining']",0.16%,-31.31%,SA,Canada,$0.98 B,Seabridge Gold,4600,$12.24
['Retail'],-0.39%,-47.66%,FRG,USA,$0.98 B,Franchise Group,4599,$25.77
"['OilGas', 'Energy']",-1.35%,5.93%,HWX.TO,Canada,$0.98 B,Headwater Exploration,4598,$4.29
['SecurityProtectionServices'],0.11%,-26.38%,PSG.MC,Spain,$0.98 B,Prosegur,4596,$1.87
"['Electronics', 'Manufacturing']",-0.07%,8.21%,BHE,USA,$0.98 B,Benchmark Electronics,4597,$28.07
"['Retail', 'Furniture', 'HomeKitchenAppliances']",-0.14%,-11.96%,ITE.JO,South Africa,$0.99 B,Italtile,4595,$0.81
"['Bitcoin', 'Financialservices']",0.51%,-85.37%,7LX.F,USA,$0.99 B,Galaxy Digital Holdings,4594,$3.09
"['Mining', 'SilverMining', 'Goldmining']",2.42%,-14.97%,SILV,Canada,$0.99 B,SilverCrest Metals,4592,$6.76
"['Professionalservices', 'StaffingEmploymentServices']",-0.72%,-29.67%,HRT,USA,$0.99 B,HireRight,4593,$12.47
"['OilGas', 'Energy']",-5.61%,383.91%,BORR,Bermuda,$0.99 B,Borr Drilling,4591,$4.21
['Food'],12.39%,-78.11%,BYND,USA,$0.99 B,Beyond Meat,4590,$15.60
"['Electricity', 'EVcharging']",-5.87%,-66.50%,NAAS,China,$0.99 B,NaaS Technology,4589,$4.65
"['Financialservices', 'Tech', 'Internet']",-0.84%,-69.83%,LC,USA,$0.99 B,LendingClub,4588,$9.48
[],-1.21%,119.99%,PDS,Canada,$0.99 B,Precision Drilling Corporation,4587,$73.74
['Manufacturing'],-0.89%,-26.82%,CAF.MC,Spain,$0.99 B,Construcciones y Auxiliar de Ferrocarriles,4586,$29.12
[],0.14%,3.69%,CAV1V.HE,Finland,$0.99 B,Caverion,4585,$7.31
['Transportation'],-0.81%,14.36%,MTL.TO,Canada,$0.99 B,Mullen Group,4584,$10.75
[],-0.59%,-32.89%,RDWR,Israel,$0.90 B,Radware,4700,$20.20
"['Software', 'Tech']",3.78%,-68.93%,ARQQ,UK,$0.90 B,Arqit Quantum,4699,$7.42
