categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
"['Pharmaceuticals', 'Biotech']",-0.74%,10.54%,IPN.PA,France,$9.31 B,Ipsen,1521,$112.86
"['SupermarketChains', 'Retail']",0.92%,-10.80%,2912.TW,Taiwan,$9.27 B,President Chain Store (PSCS),1524,$8.92
[],-0.49%,1.97%,BJ,USA,$9.33 B,BJ's Wholesale Club,1520,$69.41
"['Electronics', 'Aerospace', 'Defensecontractors']",-0.38%,-54.12%,BEL.NS,India,$9.34 B,Bharat Electronics,1519,$1.28
['Financialservices'],0.38%,-25.47%,SBICARD.NS,India,$9.34 B,SBI Card,1517,$9.89
['Mining'],-1.15%,-7.95%,CCJ,Canada,$9.34 B,Cameco,1518,$21.53
"['autoparts', 'AutomotiveSuppliers', 'Manufacturing']",0.63%,19.33%,HLE.F,Germany,$9.36 B,HELLA,1514,$83.91
['Food'],-0.08%,32.77%,PFGC,USA,$9.34 B,Performance Food Group,1516,$60.05
"['OilGas', 'OilGasEquipmentServices']",1.42%,84.39%,AR,USA,$9.43 B,Antero Resources,1511,$31.42
['Defensecontractors'],-0.59%,26.87%,HII,USA,$9.35 B,Huntington Ingalls Industries,1515,$234.32
[],5.22%,-61.70%,2007.HK,China,$9.36 B,Country Garden,1513,$0.36
[],-0.39%,-33.48%,9143.T,Japan,$9.43 B,SG Holdings,1509,$14.90
"['Airlines', 'Travel', 'Transportation']",2.34%,-5.00%,INDIGO.NS,India,$9.44 B,InterGlobe Aviation,1508,$24.51
"['OilGas', 'Energy']",0.11%,47.56%,2883.HK,China,$9.47 B,China Oilfield Services,1506,$1.21
[],0.71%,-34.15%,RGEN,USA,$9.45 B,Repligen,1507,$170.33
[],-0.44%,-5.88%,PRY.MI,Italy,$9.49 B,Prysmian Group,1505,$36.03
['Advertising'],0.60%,-19.03%,LAMR,USA,$9.50 B,Lamar Advertising,1504,$93.44
"['Tech', 'TechHardware', 'Electronics']",-0.16%,-27.78%,0992.HK,Hong Kong,$9.50 B,Lenovo,1503,$0.78
"['Manufacturing', 'Electronics']",-0.28%,13.22%,JBL,USA,$9.50 B,Jabil,1502,$70.58
"['Semiconductors', 'Tech']",-0.29%,-40.92%,QRVO,USA,$9.67 B,Qorvo,1475,$95.42
"['Packaging', 'Manufacturing']",-1.92%,-24.68%,CCK,USA,$9.68 B,Crown Holdings,1473,$80.71
"['Pharmaceuticals', 'Biotech']",-1.17%,0.36%,TEVA,Israel,$9.50 B,Teva Pharmaceutical Industries,1501,$8.45
['Telecommunication'],0.06%,-13.37%,INW.MI,Italy,$9.68 B,INWIT,1472,$9.98
[],0.54%,-9.37%,ARCC,USA,$9.70 B,Ares Capital,1468,$18.76
"['Tech', 'Internet']",-0.41%,-61.11%,YNDX.ME,Netherlands,$9.70 B,Yandex,1467,$26.67
['Insurance'],-0.58%,40.07%,RGA,USA,$9.70 B,Reinsurance Group of America,1469,$145.21
"['Tech', 'TechHardware']",-0.68%,-26.88%,LOGI,Switzerland,$9.70 B,Logitech,1471,$59.57
"['DAX', 'Healthcare']",1.48%,-49.73%,FMS,Germany,$9.72 B,Fresenius Medical Care,1466,$15.81
"['Electricity', 'Energy']",1.20%,-18.58%,KEP,South Korea,$9.73 B,Korea Electric Power,1464,$7.58
[],-0.41%,-18.20%,BRKR,USA,$9.73 B,Bruker,1463,$66.19
['Insurance'],-0.21%,4.76%,AEG,Netherlands,$9.72 B,AEGON,1465,$4.84
"['Banks', 'Financialservices']",-1.55%,-67.49%,CS,Switzerland,$9.73 B,Credit Suisse,1460,$3.17
[],1.26%,83.62%,NFE,USA,$9.73 B,New Fortress Energy,1462,$46.64
"['Electronics', 'Manufacturing']",1.84%,21.95%,FLEX,Singapore,$9.76 B,Flex,1459,$21.56
"['Banks', 'Financialservices']",0.73%,3.71%,BCH,Chile,$9.73 B,Banco de Chile,1461,$19.28
['Electronics'],-0.66%,-1.89%,3008.TW,Taiwan,$9.77 B,Largan Precision,1458,$73.25
['Investment'],0.22%,,TPG,USA,$9.80 B,TPG Capital,1457,$31.73
"['Realestate', 'Investment', 'REITs']",0.00%,-1.33%,C38U.SI,Singapore,$9.82 B,CapitaLand Mall Trust,1454,$1.48
['DiagnosticsandTesting'],-1.36%,-33.33%,SHL.AX,Australia,$9.84 B,Sonic Healthcare,1453,$20.48
['Retail'],0.89%,-43.37%,BBWI,USA,$9.82 B,Bath & Body Works,1455,$43.01
[],-0.02%,17.45%,WSC,USA,$9.81 B,WillScot,1456,$46.98
"['Chemicals', 'DAX']",0.40%,-28.13%,BNR.DE,Germany,$9.86 B,Brenntag,1452,$63.87
"['Software', 'Internet', 'Tech', 'ITsecurity']",-0.37%,-73.24%,OKTA,USA,$9.87 B,Okta,1451,$61.66
['Sportsgoods'],1.66%,8.90%,DKS,USA,$9.88 B,Dick's Sporting Goods,1450,$118.50
['Financialservices'],1.59%,-6.75%,086790.KS,South Korea,$9.90 B,Hana Financial Group,1449,$33.96
"['Engineering', 'Manufacturing']",-1.06%,-38.35%,SPX.L,UK,$9.94 B,Spirax-Sarco Engineering,1442,$131.58
"['Banks', 'Financialservices']",2.43%,-63.61%,323410.KS,South Korea,$9.91 B,KakaoBank,1446,$20.81
['Insurance'],3.12%,-2.90%,032830.KS,South Korea,$9.91 B,Samsung Life Insurance,1447,$55.19
"['Mining', 'Goldmining']",0.72%,7.51%,GFI,South Africa,$9.94 B,Gold Fields,1443,$11.16
"['Realestate', 'Investment']",3.25%,-19.96%,H78.SI,Hong Kong,$9.91 B,Hongkong Land,1448,$4.45
[],-1.12%,-11.04%,FIVE,USA,$9.91 B,Five Below,1445,$178.56
"['OilGas', 'Energy']",-0.82%,-15.72%,5020.T,Japan,$9.95 B,ENEOS Holdings,1441,$3.27
['Conglomerate'],-1.60%,-38.46%,HLMA.L,UK,$9.91 B,Halma,1444,$25.43
"['Banks', 'Financialservices']",-0.96%,,SCB.BK,Thailand,$9.97 B,SCB (Siam Commercial Bank),1437,$2.96
[],-3.18%,28.72%,WES,USA,$9.95 B,Western Midstream,1439,$25.86
[],0.10%,-27.19%,MTN,USA,$9.95 B,Vail Resorts,1440,$246.92
[],1.57%,151.89%,NLY,USA,$9.97 B,Annaly Capital Management,1438,$21.31
"['Banks', 'Insurance', 'Financialservices']",-0.84%,3.81%,SUN.AX,Australia,$9.99 B,Suncorp,1434,$7.90
"['Luxurygoods', 'Clothing']",0.19%,4.59%,BRBY.L,UK,$9.98 B,Burberry,1435,$25.75
['Beverages'],2.46%,26.28%,2267.T,Japan,$9.98 B,Yakult,1436,$64.00
"['Footwear', 'Retail']",0.40%,-6.71%,DECK,USA,$10.00 B,Deckers Brands,1433,$377.85
"['Financialservices', 'Banks']",-0.22%,-1.33%,2880.TW,Taiwan,$10.03 B,Hua Nan Financial Holdings,1430,$0.74
"['Steelproducers', 'Steelindustry']",1.01%,16.99%,GGB,Brazil,$10.02 B,Gerdau,1432,$5.99
['Electronics'],-1.50%,-49.90%,6645.T,Japan,$10.03 B,Omron,1429,$50.41
"['Airlines', 'Travel', 'Transportation']",-0.09%,1.23%,9202.T,Japan,$10.02 B,ANA Holdings,1431,$21.32
"['Airlines', 'Travel', 'Transportation']",0.82%,424.46%,THYAO.IS,Turkey,$10.05 B,Turkish Airlines,1427,$7.29
['Agriculture'],1.33%,12.96%,AGCO,USA,$10.04 B,AGCO,1428,$134.68
"['OilGas', 'Energy', 'Chemicals']",-2.45%,-16.41%,SSL,South Africa,$10.05 B,Sasol,1426,$15.54
"['Healthcare', 'MedicalCareFacilities']",-0.49%,-9.71%,RHC.AX,Australia,$10.06 B,Ramsay Health Care,1425,$43.99
['Chemicals'],-1.64%,-27.49%,3407.T,Japan,$10.09 B,Asahi Kasei,1422,$7.28
"['Entertainment', 'Gambling', 'Videogames', 'Tech', 'Internet']",0.33%,-26.96%,ENT.L,Isle of Man,$10.08 B,Entain,1423,$16.61
[],1.08%,-18.20%,WSO,USA,$10.07 B,Watsco,1424,$256.66
[],0.99%,-6.04%,DAR,USA,$10.10 B,Darling Ingredients,1421,$63.04
"['Semiconductors', 'Tech', 'TechHardware', 'Electronics']",0.74%,-34.05%,WOLF,USA,$10.10 B,Wolfspeed,1420,$81.37
['Financialservices'],1.39%,-25.62%,MORN,USA,$10.11 B,Morningstar,1419,$238.38
"['Banks', 'Financialservices']",-1.10%,-5.46%,BDOUY,Philippines,$10.12 B,BDO Unibank,1418,$22.50
['Realestate'],1.87%,2.44%,0083.HK,Hong Kong,$10.12 B,Sino Land,1417,$1.26
[],2.81%,-18.42%,PHM,USA,$10.16 B,PulteGroup,1414,$44.60
[],0.49%,-11.34%,FBK.MI,Italy,$10.15 B,FinecoBank,1415,$16.26
"['Software', 'Tech']",-0.60%,-10.09%,SGE.L,UK,$10.13 B,Sage Group,1416,$9.62
['Realestate'],-0.52%,-43.57%,BXP,USA,$10.18 B,Boston Properties,1410,$65.00
['Insurance'],1.58%,-26.59%,FNF,USA,$10.17 B,Fidelity National Financial,1411,$37.39
['Retail'],0.00%,-10.50%,SCG.AX,Australia,$10.16 B,Scentre Group,1413,$1.96
['Chemicals'],-0.42%,-25.38%,EMN,USA,$10.16 B,Eastman Chemical,1412,$84.75
"['Railways', 'Transportation']",0.46%,-7.56%,9021.T,Japan,$10.19 B,West Japan Railway,1409,$41.82
"['OilGas', 'Energy']",-2.48%,23.15%,GZ5.F,Portugal,$10.20 B,Galp Energia,1408,$12.18
"['Hotels', 'Travel']",-1.00%,11.24%,H,USA,$10.22 B,Hyatt Hotels,1405,$95.49
"['Alcoholicbeverages', 'Beverages']",1.57%,-10.93%,2587.T,Japan,$10.24 B,Suntory,1402,$33.17
['Construction'],-2.52%,2.49%,ANA.MC,Spain,$10.23 B,Acciona,1404,$187.16
"['OilGas', 'Energy']",-0.21%,52.91%,DINO,USA,$10.27 B,HF Sinclair,1401,$51.18
[],0.97%,-27.92%,REXR,USA,$10.21 B,Rexford Industrial,1407,$53.96
"['Banks', 'Financialservices']",-0.56%,9.97%,CBK.F,Germany,$10.23 B,Commerzbank,1403,$8.16
['Mining'],-0.25%,10.42%,IVN.TO,Canada,$10.54 B,Ivanhoe Mines,1376,$8.69
"['Gambling', 'Entertainment']",0.92%,-45.61%,CZR,USA,$10.54 B,Caesars Entertainment,1375,$49.16
['Financialservices'],-1.05%,3.99%,RYAN,USA,$10.58 B,Ryan Specialty Group,1373,$40.66
"['Carrental', 'RentalLeasingServices']",-0.50%,13.31%,RENT3.SA,Brazil,$10.61 B,Localiza,1370,$10.73
[],-0.92%,0.48%,SCI,USA,$10.60 B,Service Corporation International,1371,$68.93
['Investment'],-0.86%,-22.97%,LUND-B.ST,Sweden,$10.63 B,Lundbergföretagen,1369,$42.39
[],-1.52%,-34.95%,DIVISLAB.NS,India,$10.59 B,Divis Laboratories,1372,$39.90
['Professionalservices'],-0.68%,-12.06%,RAND.AS,Netherlands,$10.71 B,Randstad,1368,$58.62
[],0.94%,-12.98%,SHREECEM.NS,India,$10.72 B,Shree Cement,1366,$297.18
['Financialservices'],-1.24%,29.16%,CPU.AX,Australia,$10.72 B,Computershare,1367,$17.76
"['Professionalservices', 'ITservices']",1.05%,-29.31%,LTI.BO,India,$10.73 B,Larsen & Toubro Infotech,1365,$61.51
"['Software', 'Tech']",-0.76%,24.70%,DOX,USA,$10.76 B,Amdocs,1363,$88.25
['Internet'],-1.00%,-31.15%,REA.AX,Australia,$10.76 B,REA Group,1362,$81.48
['Investment'],0.24%,-20.86%,INDU-A.ST,Sweden,$10.74 B,Industrivarden,1364,$24.51
['Beverages'],4.42%,43.51%,VBL.NS,India,$10.78 B,Varun Beverages,1359,$16.59
[],-0.29%,-40.15%,CHMF.ME,Russia,$10.76 B,Severstal,1360,$12.85
[],0.28%,-19.55%,NMR,Japan,$10.76 B,Nomura Holdings,1361,$3.58
['Telecommunication'],-0.67%,-30.95%,TELIA.ST,Sweden,$10.78 B,Telia Company,1358,$2.70
"['StockCryptoexchanges', 'Tech', 'Internet', 'Financialservices', 'Bitcoin']",-2.71%,-85.59%,COIN,USA,$10.80 B,Coinbase,1355,$41.26
['Aluminum'],-0.21%,-30.30%,601600.SS,China,$10.78 B,Aluminum Corporation of China,1356,$0.69
[],1.01%,15.02%,INF.L,UK,$10.78 B,Informa plc,1357,$7.58
"['Software', 'Tech']",0.22%,-42.52%,DT,USA,$10.83 B,Dynatrace,1354,$36.09
['Biotech'],0.84%,-41.93%,CRL,USA,$10.83 B,Charles River Laboratories,1353,$212.99
['Electronics'],0.74%,-42.30%,WDC,USA,$10.84 B,Western Digital,1352,$34.14
['Financialservices'],0.96%,-27.13%,5871.TW,Taiwan,$10.84 B,Chailease Holding,1351,$6.85
"['Pharmaceuticals', 'Biotech']",0.20%,13.90%,CIPLA.NS,India,$10.84 B,Cipla,1350,$13.44
"['Healthcare', 'MedicalCareFacilities']",-1.07%,-36.42%,RDOR3.SA,Brazil,$10.85 B,Rede D'Or Sao Luiz,1348,$5.50
