Founded,Headquarters,Industry,Name,Sector
1991,Amsterdam,Financials,ABN AMRO,Banks
2006,Amsterdam,Financials,Adyen,Payments industry
1998,Heerenveen,Consumer goods,Accell Group,Recreational products
1983,The Hague,Financials,Aegon N.V.,Life insurance
2016,Zaandam,Consumer services,Ahold Delhaize,Food retailers & wholesalers
1994,Amsterdam,Basic materials,AkzoNobel,Specialty chemicals
1870,Zoeterwoude,Consumer goods,Amstel Brewery,Brewers
2001,The Hague,Industrials,APM Terminals,Transportation services
1909,Amsterdam,Consumer goods,Apollo Vredestein B.V.,Automobiles parts
1888,Amsterdam,Industrials,Arcadis,Engineering
1984,Veldhoven,Industrials,ASML Holding,Industrial machinery
1960,The Hague,Financials,ASN Bank,Banks
1925,Amsterdam,Financials,Atradius,Non-life insurance
1979,Veenendaal,Consumer services,Australian Homemade,Restaurants & bars
1919,Veendam,Consumer goods,AVEBE,Food products
1680,Lieshout,Consumer goods,Bavaria Brewery,Brewers
1981,Uden,Consumer services,Beter Bed,Specialty retailers
2013,Utrecht,Technology,Blendle,Internet
1996,Amsterdam,Consumer services,Booking.com,Travel & tourism
2008,Amsterdam,Technology,Catawiki,Internet
1986,Amsterdam,Real Estate,Chipshol,Real Estate Investment and Services
1999,Amsterdam,Industrials,CNH Global,Commercial vehicles & trucks
2010,Lijnden,Consumer services,Corendon Dutch Airlines,Airlines
1993,Eindhoven,Consumer goods,DAF Trucks,Automobiles
1927,Gorinchem,Industrials,Damen Group,Industrial transportation & Defense
1993,Breda,Industrials,Dockwise,Marine transportation
1978,Lelystad,Consumer goods,Donkervoort,Automobiles
1753,Utrecht,Consumer goods,Douwe Egberts,Soft drinks
1902,Heerlen,Health care,DSM,Pharmaceuticals
2003,Amsterdam,Technology,eBuddy,Internet
1880,Amsterdam,Consumer services,Elsevier,Publishing
1994,Amsterdam,Consumer services,Endemol,Broadcasting & entertainment
1984,Delft,Technology,Exact Software,Software
1927,Amsterdam,Financials,Exor,Investment services
1949,Haarlem,Consumer goods,Feadship,Recreational products
1918,Heerlen,Industrials,FRABA,Industrial Automation
2008,Amersfoort,Consumer goods,FrieslandCampina,Food products
1962,Leidschendam,Oil & gas,Fugro,Exploration & production
1999,Amsterdam,Industrials,General Logistics Systems,Delivery services
1615,Enschede,Consumer goods,Grolsch Brewery,Brewers
2000,Amsterdam,Technology,Guerrilla Games,Software
1989,Amsterdam,Consumer goods,G-Star Raw,Apparel retailers
1948,Leiden,Oil & gas,Heerema Marine Contractors,Oil equipment & services
1864,Amsterdam,Consumer goods,Heineken International,Brewers
1926,Amsterdam,Consumer goods,HEMA,Variety
1997,De Bilt,Technology,High-Logic,Software
2001,Groningen,Consumer services,Hotels.nl,Travel & tourism
1886,Hilversum,Consumer services,Hunkemöller,Apparel retailers
1919,Rotterdam,Industrials,Hunter Douglas,Building
1942,Leiden,Consumer services,IKEA,Home improvement retailers
1991,Amsterdam,Financials,ING Group,Banks
1998,Schiphol-Rijk,Technology,Interxion,Datacentres
1996,Amsterdam,Telecommunications,IPTP Networks,Fixed line telecommunications
1921,Veghel,Consumer goods,Jumbo,Food retailers & wholesalers
2000,Amsterdam,Technology,Just Eat Takeaway,Consumer digital services
1919,Amstelveen,Consumer services,KLM,Airlines
1987,Amstelveen,Industrials,KPMG,Business support services
1852,The Hague,Telecommunications,KPN,Fixed line telecommunications
2011,Best,Consumer goods,LandFighter,Automobiles
1963,Amsterdam,Consumer services,LeasePlan,Rental and leasing services
2008,Arnhem,Utilities,Liander,Conventional electricity
1575,Amsterdam,Consumer goods,Lucas Bols,Distillers & vintners
1958,Schiphol-Oost,Consumer services,Martinair,Airlines
1938,Utrecht,Industrials,Nederlandse Spoorwegen,Railroads
1981,Amsterdam,Consumer goods,Nipparts,Auto parts
1896,Amsterdam,Consumer goods,Nutricia,Food products
1995,Amsterdam,Utilities,Nuon Energy,Multiutilities
1953,Eindhoven,Technology,NXP Semiconductors,Semiconductors
1877,Venlo,Technology,Océ,Electronic office equipment
2001,Lainate,Consumer goods,Perfetti Van Melle,Food products
1891,Eindhoven,Consumer goods,Philips,Consumer electronics
1998,The Hague,Industrials,PostNL,Delivery services
2019,Amsterdam,Technology,Prosus,Consumer digital services
1998,Maastricht,Consumer services,Q-Park,Parking
1972,Utrecht,Financials,Rabobank,Banks
1960,Diemen,Industrials,Randstad Holding,Business support services
1869,Bunnik,Industrials,Royal BAM Group,Heavy construction
1910,Papendrecht,Industrials,Royal Boskalis Westminster,Heavy construction
1860,Gouda,Industrials,Royal Imtech N.V.,Electrical components & equipment
1916,Schiphol,Industrials,Royal Schiphol Group,Transportation services
1868,Rotterdam,Industrials,Royal Van Oord,Heavy construction
1965,Schiedam,Oil & gas,SBM Offshore,Oil equipment & services
1980,Heemstede,Consumer goods,Serpent Model Racing Cars,Recreational products
1896,Utrecht,Industrials,SHV Holdings,Diversified industrials
1932,Amsterdam,Consumer goods,SPAR,Food retailers & wholesalers
1999,Zeewolde,Consumer goods,Spyker Cars,Automobiles
1868,Naarden,Industrials,Stork B.V.,Aerospace
2004,Hilversum,Consumer services,Talpa Network,Broadcasting & entertainment
1993,Amsterdam,Telecommunications,Tele2 Netherlands,Fixed line telecommunications
1997,Alphen aan den Rijn,Telecommunications,Telfort,Mobile telecommunications
1922,Hengelo,Industrials,Thales Nederland,Defence & Electronics
1988,Amsterdam,Industrials,TMF Group,Financial administration
2011,Hoofddorp,Industrials,TNT Express,Delivery services
1991,Amsterdam,Technology,TomTom,Software
2005,Amsterdam,Consumer goods,Tony's Chocolonely,Food products
1965,Schiphol-Oost,Consumer services,Transavia,Airlines
1980,Zeist,Financials,Triodos Bank,Banks
1981,Dordrecht,Technology,Trust,Computer hardware
2005,Schiphol-Rijk,Consumer services,TUI fly Netherlands,Airlines
2008,Heerenveen,Consumer goods,Vanguard Dutch Marine,Recreational products
1993,Valkenswaard,Industrials,VDL Bus & Coach,Commercial vehicles & trucks
1967,Born,Consumer goods,VDL NedCar,Automobile
1998,Amsterdam,Industrials,Vedior,Business training & employment agencies
2009,Amsterdam,Telecommunications,VEON,Mobile telecommunications
1964,Haarlem,Consumer services,Verenigde Nederlandse Uitgeverijen,Publishing
1966,Rotterdam,Energy,Vitol,"Oil, gas & coal"
1995,Maastricht,Telecommunications,Vodafone Netherlands,Mobile telecommunications
1854,Amersfoort,Industrials,VolkerWessels,Heavy construction
1955,Zwolle,Industrials,Wavin,Building materials & fixtures
1917,Utrecht,Consumer goods,WE,Apparel retailers
2011,Amsterdam,Technology,Wercker,Software
1836,Alphen aan den Rijn,Industrials,Wolters Kluwer,Business support services
1967,Alphen aan den Rijn,Consumer goods,Zeeman,Apparel retailers
1973,Luqa,Consumer services,Air Malta,Airlines
1910,Swatar,Financials,APS Bank,Banks
1974,Santa Venera,Financials,Bank of Valletta,Banks
1968,Valletta,Financials,Central Bank of Malta,Banks
1907,Valletta,Consumer goods,Emmanuel Delicata,Distillers & vintners
1997,Marsa,Telecommunications,GO,Fixed line telecommunications
1882,Valletta,Financials,HSBC Bank Malta,Banks
1969,Valletta,Financials,Lombard Bank,Banks
1998,Marsa,Industrials,MaltaPost,Delivery services
1978,Luqa,Consumer services,Medavia,Airlines
UNKNOWN,Pietà,Consumer services,Media.link Communications,Publishing
1992,Birkirkara,Telecommunications,Melita,Fixed line telecommunications
2012,St Julian's,Consumer services,Multilotto,Gambling
1994,Marsa,Consumer services,One Productions,Broadcasting & entertainment
1928,Birkirkara,Consumer goods,Simonds Farsons Cisk,Brewers
1997,Gżira,Consumer services,Unibet,Gambling
1989,Luqa,Telecommunications,Epic,Mobile telecommunications
2005,Munsbach,Financials,Advanzia Bank,Banks
2002,Luxembourg City,Basic materials,Arcelor,Iron & steel
2006,Luxembourg City,Basic materials,ArcelorMittal,Iron & steel
2007,Luxembourg City,Technology,Artec 3D,Technology Hardware & Equipment
1920,Luxembourg City,Financials,Banque de Luxembourg,Banks
1856,Luxembourg City,Financials,Banque et Caisse d'Épargne de l'État,Banks
1926,Leudelange,Financials,Banque Raiffeisen,Banks
1919,Luxembourg City,Financials,BGL BNP Paribas,Banks
2000,Luxembourg City,Financials,BIP Investment Partners,Investment services
1975,Bascharage,Consumer goods,Brasserie Nationale,Brewers
1900,Bereldange,Consumer services,Cactus,Food retailers & wholesalers
1970,Sandweiler,Industrials,Cargolux,Delivery services
2009,Strassen,Utilities,Creos Luxembourg,Multiutilities
1998,Luxembourg City,Financials,Central Bank of Luxembourg,Banks
1975,Luxembourg City,Health care,Centre Hospitalier de Luxembourg,Health care providers
2002,Mamer,Industrials,Ceratizit,Diversified industrials
1931,Luxembourg City,Consumer services,Cipriani S.A.,Restaurants & bars
1981,Luxembourg City,Financials,CVC Capital Partners,Asset managers
1913,Luxembourg City,Consumer services,Editpress,Publishing
1922,Luxembourg City,Financials,Foyer S.A.,Full line insurance
1979,Luxembourg City,Conglomerates,General Mediterranean Holding,-
2008,Howald,Financials,Genii Capital,Specialty finance
1995,Luxembourg City,Consumer goods,Gold & Wood,Personal products
1949,Luxembourg City,Financials,KBL European Private Bankers,Banks
2007,Luxembourg City,Financials,Kulczyk Investments,Investment services
1988,Luxembourg City,Consumer services,Lionair,Airlines
2009,Luxembourg City,Consumer goods,Luvanis,Clothing & accessories
1962,Sandweiler,Consumer services,Luxair,Airlines
2002,Doncols,Consumer services,LuxAnimation,Broadcasting & entertainment
1928,Luxembourg City,Financials,Luxembourg Stock Exchange,Investment services
1988,Leudelange,Financials,Luxempart,Investment services
1997,Howald,Consumer services,Melusine,Broadcasting & entertainment
1511,Luxembourg City,Consumer goods,Mousel,Brewers
1991,Capellen,Financials,ORCO,Real estate holding & development
1992,Luxembourg City,Telecommunications,P&TLuxembourg,Fixed line telecommunications
1933,Luxembourg City,Consumer services,Radio Luxembourg,Broadcasting & entertainment
1989,Luxembourg City,Industrials,Regus,Business support services
2008,Luxembourg City,Financials,Reinet Investments,Investment services
1922,Lintgen,Industrials,Rotarex,Industrial machinery
1920,Kirchberg,Consumer services,RTL Group,Broadcasting & entertainment
1848,Luxembourg City,Consumer services,Saint-Paul Luxembourg,Publishing
1985,Betzdorf,Telecommunications,SES S.A.,Mobile telecommunications
1978,Luxembourg City,Financials,Société Nationale de Crédit et d'Investissement,Banks
1946,Luxembourg City,Industrials,Société Nationale des Chemins de Fer Luxembourgeois,Railroads
2010,Luxembourg City,Consumer services,Strategic Airlines Luxembourg,Airlines
2006,Luxembourg City,Consumer services,Streamworks International,Broadcasting & entertainment
1977,Luxembourg City,Consumer services,Techniques d'Avant Garde,Airlines
2002,Luxembourg City,Consumer services,Utopia Group,Recreational services
2002,Bertrange,Industrials,West Air Luxembourg,Delivery services
1962,Jonava,Basic materials,Achema,Specialty chemicals
1963,Alytus,Consumer goods,Alita,Brewers
1993,Vilnius,Consumer services,Apranga,Apparel retailers
1996,Vilnius,Consumer services,Aurela,Airlines
2010,Vilnius,Industrials,Avia Solutions Group,Transportation services
2007,Vilnius,Industrials,AviaAM Leasing,Transportation services
1999,Vilnius,Industrials,Aviavilsa,Delivery services
2005,Vilnius,Consumer services,Avion Express,Airlines
1952,Klaipėda,Industrials,Baltija Shipbuilding Yard,Commercial vehicles & trucks
1993,Šiauliai,Consumer goods,Baltik vairas,Recreational products
1997,Vilnius,Consumer services,Čili,Restaurants & bars
2003,Karmėlava,Consumer services,DOT LT,Airlines
1888,Vilnius,Industrials,Dvarčionių keramika,Building materials & fixtures
1983,Vilnius,Industrials,Ekspla,Electronic equipment
1665,Šiauliai,Consumer goods,Gubernija,Brewers
1902,Panevėžys,Consumer goods,Kalnapilis,Brewers
1961,Vilnius,Utilities,Lietuvos Dujos,Gas distribution
1997,Vilnius,Utilities,Lietuvos Energija,Conventional electricity
1918,Vilnius,Consumer services,Lietuvos paštas,Delivery services
