Founded,Headquarters,Industry,Name,Sector
2003,Stockholm,Financials,Nasdaq Nordic,Investment services
1988,Solna,Industrials,NCC AB,Heavy construction
2006,Gothenburg,Consumer services,Neogames,Publishing
2001,Stockholm,Telecommunications,Neonode,Computer hardware
2002,Stockholm,Consumer services,Nextjet,Airlines
1996,Stockholm,Consumer goods,Nobia,Durable household products
1999,Stockholm,Consumer services,Nobina,Travel & tourism
1916,Trollhättan,Industrials,NOHAB,Diversified industrials
1864,Stockholm,Consumer services,Nordiska Kompaniet,Broadline retailers
1890,Stockholm,Conglomerates,Nordstjernan,-
2000,Stockholm,Industrials,NorthStar,General industries
2001,Gothenburg,Consumer goods,Nudie Jeans,Clothing & accessories
1829,Torshälla,Basic materials,Nyby bruk,Iron & steel
1987,Stockholm,Technology,Nyfors,Telecommunications equipment
1928,Stockholm,Oil & gas,Nynas,Exploration & production
2002,Stockholm,Consumer goods,Odd Molly,Clothing & accessories
1976,Upplands Väsby,Consumer goods,Öhlins,Auto parts
1971,Upplands Väsby,Consumer services,Onoff,Broadline retailers
1995,Uppsala,Health care,Orexo,Pharmaceuticals
1967,Stockholm,Consumer goods,Oriflame,Personal products
1898,Orrefors,Industrials,Orrefors glassworks,Building materials & fixtures
1863,Oskarshamn,Industrials,Oskarshamn Shipyard,Commercial vehicles & trucks
1969,Stockholm,Basic materials,Ovako,Iron & steel
1878,Malmö,Consumer goods,Pågen,Food products
1999,Stockholm,Technology,Paradox Interactive,Software
1959,Förslöv,Industrials,Peab,Heavy construction
2004,Stockholm,Technology,Peltarion,Software
1971,Uppsala,Health care,Phadia,Medical equipment
1911,Stockholm,Health care,Pharmacia,Pharmaceuticals
1972,Älvsbyn,Consumer goods,Polarbröd,Food products
2009,Solna,Industrials,PostNord,Delivery services
1636,Solna,Industrials,PostNord Sverige,Delivery services
1892,Stockholm,Consumer goods,Primus AB,Household goods
1828,Gothenburg,Consumer goods,Pripps,Brewers
1968,Stockholm,Industrials,Profoto,Building materials & fixtures
1997,Stockholm,Industrials,PS Communication,Business support services
1933,Stockholm,Financials,Ratos,Real estate holding & development
1991,Helsingborg,Technology,ReadSoft,Software
1995,Haninge,Health care,Recipharm,Pharmaceuticals
1947,Gothenburg,Consumer services,Rederi AB Slite,Travel & tourism
2005,Linköping,Technology,Remograph,Software
2001,Helsingborg,Financials,Resurs Holding,Banks
1945,Trollhättan,Consumer goods,Saab Automobile,Automobiles
1937,Stockholm,Industrials,Saab Group,Aerospace
1992,Stockholm,Technology,SamLogic,Software
1862,Stockholm,Industrials,Sandvik,Industrial engineering
1946,Solna,Consumer services,SAS Group,Airlines
1929,Stockholm,Basic materials,SCA,Paper
2000,Lund,Technology,Scalado,Software
1963,Stockholm,Consumer services,Scandic Hotels,Hotels
1891,Södertälje,Consumer goods,Scania AB,Automobiles
1999,Malmö,Technology,Seavus,Software
1972,Stockholm,Financials,SEB Group,Investment services
2003,Lidköping,Technology,Sector3 Studios,Software
1934,Stockholm,Industrials,Securitas,Business support services
1988,Malmö,Industrials,Securitas Direct,Business support services
1980,Gothenburg,Industrials,Semcon,Business support services
1919,Stockholm,Consumer services,SF Studios,Broadcasting & entertainment
1951,Gothenburg,Consumer services,SIBA,Specialty retailers
1932,Stockholm,Consumer goods,Silva compass,Recreational products
2010,Malmö,Technology,Simogo,Software
2001,Stockholm,Consumer services,SJ AB,Travel & tourism
1855,Stockholm,Financials,Skandia,Investment services
1864,Gothenburg,Financials,Skandinaviska Banken,Banks
1887,Stockholm,Industrials,Skanska,Heavy construction
1906,Skellefteå,Utilities,Skellefteå Kraft,Conventional electricity
1907,Gothenburg,Industrials,SKF,Industrial suppliers
2005,Gothenburg,Technology,Skygoblin,Software
1999,Gothenburg,Technology,Smart Eye,Software
1938,Växjö,Basic materials,Södra,Paper
1918,Gothenburg,Industrial,Specma,Industrial Engineering
1897,Stockholm,Consumer goods,Spendrups,Brewers
2006,Stockholm,Technology,Spotify,Internet
1938,Stockholm,Consumer services,SR International – Radio Sweden,Broadcasting & entertainment
1978,Stockholm,Basic materials,SSAB,Iron & steel
1998,Stockholm,Technology,Starbreeze Studios,Software
1962,Gothenburg,Consumer services,Stena Line,Travel & tourism
1939,Gothenburg,Conglomerates,Stena Sphere,-
1934,Eskilstuna,Consumer goods,Stiga,Durable household products
1863,Stockholm,Financials,Stockholm Stock Exchange,Investment services
1856,Stockholm,Financials,Stockholms Enskilda Bank,Banks
1947,Nyköping,Utilities,Studsvik,Conventional electricity
1956,Stockholm,Consumer services,Sveriges Television,Broadcasting & entertainment
1997,Stockholm,Industrials,Sweco,Business support services
1820,Stockholm,Financials,Swedbank,Banks
1915,Stockholm,Consumer goods,Swedish Match,Tobacco
,Stockholm,Livestock,Swedish Meats,Meat
2001,Stockholm,Health care,Swedish Orphan Biovitrum,Health care providers
1972,Solna,Industrials,Swedish Space Corporation,Aerospace
2005,Gothenburg,Industrials,Swegon,Industrial machinery
1989,Stockholm,Telecommunications,Symsoft,Mobile telecommunications
1990,Stockholm,Technology,Syncron International AB,Software
2004,Malmö,Technology,Tarsier Studios,Software
1993,Stockholm,Telecommunications,Tele2,Fixed line telecommunications
1983,Malmö,Technology,Telelogic,Software
2003,Stockholm,Telecommunications,Telia Company,Mobile telecommunications
1992,Stockholm,Consumer services,Teracom,Broadcasting & entertainment
2004,Lund,Telecommunications,TerraNet AB,Mobile telecommunications
1951,Lund,Industrials,Tetra Pak,Containers & packaging
1942,Hillerstorp,Consumer goods,Thule Group,Automobiles
1999,Stockholm,Technology,Tradedoubler,Internet
2000,Stockholm,Telecommunications,Transmode,Fixed line telecommunications
1905,Trelleborg,Industrials,Trelleborg,Business support services
2009,Stockholm,Technology,Truecaller,Software
2008,Stockholm,Financials,Trustly,Banks
1984,Stockholm,Consumer services,TV4 Group,Broadcasting & entertainment
1668,Hagfors,Basic materials,Uddeholms AB,Iron & steel
1887,Umeå,Utilities,Umeå Energi,Conventional electricity
2009,Stockholm,Consumer goods,Urbanears,Recreational products
1917,Stockholm,Consumer goods,V&S Group,Soft drinks
1891,Södertälje,Industrials,Vabis,Diversified industrials
1909,Stockholm,Utilities,Vattenfall,Conventional electricity
1969,Alvesta,Basic materials,Vida AB,Forestry
1927,Gothenburg,Industrials,Volvo,Commercial vehicles & trucks
1968,Gothenburg,Industrials,Volvo Buses,Commercial vehicles & trucks
2001,Gothenburg,Financials,Volvo Financial Services,Investment services
1907,Skövde,Consumer goods,Volvo Penta,Auto parts
1928,Gothenburg,Industrials,Volvo Trucks,Commercial vehicles & trucks
1872,Huskvarna,Consumer goods,VSM Group,Durable household products
1934,Stockholm,Industrials,Wallenius Lines,Marine transportation
1919,Skellefteå,Consumer goods,Wasabröd,Food products
1994,Stockholm,Consumer services,Wayne's Coffee,Restaurants & bars
1999,Stockholm,Consumer goods,WESC,Clothing & accessories
1994,Malmö,Consumer services,WG Film,Broadcasting & entertainment
1969,Stockholm,Technology,WM-data,Software
2003,Stockholm,Consumer services,X5 Music Group,Broadcasting & entertainment
2007,Barcelona,Technology,3scale,Software
1941,Seville,Conglomerates,Abengoa,-
2003,Barcelona,Conglomerates,Abertis,-
1997,Alcobendas,Industrials,Acciona,Heavy construction
1970,Madrid,Basic materials,Acerinox,Iron & steel
1997,Madrid,Industrials,ACS Group,Heavy construction
1980,Madrid,Consumer services,Afinsa,Specialty retailers
2011,Barcelona,Technology,Akamon Entertainment,Software
1943,Barcelona,Health care,Almirall,Pharmaceuticals
1987,Madrid,Technology,Amadeus IT Group,Software
1944,Fene,Industrials,Astilleros y Talleres del Noroeste,Shipbuilding
1988,San Sebastián de los Reyes,Consumer services,Atresmedia,Broadcasting & entertainment
1947,Zaragoza,Consumer goods,Balay,Durable household products
1857,Bilbao,Financials,Banco Bilbao Vizcaya Argentaria,Banks
1926,Madrid,Financials,Banco Popular Español,Banks
1881,Sabadell,Financials,Banco Sabadell,Banks
1857,Santander,Financials,Banco Santander,Banks
1902,Madrid,Financials,Banesto,Banks
1965,Madrid,Financials,Bankinter,Banks
1790,Vic,Consumer goods,Bassols 1790,Textiles
1831,Madrid,Financials,Bolsas y Mercados Españoles,Banks
1972,Alcobendas,Consumer services,BRB Internacional,Broadcasting & entertainment
2003,Barcelona,Consumer services,Budgetplaces,Travel & tourism
1969,Madrid,Consumer goods,Calidad Pascual,Food & beverage
2007,Moià,Industrials,CATUAV,Aerospace
1958,Barcelona,Consumer goods,Chupa Chups,Food products
2002,Bilbao,Consumer goods,CIE Automotive,Auto parts
1998,Madrid,Industrials,Cintra,Heavy construction
1929,Madrid,Oil & gas,Cepsa,Exploration & production
1927,Madrid,Utilities,Compañía Logística de Hidrocarburos,Oil & gas distribution
1923,Madrid,Industrials,Construcciones Aeronáuticas SA,Aerospace
1917,Beasain,Industrials,Construcciones y Auxiliar de Ferrocarriles,Commercial vehicles & trucks
1959,Barcelona,Industrials,Copisa,Heavy construction
1716,Madrid,Industrials,Correos,Delivery services
1880,Madrid,Consumer services,Cortefiel,Apparel retailers
2018,Martorell,Consumer goods,Cupra,Automobiles
2009,Cádiz,Health care,Curaxys,Biotechnology
1955,Córdoba,Consumer goods,Deoleo,Food products
1979,Las Rozas,Consumer services,DIA,Food retailers & wholesalers
1998,Madrid,Consumer goods,Ebro Foods,Food products
1954,Barcelona,Consumer goods,Ebro trucks,Automobiles
1940,Madrid,Consumer services,El Corte Inglés,Food retailers & wholesalers
1972,Madrid,Utilities,Enagás,Oil & gas distribution
1944,Madrid,Utilities,Endesa,Conventional electricity
1969,Elorrio,Consumer services,Eroski,Food retailers & wholesalers
1995,Derio,Telecommunications,Euskaltel,Fixed line telecommunications
1956,Mondragón,Consumer goods,Fagor,Durable household products
1952,Madrid,Industrials,Ferrovial,Heavy construction
1902,Barcelona,Consumer goods,Festina,Clothing & accessories
1961,Madrid,Conglomerates,Fierro Group,-
1900,Barcelona,Industrials,Fomento de Construcciones y Contratas,Heavy construction
1976,Zamudio,Oil & gas,Gamesa,Renewable energy equipment
1991,Madrid,Utilities,Naturgy,Oil & gas distribution
1984,Tres Cantos,Conglomerates,GMV Innovating Solutions,-
2005,Málaga,Technology,Grundig mobile,Telecommunications equipment
1867,Barcelona,Utilities,Grupo Agbar,Water
1950,Burgos,Consumer goods,Grupo Antolin,Auto parts
1940,Carballo,Consumer goods,Grupo Calvo,Food products
1927,Murcia,Utilities,Grupo Gea Perona,Oil & gas distribution
1996,Granada,Consumer goods,Grupo Lo Monaco,Furnishings
1985,Madrid,Industrials,Grupo Puma,Building materials & fixtures
1906,A Coruña,Consumer goods,Hijos de Rivera,Brewers
1979,Madrid,Consumer services,Hipercor,Food retailers & wholesalers
1992,Bilbao,Utilities,Iberdrola,Conventional electricity
1927,Madrid,Consumer services,Iberia,Airlines
1940,Barcelona,Consumer goods,Idilia Foods,Food products
1985,Arteixo,Consumer services,Inditex,Apparel retailers
1993,Madrid,Industrials,Indra Sistemas,Aerospace
1946,Madrid,Financials,Inmobiliaria Colonial,Real estate holding & development
1889,Ormaiztegi,Industrials,Irizar,Commercial vehicles & trucks
1965,Portillo de Toledo,Consumer goods,Joma,Clothing & accessories
1977,Elche,Consumer services,Kelme,Apparel retailers
1990,Valencia,Financials,La Caixa,Banks
1949,Madrid,Consumer services,La Casera,Food retailers & wholesalers
1852,Zaragoza,Consumer goods,Lacasa,Food products
1953,Tavernes Blanques,Consumer goods,Lladró,Recreational products
2009,Murcia,Consumer goods,Llaollao,Food products
1890,Madrid,Consumer goods,Mahou San Miguel,Brewers
1890,Palma,Consumer goods,Majorica,Clothing & accessories
1984,Palau-solità i Plegamans,Consumer services,Mango,Apparel retailers
1933,Majadahonda,Financials,Mapfre,Full line insurance
2011,Barcelona,Technology,Marfeel,Software
1989,Madrid,Consumer services,Mediaset España Comunicación,Broadcasting & entertainment
1956,Palma,Consumer services,Meliá Hotels International,Hotels
1977,Tavernes Blanques,Consumer services,Mercadona,Food retailers & wholesalers
1956,Mondragón,Conglomerates,Mondragon Corporation,-
1930,Madrid,Financials,Mutua Madrileña,Full line insurance
1868,Vitoria-Gasteiz,Industrials,Naipes Heraclio Fournier,Recreational products
1943,Valencia,Conglomerates,Natra,-
2005,Madrid,Industrials,Navantia,Shipbuilding
1978,Madrid,Consumer services,NH Hotel Group,Hotels
1982,Bueu,Industrials,Nodosa Shipyard,Shipbuilding
1999,Madrid,Industrials,Obrascón Huarte Lain,Heavy construction
1931,Mallabia,Consumer goods,Orbea,Recreational products
1967,Ibiza,Consumer services,Pacha Group,Travel & tourism
1960,Redondela,Consumer goods,Pescanova,Food products
1949,Barcelona,Consumer services,Planeta Group,Publishing
1973,Villarreal,Industrials,Porcelanosa,Building materials & fixtures
1989,Tres Cantos,Consumer services,PRISA TV,Broadcasting & entertainment
1965,Barcelona,Consumer services,Private Media Group,Broadcasting & entertainment
1976,Madrid,Industrials,Prosegur,Business support services
1996,Alcobendas,Technology,Pyro Studios,Software
1985,Alcobendas,Utilities,Red Eléctrica de España,Conventional electricity
2005,Madrid,Consumer services,Renfe,Travel & tourism
1987,Madrid,Oil & gas,Repsol,Integrated oil & gas
2007,Madrid,Consumer services,RTVE,Broadcasting & entertainment
1953,Majorca,Consumer services,RIU Hotels,Hotels
1999,Madrid,Industrials,Sacyr,Heavy construction
1956,Linares,Consumer goods,Santana Motor,Automobiles
1950,Martorell,Consumer goods,SEAT,Automobiles
1956,Getxo,Industrials,SENER,Heavy construction
1956,Getxo,Industrials,Sener Aeronáutica,Aerospace
1942,Las Rozas de Madrid,Industrials,Talgo,Commercial vehicles & trucks
1959,Madrid,Oil & gas,Técnicas Reunidas,Oil equipment & services
1924,Madrid,Telecommunications,Telefónica,Fixed line telecommunications
1987,Madrid,Consumer services,Telepizza,Restaurants & bars
1999,Madrid,Technology,Terra,Internet
1907,Madrid,Industrials,Uralita Group,Building materials & fixtures
1963,Molina de Segura,Consumer goods,Vidal,Food products
2001,Málaga,Consumer goods,Vitelcom,Consumer electronics
2000,Madrid,Telecommunications,Vodafone Spain,Mobile telecommunications
2004,Barcelona,Consumer services,Vueling,Airlines
1974,Arteixo,Consumer services,Zara,Apparel retailers
2001,Madrid,Consumer services,Zinkia Entertainment,Broadcasting & entertainment
1992,Ljubljana,Technology,Academa,Software
1961,Zgornji Brnik,Consumer services,Adria Airways,Airlines
1965,Novo Mesto,Consumer goods,Adria Mobil,Automobiles
1990,Ivančna Gorica,Consumer goods,Akrapovič,Automobiles
1948,Žiri,Consumer goods,Alpina Žiri,Footwear
2012,Kamnik,Technology,Amebis,Software
1995,Maribor,Telecommunications,AMIS,Fixed line telecommunications
1954,Ljubljana,Consumer services,BTC,Broadline retailers
1945,Begunje na Gorenjskem,Consumer goods,Elan,Recreational products
1998,Kranj,Consumer goods,Goodyear Dunlop Sava Tires,Automobiles
1950,Velenje,Consumer goods,Gorenje,Durable household products
1946,Kranj,Industrials,Iskra (company),Diversified industrials
1948,Koper,Conglomerates,Istrabenz,-
1954,Novo Mesto,Health care,Krka,Pharmaceuticals
1946,Ljubljana,Industrials,Litostroj,Industrial machinery
1963,Ljubljana,Industrials,Ljubljana Jože Pučnik Airport,Transportation services
1949,Ljubljana,Consumer services,Mercator,Food retailers & wholesalers
1991,Ljubljana,Telecommunications,Mobitel,Mobile telecommunications
1947,Ljubljana,Consumer services,Petrol Group,Specialty retailers
1957,Koper,Industrials,Port of Koper,Transportation services
1995,Maribor,Industrials,Post of Slovenia,Delivery services
1991,Ljubljana,Industrials,Slovenian Railways,Railroads
1943,Ljubljana,Industrials,Slovenija ceste Tehnika,Construction & materials
1991,Ljubljana,Consumer services,Solinair,Airlines
1954,Koper,Consumer goods,Tomos,Automobiles
2001,Ljubljana,Technology,XLAB d.o.o,Software
2002,Ljubljana,Technology,ZootFly,Software
1993,Bratislava,Consumer services,Air Slovakia,Airlines
1955,Detva,Industrials,Cestné a Stavebné Mechanizmy Tisovec,Defense
1953,Bratislava,Industrials,Doprastav,Heavy construction
1991,Prešov,Industrials,Elnec,Electronic equipment
1992,Bratislava,Technology,ESET,Computer services
1999,Medzilaborce,Consumer goods,Glass LPS,Durable household products
1992,Bratislava,Financials,Istrobanka,Banks
1993,Bratislava,Financials,J&T Finance Group,Investment services
1996,Bratislava,Real estate,JTRE,Real estate management & development
1993,Čadca,Industrials,JJ Electronic,Electrical components & equipment
1995,Bratislava,Financials,Komerční banka Bratislava,Banks
1947,Púchov,Consumer goods,Matador,Tires
1999,Istebné,Basic materials,"OFZ, a.s., Istebné",Iron & steel
1997,Bratislava,Telecommunications,Orange Slovensko,Mobile telecommunications
1994,Bratislava,Financials,Penta Investments,Investment services
1992,Bratislava,Financials,Poštová banka,Banks
1964,Veľký Šariš,Consumer goods,Šariš Brewery,Brewers
1995,Bratislava,Consumer services,Slovak Airlines,Airlines
1999,Bratislava,Telecommunications,Slovak Telekom,Fixed line telecommunications
1993,Žiar nad Hronom,Basic materials,Slovalco,Aluminum
1993,Bratislava,Consumer services,Slovart Music,Broadcasting & entertainment
1993,Banská Bystrica,Industrials,Slovenská pošta,Delivery services
1819,Bratislava,Financials,Slovenská sporiteľňa,Banks
1942,Bratislava,Utilities,Slovenské elektrárne,Conventional electricity
2006,Bratislava,Oil & gas,Slovenský plynárenský priemysel,Exploration & production
1949,Bratislava,Oil & gas,Slovnaft,Exploration & production
2004,Bratislava,Technology,Sygic,Software
1990,Bratislava,Financials,Tatra banka,Banks
2006,Bratislava,Telecommunications,O2 Slovakia,Mobile telecommunications
1957,Veľký Šariš,Consumer goods,Topvar,Brewers
1954,Bratislava,Oil & gas,Transpetrol AS,Pipelines
2000,Košice,Basic materials,U.S. Steel Košice,Iron & steel
1922,Trebišov,Industrials,Vagónka,Commercial vehicles & trucks
2004,Bratislava,Industrials,Železničná spoločnosť Slovensko,Railroads
1969,Hurbanovo,Consumer goods,Zlatý Bažant,Brewers
2008,Bucharest,Consumer services,Adevărul Holding,Publishing
1990,Buftea,Consumer services,Angst,Food retailers & wholesalers
1955,Iași,Health care,Antibiotice Iași,Pharmaceuticals
1970,Alba Iulia,Consumer goods,Apulum,Durable household products
1968,Găești,Consumer goods,Arctic S.A.,Durable household products
1966,Mioveni,Consumer goods,Automobile Dacia,Automobiles
1990,Bucharest,Financials,Banca Comercială Română,Banks
1993,Cluj-Napoca,Financials,Banca Transilvania,Banks
2004,Bucharest,Consumer services,Blue Air,Airlines
1923,Bucharest,Financials,BRD – Groupe Société Générale,Banks
1880,Bucharest,Industrials,Căile Ferate Române,Railroads
1991,Bucharest,Consumer services,Continental Hotels,Hotels
1992,Bacău,Consumer services,Dedeman,Retail services
1993,Ștei,Consumer goods,European Drinks & Foods,Food products
1993,Cluj-Napoca,Consumer goods,Farmec,Personal products
1976,Craiova,Consumer goods,Ford Romania,Automobiles
1992,Bucharest,Technology,GeCAD Software,Software
2001,Bucharest,Industrials,Grup Feroviar Român,Railroads
1991,Bucharest,Consumer services,Intact Media Group,Media agencies
1993,Cluj-Napoca,Consumer goods,Jolidon,Clothing & accessories
1997,Mangalia,Industrials,Mangalia shipyard,Commercial vehicles & trucks
1995,Bucharest,Consumer services,Mega Image,Food retailers & wholesalers
1976,Bucharest,Consumer services,Metrorex,Travel & tourism
1993,Bucharest,Consumer services,Mobexpert,Specialty retailers
1905,Cluj-Napoca,Consumer goods,Napolact,Food products
1997,Bucharest,Telecommunications,Orange Romania,Mobile telecommunications
1991,Bucharest,Oil & gas,Petrom,Integrated oil & gas
1974,Năvodari,Oil & gas,Petromidia Refinery,Exploration & production
1862,Bucharest,Industrials,Poșta Română,Delivery services
1998,Bucharest,Financials,Raiffeisen Romania,Banks
1993,Bucharest,Telecommunications,RCS & RDS,Fixed line telecommunications
2006,Bucharest,Consumer services,Realitatea-Cațavencu,Media agencies
2005,Brașov,Consumer services,Regiotrans,Travel & tourism
1921,Brașov,Industrials,Roman,Commercial vehicles & trucks
1974,Bucharest,Oil & gas,Rompetrol,Exploration & production
1994,Bucharest,Industrials,Romstal,Industrial suppliers
1989,Bucharest,Telecommunications,Romtelecom,Fixed line telecommunications
1992,Bucharest,Technology,SIVECO Romania,Software
2001,Bucharest,Technology,Softpedia,Software
1990,Bucharest,Technology,Softwin,Software
1954,Otopeni,Consumer services,TAROM,Airlines
1972,Iaşi,Consumer goods,Tehnoton,Consumer electronics
1991,Bucharest,Telecommunications,Telekom Romania,Fixed line telecommunications & mobile telecommunications
1920,Cluj-Napoca,Health care,Terapia Ranbaxy,Pharmaceuticals
1990,Bucharest,Conglomerates,Țiriac Holdings,-
2003,Cluj-Napoca,Industrials,Transferoviar Grup,Railroads
2007,Cluj-Napoca,Technology,Trilulilu,Internet
1992,Bucharest,Technology,Ubisoft Bucharest,Software
1992,Bucharest,Telecommunications,UPC Romania,Fixed line telecommunications
1878,Bucharest,Consumer goods,Ursus Breweries,Brewers
1990,Bucharest,Conglomerates,UTI Holdings,-
1997,Bucharest,Telecommunications,Vodafone Romania,Mobile telecommunications
1962,Bucharest,Health care,Zentiva,Pharmaceuticals
2005,Porto,Basic materials,Altri,Paper
1939,Porto,Industrials,Ambar – Ideas on Paper S.A.,Industrial suppliers
1985,Porto,Financials,Banco Comercial Português,Banks
1924,Trofa,Health care,Bial,Pharmaceuticals
1876,Lisbon,Financials,Caixa Geral de Depósitos,Banks
1872,Lisbon,Consumer services,Carris,Travel & tourism
1934,Vila Franca de Xira,Consumer goods,Central de Cervejas,Brewers
1997,Oeiras,Technology,Chipidea,Semiconductors
1981,Porto,Wine making,Churchill's Port,Port wine
1995,Coimbra,Technology,Ciberbit,Software
1976,Lisbon,Industrials,Cimpor,Building materials & fixtures
1976,Anadia,Consumer goods,CMS-Helmets,Clothing & accessories
1856,Porto,Consumer services,Cofina,Publishing
1856,Lisbon,Consumer services,Comboios de Portugal,Travel & tourism
1853,Matosinhos,Consumer goods,Conservas Ramirez,Food products
1985,Matosinhos,Consumer services,Continente,Food retailers & wholesalers
1870,Santa Maria da Feira,Basic materials,Corticeira Amorim,Industrial suppliers
1998,Coimbra,Technology,Critical Software,Software
1520,Lisbon,Industrials,"CTT Correios de Portugal, S.A.",Delivery services
1961,Campo Maior,Consumer goods,Delta Cafés,Food products
1948,Matosinhos,Industrials,EFACEC,Electronic equipment
1976,Lisbon,Utilities,Energias de Portugal,Conventional electricity
1947,Lisbon,Industrials,Fábrica Nacional de Munições de Armas Ligeiras,Defense
1999,Lisbon,Utilities,Galp Energia,Gas distribution
2008,Lisbon,Technology,Glintt,Software
1986,Lisbon,Conglomerates,Grupo José de Mello,-
1975,Marinha Grande,Industrials,Iberomoldes,General industries
1972,Oeiras,Consumer services,Impresa,Media
1792,Lisbon,Consumer services,Jerónimo Martins,Retail
1996,Porto,Consumer goods,Lactogal,Food & beverage
1976,Cascais,Industrials,Logoplaste,Diversified industrials
1990,Oliveira de Frades,Industrials,Martifer,Heavy construction
1988,Oeiras,Consumer services,Media Capital,Broadcasting & entertainment
1970,Lisbon,Health care,Medinfar,Pharmaceuticals
1991,Lisbon,Telecommunications,MEO,Mobile telecommunications
1840,Lisbon,Financials,Montepio,Banks
1946,Porto,Industrials,Mota-Engil,General industries
2008,Cascais,Technology,Move Interactive,Software
1994,Lisbon,Telecommunications,NOS,Fixed line telecommunications
1989,Lisbon,Technology,Novabase,Software
2014,Lisbon,Financials,Novo Banco,Banks
1980,Lisbon,Consumer services,Pingo Doce,Food retailers & wholesalers
1944,Porto,Consumer services,Porto Editora,Publishing
1994,Lisbon,Telecommunications,Portugal Telecom,Fixed line telecommunications
1988,Lisbon,Technology,Quidgest,Software
1935,Lisbon,Consumer services,Rádio e Televisão de Portugal,Broadcasting & entertainment
1994,Lisbon,Utilities,Redes Energéticas Nacionais,Conventional electricity
1939,Torres Novas,Basic materials,Renova,Paper
1995,Lisbon,Telecommunications,SAPO,Fixed line telecommunications
