country,employees,founded,industry,link,name,revenue
Australia,34,2012,Fintech,https://www.selfwealth.com.au/,SelfWealth,12.64
Australia,25,2015,Health,https://www.befitfood.com.au/,Be Fit Food,5.21
South Korea,10,2015,Advertising,https://www.comma-entertainment.com/,Comma Entertainment,1.47
Australia,90,2014,Telecoms,https://www.tangerinetelecom.com.au/,Tangerine Telecom,13.62
Finland,49,2016,Technology,https://www.luotocompany.com/,Luoto Company,"14,338,668"
Austria,29,2014,Ecommerce,https://www.journiapp.com/,Journi Print,"6,851,839"
Netherlands,96,2014,Fintech,https://www.bunq.com,bunq,"8,808,633"
Netherlands,30,2013,Fintech,https://www.nbwm.nl,NBWM,6.7
Finland,293,2014,Technology,https://wolt.com/,Wolt Enterprises,30.07
Estonia,700,2013,Technology,https://bolt.eu/,Bolt Technology,79.68
India,471,2013,Technology,https://whatfix.com/,Whatfix,13.45
Australia,25,2017,Law,https://sprintlaw.com.au/,Sprintlaw,1.70
South Korea,3,2017,Retail,file:///Users/chris.campbell/Downloads/NA,Metal Heart,14.73
India,52,2016,Technology,https://saaslabs.co/,SaaS Labs,1.93
Japan,13,2015,Construction,https://www.topreform.jp/,Top Reform,6.56
Hong Kong,301,2013,Ecommerce,https://shopline.hk/,Shopline,21.85
France,228,2017,Support Services,https://www.portify.fr/,Portify,"11,583,215"
Norway,45,2015,Energy,https://tibber.com/,Tibber,"30,886,935"
Estonia,1438,2013,Technology,https://bolt.eu,Bolt Technology,"148,227,430"
Germany,115,2014,Fintech,https://de.scalable.capital,Scalable Capital,"7,065,436"
France,80,2013,Construction,https://www.bis-renovation-energie.com,Bis Rénovation Energie,13.5
Spain,38,2015,Support Services,https://elementsgs.com/,Elements Global Services,26.25
France,67,2013,Construction,https://www.les-eco-isolateurs.com/,Les Eco-Isolateurs,32.98
Australia,60,2015,Transport,https://www.driveyello.com/,Drive Yello,7.84
South Korea,38,2017,Beauty,https://www.dmil.kr/,"Different Millions , Inc",4.52
Japan,3,2010,Property,https://www.stayg.jp/,Stay Gold,9.40
India,1100,2015,Education,https://www.upgrad.com/,upGrad,23.05
India,Not found,1994,Financial Services,https://www.capitalindia.com/,Capital India Finance,14.59
Japan,20,2016,Sales & Marketing,https://www.i-goods.co.jp/,IGOODS,6.26
Poland,18,2013,Fashion,https://www.rascalindustry.pl/en/,Rascal Industry,"9,008,822"
Italy,509,2017,Support Services,https://www.pegasosecurity.it/,Pegaso Security,"8,375,180"
UK,335,2016,Management Consulting,https://kubrickgroup.com,Kubrick Group,"21,304,174"
France,105,2015,Management Consulting,https://gojob.com,Gojob,"23,062,711"
Germany,10,2014,Food & Beverage,https://www.donatella.de,Donatella*,7.5
United Kingdom,150,2013,Games industry,https://gismart.com/,Gismart,57.65
Japan,25,2008,Technology,https://picocela.com/,PicoCELA,2.03
New Zealand,10,2012,Ecommerce,https://parcelport.co.nz/,Parcelport,3.98
Vietnam,45,2015,Technology,https://dwarves.foundation/,Dwarves Foundation,1.00
South Korea,72,2015,Media,http://dable.io/en/,Dable,15.70
Australia,112,2012,Travel & Leisure,https://www.jayride.com/,Jayride Group,2.84
Japan,30,2015,Retail,https://nj-enex.co.jp/,NJ-ENEX,10.18
UK,581,2016,Fintech,https://www.tide.co/,Tide,"16,136,633"
Italy,1,2017,Retail,https://www.eurotopbrand.com,Euro Top Brand,"13,888,900"
Germany,12,2016,Health,https://www.happybrush.de,Happybrush,"5,903,800"
