"Rank","Name","in 2021 ranking","in 2020 ranking","Country","Sector","Absolute Growth Rate %","Compound Annual Growth Rate (CAGR) %","Revenue 2020 (€)","Revenue 2017 (€)","Number of employees 2020","Number of employees 2017","Founding Year"
"485","Barcode Architects","No","No","The Netherlands","Architecture","327.77","62.33","4,851,997","1,134,256","62","23","2010"
"486","TOP CHALEUR","No","No","France","Retail","326.52","62.17","7,260,096","1,702,165","27","9","2002"
"487","Seingim","Yes","Yes","Italy","Construction","326.09","62.12","13,479,380","3,163,540","160","52","1999"
"488","Amphibian Scaffolding","No","No","UK","Construction","325.82","62.08","4,011,415","948,813","49","21","2008"
"489","Beliani","No","No","Liechtenstein","Ecommerce","325.61","62.06","93,438,770","20,298,288","551","205","2009"
"490","Hatstore","Yes","No","Sweden","Ecommerce","325.42","62.03","17,453,187","4,195,789","45","17","2011"
"491","Carpenteria Martino","No","No","Italy","Construction","325.19","62.00","9,719,750","2,286,000","27","19","2006"
"492","CapitalOnTap","Yes","Yes","UK","Fintech","324.99","61.98","82,238,372","19,489,369","147","61","2012"
"493","Netguru","No","No","Poland","Technology","324.26","61.89","34,677,235","8,933,769","637","199","2008"
"494","Fazio","No","No","Italy","Retail","322.41","61.65","3,375,810","799,170","7","6","2014"
"495","Grillfürst","No","No","Germany","Retail","322.06","61.61","38,599,408","9,145,411","84","37","2010"
"496","Dealernet","No","No","Italy","Automobiles","320.92","61.46","22,704,300","5,394,020","18","14","2017"
"497","Alpha Real Estate","Yes","Yes","Germany","Property","319.89","61.33","119,161,137","28,378,990","57","14","2013"
"498","Appwise","No","No","Belgium","Technology","319.07","61.22","4,546,110","1,084,812","74","12","2013"
"499","Convert Group","Yes","No","Greece","Technology","318.77","61.18","2,789,489","666,118","55","17","2014"
"500","Revolution Race","Yes","No","Sweden","Ecommerce","318.30","61.12","89,332,521","21,841,341","65","17","2013"
"501","GONG Galaxy","No","No","France","Retail","318.01","61.09","11,320,706","2,708,258","40","11","2009"
"502","GDR Costruzioni","No","No","Italy","Construction","317.99","61.09","1,573,480","376,440","8","8","2011"
"503","Emporio Elettrico","No","No","Italy","Ecommerce","317.84","61.07","1,979,050","473,640","4","1","2015"
"504","Exscientia AI","Yes","No","UK","Technology","317.63","61.04","10,807,048","2,606,296","87","15","2012"
"505","Featurespace","No","No","UK","Fintech","316.08","60.84","23,501,473","5,688,822","324","128","2005"
"506","XL ENERGIES","No","No","France","Energy","315.16","60.72","8,358,760","2,013,403","11","3","2016"
"507","Claveria","No","No","Spain","Support Services","314.56","60.64","4,715,363","1,137,450","43","20","2015"
