"Rank","Name","in 2021 ranking","in 2020 ranking","Country","Sector","Absolute Growth Rate %","Compound Annual Growth Rate (CAGR) %","Revenue 2020 (€)","Revenue 2017 (€)","Number of employees 2020","Number of employees 2017","Founding Year"
"878","halsdorfer + ingenieure projekt","No","Yes","Germany","Property","176.94","40.43","31,038,460","11,207,566","15","5","2013"
"879","OPNA","Yes","No","France","Support Services","176.53","40.36","2,317,903","838,200","23","9","2015"
"880","Stikets","Yes","Yes","Spain","Ecommerce","176.29","40.32","9,318,626","3,372,820","39","25","2010"
"881","CampuStore","No","No","Italy","Education","175.75","40.23","34,410,600","12,479,120","18","18","1994"
"882","Ars Futura","No","No","Croatia","Technology","175.70","40.22","1,580,154","574,487","27","14","2013"
"883","Cemir Security","Yes","No","Italy","Support Services","175.61","40.21","2,835,330","1,028,730","116","64","2015"
"884","Borgy CZ","No","No","Czech Republic","Personal & Household Goods","175.59","40.20","22,419,033","8,362,568","60","40","2009"
"885","Groupe Zephyr","No","No","France","Health","175.27","40.15","16,264,645","5,908,517","600","190","2007"
"886","Dernier Cri","No","No","France","Technology","175.07","40.11","3,956,061","1,438,184","57","25","2015"
"887","yes!devs","No","No","Germany","Technology","175.00","40.10","2,200,000","800,000","37","10","2016"
"888","Hydroflex Group","No","Yes","Germany","Retail","174.98","40.10","13,166,000","4,788,000","36","19","2009"
"889","Proteko Service","No","No","Italy","Support Services","174.64","40.04","5,502,450","2,003,540","31","7","2016"
"890","MiniCRM","No","No","Hungary","Technology","174.60","40.03","2,232,347","944,107","26","26","2012"
"891","CNQ Consorzio Nazionale Qualità","No","No","Italy","Waste management & recycling","174.56","40.03","2,151,050","783,460","39","13","2001"
"892","Accolade","No","Yes","Czech Republic","Property","174.26","39.98","83,981,636","31,477,723","n/a","n/a","2010"
"893","Panel Sandwich","No","No","Spain","Construction","174.00","39.93","9,637,845","3,517,519","27","9","2009"
"894","SYMBIOSE Informatique","No","No","France","Technology","173.97","39.93","33,080,096","12,074,454","32","28","1991"
"895","G.Engineering","Yes","No","Italy","Industrial Goods","173.95","39.92","16,504,780","6,024,830","51","24","2012"
"896","I-PARTICULIERS","No","No","France","Property","173.47","39.84","4,071,600","1,488,875","200","50","2011"
"897","Henco","No","No","Germany","Retail","173.33","39.82","6,970,679","2,550,263","48","25","2012"
"898","Giglio.com","No","Yes","Italy","Ecommerce","173.12","39.78","25,355,630","9,283,620","53","25","2007"
"899","Alphaspel","No","No","Sweden","Retail","172.99","39.76","4,535,769","1,699,234","16","5","2013"
"900","Sapiegos Klinika","No","No","Lithuania","Health","172.45","39.67","1,578,677","579,436","24","14","2014"
"901","OpenCorporates","No","No","UK","Technology","172.17","39.62","2,730,677","1,010,498","25","9","2010"
"902","BE CLOUD","No","Yes","France","Support Services","172.09","39.61","10,371,094","3,811,605","49","22","2012"
"903","Drukarnia piga.pl","Yes","Yes","Poland","Ecommerce","172.02","39.59","4,064,038","1,632,988","130","60","2014"
"904","groupe mister menuiserie","No","No","France","Ecommerce","172.00","39.59","68,009,314","25,003,047","227","84","2010"
"905","Insetto","No","No","Germany","Retail","171.87","39.57","6,010,130","2,210,651","79","51","1999"
"906","Technophage","No","No","Portugal","Pharmaceuticals","171.71","39.54","2,237,180","823,381","13","9","2005"
"907","skalis portage salarial","No","Yes","France","Support Services","171.14","39.44","6,202,068","2,287,420","68","25","2008"
"908","peoplegrapher","Yes","No","Germany","Advertising","170.86","39.40","3,561,298","1,314,806","11","5","2016"
"909","Reveg Fruit","Yes","No","Italy","Food & Beverage","170.85","39.39","2,356,570","870,070","4","2","2016"
"910","Sciant","Yes","No","Bulgaria","Technology","170.83","39.39","3,192,139","1,178,653","79","39","2016"
"911","Boender & Beutel","No","No","Germany","Industrial Goods","170.63","39.36","14,550,131","5,376,347","130","50","2012"
"912","EKINOPS","No","No","France","Telecoms","170.62","39.36","92,800,000","34,291,000","456","419","2003"
"913","Sano-Técnica","No","No","Portugal","Health","170.53","39.34","4,972,658","1,838,120","13","12","1938"
"914","möbelando","No","Yes","Germany","Retail","170.52","39.34","16,692,390","6,170,577","24","16","2013"
"915","Democom","Yes","Yes","Italy","Telecoms","170.39","39.31","3,347,950","1,238,210","37","12","2011"
"916","Erbagil","No","No","Italy","Pharmaceuticals","169.82","39.22","4,021,010","1,490,280","11","3","2009"
"917","Axopar Boats","Yes","Yes","Finland","Travel & Leisure","169.30","39.13","78,765,693","29,247,774","32","9","2014"
"918","Advanced Composites Solutions","No","No","Italy","Automobiles","168.86","39.05","5,393,690","2,006,100","54","11","2012"
"919","Spartivento Yachts & Charter","No","No","Italy","Travel & Leisure","168.79","39.04","5,194,630","1,932,580","34","12","2000"
"920","Seargin","Yes","Yes","Poland","Technology","168.70","39.02","18,624,755","7,576,080","64","39","2014"
"921","TTP HOLDING","No","No","Germany","Support Services","168.68","39.02","37,607,000","13,997,000","32","28","2009"
"922","Sweef furniture","No","No","Sweden","Retail","168.54","39.00","9,506,903","3,620,585","14","5","2011"
"923","SONIC Tanácsadó és Szolgáltató Kft","No","No","Hungary","Technology","168.48","38.99","4,646,080","2,009,719","10","5","2008"
"924","spotit","No","No","Belgium","Cyber Security","168.03","38.91","20,387,729","7,606,472","71","30","2014"
"925","LABEL EXPERIENCE","Yes","No","France","Financial Services","168.01","38.91","1,756,470","655,366","27","11","2016"
"926","LMM Logistics","Yes","No","Italy","Transport","167.88","38.88","14,113,040","5,268,390","724","2","2015"
"927","Medicalfit","No","No","Spain","Health","167.73","38.86","2,378,517","888,395","35","15","2008"
"928","Nuova MG","No","No","Italy","Industrial Goods","167.60","38.83","2,126,840","794,770","26","23","2017"
"929","innov and co handicap","No","No","France","Technology","167.55","38.83","1,879,824","702,609","30","7","2016"
"930","Alma Entreprise","No","No","France","Construction","167.54","38.82","13,438,347","5,023,015","31","33","2003"
"931","Radit","No","No","Italy","Support Services","167.28","38.78","1,879,520","703,190","15","8","2016"
"932","REGIONAL EXPRESS","No","Yes","France","Transport","167.07","38.74","22,841,800","8,552,857","220","80","2013"
"933","Aravati","Yes","No","France","Support Services","166.79","38.69","6,671,500","2,500,644","59","26","2004"
"934","Pöhner Hamburg","No","No","Germany","Retail","166.67","38.67","15,603,000","5,851,000","7","4","2013"
"935","Schreinerei Huber","No","No","Germany","Construction","166.56","38.65","2,629,044","986,286","21","18","2010"
"936","ISR","No","No","France","Technology","166.38","38.62","4,637,943","1,741,112","12","12","1996"
"937","Kinga Mathe","Yes","No","Germany","Retail","166.18","38.59","1,800,494","676,431","5","2","2008"
"938","Rivile","No","No","Lithuania","Technology","166.16","38.58","3,905,042","1,467,195","24","20","1992"
"939","MaGarantie5ans","Yes","No","France","Retail","166.08","38.57","9,253,546","3,477,788","20","8","2016"
"940","BEBEBOUTIK","No","No","France","Retail","165.71","38.51","29,080,296","10,944,325","98","36","2012"
"941","Radar Cyber Security","No","Yes","Austria","Technology","165.43","38.46","12,727,043","4,794,822","122","88","2011"
"942","CLAIR GROUP","Yes","Yes","France","Aerospace & Defence","165.35","38.44","38,960,985","14,683,064","121","49","2004"
"943","Appsfactory","Yes","No","Germany","Technology","165.29","38.43","18,044,631","6,801,966","221","105","2009"
"944","Stiltz Homelifts","No","Yes","UK","Interiors","164.93","38.37","36,960,953","14,051,407","250","142","2010"
"945","Star Stone","Yes","No","Romania","Construction","164.83","38.35","4,409,476","1,729,707","105","48","2012"
"946","Coptrz","No","No","UK","Aerospace & Defence","164.78","38.34","6,297,471","2,395,445","22","10","2016"
"947","Nurole","No","Yes","UK","Technology","164.77","38.34","3,249,493","1,236,098","35","15","2014"
"948","ABAO Energy","Yes","No","Germany","Construction","164.38","38.28","2,406,917","910,386","15","10","2016"
"949","Welol Next","No","No","Italy","Technology","163.97","38.20","2,685,440","1,017,320","32","16","2011"
"950","Intent HQ","No","No","UK","Technology","163.93","38.20","5,762,891","2,199,126","75","22","2010"
"951","Café du Cycliste","No","Yes","France","Ecommerce","163.42","38.11","7,445,865","2,826,571","20","14","2009"
"952","LANGER Lüftungs- und Klimaanlagen","No","No","Germany","Construction","163.42","38.11","4,609,256","1,749,794","8","5","2016"
"953","Formind","Yes","Yes","France","Cyber Security","163.27","38.08","16,845,354","6,398,583","130","60","2010"
"954","Oasis Smart SIM Europe**","No","No","France","Telecoms","162.65","37.97","3,065,165","1,167,000","20","4","2010"
"955","Aferetica","Yes","No","Italy","Health","162.51","37.95","6,376,910","2,429,230","13","9","2013"
"956","Zero","No","No","Italy","Energy","162.50","37.95","42,000,000","16,000,000","37","15","2014"
"957","SKILLS","Yes","Yes","France","Support Services","162.17","37.89","11,650,138","4,443,710","70","20","2011"
"958","3E Studio","No","No","Italy","Support Services","161.84","37.83","2,804,580","1,071,090","22","1","2015"
"959","Pannonia Steel","No","No","Slovakia","Construction","161.81","37.82","1,768,886","675,645","5","1","2013"
"960","Kronos","No","No","Italy","Fashion","161.72","37.81","23,579,000","9,009,270","21","15","2009"
"961","LaSaponaria","No","No","Italy","Beauty","161.63","37.79","6,304,690","2,409,730","22","11","2007"
"962","Die Wuhlewanderer","Yes","No","Germany","Health","161.58","37.78","4,970,000","1,900,000","95","50","2013"
"963","IMINT Vidhance","No","No","Sweden","Technology","161.54","37.78","4,851,538","1,897,113","27","26","2007"
"964","Arte e Passione","Yes","No","Italy","Restaurants","161.45","37.76","1,671,730","639,410","47","18","2016"
"965","PAUL MARIUS","No","No","France","Retail","161.37","37.75","24,869,602","9,515,000","87","29","2011"
"966","Scalefocus","No","No","Bulgaria","Technology","161.21","37.72","33,137,857","12,686,177","730","330","2012"
"967","Whiskyzone","No","Yes","Germany","Retail","161.11","37.70","10,750,866","4,117,340","16","7","2014"
"968","Targa Telematics","Yes","No","Italy","Technology","160.94","37.67","37,386,150","14,327,610","113","63","2002"
"969","SIAN Wholesale Ltd","No","Yes","UK","Transport","160.04","37.51","74,719,260","28,939,861","50","23","2003"
"970","Visage Technologies","Yes","No","Sweden","Technology","159.98","37.50","5,677,639","2,233,448","104","54","2002"
"971","Riotloc","No","No","Lithuania","Games industry","159.92","37.49","1,551,468","596,906","1","1","2016"
"972","BullionVault","No","No","UK","Precious metals","159.81","37.47","16,196,046","6,278,456","34","31","2003"
"973","3A Antioxidants","No","No","Spain","Chemicals & Pharmaceuticals","159.49","37.42","7,704,000","2,968,892","23","9","2000"
"974","on Metall","No","No","Germany","Industrial Goods","159.42","37.40","2,587,718","997,518","6","3","2016"
"975","Scribbr","Yes","Yes","The Netherlands","Education","159.33","37.39","8,862,818","3,417,536","39","22","2012"
"976","Selectra","Yes","No","France","Energy","158.84","37.30","62,951,353","24,320,734","1000","500","2007"
"977","Energetic","No","No","Italy","Energy","158.58","37.26","1,711,470","661,860","13","7","2010"
"978","Faveod","No","No","France","Support Services","158.40","37.22","2,598,585","1,005,658","9","7","2007"
"979","CYE Energia","Yes","Yes","Spain","Energy","158.39","37.22","23,673,728","9,161,867","15","5","2013"
"980","Integrata Oy","Yes","No","Finland","Financial Services","157.99","37.15","9,409,000","3,647,000","105","33","2008"
"981","Regular Trade","No","No","Germany","Retail","157.87","37.13","11,671,000","4,526,000","25","15","2010"
"982","Expleo","No","No","Hungary","Energy","157.82","37.12","2,696,785","900,686","15","6","2011"
"983","Confezioni Velvet","No","No","Italy","Fashion","157.62","37.09","3,355,870","1,302,640","21","21","2015"
"984","Activ Bilanz","Yes","No","Germany","Property","157.55","37.07","17,286,985","6,712,146","10","12","1998"
"985","Family Nation","No","No","Italy","Ecommerce","157.40","37.05","5,300,370","2,059,190","12","5","2011"
"986","Majar – Matzaridis Bros","Yes","No","Greece","Technology","157.07","36.99","13,224,865","5,144,442","19","13","1994"
"987","Izertis","Yes","No","Spain","Technology","156.87","36.95","50,740,841","19,753,150","791","431","1996"
"988","Fashion Commerce","Yes","No","Italy","Ecommerce","156.44","36.88","2,349,000","916,000","5","1","2016"
"989","Bulk Tainer Logistics Limited","No","No","UK","Transport","156.27","36.85","56,054,130","21,717,432","105","41","2009"
"990","Wingeco","No","No","Italy","Industrial Goods","155.74","36.75","3,407,310","1,332,330","22","12","2016"
"991","Meblobranie.pl","Yes","Yes","Poland","Ecommerce","155.48","36.71","19,295,429","6,909,799","25","12","2021"
"992","Queraltó","No","No","Spain","Ecommerce","155.39","36.69","21,900,903","8,575,344","67","39","1898"
"993","Phobos","Yes","No","Slovakia","Automobiles","155.23","36.66","3,529,454","1,382,844","12","8","1993"
"994","Archita Engineering","No","No","Italy","Support Services","155.02","36.62","2,739,230","1,074,130","5","13","2013"
"995","Celeritas","No","No","Spain","Transport","154.94","36.61","58,139,933","22,805,398","27","10","2006"
"996","peopleForecast","No","No","Germany","Technology","154.86","36.59","2,086,411","818,658","45","15","2014"
"997","Digitalpa","No","No","Italy","Management Consulting","154.82","36.59","1,731,340","679,440","12","41","2014"
"998","Faktenkontor","No","No","Germany","Advertising","154.81","36.59","30,967,000","12,153,143","150","100","2003"
"999","CLAREO","Yes","Yes","France","Retail","154.80","36.58","18,854,708","7,399,729","53","13","2012"
"1000","Laca Trade","Yes","Yes","Italy","Property","154.60","36.55","24,741,510","9,717,860","5","5","2013"
