,company_rank,company_name,company_industry,company_location
195,196,Singtel,Mobile Service Provider,Singapore
196,197,Korean Air,Full-service Airlines,Korea
197,198,NTT,Mobile Service Provider,Japan
198,199,Qantas,Full-service Airlines,Regional
199,200,Nongshim,Instant Noodles,"China, Korea"
200,201,Ralph Lauren,Menâs Fashion Retailer/Fragrance,Regional
201,202,Siam Commercial Bank,Bank,Thailand
202,203,Asiana,Full-service Airlines,Korea
203,204,Park n shop,Supermarket,"China, Hong Kong"
204,205,Seoul Milk,Milk,Korea
205,206,G2000,Menâs and Womenâs Fashion Retailer,"China, Southeast Asia"
206,207,SK Telecom,Mobile Service Provider,Korea
207,208,Dunhill,Cigarette,Regional
208,209,Adobe,Computer Software,Regional
209,210,Shinhan bank,Bank,Korea
210,211,Lotteria,Fast-Food,Korea
211,212,Kuroneko Yamato,Courier Company,Japan
212,213,DBS,Bank,Singapore
213,214,Pioneer,Consumer Electronics,Regional
214,215,ICICI Bank,Bank,India
215,216,State Bank of India (SBI),Bank,India
216,217,Telstra,Mobile Service Provider,Australia
217,218,Citizen,Watch,Regional
218,219,Dumex,Milk Powder,"China, India, Southeast Asia"
219,220,Avon,Cosmetics,Regional
220,221,Airtel,Mobile Service Provider,India
221,222,Sinopec,Petrol/Gas Station,"China, Hong Kong"
222,223,Asahi,Beer,Regional
223,224,PTT,Petrol/Gas Station,Thailand
224,225,Coffee Bean,Coffee Shop,"Australia, Southeast Asia"
225,226,Mos Burger,Fast-Food,"Japan, Hong Kong, Singapore"
226,227,China Airlines,Full-service Airlines,Regional
227,228,NEC,Computer,Regional
228,229,Sunkist,Fruit Juice,Regional
229,230,KTF,Mobile Service Provider,Korea
230,231,Japan Airlines (JAL),Full-service Airlines,Japan
231,232,China Trust,Bank,Taiwan
232,233,Woolworths,Supermarket,Australia
233,234,Sprite,Carbonated Soft Drink,Regional
234,235,Shangri-La,Hotel,Regional
235,236,Yili,Milk,"China, Hong Kong"
236,237,Electrolux,White Goods,Regional
237,238,F&N,Carbonated Soft Drink,"Malaysia, Singapore"
238,239,Chunghwa Telecom (CHT),Mobile Service Provider,Taiwan
239,240,ICBC Asia,Bank,China
240,241,Tag Heuer,Watch,Regional
241,242,China Merchants Bank,Credit Card/Bank,China
242,243,The Body Shop,Shower Gel/Soap,"China, Southeast Asia"
243,244,Giant,Supermarket,"India, Malaysia, Singapore"
244,245,Old Town,Coffee Shop,Malaysia
245,246,Hankook,Tyre,Korea
246,247,Taiwan Beer,Beer,Taiwan
247,248,Bulgari,Fragrance/Jewellery,Regional
248,249,Nissan,Car/Automobile,Regional
249,250,Kumkang,Menâs Shoes,Korea
250,251,Emirates,Full-service Airlines,Regional
251,252,LIC,Insurance,India
252,253,Kasikorn Bank,Bank,Thailand
253,254,Fisher & Paykel,White Goods,Singapore
254,255,Sensodyne,Toothpaste,Regional
255,256,Yokohama,Tyre,Regional
256,257,Brother,Printer,Regional
257,258,British Petroleum (BP),Petrol/Gas Station,"Australia, Southeast Asia"
258,259,Hyatt,Hotel,Regional
259,260,Supau,Sports Drink,Taiwan
260,261,CPC (China),Petrol/Gas Station,China
261,262,Moccona,Coffee,"Australia, Singapore"
262,263,Powerade,Sports Drink,"Australia, Hong Kong, Japan"
263,264,Cafe Coffee Day,Coffee,India
264,265,Advance Info Service,Mobile Service Provider,Thailand
265,266,MSN,Social Networking site,Regional
266,267,OMO,Detergent,"Australia, China"
267,268,Singha,Beer,"Hong Kong, Thailand"
268,269,Subway,Fast-Food,"Australia, China, Southeast Asia"
269,270,Titan,Watch,India
270,271,Chow Tai Fook,Jewellery,"China, Hong Kong"
271,272,Lawson,Convenience Store,"China, Japan"
272,273,SK,Petrol/Gas Station,"Korea, Singapore"
273,274,DTAC,Mobile Service Provider,Thailand
274,275,Ethnicans,Savoury Snack Food,Hong Kong
275,276,Godiva,Chocolate,Regional
276,277,Pacific Coffee,Coffee Shop,Hong Kong
277,278,Audi,Car/Automobile,Regional
278,279,Amway,Toothpaste,Regional
279,280,CafÃ© De Coral,Fast-Food,Hong Kong
280,281,Surf,Detergent,"Australia, India"
281,282,GS 25,Convenience Store,Korea
282,283,Mild Seven,Cigarette,Regional
283,284,Maxis,Mobile Service Provider,Malaysia
284,285,Kawasaki,Motorcycle,Regional
285,286,Bru,Coffee,"India, Malaysia, Singapore"
286,287,Fab,Detergent,"Hong Kong, Southeast Asia"
287,288,Lakme,Cosmetics,India
288,289,Optus,Mobile Service Provider,Australia
289,290,HDFC Bank,Bank,India
290,291,Pringles,Snack Food,Regional
291,292,Westinghouse,White Goods,"Australia, Singapore"
292,293,Haitai,Food,Korea
293,294,Oishi,Tea,Thailand
294,295,Bangkok Bank,Bank,Thailand
295,296,Nok Air,Budget Airlines,Thailand
296,297,Attack,Detergent,"China, Southeast Asia"
297,298,Samyang,Instant Noodles,Korea
298,299,Clarks,Menâs Shoes,Regional
299,300,Vita,Beverage,"Hong Kong, Taiwan"
300,301,Pokka,Beverage,"Japan, Singapore"
301,302,Cheers,Convenience Store,Singapore
302,303,Petronas,Petrol/Gas Station,Southeast Asia
303,304,Apollo,Pharmacy/Drugstore,India
304,305,Mentos,Sweets and Candy,Regional
305,306,Jusco,Supermarket,"Hong Kong, China, Japan"
306,307,Namyang,Milk Powder/Milk,Korea
307,308,Kopitiam,Coffee Shop,Singapore
308,309,Daum,Internet Search Engine,Korea
309,310,Ping An Insurance,Insurance,China
310,311,Kuang-Chuan,Milk,Taiwan
311,312,Tatung,Consumer Electronics,Taiwan
