,company_name,company_location
154,DREAM YACHT ITALIA SRL,ITALY
155,IDEAL GROUP AS,ESTONIA
156,TISHMAN DOLPHIN LIMITED PARTNERSHIP,UNITED STATES
157,EMERSON SALES UK LIMITED,UNITED KINGDOM
158,HILDING ANDERS ITALY SRL,ITALY
159,LUMINOR PENSIONS ESTONIA AS,ESTONIA
160,B OREGON LEASING LLC,UNITED STATES
161,BRAY CONTROLS (UK) LIMITED,UNITED KINGDOM
162,C-MAP ITALY SRL,ITALY
163,DIGITAL LEDGER OU,ESTONIA
164,B OREGON OWNER LLC,UNITED STATES
165,ARABIC NEWS BROADCASTING UK LTD,UNITED KINGDOM
166,INGENICO ITALIA SPA,ITALY
167,VALMET TECHNOLOGIES OU,ESTONIA
168,"IDEANOMICS, INC.",UNITED STATES
169,BOLUDA TOWAGE LONDON LTD.,UNITED KINGDOM
170,VALEO SPA,ITALY
171,ESTONIA CAPITAL OU,ESTONIA
172,EMERGO GLOBAL CONSULTING LLC,UNITED STATES
173,DTW 1991 UNDERWRITING LIMITED,UNITED KINGDOM
174,SERVIER ITALIA SPA,ITALY
175,BOLT SERVICES EE OU,ESTONIA
176,MODERN SYSTEMS CORPORATION,UNITED STATES
177,0044 LIMITED,UNITED KINGDOM
178,MAISONS DU MONDE ITALIE SRL,ITALY
179,BOLT HOLDINGS OU,ESTONIA
180,"NED DAVIS RESEARCH, INC.",UNITED STATES
181,LCH LIMITED,UNITED KINGDOM
182,PAVAN SPA,ITALY
183,SCANFIL OU,ESTONIA
184,"PUERTO RICO, COMMONWEALTH OF",UNITED STATES
185,VESTEY FOODS INTERNATIONAL LIMITED,UNITED KINGDOM
186,PRYSMIAN POWERLINK SRL,ITALY
187,RINGCENTRAL ESTONIA OU,ESTONIA
188,"ICE DATA INDICES, LLC",UNITED STATES
189,ABELS MOVING SERVICES LIMITED,UNITED KINGDOM
190,PRYSMIAN SPA,ITALY
191,SWEDBANK AS,ESTONIA
192,PALANTIR TECHNOLOGIES INC.,UNITED STATES
193,ABEL & COLE LIMITED,UNITED KINGDOM
194,ELECTRONIC AND OPTICAL SENSING SOLUTIONS SRL IN BREVE EOSS SRL,ITALY
195,SWEDBANK LIFE INSURANCE SE,ESTONIA
196,PALANTIR INTERNATIONAL INC.,UNITED STATES
197,YARA LIMITED,UNITED KINGDOM
198,AMMOTEC ITALIA SRL,ITALY
199,SWEDBANK P&C INSURANCE AS,ESTONIA
200,"DELTA AIR LINES, INC.",UNITED STATES
201,PIB RISK SERVICES LIMITED,UNITED KINGDOM
202,I.I.S. 'MARCONI GALLETTI EINAUDI',ITALY
203,LHV KINDLUSTUS AS,ESTONIA
204,"DELTA TECHNOLOGY, LLC",UNITED STATES
205,PIB GROUP LIMITED,UNITED KINGDOM
206,THE BRIDGE SPA,ITALY
207,TAVRIDA ELECTRIC EXPORT AS,ESTONIA
208,PALANTIR TECHNOLOGIES HOLDINGS LLC,UNITED STATES
209,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",UNITED KINGDOM
210,VALENTINO SPA,ITALY
211,SMARTSWAP OU,ESTONIA
212,PALANTIR TECHNOLOGIES CANADA INC.,UNITED STATES
213,J.P. MORGAN TRUST COMPANY (JERSEY) LIMITED,UNITED KINGDOM
