,company_name,company_location
1152,SMITHS GROUP PLC,UNITED KINGDOM
1153,SALDI PRIVATI SRL,ITALY
1154,GEISINGER MEDICAL CENTER,UNITED STATES
1155,BIORELIANCE BIOTECH LIMITED,UNITED KINGDOM
1156,GIANNI VERSACE SRL,ITALY
1157,GEISINGER HEALTH,UNITED STATES
1158,DURA-ID SOLUTIONS LIMITED,UNITED KINGDOM
1159,MICROBIAL CONTROL ITALY SRL,ITALY
1160,"OSI GROUP, LLC",UNITED STATES
1161,"DURA AUTOMOTIVE HOLDINGS U.K., LTD",UNITED KINGDOM
1162,ITALIA T1 RONCOLO SRL,ITALY
1163,BARCLAYS FINANCIAL CORPORATION,UNITED STATES
1164,TOTAL MARKETING SUPPORT GLOBAL LIMITED,UNITED KINGDOM
1165,AUTODIS ITALIA SRL,ITALY
1166,"NEW ENGLAND ASSET MANAGEMENT, INC.",UNITED STATES
1167,TOTAL MARKETING SUPPORT LIMITED,UNITED KINGDOM
1168,LUXOTTICA GROUP SPA,ITALY
1169,AMWAY INTERNATIONAL INC.,UNITED STATES
1170,BE II INVESTMENTS (GP) LIMITED,UNITED KINGDOM
1171,BULGARI SPA,ITALY
1172,ALTICOR INC.,UNITED STATES
1173,BRIDGEPOINT ADVISERS EUROPE LIMITED,UNITED KINGDOM
1174,BULGARI ROMA SRL,ITALY
1175,AMWAY CORP.,UNITED STATES
1176,CNH INDUSTRIAL OLDCO CAPITAL LIMITED,UNITED KINGDOM
1177,MASCHIO GASPARDO SPA,ITALY
1178,"AMWAY INTERNATIONAL DEVELOPMENT, INC.",UNITED STATES
1179,CNH U.K. LIMITED,UNITED KINGDOM
1180,UNIVERSITA' DEGLI STUDI DI FOGGIA,ITALY
1181,"FIRECOM, INC.",UNITED STATES
1182,IC FINANCIAL SERVICES UK LIMITED,UNITED KINGDOM
1183,DATA FLOW SRL,ITALY
1184,CHUBB GROUP OF INSURANCE COMPANIES,UNITED STATES
1185,CNH INDUSTRIAL N.V.,UNITED KINGDOM
1186,MADIC ITALIA SPA,ITALY
1187,SHI INTERNATIONAL CORP.,UNITED STATES
1188,NATIXIS,UNITED KINGDOM
1189,PIRELLI & C. SPA,ITALY
1190,3M COMPANY,UNITED STATES
1191,NATIXIS INVESTMENT MANAGERS UK LIMITED,UNITED KINGDOM
1192,SKF INDUSTRIE SPA,ITALY
1193,3M INNOVATIVE PROPERTIES COMPANY,UNITED STATES
1194,PRAMEX INTERNATIONAL LTD,UNITED KINGDOM
1195,SKF SEALS ITALY SPA,ITALY
1196,"3M INTERAMERICA, INC.",UNITED STATES
1197,DHL INTERNATIONAL (UK) LIMITED,UNITED KINGDOM
1198,U.C.I.T. SRL,ITALY
1199,"AMETEK, INC.",UNITED STATES
1200,DHL SUPPLY CHAIN LIMITED,UNITED KINGDOM
1201,WOOD ITALIANA SRL,ITALY
1202,"NEATO ROBOTICS, INC.",UNITED STATES
1203,GOOGLE UK LIMITED,UNITED KINGDOM
1204,GEODIS HOLDING ITALIA SPA,ITALY
1205,INTER-CONTINENTAL HOTELS CORPORATION,UNITED STATES
1206,ACCOR (U.K.) LIMITED,UNITED KINGDOM
1207,KAYSER FILTERTECH ITALY SRL,ITALY
1208,TIMKEN GEARS & SERVICES INC.,UNITED STATES
1209,ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,UNITED KINGDOM
1210,ABOVE COMPARISON SRL,ITALY
1211,"GETTY IMAGES, INC.",UNITED STATES
1212,ACCOR UK ECONOMY HOTELS LIMITED,UNITED KINGDOM
1213,MAGNAKI SRL,ITALY
1214,"GETTY IMAGES (SEATTLE), INC.",UNITED STATES
1215,GB3 LIMITED,UNITED KINGDOM
1216,MAGNAKI HOLDING SRL,ITALY
1217,ARCH SPECIALTY INSURANCE COMPANY,UNITED STATES
1218,SSE Insurance Limited,UNITED KINGDOM
1219,GL EVENTS ITALIA EXPO SRL,ITALY
1220,NEW YORK LIFE INSURANCE COMPANY,UNITED STATES
1221,LUCECO PLC,UNITED KINGDOM
1222,GL EVENTS ITALIA SPA,ITALY
1223,CIVIL & BUILDING NORTH AMERICA INC.,UNITED STATES
1224,LUCECO LIGHTING LIMITED,UNITED KINGDOM
1225,FALCONERI SRL,ITALY
1226,PALACE INDUSTRIES PUBLIC BENEFIT CORPORATION,UNITED STATES
1227,BRE GLOBAL LIMITED,UNITED KINGDOM
1228,DUCATI MOTOR HOLDING SPA,ITALY
1229,"FRESH MARKET, INC., THE",UNITED STATES
1230,ALLIANCE PHARMA PLC,UNITED KINGDOM
1231,ALBERGHI GOLD SRL,ITALY
1232,"BROWN & BROWN OF FLORIDA, INC.",UNITED STATES
1233,CORPORATE TRAVEL MANAGEMENT (UNITED KINGDOM) LIMITED,UNITED KINGDOM
1234,SDF SPA,ITALY
1235,"DATASTAX, INC.",UNITED STATES
1236,KEYLINE TRAVEL MANAGEMENT LIMITED,UNITED KINGDOM
1237,SAME DEUTZ FAHR ITALIA SPA,ITALY
1238,"SHIPT, INC.",UNITED STATES
1239,CORPORATE TRAVEL MANAGEMENT (EUROPE) LIMITED,UNITED KINGDOM
1240,CD 24121 SRL,ITALY
1241,"AUTONATION, INC.",UNITED STATES
1242,EGENCIA UK LTD,UNITED KINGDOM
1243,C&D SPA,ITALY
1244,"DYNETICS, INC.",UNITED STATES
1245,DE AGOSTINI UK LIMITED,UNITED KINGDOM
1246,METSA BOARD ITALIA SRL,ITALY
1247,"FRANKLIN TEMPLETON COMPANIES, LLC",UNITED STATES
1248,COMPUTERSHARE INVESTOR SERVICES PLC,UNITED KINGDOM
1249,METSO SPA,ITALY
1250,"PENNSY SUPPLY, INC.",UNITED STATES
1251,COMPUTERSHARE LIMITED,UNITED KINGDOM
1252,FAMECCANICA.DATA SPA,ITALY
1253,"KOCH FERTILIZER, LLC",UNITED STATES
1254,COMPUTERSHARE VOUCHER SERVICES LIMITED,UNITED KINGDOM
1255,GIVE BACK BEAUTY SRL,ITALY
1256,MICROFLEX CORPORATION,UNITED STATES
1257,COMPUTERSHARE MORTGAGE SERVICES LIMITED,UNITED KINGDOM
1258,ENDEMOL SHINE ITALY SPA,ITALY
1259,WARNER MUSIC GROUP CORP.,UNITED STATES
1260,COMPUTERSHARE TRUSTEES (C.I.) LIMITED,UNITED KINGDOM
1261,NOVATRANS ITALIA SRL,ITALY
1262,WARNER/CHAPPELL MUSIC INC.,UNITED STATES
1263,HOMELOAN MANAGEMENT LIMITED,UNITED KINGDOM
1264,MASHFROG GROUP SRL,ITALY
1265,"CAPITAL GROUP COMPANIES, INC., THE",UNITED STATES
1266,TAG WORLDWIDE GROUP LIMITED,UNITED KINGDOM
1267,SBG HOLDING SPA IN FORMA ABBREVIATO SBG HOLDING SPA,ITALY
1268,AMERICAN FUNDS SERVICE COMPANY,UNITED STATES
1269,THE APPOINTMENT GROUP LIMITED,UNITED KINGDOM
1270,UNIFLAIR SPA,ITALY
1271,"FARMERS GROUP, INC.",UNITED STATES
1272,NASSAU INDUSTRIAL DOORS LIMITED,UNITED KINGDOM
1273,TEKSID ALUMINUM SRL,ITALY
1274,SHINTECH INCORPORATED,UNITED STATES
1275,ORAPI APPLIED LIMITED,UNITED KINGDOM
1276,GETTI SPECIALI SRL,ITALY
1277,"VISION SERVICE PLAN, INC.",UNITED STATES
1278,GENESIS OIL & GAS CONSULTANTS LIMITED,UNITED KINGDOM
1279,FIVES INTRALOGISTICS SPA,ITALY
1280,"BRAZONICS, INC.",UNITED STATES
1281,GENESIS ENERGIES CONSULTANTS LTD,UNITED KINGDOM
1282,FIVES OTO SPA,ITALY
1283,"TRELLEBORG OFFSHORE BOSTON, INC.",UNITED STATES
1284,BMB GROUP LIMITED,UNITED KINGDOM
1285,FIVES ITALY SRL,ITALY
1286,"Y-TECH SERVICES, INC.",UNITED STATES
1287,BAILIE GROUP LIMITED,UNITED KINGDOM
1288,FIVES ITAS SPA,ITALY
1289,RING LLC,UNITED STATES
1290,BAIRD GROUP LIMITED,UNITED KINGDOM
1291,FIVES GIUSTINA SRL,ITALY
1292,"YELLOWSTONE LANDSCAPE, INC.",UNITED STATES
1293,BAIRD GROUP (HOLDINGS) LIMITED,UNITED KINGDOM
1294,COMAU SPA,ITALY
1295,"BDP INTERNATIONAL, INC.",UNITED STATES
1296,HILTON WORLDWIDE MANAGE LIMITED,UNITED KINGDOM
1297,ETHOSENERGY ITALIA SPA,ITALY
1298,"EVERBRIDGE, INC.",UNITED STATES
1299,JPF API LAMINATES UK LIMITED,UNITED KINGDOM
1300,VOMM IMPIANTI E PROCESSI SPA,ITALY
1301,MORGAN STANLEY MORTGAGE CAPITAL HOLDINGS LLC,UNITED STATES
1302,THE DORCHESTER LIMITED,UNITED KINGDOM
1303,AMBIENTE E NUTRIZIONE SRL,ITALY
1304,KKR CAPITAL MARKETS HOLDINGS L.P.,UNITED STATES
1305,DORCHESTER GROUP LIMITED,UNITED KINGDOM
1306,SOFTLAB HOLDING SRL,ITALY
1307,"PENN ENTERTAINMENT, INC.",UNITED STATES
1308,DORCHESTER SERVICES LIMITED,UNITED KINGDOM
1309,CLUB DEL SOLE SRL,ITALY
1310,"HUGE, LLC",UNITED STATES
1311,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED KINGDOM
1312,LUXURY GOODS ITALIA SPA,ITALY
1313,ANYWHERE REAL ESTATE GROUP LLC,UNITED STATES
1314,BLACKROCK GROUP LIMITED,UNITED KINGDOM
1315,CMA ROBOTICS SPA,ITALY
1316,ANYWHERE REAL ESTATE INC.,UNITED STATES
1317,MERRILL LYNCH EUROPE LIMITED,UNITED KINGDOM
1318,ENI SPA,ITALY
1319,"ENDEAVOR OPERATING COMPANY, LLC",UNITED STATES
1320,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UNITED KINGDOM
1321,OLMAR AND MIRTA SPA,ITALY
1322,ALLIANZ GLOBAL CORPORATE & SPECIALTY NORTH AMERICA,UNITED STATES
1323,MERRILL LYNCH INTERNATIONAL,UNITED KINGDOM
1324,CHRISTIES SRL,ITALY
1325,BLACKSTONE REAL ESTATE SPECIAL SITUATIONS ADVISORS L.L.C.,UNITED STATES
1326,LIMELIFE BY ALCONE (UK) LTD,UNITED KINGDOM
1327,FINANZIARIA REGIONALE FRIULI VENEZIA GIULIA SPA,ITALY
1328,"RAPID7, LLC",UNITED STATES
1329,NTT EUROPE LTD.,UNITED KINGDOM
1330,ANACAP FP SRL,ITALY
1331,FOURSIGHT CAPITAL LLC,UNITED STATES
1332,NTT DATA BUSINESS SOLUTIONS LIMITED,UNITED KINGDOM
1333,ZURICH ITALY BANK SPA,ITALY
1334,"KAWASAKI ROBOTICS (USA), INC.",UNITED STATES
1335,NTT LIMITED,UNITED KINGDOM
1336,INTEGRATED DEVICE TECHNOLOGY SRL,ITALY
1337,SAN FRANCISCO STATE UNIVERSITY,UNITED STATES
1338,BUDGET GROUP LIMITED,UNITED KINGDOM
1339,CGI ITALIA SRL,ITALY
1340,RECOLOGY INC.,UNITED STATES
1341,SUTTONS TANKERS LIMITED,UNITED KINGDOM
1342,PERMASTEELISA SPA,ITALY
1343,"GAVILON GROUP, LLC, THE",UNITED STATES
1344,ANOTECH ENERGY GLOBAL SOLUTIONS LIMITED,UNITED KINGDOM
1345,STM PHARMA PRO SRL,ITALY
1346,"GAVILON GRAIN, LLC",UNITED STATES
1347,ANOTECH ENERGY SERVICES LIMITED,UNITED KINGDOM
1348,UNION GAS METANO SPA,ITALY
1349,"GAVILON GLOBAL AG HOLDINGS, LLC",UNITED STATES
1350,AVIVA INSURANCE LIMITED,UNITED KINGDOM
1351,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL ITALIA SRL,ITALY
1352,"ROSEN HOTELS AND RESORTS, INC.",UNITED STATES
1353,WE ARE SOCIAL LTD,UNITED KINGDOM
1354,EMERSON PROCESS MANAGEMENT SRL,ITALY
1355,AMERICAN EXPRESS COMPANY,UNITED STATES
1356,ONE51 ES PLASTICS (UK) LIMITED,UNITED KINGDOM
1357,LANSERHOF SRL,ITALY
1358,"AMERICAN EXPRESS INTERNATIONAL, INC.",UNITED STATES
1359,SPEYSIDE COOPERAGE LIMITED,UNITED KINGDOM
1360,GILBARCO SRL,ITALY
1361,AMERICAN EXPRESS CREDIT CORPORATION,UNITED STATES
1362,ISLA COOPERAGE COMPANY LIMITED,UNITED KINGDOM
1363,GILBARCO ITALIA SRL,ITALY
1364,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",UNITED STATES
1365,CAMLACHIE COOPERAGE LIMITED,UNITED KINGDOM
1366,ELETTROMAULE COMPONENT SRL,ITALY
1367,AMERICAN EXPRESS LIMITED,UNITED STATES
1368,ORANO UK LIMITED,UNITED KINGDOM
1369,PRE GEL SPA,ITALY
1370,AMERICAN EXPRESS EUROPE LLC,UNITED STATES
1371,RAYMOND GUBBAY LIMITED,UNITED KINGDOM
1372,THE'LIOS SPA,ITALY
1373,"OCEAN PROPERTIES, LTD.",UNITED STATES
1374,MARKEL EUROPE LIMITED,UNITED KINGDOM
1375,OFFICINE MACCAFERRI SPA,ITALY
1376,"GRAY MEDIA GROUP, INC.",UNITED STATES
1377,MARKEL CAPITAL HOLDINGS LIMITED,UNITED KINGDOM
1378,OFFICINE MACCAFERRI ITALIA SRL,ITALY
1379,"AMERICAN ELECTRIC POWER COMPANY, INC.",UNITED STATES
1380,MARKEL INTERNATIONAL SERVICES LIMITED,UNITED KINGDOM
1381,MACCAFERRI INNOVATION CENTER SRL,ITALY
1382,SIGN A RAMA INC.,UNITED STATES
1383,APPLE (UK) LIMITED,UNITED KINGDOM
1384,BNP PARIBAS SECURITIES SERVICES,ITALY
1385,FIBERVISIONS CORPORATION,UNITED STATES
1386,CLIPPER LOGISTICS LIMITED,UNITED KINGDOM
1387,BIO HABITAT ITALIA SPA,ITALY
1388,"HOYA OPTICAL LABS OF AMERICA, INC.",UNITED STATES
1389,EUROPE DOMAINS LTD,UNITED KINGDOM
1390,BASIC NET SPA,ITALY
1391,REUTERS NEWS & MEDIA INC.,UNITED STATES
1392,INTEL CORPORATION (UK) LIMITED,UNITED KINGDOM
1393,WHIRLPOOL EMEA SPA,ITALY
1394,INTERNATIONAL GAME TECHNOLOGY,UNITED STATES
1395,CREW CLOTHING CO. LIMITED,UNITED KINGDOM
1396,WHIRLPOOL ITALIA SRL,ITALY
1397,"PLANET FITNESS, INC.",UNITED STATES
1398,OPTICAL EXPRESS (HOLDINGS) LIMITED,UNITED KINGDOM
1399,WHIRLPOOL MANAGEMENT EMEA SRL,ITALY
1400,"PLA-FIT HEALTH, L.L.C.",UNITED STATES
1401,NORTH WEST (AEROTOOLING) LTD.,UNITED KINGDOM
1402,BELENERGIA MEZZ FINANCE SRL,ITALY
1403,"NBCUNIVERSAL, LLC",UNITED STATES
1404,KALON BIOLOGICAL LIMITED,UNITED KINGDOM
1405,BELENERGIA SPA,ITALY
1406,"NBCUNIVERSAL MEDIA, LLC",UNITED STATES
1407,CUADRILLA RESOURCES LIMITED,UNITED KINGDOM
1408,OTB SPA,ITALY
1409,BRAVO MEDIA LLC,UNITED STATES
1410,EPOCH PROPERTIES LIMITED,UNITED KINGDOM
1411,ISTITUTO ITALIANO DEL MARCHIO DI QUALITA' SPA,ITALY
1412,AUTISM SPECTRUM THERAPIES ILLINOIS LLC,UNITED STATES
1413,TREVES UK LIMITED,UNITED KINGDOM
1414,HB BOSCARINI SPA,ITALY
1415,QUALCOMM INCORPORATED,UNITED STATES
1416,CITIZENM LONDON BANKSIDE OPERATIONS B.V.,UNITED KINGDOM
1417,ANTICA FARMACEUTICA LUCCHESE SRL,ITALY
1418,"QUALCOMM INTERNATIONAL, INC.",UNITED STATES
1419,MEDIACOM UK LIMITED,UNITED KINGDOM
1420,PHSHOP SRL,ITALY
1421,"GAMING COMMISSION, NEW YORK",UNITED STATES
1422,MEDIACOM GROUP LIMITED,UNITED KINGDOM
1423,COLOMION SPA,ITALY
1424,MAPLEBEAR INC.,UNITED STATES
1425,MEDIACOM NORTH LIMITED,UNITED KINGDOM
1426,LINIFICIO E CANAPIFICIO NAZIONALE SRL SOCIETA' BENEFIT,ITALY
1427,INSTACART,UNITED STATES
1428,RICOH EUROPE PLC,UNITED KINGDOM
1429,UNICREDIT SPA,ITALY
1430,"AVENTIV TECHNOLOGIES, LLC",UNITED STATES
1431,RICOH EUROPE HOLDINGS PLC,UNITED KINGDOM
1432,PANINI SPA,ITALY
1433,PERFETTI VAN MELLE USA INC.,UNITED STATES
1434,RICOH UK LIMITED,UNITED KINGDOM
1435,LCI ITALY SRL,ITALY
1436,"TAP AUTOMOTIVE HOLDINGS, LLC",UNITED STATES
1437,RICOH EUROPE FINANCE LIMITED,UNITED KINGDOM
1438,GOOGLE ITALY SRL,ITALY
1439,"ZOOM VIDEO COMMUNICATIONS, INC.",UNITED STATES
1440,MET FILM LIMITED,UNITED KINGDOM
1441,IRONMAN ITALY SRL,ITALY
1442,"ALTITUDE COLLECTION, LLC",UNITED STATES
1443,CANVAS HOLIDAYS LIMITED,UNITED KINGDOM
1444,HEXIS ITALIA SRL,ITALY
1445,MASIMO CORPORATION,UNITED STATES
1446,CANVAS HOLDINGS LIMITED,UNITED KINGDOM
1447,AIR HEX ALONTE SRL,ITALY
1448,TANK HOLDING CORP.,UNITED STATES
1449,INVESTEC 1 LIMITED,UNITED KINGDOM
1450,DEMETRA SPA,ITALY
1451,"BELLAGIO, LLC",UNITED STATES
1452,INVESTEC BANK PLC,UNITED KINGDOM
1453,STATE STREET BANK INTERNATIONAL GMBH,ITALY
1454,METRO-GOLDWYN-MAYER STUDIOS INC.,UNITED STATES
1455,INVESTEC GROUP INVESTMENTS (UK) LIMITED,UNITED KINGDOM
1456,KODAK SPA,ITALY
1457,METRO-GOLDWYN-MAYER PICTURES INC.,UNITED STATES
1458,INVESTEC WEALTH & INVESTMENT LIMITED,UNITED KINGDOM
1459,WITHSECURE SRL,ITALY
1460,"MGM HOLDINGS II, INC.",UNITED STATES
1461,NINETY ONE UK LIMITED,UNITED KINGDOM
1462,BERTIN ITALIA SRL,ITALY
1463,"MGM HOLDINGS, INC.",UNITED STATES
1464,RICHARD BAKER HARRISON LIMITED,UNITED KINGDOM
1465,ALTHEA SPA,ITALY
1466,"AMPHENOL PCD, INC.",UNITED STATES
1467,ENDSLEIGH INSURANCE SERVICES LIMITED,UNITED KINGDOM
1468,GIORGIO GORI SRL,ITALY
1469,"SPEEDCAST COMMUNICATIONS, INC.",UNITED STATES
1470,TTT MONEYCORP LIMITED,UNITED KINGDOM
1471,ORDINE NAZIONALE DEI BIOLOGI DI ROMA,ITALY
1472,MSB AEROSPACE LLC,UNITED STATES
1473,FUMEX INSTALLATIONS LIMITED,UNITED KINGDOM
1474,TAORMINA HOTEL MANAGEMENT SRL,ITALY
1475,"ARIA RESORT & CASINO, LLC",UNITED STATES
1476,CANDY KITTENS LIMITED,UNITED KINGDOM
1477,LOVATO ELECTRIC SPA,ITALY
1478,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",UNITED STATES
1479,P&O FERRIES LIMITED,UNITED KINGDOM
1480,MICROSOFT SRL,ITALY
1481,RIL USA INC.,UNITED STATES
1482,BRAIDR LIMITED,UNITED KINGDOM
1483,TOD'S SPA,ITALY
1484,NOVELIS INC.,UNITED STATES
1485,JOHN MILLS LIMITED,UNITED KINGDOM
1486,EDENRED ITALIA SRL,ITALY
1487,"BANANA REPUBLIC, LLC",UNITED STATES
1488,DS SMITH PLC,UNITED KINGDOM
1489,DATA 4 SERVICES ITALY SPA,ITALY
1490,BARTEC US CORPORATION,UNITED STATES
1491,DS GD UK LIMITED,UNITED KINGDOM
1492,TELMO PARTECIPAZIONI SRL,ITALY
1493,GANNETT MEDIA CORP.,UNITED STATES
1494,PARAGON INTERNET GROUP LIMITED,UNITED KINGDOM
1495,BROKER NET ITALIA SRL,ITALY
1496,"L.N.S. AMERICA, INC.",UNITED STATES
1497,GO DADDY EUROPE LIMITED,UNITED KINGDOM
1498,BARADINE INVEST SL,ITALY
1499,123-REG LIMITED,UNITED KINGDOM
1500,GN AUDIO ITALY SRL,ITALY
1501,CNX RESOURCES CORPORATION,UNITED STATES
1502,ALUMASC BUILDING PRODUCTS LIMITED,UNITED KINGDOM
1503,ACCENTURE SPA,ITALY
1504,"ONE ROCK CAPITAL PARTNERS, LLC",UNITED STATES
1505,GREENCELL LIMITED,UNITED KINGDOM
1506,CLIVET SPA,ITALY
1507,"STERLING JEWELERS, INC.",UNITED STATES
1508,SAFETY MANAGEMENT ADVISORY SERVICES LIMITED,UNITED KINGDOM
1509,CLIVET AIR SRL,ITALY
1510,DIAMONDS DIRECT USA INC.,UNITED STATES
1511,SKYWORKS SOLUTIONS LIMITED,UNITED KINGDOM
1512,TRUSTANDWEALTH SRL,ITALY
1513,"BIOPLAN USA, INC.",UNITED STATES
1514,GLOBAL AWARE INTERNATIONAL GROUP LIMITED,UNITED KINGDOM
1515,EXPRESS 6000 SRL,ITALY
1516,"AMERICAN RESIDENTIAL SERVICES, L.L.C.",UNITED STATES
1517,ACCENTURE (UK) LIMITED,UNITED KINGDOM
1518,MANE ITALIA SRL,ITALY
1519,AMARR COMPANY,UNITED STATES
1520,ACCENTURE MARKETING SERVICES LTD,UNITED KINGDOM
1521,ENERGYLIFE SRL,ITALY
1522,"BOX, INC.",UNITED STATES
1523,ACCENTURE PLC,UNITED KINGDOM
1524,GESTIONE CONCESSIONI SPA,ITALY
1525,CHEVRON U.S.A. INC.,UNITED STATES
1526,SPIRENT COMMUNICATIONS PLC,UNITED KINGDOM
1527,GENERALI INVESTMENTS HOLDING SPA,ITALY
1528,CHEVRON ENERGY TECHNOLOGY COMPANY,UNITED STATES
1529,INCLEX NO 3 LIMITED,UNITED KINGDOM
1530,GENERALI INVESTMENTS PARTNERS SPA SOCIETA' DI GESTIONE DEL RISPARMIO,ITALY
1531,AMERICAN PAPER & TWINE COMPANY,UNITED STATES
1532,INCLEX NO 7 LIMITED,UNITED KINGDOM
1533,GHELLA INVESTMENTS & PARTNERSHIPS SPA,ITALY
1534,"5.11, INC.",UNITED STATES
1535,TIKTOK INFORMATION TECHNOLOGIES UK LIMITED,UNITED KINGDOM
1536,ROTHENBERGER ITALIANA SRL,ITALY
1537,"SPECIATE AI, LLC",UNITED STATES
1538,INFECTIOUS MEDIA LIMITED,UNITED KINGDOM
1539,ENEL X INTERNATIONAL SRL,ITALY
1540,AVANADE INTERNATIONAL CORPORATION,UNITED STATES
1541,KEPLER GROUP EMEA LIMITED,UNITED KINGDOM
1542,ENEL X SRL,ITALY
1543,"GE ENERGY PARTS, INC.",UNITED STATES
1544,THE INNOVATION GROUP (EMEA) LIMITED,UNITED KINGDOM
1545,TOYOTA MATERIAL HANDLING ITALIA SRL,ITALY
1546,"ESL GAMING AMERICA, INC.",UNITED STATES
1547,"NICHINO EUROPE CO., LTD.",UNITED KINGDOM
1548,INTERPOLIMERI SPA,ITALY
1549,INFOSTRETCH CORPORATION,UNITED STATES
1550,BARCLAYS PRIVATE CLIENTS INTERNATIONAL LTD,UNITED KINGDOM
1551,HUMANITAS SPA,ITALY
1552,"LHCG LI, LLC",UNITED STATES
1553,VELOCIX SOLUTIONS LIMITED,UNITED KINGDOM
1554,HUMANITAS MIRASOLE SPA,ITALY
1555,"DDI-ASIA/PACIFIC INTERNATIONAL, LTD.",UNITED STATES
1556,MAVENIR SYSTEMS LIMITED,UNITED KINGDOM
1557,LA FABBRICA SPA,ITALY
1558,"MEMPHIS OPCO, LLC",UNITED STATES
1559,DIGITAL BARRIERS SERVICES LIMITED,UNITED KINGDOM
1560,REGGIO CHILDREN SRL,ITALY
1561,CYTEC CARBON FIBERS LLC,UNITED STATES
1562,RIO TINTO INTERNATIONAL HOLDINGS LIMITED,UNITED KINGDOM
1563,C.W.F. CHILDREN WORLDWIDE FASHION ITALIA SRL,ITALY
1564,"EVITE, INC.",UNITED STATES
1565,INEOS SALES (UK) LIMITED,UNITED KINGDOM
1566,CLARINS ITALIA SPA,ITALY
1567,TRADESHIFT INC.,UNITED STATES
1568,INEOS GROUP HOLDINGS LIMITED,UNITED KINGDOM
1569,HDI GLOBAL SE,ITALY
1570,JOHN BROWN US LLC,UNITED STATES
1571,INEOS HYGIENICS LIMITED,UNITED KINGDOM
1572,HDI ASSICURAZIONI SPA,ITALY
1573,RED LOBSTER SOURCING LLC,UNITED STATES
1574,INEOS EUROPEAN HOLDINGS LIMITED,UNITED KINGDOM
1575,MTS SPA,ITALY
1576,"UNIVERSITY OF WISCONSIN-STEVENS POINT, FOUNDATION INC.",UNITED STATES
1577,INEOS INDUSTRIES LIMITED,UNITED KINGDOM
1578,BRIVIO & VIGANO' LOGISTICS SRL,ITALY
1579,"PROS, INC.",UNITED STATES
1580,TERRAPINN LIMITED,UNITED KINGDOM
1581,HITRAC ENGINEERING GROUP SPA,ITALY
1582,KAISER FOUNDATION HOSPITALS,UNITED STATES
1583,TERRAPINN HOLDINGS LIMITED,UNITED KINGDOM
1584,FAAC PARTECIPAZIONI INDUSTRIALI SRL,ITALY
1585,SONESTA INTERNATIONAL HOTELS CORPORATION,UNITED STATES
1586,PARFUMS CHRISTIAN DIOR(U.K.)LIMITED,UNITED KINGDOM
1587,FAAC SPA,ITALY
1588,BANSK GROUP LLC,UNITED STATES
1589,CHRISTIAN DIOR UK LIMITED,UNITED KINGDOM
1590,LANNUTTI SPA,ITALY
1591,"BARNES & NOBLE, INC.",UNITED STATES
1592,HAWK INCENTIVES LIMITED,UNITED KINGDOM
1593,TRASPORTI INTERNAZIONALI AGENZIA MARITTIMA SAVINO DEL BENE SPA,ITALY
1594,ICON DE HOLDINGS LLC,UNITED STATES
1595,INEOS GRANGEMOUTH LIMITED,UNITED KINGDOM
1596,MI-GSO ITALIA SRL,ITALY
1597,"SOLBERN, INC.",UNITED STATES
1598,CAPITA LIFE AND PENSIONS SERVICES (ISLE OF MAN) LIMITED,UNITED KINGDOM
1599,PIXARTPRINTING SPA,ITALY
1600,EMPOWER ANNUITY INSURANCE COMPANY OF AMERICA,UNITED STATES
1601,TASTER FOOD UK LIMITED,UNITED KINGDOM
1602,SIIRTEC NIGI SPA,ITALY
1603,"EMPOWER RETIREMENT, LLC",UNITED STATES
1604,PUBLICIS MEDIA LIMITED,UNITED KINGDOM
1605,DILMOOR SPA SIGLABILE DLM SPA DLR SPA DMO SPA DMR SPA DM SPA,ITALY
1606,"KINLY, INC.",UNITED STATES
1607,PAVILION PUBLISHING AND MEDIA LTD.,UNITED KINGDOM
1608,AMARIS TECHNOLOGIES SRL,ITALY
1609,REGIONS INVESTMENT MANAGEMENT COMPANY,UNITED STATES
1610,"JUSTERINI & BROOKS,LIMITED",UNITED KINGDOM
1611,FITT SPA SOCIETA' UNIPERSONALE,ITALY
1612,UNITY TECHNOLOGIES SF,UNITED STATES
1613,BEGGARS GROUP MEDIA LIMITED,UNITED KINGDOM
1614,GILETTA SPA,ITALY
1615,"THORLABS QUANTUM ELECTRONICS, INC.",UNITED STATES
1616,WEST ONE MUSIC GROUP FRANCE LIMITED,UNITED KINGDOM
1617,LOGIUDICE FORNI SRL,ITALY
1618,"HARTREE PARTNERS, LP",UNITED STATES
1619,TESTERWORLD LIMITED,UNITED KINGDOM
1620,LAFITTE ITALIA NATURAL CORK SRL,ITALY
1621,"HARTREE METALLIA, LLC",UNITED STATES
1622,KIOWA LIMITED,UNITED KINGDOM
1623,INTERCONTINENTAL SPECIALTY FATS (ITALY) SRL IN FORMA ABBREVIATO ISF ITALY SRL,ITALY
1624,"STRATUM TECHNOLOGY MANAGEMENT, LLC",UNITED STATES
1625,THALES AIR DEFENCE LIMITED,UNITED KINGDOM
