,company_name,company_industry
382,JCB,Industrial Machinery
383,Wockhardt,Pharma
384,GVK Emergency Management and Research Institute,Non-Profit
385,Crom?,Retail
386,Barclays,Banking
387,Zomato,Internet
388,Gabriel India,Auto Components
389,CSS Corp,IT Services & Consulting
390,Lucas-TVS,Auto Components
391,Coromandel International,Agriculture
392,Kalpataru Power Transmission,Power
393,Info Edge,Internet
394,Cadila Pharmaceuticals,Pharma
395,Saint-Gobain,Building Material
396,Coforge,IT Services & Consulting
397,Sopra Steria,IT Services & Consulting
398,Square Yards,Real Estate
399,Bureau Veritas,Accounting & Auditing
400,Power Mech Projects,Engineering & Construction
401,Parle Products,Food Processing
402,AXA Business Services,Insurance
403,Syngene International,Pharma
404,Tata Capital Financial Services,Financial Services
405,BA Continuum,IT Services & Consulting
406,Sigma Electric Manufacturing Corporation,Industrial Machinery
407,ValueLabs,IT Services & Consulting
408,RMSI,IT Services & Consulting
409,Yamaha Motor,Automobile
410,Adani Wilmar,FMCG
411,Hindustan Aeronautics,Defence & Aerospace
412,Renault Nissan Technology & Business Centre India,Automobile
413,IDBI Bank,Banking
414,Karvy Data Management Services,Analytics & KPO
415,Aavas Financiers,Financial Services
416,Oberoi Group of Hotels,Hospitality
417,MSN Laboratories,Pharma
418,MetLife,IT Services & Consulting
419,Hyatt Regency,Hospitality
420,Ninjacart,Logistics
421,Dr Lal PathLabs,Healthcare
422,Jet Airways,Aviation
423,Piramal Group,Financial Services
424,Cisco,Hardware & Networking
425,S&P Global,IT Services & Consulting
426,Narayana Health,Healthcare
427,Fujitsu,IT Services & Consulting
428,SAP,IT Services & Consulting
429,Tata Play,Media & Entertainment
430,CMS Infosystems,IT Services & Consulting
431,Canara HSBC Life Insurance,Insurance
432,Metro,Retail
433,Sify Technologies,Telecom
434,Vardhman Fabrics,Fashion & Textile
435,Taj Hotels Resorts and Palaces,Hospitality
436,Akums Drugs & Pharmaceuticals,Pharma
437,Aragen Life Sciences,Pharma
438,HERE Technologies,IT Services & Consulting
439,Foxconn,Electronics Manufacturing
440,AECOM,Engineering & Construction
441,Jubilant Foods Works,Retail
442,Vedantu,EdTech
443,Honeywell Automation,Consumer Electronics & Appliances
444,suzuki motor gujarat,
445,Care Health Insurance,Internet
446,G R Infraprojects,Engineering & Construction
447,SGS,Facility Management Services
448,WABCO,Auto Components
449,Star Health & Allied Insurance,Insurance
450,XL Dynamics,Accounting & Auditing
451,Laurus Labs,Pharma
452,Citibank,Banking
453,Jindal Stainless,Iron & Steel
454,Reckitt Benckiser,FMCG
455,DIVI'S Laboratories,Healthcare
456,Tata Elxsi,IT Services & Consulting
457,Aon,Financial Services
458,Reliance General Insurance,Insurance
459,Xoriant,IT Services & Consulting
460,Procter & Gamble,FMCG
461,Intellect Design Arena,FinTech
462,Allsec Technologies,Recruitment
463,Microland,IT Services & Consulting
464,Uflex,Packaging
465,Cavinkare,FMCG
466,Kotak Securities,Financial Services
467,Amazon Transportation Services,Logistics
468,Harman Connected Services,IT Services & Consulting
469,FedEx Express,Logistics
470,Dell EMC,IT Services & Consulting
471,Adecco Group,Recruitment
472,KONE,Engineering & Construction
473,Mother Dairy Fruit & Vegetable,Food Processing
474,Philips,Healthcare
475,Max Fashion,Healthcare
476,Bank of Baroda,Banking
477,Citicorp,Financial Services
478,Quest Global,IT Services & Consulting
479,Samsung India Electronics,Consumer Electronics & Appliances
480,Motilal Oswal Financial Services,Financial Services
481,ITC Hotels,Hospitality
482,Fincare Small Finance Bank,NBFC
483,Innovsource Services,Recruitment
484,Aircel,Telecom
485,Angel One,Financial Services
486,Dainik Bhaskar Group Of Publication,Printing & Publishing
487,CMA CGM,Other
488,Verizon,Telecom
489,Exl India,IT Services & Consulting
490,V-Guard Industries,Electrical Equipment
491,Safexpress,Logistics
492,Barclays Shared Services,IT Services & Consulting
493,NCR Corporation,Software Product
494,YASH Technologies,IT Services & Consulting
495,Crisil,Analytics & KPO
496,Aforeserve,IT Services & Consulting
497,Johnson & Johnson,Pharma
498,DBS Bank,Banking
499,Hindustan Construction Company,Engineering & Construction
500,DHL Express,Logistics
501,Novartis,Pharma
502,Honeywell Technology Solutions,Defence & Aerospace
503,USHA International,Consumer Electronics & Appliances
504,USV,Pharma
505,Biological E,Pharma
506,Aditya Birla Capital,Financial Services
507,BT Global Services,IT Services & Consulting
508,SRL Diagnostics,Healthcare
509,Inox Leisure,Media & Entertainment
510,Sony,Consumer Electronics & Appliances
511,Hero FinCorp,NBFC
512,Medanta the Medicity,Healthcare
513,Kent RO Systems,Consumer Electronics & Appliances
514,PhonePe,IT Services & Consulting
515,TCE,Engineering & Construction
516,ZS,Management Consulting
517,Motherson Automotive Technologies and Engineering,Auto Components
518,Medi Assist India,Healthcare
519,Orange Business Services,IT Services & Consulting
520,Unacademy,EdTech
521,iOPEX Technologies,IT Services & Consulting
522,HCL Technologies BPO Services,BPO
523,HDFC Securities,Financial Services
524,Panasonic,Consumer Electronics & Appliances
525,FactSet,Analytics & KPO
526,Mercedes-Benz Research & Development India,Automobile
527,Badve Engineering,Auto Components
528,Sitel,BPO
529,Tesco,IT Services & Consulting
530,Torrent Power,Power
531,KFC,Hospitality
532,First American Corporation,IT Services & Consulting
533,Narayana Educational Society,Education & Training
534,Hindustan Petroleum,Oil & Gas
535,Ocwen Financial Solutions,Financial Services
536,Marriott International,Hospitality
537,Varroc Group,Auto Components
538,Straive,EdTech
539,NTPC,Power
540,Faurecia,Auto Components
541,Emami,FMCG
542,L.G.Balakrishnan & Bros,Industrial Machinery
543,NoBroker,Internet
544,Satin Creditcare Network,NBFC
545,ISGEC,Industrial Machinery
546,Iksula,IT Services & Consulting
547,DHL Supply Chain,Logistics
548,NIIT,Education & Training
549,Nayara Energy,Oil & Gas
550,Toyota Kirloskar Motor,Automobile
551,ISS Facility Services,Facility Management Services
552,Security and Intelligence Services (India),BPO
553,VLCC,FMCG
554,J. Kumar Infraprojects,Engineering & Construction
555,L&T Energy Hydrocarbon,Oil & Gas
556,Trent,Retail
557,Chegg,IT Services & Consulting
558,24-7 Intouch,BPO
559,Videocon d2h,Internet
560,Mercer,Analytics & KPO
561,Planet Spark,EdTech
562,Akzo Nobel India,Chemicals
563,Meesho,Internet
564,Edelweiss,Financial Services
565,Bata,Fashion & Textile
566,Trident Group,Fashion & Textile
567,SBI General Insurance,Insurance
568,Relaxo Footwear,Fashion & Textile
569,Capgemini Engineering,Analytics & KPO
570,Capgemini Engineering,Analytics & KPO
571,Jindal Saw,Building Material
572,Honda Cars,Automobile
573,Fortis Healthcare,Healthcare
574,Bharat Financial Inclusion,Financial Services
575,Lumax Industries,Auto Components
576,Alstom Transportation,Engineering & Construction
577,Swaraj Tractors,Automobile
578,ESAF Microfinance & Investments (P),Financial Services
579,Marico,FMCG
580,Fabindia,Fashion & Textile
581,Paisabazaar.com,FinTech
582,Punj Lloyd,Engineering & Construction
583,Indiabulls Consumer Finance,NBFC
584,The Jaypee Group,Engineering & Construction
585,Bayer,Other
586,Daimler India Commercial Vehicles,Automobile
587,Suguna Foods,Food Processing
588,Pantaloons,Fashion & Textile
589,Welspun,Fashion & Textile
590,Haier Appliances India,Consumer Electronics & Appliances
591,SBICAP Securities,Financial Services
592,Bharat Forge,Iron & Steel
593,Cinépolis,Retail
594,Adani Power,Power
595,Oracle Financial Services Software,IT Services & Consulting
596,Unisys,IT Services & Consulting
597,Collabera Technologies,IT Services & Consulting
598,Allstate,IT Services & Consulting
599,Indiabulls Home Loans,NBFC
600,Vfs Global Services,BPO
601,PI Industries,Agro Chemicals
602,Frankfinn Institute of Air Hostess Training,Education & Training
603,Aptara,Printing & Publishing
604,Sharekhan,FinTech
605,Northern Trust Operating Services,Financial Services
606,Daikin,Consumer Electronics & Appliances
607,Consolidated Contractors,Engineering & Construction
608,GMR Group,Engineering & Construction
609,Microsoft Corporation,Software Product
610,VVDN Technologies,IT Services & Consulting
611,Standard Chartered Global Business Services,IT Services & Consulting
612,Max Bupa Health Insurance Company,Financial Services
613,Optum Global Solutions,IT Services & Consulting
614,TATA Power,Power
615,Sysnet Global Technologies,IT Services & Consulting
616,SS&C TECHNOLOGIES,Software Product
617,XcelServ Solutions,IT Services & Consulting
618,Serco,Analytics & KPO
619,Aadhar Housing Finance,Financial Services
620,Saipem,Industrial Machinery
621,Computer Age Management Services,Internet
622,Karma Ayurveda,Healthcare
623,Cerner,IT Services & Consulting
624,Tata Communications Transformation Services,Telecom
625,Spicejet,Aviation
626,Amity University,Education & Training
627,Kyndryl,IT Services & Consulting
628,Indian Railways,Railways
629,Vertex Customer Solutions,IT Services & Consulting
630,Krishna Maruti,Auto Components
631,Haldiram Foods,FMCG
632,Altisource,Real Estate
633,Cushman & Wakefield,Real Estate
634,GlaxoSmithKline Pharmaceuticals,Pharma
635,Gannon Dunkerley,Engineering & Construction
636,KIA MOTORS,Automobile
637,Tata Group,Automobile
638,Gland Pharma,Pharma
639,Apollo Pharmacy,Pharma
640,Heritage Foods,FMCG
641,Steel Strips Wheels,Auto Components
642,AGS Transact Technologies,BPO
643,JW Marriott,Hospitality
644,Compass Group Support Services,Hospitality
645,Adani Ports and SEZ,Real Estate
646,IDC Technologies,IT Services & Consulting
647,TTEC India,Other
648,Broadridge Financial Solutions,Financial Services
649,FDC,Pharma
650,CitiusTech,IT Services & Consulting
651,HTC Global Services,IT Services & Consulting
652,SYSKA LED Lights,Consumer Electronics & Appliances
653,Granules India,Pharma
654,NSE.IT,IT Services & Consulting
655,ITD Cementation India,Engineering & Construction
656,SKF,Auto Components
657,Sanofi,Pharma
658,Nuvoco Vistas,Building Material
659,Ashoka Buildcon,Engineering & Construction
660,DISH TV,Media & Entertainment
661,Hero Motors Company,Automobile
662,BNP Paribas,Financial Services
663,Manipal Hospitals,Healthcare
664,MiraMed Ajuba,IT Services & Consulting
665,Asahi India Glass,Auto Components
666,ECIL,Defence & Aerospace
667,Synchrony,Financial Services
668,Indoco Remedies,Pharma
669,Unichem Laboratories,Pharma
670,Godrej Group,FMCG
671,Best Sellers,Fashion & Textile
672,Fidelity National Financial,Financial Services
673,Petrofac,Oil & Gas
674,Mondelez International,FMCG
675,Tikona Infinet,Telecom
676,Zf Rane Automotive,Auto Components
677,Iffco Tokio General Insurance Co.,Insurance
678,UpGrad,EdTech
679,Volkswagen,Automobile
680,DENSO,Auto Components
681,Cargill,Food Processing
682,Bajaj Capital,Financial Services
683,Essar Steel,Iron & Steel
684,BVG India,Facility Management Services
685,Sahara India Pariwar,Broadcasting
686,Tata Capital,NBFC
687,GAIL,Oil & Gas
688,Bisleri,FMCG
689,Aye Finance,FinTech
690,Nielsen,IT Services & Consulting
691,Luminous Power Technologies,Electrical Equipment
692,iQor Global Services,BPO
693,Evalueserve,
694,Johnson Lifts,Industrial Machinery
695,Devyani International,Retail
696,Bharat Sanchar Nigam,Telecom
697,Aricent,IT Services & Consulting
698,Intex Technologies,Consumer Electronics & Appliances
699,Annapurna Finance,Financial Services
700,Fresenius Kabi,Healthcare
701,Shriram Pistons & Rings,Auto Components
702,Xiaomi,Consumer Electronics & Appliances
703,Bajaj Motors,Automobile
704,NSH,Engineering & Construction
705,Ab Inbev,Beverage
706,Oil And Natural Gas Corporation,Oil & Gas
707,Caterpillar Inc,Industrial Machinery
708,ICICI Home Finance,NBFC
709,Piaggio,Automobile
710,Taurus BPO Services,BPO
711,Vestas,Power
712,Spencer's Retail,Retail
713,SLK Global Services,IT Services & Consulting
714,Credit Suisse,Financial Services
715,Altruist Technologies,Internet
716,Burger King,Hospitality
717,Polycab Wires,Electrical Equipment
718,Fino Payments Bank,FinTech
719,ABC,Logistics
720,iSON Xperiences,BPO
721,Photon Interactive,IT Services & Consulting
722,Jubilant Pharmova,Pharma
723,Valeo,Auto Components
724,Arthur J. Gallagher & Co,Insurance
725,Wind World,Power
726,DCM Shriram,Chemicals
727,Apotex Research,Pharma
728,FirstCry,Retail
729,Infinite Computer Solutions,IT Services & Consulting
730,Continental Automotive Components,Auto Components
731,Amneal Pharmaceuticals,Pharma
732,Intertek,Other
733,Atul,Chemicals
734,Strides Pharma,Pharma
735,Fortis Hospitals,Healthcare / Pharma
736,Siemens Gamesa Renewable Energy,Power
737,TUV SUD,Other
738,Mando Automotive,Auto Components
739,Podar International School,Education & Training
740,Tenneco,Auto Components
741,PNB Housing Finance,Financial Services
742,Google,Internet
743,Lemon Tree Hotels,Hospitality
744,Columbia Asia,Healthcare
745,BGR Energy Systems,Oil & Gas
746,Medhaj Techno Concept,Management Consulting
747,Technip,Oil & Gas
748,Vistaar Finance,Financial Services
749,Paytm Payments Bank,FinTech
750,Supreme Industries,Manufacturing
751,Mahindra CIE Automotive,Auto Components
752,Newgen Software Technologies,IT Services & Consulting
753,Pine Labs,FinTech
754,Godrej Consumer Products,FMCG
755,Dhoot Transmission,Power
756,Jindal X,BPO
757,1point1 Solutions,BPO
758,Bosch Chassis Systems,Auto Components
759,Tata Advanced Systems,Aviation
760,Thyrocare Technologies,Healthcare
761,Iris Software,IT Services & Consulting
762,Toppr,EdTech
763,Amara Raja Batteries,Auto Components
764,Episource,IT Services & Consulting
765,Orion Edutech,EdTech
766,Tata Chemicals,Chemicals
767,V2 Retail,Fashion & Textile
768,Matrimony.com,Internet
769,Eureka Outsourcing Solutions,BPO
770,Automotive Manufacturers,Automobile
771,IndiaFirst Life Insurance,Insurance
772,Coca-Cola Company,Marketing & Advertising
773,Hinduja Leyland Finance,FinTech
774,ManpowerGroup,Recruitment
775,NEC,IT Services & Consulting
776,Atos Global IT Solutions And Services,IT Services & Consulting
777,Feedback Infrastructure Services,Engineering & Construction
778,FastInfo,EdTech
779,Sansera Engineering,Auto Components
780,Kendriya Vidyalaya Sangathan,Education & Training
781,Vibgyor High School,Education & Training
782,Viraj Profiles,Iron & Steel
783,Spandana Sphoorty Financial,NBFC
784,Slk Software Services,IT Services & Consulting
785,Suryoday Small Finance Bank,Banking
786,Kirloskar Oil Engines,Industrial Machinery
787,Dana Anand,Auto Components
788,Ceasefire Industries,Law Enforcement & Security
789,Barbeque Nation,Retail
790,MDIndia Health Insurance TPA,Insurance
791,Jaquar,Furniture & Furnishing
792,Eaton Corporation,Power
793,Morgan Stanley,Investment Banking / Venture Capital / Private Equity
794,Apco Infratech,Engineering & Construction
795,Next Education India,EdTech
796,Hathway,Media & Entertainment
797,Gujarat Fluorochemicals,Chemicals
798,Clover Infotech,IT Services & Consulting
799,Redcliffe Labs,Healthcare
800,Alstom,Urban Transport
801,JSW Cement,Building Material
802,Hatsun Agro Product,FMCG
803,SAI Life Sciences,Pharma
804,TE Connectivity,Consumer Electronics & Appliances
805,JK Lakshmi Cement,Building Material
806,Karvy Computershare,
807,Hyundai Mobis,Auto Components
808,Nirma,Chemicals
809,RBL FinServe,Financial Services
810,Shubham Housing Development Finance,NBFC
811,Karvy Stock Broking,Financial Services
812,Shriram Life Insurance,Insurance
813,Parexel International,Healthcare
814,Globiva,BPO
815,Schaeffler India,Auto Components
