Company,Facebook,Twitter,Instagram,Pinterest
Archer Daniels Midland,-,8.621,-,-
Marathon Petroleum,-,9.146,"6,767 follower",-
China Minsheng Bank,-,-,"1,012 follower",-
Legal & General Group,-,-,-,-
Netflix,86.584.357 persone seguono questa Pagina,"21,1 Mln",6.6M follower,-
Progressive,516.949 persone seguono questa Pagina,76.311,934 follower,"7,3mila follower"
Longfor Group Holdings,-,-,80 follower,-
DBS,-,226.417,31.1K follower,-
Cosco Shipping,-,10.279,-,-
China Communications Construction,1.741.294 persone seguono questa Pagina,93.636,"2,118 follower",-
NatWest Group,379.916 persone seguono questa Pagina,71.430,24.3K follower,-
Exelon,-,20.377,579 follower,-
Humana,302.040 persone seguono questa Pagina,44.492,22.1K follower,200 follower
General Dynamics,101.144 persone seguono questa Pagina,6.352,11.5K follower,-
Power Corp of Canada,-,-,17K follower,-
Qatar National Bank,4.448.701 persone seguono questa Pagina,262.233,105K follower,170 follower
Bayer,996.624 persone seguono questa Pagina,184.603,150K follower,-
KKR,16.688.044 persone seguono questa Pagina,"5,1 Mln",3.4M follower,641 follower
Country Garden Holdings,-,-,"2,146 follower",-
NextEra Energy,-,5.809,45 follower,-
KB Financial Group,-,120,238K follower,-
China Railway Group,253.507 persone seguono questa Pagina,19.299,"2,625 follower",-
HP,2.794.105 persone seguono questa Pagina,"1,1 Mln",1.2M follower,-
Nordea Bank,-,16.063,-,-
Seven & I Holdings,-,-,-,-
Suncor Energy,45.686 persone seguono questa Pagina,40.825,"4,685 follower",-
Salesforce.com,792.505 persone seguono questa Pagina,587.790,202K follower,"8,9mila follower"
Air Liquide,62.248 persone seguono questa Pagina,435,"2,355 follower",-
Denso,-,2.312,"1,661 follower",-
Bank of New York Mellon,15.467 persone seguono questa Pagina,38.720,10.1K follower,-
Mastercard,15.785.134 persone seguono questa Pagina,495.026,"2,273 follower","1,4mila follower"
Banco do Brasil,3.117.373 persone seguono questa Pagina,264.975,565K follower,-
Centene,11.427 persone seguono questa Pagina,5.747,-,-
HDFC,2.928.473 persone seguono questa Pagina,574.203,305K follower,545 follower
Freeport-McMoRan,-,3.367,"2,527 follower",-
"Merck KGaA, Darmstadt, Germany and its affiliates",-,24.264,"2,144 follower",-
CaixaBank,248.681 persone seguono questa Pagina,67.580,135K follower,341 follower
ABB,786.967 persone seguono questa Pagina,160.011,100K follower,33 follower
Volvo Group,37.781 persone seguono questa Pagina,85.659,13.3K follower,342 follower
Occidental Petroleum,25 persone seguono questa Pagina,16.479,"2,270 follower",-
National Grid,178.958 persone seguono questa Pagina,8.069,"4,054 follower",31 follower
McKesson,-,22.248,"8,330 follower",817 follower
Shinhan Financial Group,-,2.222,343K follower,-
ASML Holding,125.846 persone seguono questa Pagina,20.889,17.7K follower,-
