"Industry","Founded","Revenue","Name","Location"
"Banking and Financial Services","1817","$26.5B","Bank of Montreal","Montreal, Canada"
"Materials","1942","$54.4B","Vale","Rio de Janeiro, Brazil"
"Utilities","1955","$99.8B","EDF","Paris, France"
"Drugs & Biotechnology","1983","$39.2B","Thermo Fisher Scientific","Waltham, Massachusetts"
"Banking and Financial Services","1894","$73.6B","Credit Agricole","Montrouge, France"
"Engineering, Manufacturing","1970","$61.6B","AIRBUS","Leiden, Netherlands"
"Retail and Wholesale","1983","$210.2B","Costco Wholesale","Issaquah, Washington"
"Technology Hardware & Equipment","1974","$214.6B","Hon Hai Precision","New Taipei, Taiwan"
"Packaged Goods","1929","$62B","Unilever","London, United Kingdom"
"Media","1993","$51.7B","Charter Communications","Stamford, Connecticut"
"Banking","2002","$35.5B","Sumitomo Mitsui Financial","Tokyo, Japan"
"Construction, Oil & Gas Operations, Mining and Chemicals","1875","$46.1B","ConocoPhillips","Houston, Texas"
"Drugs & Biotechnology","2000","$46.9B","GlaxoSmithKline","London, United Kingdom"
"Banking","2007","$47.8B","Intesa Sanpaolo","Turin, Italy"
"Banking and Financial Services","1887","$47.2B","Manulife","Toronto, Canada"
"Banking","1929","$23.1B","US Bancorp","Minneapolis, Minnesota"
"Chemicals","1865","$92.9B","BASF","Ludwigshafen am Rhein, Germany"
"Oil & Gas Operations","1999","$37.8B","CNOOC","Hong Kong, Hong Kong"
"Health Care Equipment & Services","1888","$44.5B","Abbott Laboratories","Chicago, Illinois"
"Utilities","1992","$46.2B","Iberdrola","Bilbao, Spain"
"Materials","2004","$52B","China Shenhua Energy","Beijing, China"
"Banking","1944","$36B","Itaú Unibanco Holding","São Paulo, Brazil"
"Engineering, Manufacturing","1925","$51B","Caterpillar","Deerfield, Illinois"
"Trading Companies","1947","$108.3B","Mitsui","Tokyo, Japan"
"Trading Companies","1858","$108B","Itochu","Tokyo, Japan"
"Banking and Financial Services","1971","$19B","Charles Schwab","San Francisco, California"
"Banking","1872","$23.2B","Truist Financial","Charlotte, North Carolina"
"Construction, Oil & Gas Operations, Mining and Chemicals","1949","$37.6B","Enbridge","Calgary, Canada"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1910","$91.9B","Hitachi","Tokyo, Japan"
"Telecommunications Services","1984","$49.2B","KDDI","Tokyo, Japan"
"Consumer Durables","1967","$102.7B","Hyundai Motor","Seoul, South Korea"
"Banking","1987","$57B","China Citic Bank","Chaoyang, China"
"Banking and Financial Services","1958","$25.5B","Visa","San Francisco, California"
"Retail and Wholesale","1902","$106B","Target","Minneapolis, Minnesota"
"Banking","1999","$42B","BBVA-Banco Bilbao Vizcaya","Madrid, Spain"
"Consumer Durables","2003","$53.8B","tesla","Austin, Texas"
"Capital Goods","1837","$44.5B","Deere & Company","Moline, Illinois"
"Banking","1994","$22.5B","HDFC Bank","Mumbai, India"
"Banking and Financial Services","1896","$30.2B","Barclays","London, United Kingdom"
"Insurance","1880","$84.9B","Munich Re","Munich, Germany"
"Insurance","1871","$103.6B","Japan Post Holdings","Tokyo, Japan"
"Retail and Wholesale","1901","$135.9B","Walgreens","Deerfield, Illinois"
"Engineering, Manufacturing","1984","$30.3B","Danaher","Washington, District of Columbia"
"Insurance","1831","$102.1B","Generali Group","Trieste, Italy"
"Transportation","2009","$62B","Møller-Maersk","Copenhagen, Denmark"
"Retailing","1921","$96.2B","Lowe's","Mooresville, North Carolina"
"Transportation and Logistics","1971","$91.5B","FedEx","Memphis, Tennessee"
"Transportation","1995","$96.6B","Deutsche Post","Bonn, Germany"
"Banking and Financial Services","1845","$19.9B","PNC Financial Services","Pittsburgh, Pennsylvania"
"Semiconductors","1961","$28.5B","Broadcom","San Jose, California"
"Oil & Gas Operations","1991","$125.1B","LukOil","Moscow, Russia"
"Health Care Equipment & Services","1949","$31.8B","Medtronic","Dublin, Ireland"
"IT, Internet, Software & Services","1972","$33.2B","SAP","Walldorf, Germany"
"Semiconductors","1949","$37.5B","SK Hynix","Icheon, South Korea"
"Oil & Gas Operations","2008","$68.4B","ENGIE","La Defense, France"
"Aerospace & Defense","1912","$65.8B","Lockheed Martin","Bethesda, Maryland"
"Diversified Financials","1988","$20.3B","BlackRock","New York, New York"
"Banking","1817","$20.5B","Westpac Banking Group","Sydney, Australia"
"Utilities","1904","$25.1B","Duke Energy","Charlotte, North Carolina"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1984","$106.8B","Dell Technologies","Round Rock, Texas"
"Construction, Oil & Gas Operations, Mining and Chemicals","1899","$59.1B","VINCI","Nanterre, France"
"Insurance","1879","$50.6B","Tokio Marine Holdings","Tokyo, Japan"
"Telecommunications Services, Cable Supplier","2000","$48.4B","América Móvil","Mexico City, Mexico"
"Utilities","2000","$91.4B","E.ON","Essen, Germany"
"Materials","1917","$41.5B","Anglo American","London, United Kingdom"
"Banking","1943","$28.3B","Banco Bradesco","Osasco, Brazil"
"Diversified Financials","1991","$21.5B","ING Group","Amsterdam, Netherlands"
"Professional Services","1955","$56.7B","Accenture","Dulin, Ireland"
"Conglomerates","1906","$34.4B","Honeywell International","Charlotte, North Carolina"
"Banking","2003","$26.8B","Mizuho Financial","Tokyo, Japan"
"Chemicals","1879","$30.8B","Linde","Guildford, United Kingdom"
"Materials","2006","$76.7B","ArcelorMittal","Luxembourg, Luxembourg"
"Banking","1867","$18.7B","Canadian Imperial Bank","Toronto, Canada"
"Construction","1992","$42.9B","Poly Developments & Holdings Group","Guangzhou, China"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1978","$31.2B","Micron Technology","Boise, Idaho"
"Banking and Financial Services","1835","$18.4B","ANZ","Melbourne, Australia"
"Insurance","2001","$33.2B","Fubon Financial","Taipei, Taiwan"
"Telecommunications Services","2002","$68.2B","China Telecom","Beijing, China"
"Health Care Equipment & Services","1968","$59.7B","HCA Healthcare","Nashville, Tennessee"
"Construction, Oil & Gas Operations, Mining and Chemicals","1897","$58.4B","Dow","Midland, Michigan"
"Telecommunications Services","1924","$46.4B","Telefónica","Madrid, Spain"
"Construction","1984","$71.4B","China Vanke","Shenzhen, China"
"Banking","1981","$15.8B","NAB - National Australia Bank","Melbourne, Australia"
"Insurance","1975","$34.5B","Cathay Financial","Taipei, Taiwan"
"Semiconductors","1985","$36B","Qualcomm","San Diego, California"
"Packaged Goods","1909","$38.2B","L'Oréal","Clichy, France"
"Insurance","1931","$50.6B","Allstate","Markham, Ontario"
"Consumer Durables","1955","$121.4B","SAIC Motor","Shanghai, China"
"Banking","1994","$21.9B","ICICI Bank","Vadodara, India"
"Banking","1992","$42.4B","China Everbright Bank","Beijing, China"
"Drugs & Biotechnology","1987","$27.4B","Gilead Sciences","Foster City, California"
"Insurance","1991","$68.1B","China Pacific Insurance","Shanghai, China"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1993","$26.9B","NVIDIA","Santa Clara, California"
"Drugs & Biotechnology","1980","$26B","Amgen","Thousand Oaks, California"
"Transportation","1862","$22.7B","Union Pacific","Omaha, Nebraska"
"Insurance","1902","$66.7B","Dai-ichi Life Insurance","Tokyo, Japan"
"Clothing, Shoes, Sports Equipment","1964","$46.9B","Nike","Beaverton, Oregon"
"Drugs & Biotechnology","1781","$31.5B","Takeda Pharmaceutical","Tokyo, Japan"
"Food, Drink & Tobacco","1847","$31.5B","Philip Morris International","New York, New York"
"Banking and Financial Services","1998","$25.6B","PayPal","San Jose, California"
"Construction","1994","$33.6B","China Resources Land","Hong Kong, Hong Kong"
"Banking","1912","$22.9B","Oversea-Chinese Banking","Singapore, Singapore"
"Engineering, Manufacturing","1968","$50.6B","Midea Group","Guandong, China"
"Insurance","1864","$35.3B","Travelers","New York, New York"
"Drugs & Biotechnology","1876","$28.3B","Eli Lilly","Indianapolis, Indiana"
"Food, Drink & Tobacco","2012","$28.7B","Mondelez International","Chicago, Illinois"
"Hotels, Restaurants & Leisure","1955","$23.2B","McDonald's","Chicago, Illinois"
"Engineering, Manufacturing","1892","$74.1B","General Electric","Mississauga, Ontario"
"Banking and Financial Services","1864","$35.6B","Société Générale","Paris, France"
"Engineering, Manufacturing","1836","$34.2B","Schneider Electric","Rueil-Malmaison, France"
"Packaged Goods","1902","$35.4B","3M","St. Paul, Minnesota"
"Insurance","1955","$22.1B","Aflac","Columbus, Ohio"
"Oil & Gas Operations","1956","$66.3B","Oil & Natural Gas","New Delhi, India"
"Utilities","1945","$23.2B","Southern Company","Atlanta, Georgia"
"Banking","1870","$36.7B","Deutsche Bank","Frankfurt, Germany"
"Oil & Gas Operations","1978","$70.6B","PTT","Bangkok, Thailand"
"Conglomerates","2014","$36.1B","CK Hutchison","Hong Kong, Hong Kong"
"Oil & Gas Operations","1973","$24B","Canadian Natural Resources","Calgary, Canada"
"Banking and Financial Services","1865","$29.8B","Sun Life Financial","Toronto, Canada"
"Aerospace & Defense","1939","$35.7B","Northrop Grumman","Falls Church, Virginia"
"Food, Drink & Tobacco","1902","$85.3B","Archer Daniels Midland","Chicago, Illinois"
"Oil & Gas Operations","2009","$119.8B","Marathon Petroleum","Findlay, Ohio"
"Banking","1996","$50.1B","China Minsheng Bank","Beijing, China"
"Insurance","1836","$62.5B","Legal & General Group","London, United Kingdom"
"Media & Advertising","1997","$30.4B","Netflix","Los Gatos, California"
"Insurance","1937","$48.1B","Progressive","Mayfield Village, Ohio"
"Construction","1993","$34.8B","Longfor Group Holdings","Beijing, China"
"Banking","1968","$12.4B","DBS","Singapore, Singapore"
"Transportation","2005","$51.8B","Cosco Shipping","Tianjin, China"
"Construction","2006","$108.4B","China Communications Construction","Beijing, China"
"Banking","1968","$17.9B","NatWest Group","Edinburgh, United Kingdom"
"Utilities","2000","$39.3B","Exelon","Chicago, Illinois"
"Drugs & Biotechnology","1961","$84.1B","Humana","Louisville, Kentucky"
"Aerospace & Defense","1952","$38.5B","General Dynamics","Reston, Virginia"
"Diversified Financials","1925","$57.9B","Power Corp of Canada","Montréal, Canada"
"Banking","1964","$14.2B","Qatar National Bank","Doha, Qatar"
"Drugs & Biotechnology","1863","$52.1B","Bayer","Leverkusen, Germany"
"Diversified Financials","1976","$19B","KKR","New York, New York"
"Construction","1992","$81.1B","Country Garden Holdings","Foshan, China"
"Utilities","1984","$23.7B","NextEra Energy","Juno Beach, Florida"
"Banking","1963","$33.9B","KB Financial Group","Seoul, South Korea"
"Construction","1989","$166.5B","China Railway Group","Beijing, China"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1939","$65B","HP","Palo Alto, California"
"Banking","1974","$13.6B","Nordea Bank","Helsinki, Finland"
"Food Markets","2005","$78.5B","Seven & I Holdings","Tokyo, Japan"
"Oil & Gas Operations","1919","$31.2B","Suncor Energy","Calgary, Canada"
"IT, Internet, Software & Services","1999","$26.5B","Salesforce.com","San Francisco, California"
"Chemicals","1902","$27.6B","Air Liquide","Paris, France"
"Consumer Durables","1949","$49.5B","Denso","Kariya, Japan"
"Banking","1965","$16.1B","Bank of New York Mellon","New York, New York"
"Business Services & Supplies","1966","$18.9B","Mastercard","New York, New York"
"Banking","1808","$29.5B","Banco do Brasil","Brasília, Brazil"
"Drugs & Biotechnology","1984","$126B","Centene","St. Louis, Missouri"
"Business Services & Supplies","1977","$18.5B","HDFC","Mumbai, India"
"Materials","1897","$24.3B","Freeport-McMoRan","Phoenix, Arizona"
"Drugs & Biotechnology","1668","$23.3B","Merck KGaA, Darmstadt, Germany and its affiliates","Darmstadt, Germany"
"Banking","1980","$14.6B","CaixaBank","Valencia, Spain"
"Conglomerates","1883","$28.9B","ABB","Zurich, Switzerland"
"Consumer Durables","1927","$43.4B","Volvo Group","Goteborg, Sweden"
"Oil & Gas Operations","1920","$26B","Occidental Petroleum","Houston, Texas"
"Utilities","1990","$20.8B","National Grid","London, United Kingdom"
"Drugs & Biotechnology","1833","$257B","McKesson","Irving, Texas"
"Diversified Financials","2001","$29.3B","Shinhan Financial Group","Seoul, South Korea"
"Semiconductors","1984","$20.7B","ASML Holding","Veldhoven, Netherlands"
"Chemicals","2017","$27.6B","Nutrien","Saskatoon, Canada"
"Diversified Financials","1916","$12.8B","Investor AB","Stockholm, Sweden"
"Consumer Durables","1944","$61B","KIA","Seoul, South Korea"
"Construction","1665","$52.2B","Saint-Gobain","La Defense, France"
"Drugs & Biotechnology","1989","$22.4B","Novo Nordisk","Bagsværd, Denmark"
"Materials","1968","$66.7B","Posco","Seoul, South Korea"
"Food, Soft Beverages, Alcohol & Tobacco","1997","$19B","Diageo","London, United Kingdom"
"Food Markets","2016","$89.4B","Royal Ahold Delhaize N.V.","Zaandam, Netherlands"
"Insurance","1949","$90.1B","PICC","Beijing, China"
"Utilities","1983","$14B","Dominion Energy","Richmond, Virginia"
"Food Markets","1883","$137.9B","Kroger","Cincinnati, Ohio"
"Materials","2000","$55.5B","Baoshan Iron & Steel","Shanghai, China"
"Food, Drink & Tobacco","1999","$14.6B","Kweichow Moutai","Renhuai, China"
"Technology Hardware & Equipment","2010","$50.9B","Xiaomi","Beijing, China"
"Banking","1997","$13.7B","Bank of Ningbo","Ningbo, China"
"Oil & Gas Operations","1948","$23.4B","Ecopetrol","Bogota, Colombia"
"Chemicals","2007","$46.2B","LyondellBasell Industries","London, United Kingdom"
"Capital Goods","2011","$20.1B","Contemporary Amperex Technology","Ningde, China"
"Banking","1998","$27.8B","UniCredit","Milan, Italy"
"Drugs & Biotechnology","1969","$221.1B","AmerisourceBergen","Chesterbrook, Pennsylvania"
"Health Care Equipment & Services","2018","$23.4B","EssilorLuxottica","Paris, France"
"Retail and Wholesale","1985","$32.6B","Inditex","Arteixo, Spain"
"Restaurants","1971","$30.4B","Starbucks","Seattle, Washington"
"Materials","1905","$40B","Nucor","Charlotte, North Carolina"
"Diversified Financials","2000","$10.1B","IntercontinentalExchange","Atlanta, Georgia"
"Retailing","1976","$48.6B","TJX Cos","Framingham, Massachusetts"
"Banking","1935","$14.8B","KBC Group","Brussels, Belgium"
"Retail and Wholesale","1919","$84.2B","Tesco","Welwyn Garden City, United Kingdom"
"Technology Hardware & Equipment","1993","$33.8B","BOE Technology Group","Beijing, China"
"Diversified Financials","1985","$15.5B","Blackstone","New York, New York"
"Utilities","1906","$16.6B","American Electric","Columbus, Ohio"
"Diversified Financials","1985","$11.2B","Macquarie Group","Sydney, Australia"
"Trading Companies","1858","$72.3B","Marubeni","Tokyo, Japan"
"Insurance","1863","$46B","Swiss Re","Zurich, Switzerland"
"Oil & Gas Operations","1985","$19.8B","EOG Resources","Houston, Texas"
"Insurance","1959","$51.8B","CNP Assurances","Paris, France"
"Business Services & Supplies","1949","$15.7B","Automatic Data Processing","Roseland, New Jersey"
"Oil & Gas Operations","2012","$111.7B","Phillips 66","Houston, Texas"
"Food, Drink & Tobacco","1935","$49.5B","Tyson Foods","Springdale, Arkansas"
"Oil & Gas Operations","1987","$58.8B","Repsol","Madrid, Spain"
"Trading Companies","1952","$48.2B","Sumitomo","Tokyo, Japan"
"Construction","1912","$29.4B","Holcim","Zug, Switzerland"
"Food, Drink & Tobacco","1919","$21.1B","Altria Group","Richmond, Virginia"
"Semiconductors","1967","$24.2B","Applied Materials","Santa Clara, California"
"Transportation","","$47B","Daimler Truck Holding","Leinfelden-Echterdingen, Germany"
"Materials","1986","$37.2B","Zijin Mining Group","Longyan, China"
"Banking","1953","$8.6B","The Saudi National Bank","Riyadh, Saudi Arabia"
"Clothing, Shoes, Sports Equipment","1988","$19.8B","Richemont","Bellevue, Switzerland"
"Clothing, Shoes, Sports Equipment","1963","$20.9B","Kering","Paris, France"
"Utilities","2000","$18.5B","Saudi Electricity","Riyadh, Saudi Arabia"
"Food, Soft Beverages, Alcohol & Tobacco","1919","$28.7B","Danone","Paris, France"
"Materials","1950","$57.5B","Nippon Steel","Tokyo, Japan"
"Chemicals","1947","$37.3B","LG Chem","Seoul, South Korea"
"Banking and Financial Services","1985","$12.8B","Discover Financial Services","Riverwoods, Illinois"
"Food Markets","1980","$58.7B","Couche Tard","Laval, Canada"
"Banking","1992","$26.4B","Huaxia Bank","Beijing, China"
"Insurance","1845","$22.4B","NN Group","The Hague, Netherlands"
"Business Services & Supplies","1938","$100.3B","Fannie Mae","Washington, District of Columbia"
"Health Care Equipment & Services","1912","$44.3B","Fresenius","Bad Homburg, Germany"
"Insurance","1905","$20.3B","Marsh & McLennan","New York, New York"
"Diversified Financials","1894","$13.9B","Ameriprise Financial","Minneapolis, Minnesota"
