"Industry","Founded","Revenue","Name","Location"
"Food, Soft Beverages, Alcohol & Tobacco","1906","$14.2B","Kellogg","Battle Creek, Michigan"
"Food, Drink & Tobacco","","$16.5B","Inner Mongolia Yili","Hohhot, China"
"Media","1971","$17.6B","WPP","London, United Kingdom"
"Media","1986","$14.3B","Omnicom Group","New York, New York"
"Construction","1960","$23.4B","Sekisui House","Osaka, Japan"
"Oil & Gas Operations","1983","$17.6B","Cheniere Energy","Houston, Texas"
"Capital Goods","1862","$11.6B","Sandvik","Stockholm, Sweden"
"Chemicals","1913","$16.6B","Siam Cement","Bangkok, Thailand"
"Transportation","1987","$17.7B","East Japan Railway","Tokyo, Japan"
"Banking","1985","$4.2B","Abu Dhabi Commercial Bank","Abu Dhabi, United Arab Emirates"
"Banking","1997","$10.3B","Huishang Bank","Hefei, China"
"Consumer Durables","1984","$20.5B","Great Wall Motor","Baoding, China"
"Diversified Financials","1988","$7.8B","Haitong Securities","Shanghai, China"
"Consumer Durables","1969","$17.5B","Dongfeng Motor Group","Wuhan, China"
"Insurance","1996","$25.4B","China Reinsurance Group","Beijing, China"
"Construction","1976","$3.1B","Henderson Land","Hong Kong, Hong Kong"
"Technology Hardware & Equipment","1970","$11.8B","Samsung SDI","Yongin, South Korea"
"Utilities","1987","$7.5B","Fortis (Canada)","St. John's, Canada"
"Telecommunications Services","1984","$14.6B","SK Telecom","Seoul, South Korea"
"Diversified Financials","1977","$8.7B","HAL Trust","Willemstad, Netherlands"
"Diversified Financials","1979","$2.7B","Banco Btg Pactual","Rio de Janeiro, Brazil"
"Construction, Oil & Gas Operations, Mining and Chemicals","1987","$20.6B","Baker Hughes Company","Houston, Texas"
"Insurance","2016","$8.1B","Gallagher","Rolling Meadows, Illinois"
"Insurance","1999","$11.9B","Everest Re Group","Hamilton, Bermuda"
"Technology Hardware & Equipment","1932","$10.9B","Amphenol","Wallingford, Connecticut"
"Transportation and Logistics","1930","$34.8B","American Airlines Group","Fort Worth, Texas"
"IT, Internet, Software & Services","1997","$8.2B","KLA","Milpitas, California"
"Drugs & Biotechnology","2005","$11.8B","Astellas Pharma","Tokyo, Japan"
"Drugs & Biotechnology","1950","$13.6B","Otsuka Holding","Tokyo, Japan"
"Banking","2005","$10.6B","China Bohai Bank","Tianjin, China"
"Banking","1993","$8.1B","Kasikornbank","Bangkok, Thailand"
"Banking","1921","$5.6B","Bank Hapoalim","Tel Aviv, Israel"
"Oil & Gas Operations","1954","$7B","Woodside Petroleum","Perth, Australia"
"Transportation","2000","$6.1B","MTR","Hong Kong, Hong Kong"
"Oil & Gas Operations","1950","$17.4B","Tatneft","Almetyevsk, Russia"
"Business Services & Supplies","1986","$10.1B","Power Finance","New Delhi, India"
"Drugs & Biotechnology","1952","$7.8B","Zoetis","Parsippany, New Jersey"
"Drugs & Biotechnology","1897","$5.9B","Lonza Group","Basel, Switzerland"
"Construction","1992","$22.7B","Eiffage","Vélizy-Villacoublay, France"
"Chemicals","1913","$24.4B","Sumitomo Chemical","Tokyo, Japan"
"Drugs & Biotechnology","1989","$7.6B","Vertex Pharmaceuticals","Boston, Massachusetts"
"Utilities","","$19.6B","Constellation Energy","Baltimore, Maryland"
"Construction","2000","$16.8B","CIFI Holdings Group","Shanghai, China"
"Banking","2010","$9.1B","Raiffeisen Bank International","Vienna, Austria"
"Consumer Durables","1911","$22B","Whirlpool","Benton Harbor, Michigan"
"Capital Goods","1866","$32.5B","Siemens Energy","Munich, Germany"
"Materials","2015","$19.3B","WestRock","Atlanta, Georgia"
"Insurance","1952","$18.3B","Samsung Fire & Marine","Seoul, South Korea"
"Materials","1901","$20.4B","US Steel","Pittsburgh, Pennsylvania"
"Materials","1978","$11.6B","UPM-Kymmene","Helsinki, Finland"
"Chemicals","1965","$13.1B","Formosa Chemicals","Changhua, Taiwan"
"Oil & Gas Operations","1962","$40.9B","SK Innovation","Seoul, South Korea"
"Telecommunications Services","1966","$10.3B","Telia","Solna, Sweden"
"Insurance","2004","$20.3B","T&D Holdings","Tokyo, Japan"
"Insurance","1935","$23.5B","Mapfre","Majadahonda, Spain"
"IT Software & Services","1976","$11.2B","HCL Technologies","Noida, India"
"Construction","1949","$8.4B","Sumitomo Realty","Tokyo, Japan"
"Chemicals","1986","$11.8B","Westlake Chemical","Houston, Texas"
"Diversified Financials","1990","$4.8B","Apollo Global Management","New York, New York"
"Business Services & Supplies","1997","$9.7B","United Rentals","Stamford, Connecticut"
"Oil & Gas Operations","2007","$6.8B","Diamondback Energy","Midland, Texas"
"Engineering, Manufacturing","1853","$14.3B","Otis Worldwide","Farmington, Connecticut"
"Banking","2008","$8.7B","Chongqing Rural Bank","Chongqing, China"
"Materials","1880","$13.9B","Ball","Westminster, Colorado"
"Materials","1996","$12B","Stora Enso","Helsinki, Finland"
"Transportation","","$11.9B","Yang Ming Marine Transport","Keelung, Taiwan"
"Insurance","1857","$33.5B","Phoenix Group Holdings","London, United Kingdom"
"IT Software & Services","1945","$10.1B","Wipro","Bengaluru, India"
"Utilities","1989","$5.6B","Power Grid of India","Gurgaon, India"
"Banking and Financial Services","1991","$9B","Absa Group","Johannesburg, South Africa"
"Materials","1934","$16.2B","Novolipetsk Steel","Moscow, Russia"
"Capital Goods","1911","$30B","Sumitomo Electric","Osaka, Japan"
"Insurance","","$24.4B","St. James's Place","Cirencester, United Kingdom"
"Construction","1947","$12.3B","Grasim Industries","Mumbai, India"
"Diversified Financials","1920","$751M","Segro","London, United Kingdom"
"Diversified Financials","2002","$2.6B","Mega Financial Holding","Taipei, Taiwan"
"Retailing","2008","$27.1B","Zhongsheng Group Holdings","Dalian, China"
"Insurance","2002","$15.6B","Shin Kong Financial","Taipei, Taiwan"
"Utilities","1987","$7.4B","CMS Energy","Jackson, Michigan"
"Conglomerates","1957","$8.5B","Quinenco","Las Condes, Chile"
"Chemicals","2007","$18.7B","Evonik Industries","Essen, Germany"
"IT Software & Services","2004","$2.1B","East Money Information","Shanghai, China"
"Insurance","1886","$13.9B","QBE Insurance Group","Sydney, Australia"
"Utilities","1949","$12.7B","Tenaga Nasional","Kuala Lumpur, Malaysia"
"IT Software & Services","1999","$6.1B","Naver","Seongnam, South Korea"
"Technology Hardware & Equipment","1935","$16.3B","TDK","Tokyo, Japan"
"Diversified Financials","1925","$12.9B","Nomura","Tokyo, Japan"
"Construction","1987","$15.6B","Jinke Property Group","Chongqing, China"
"Utilities","1951","$47.9B","Tokyo Electric Power","Tokyo, Japan"
"IT, Internet, Software & Services","1984","$20.8B","CDW","Vernon Hills, Illinois"
"Food, Soft Beverages, Alcohol & Tobacco","1894","$9B","The Hershey Company","Derry Township, Pennsylvania"
"Food, Drink & Tobacco","1910","$7.9B","ITC","Kolkata, India"
"Oil & Gas Operations","1976","$18.3B","Pgnig Group","Warsaw, Poland"
"Telecommunications Services","1994","$12.3B","MTN Group","Roodepoort, South Africa"
"Hotels, Restaurants & Leisure","1994","$24.5B","Compass Group","Chertsey, United Kingdom"
"Insurance","1967","$9.5B","WR Berkley","Greenwich, Connecticut"
"Business Services & Supplies","1909","$6.2B","Moody's","New York, New York"
"Trading Companies","1928","$19.7B","Genuine Parts","Atlanta, Georgia"
"Transportation","2007","$4.7B","Beijing-Shanghai High-Speed Railway","Beijing, China"
"Materials","2001","$41.8B","Aluminum Corp of China","Beijing, China"
"Utilities","1951","$26B","Kansai Electric Power","Osaka, Japan"
"Diversified Financials","1972","$3.4B","Public Storage","Glendale, California"
"Business Services & Supplies","1984","$10.4B","China International Travel Service","Beijing, China"
"Chemicals","1910","$10.1B","Sika","Baar, Switzerland"
"Banking","2000","$2.5B","Signature Bank","New York, New York"
"Diversified Financials","1937","$7.7B","T Rowe Price","Baltimore, Maryland"
"Household & Personal Products","1833","$11.7B","International Flavors & Fragrances","New York, New York"
"Transportation","1982","$6.2B","Atlantia","Rome, Italy"
"Conglomerates","1981","$6.1B","Roper Technologies","Sarasota, Florida"
"Transportation","1993","$5.2B","Shanghai International Port","Shanghai, China"
"Drugs & Biotechnology","2005","$9.4B","Daiichi Sankyo","Tokyo, Japan"
"Business Services & Supplies","1997","$15.3B","Rakuten","Tokyo, Japan"
"Diversified Financials","1947","$8.7B","Franklin Resources","San Mateo, California"
"Banking","1783","$8.4B","Bank of Ireland","Dublin, Ireland"
"Transportation","1942","$10.8B","Mitsui OSK Lines","Tokyo, Japan"
"Banking","1978","$2.4B","Saudi British Bank","Riyadh, Saudi Arabia"
"Utilities","1902","$6.4B","Ameren","St. Louis, Missouri"
"Telecommunications Services, Cable Supplier","1996","$7.5B","Chunghwa Telecom","Teipei City, Taiwan"
"Capital Goods","1994","$11.1B","Assa Abloy","Stockholm, Sweden"
"Telecommunications Services, Cable Supplier","1985","$17.6B","ZTE","Shenzhen, China"
"Insurance","2000","$11.7B","Asr Nederland","Utrecht, Netherlands"
"Food, Drink & Tobacco","1919","$11.4B","Conagra Brands","Chicago, Illinois"
"Banking","1870","$14.8B","Commerzbank","Frankfurt, Germany"
"Conglomerates","2007","$8.6B","Bajaj Finserv","Pune, India"
"Materials","1953","$20B","Hyundai Steel","Inchon, South Korea"
"Trading Companies","1985","$26.1B","LG Display","Seoul, South Korea"
"Telecommunications Services","1981","$21.7B","KT","Seongnam, South Korea"
"Construction","2010","$12.2B","Logan Property Holdings","Shenzhen, China"
"Utilities","1903","$8.7B","Public Service Enterprise Group","Newark, New Jersey"
"Materials","2002","$14.1B","EN+ Group International","Kaliningrad, Russia"
"Banking","1924","$12.2B","Isbank","Istanbul, Turkey"
"Transportation","1979","$16.7B","Expeditors International","Seattle, Washington"
"Materials","1961","$16B","Ternium","Luxembourg, Luxembourg"
"Utilities","1992","$10.9B","CEZ Group","Prague, Czech Republic"
"Consumer Durables","1916","$21.7B","Isuzu Motors","Yokohama, Japan"
"Semiconductors","2002","$9.1B","Renesas Electronics","Tokyo, Japan"
"Banking and Financial Services","1961","$16.9B","Unipol Gruppo","Bologna, Italy"
"Diversified Financials","1999","$5.6B","SBI Holdings","Tokyo, Japan"
"Consumer Durables","1985","$13.2B","Techtronic Industries","Hong Kong, Hong Kong"
"Transportation","1952","$8B","Ferrovial","Madrid, Spain"
"Banking","1924","$5.7B","CIMB Group Holdings","Kuala Lumpur, Malaysia"
"Construction","1910","$12.4B","Kone","Helsinki, Finland"
"Retailing","1993","$21.8B","E-mart","Seoul, South Korea"
"Diversified Financials","1991","$5.8B","GF Securities","Guangzhou, China"
"Diversified Financials","1991","$5.7B","China Merchants Securities","Shenzhen, China"
"Diversified Financials","1996","$731M","Annaly Capital Management","New York, New York"
"Food Markets","1914","$29.4B","Coles Group","Melbourne, Australia"
"Transportation","1987","$8.3B","Central Japan Railway","Nagoya, Japan"
"Diversified Financials","1966","$10.5B","Sabanci Holding","Istanbul, Turkey"
"Diversified Financials","2002","$5.8B","Yuanta Financial Holding","Taipei, Taiwan"
"Diversified Financials","2003","$24.9B","AntarChile","Las Condes, Chile"
"Transportation","","$12B","HMM","Seoul, South Korea"
"Technology Hardware & Equipment","1978","$12B","Seagate Technology","Dublin, Ireland"
"Insurance","1929","$12B","Alleghany","New York, New York"
"Diversified Financials","1994","$3.8B","Guosen Securities","Shenzhen, China"
"Business Services & Supplies","1946","$9.3B","Avis Budget Group","Parsippany, New Jersey"
"Materials","1997","$68.5B","Jiangxi Copper","Nanchang, China"
"Business Services & Supplies","1971","$14B","Mitsubishi UFJ Lease","Tokyo, Japan"
"Materials","1950","$10.7B","Sumitomo Metal Mining","Tokyo, Japan"
"Technology Hardware & Equipment","1989","$19.2B","Asustek Computer","Taipei, Taiwan"
"Food, Drink & Tobacco","1935","$19B","Associated British Foods","London, United Kingdom"
"Utilities","2008","$9.6B","China National Nuclear Power","Beijing, China"
"Diversified Financials","1995","$3.6B","China International Capital","Beijing, China"
"Materials","2006","$26.8B","China Molybdenum","Luoyang, China"
"Diversified Financials","1859","$11B","Equitable Holdings","New York, New York"
"Construction, Oil & Gas Operations, Mining and Chemicals","2015","$18.8B","Covestro","Leverkusen, Germany"
"Diversified Financials","2018","$23.4B","M&G","London, United Kingdom"
"IT, Internet, Software & Services","2006","$4.6B","Shopify","Ottawa, Canada"
"Construction","1994","$43.4B","Shanghai Construction","Shanghai, China"
"Household & Personal Products","1929","$14.6B","Essity","Stockholm, Sweden"
"Trading Companies","1927","$13B","WW Grainger","Lake Forest, Illinois"
"Banking","1906","$12.7B","Canara Bank","Bangalore, India"
"Drugs & Biotechnology","1961","$17.9B","Viatris","Canonsburg, Pennsylvania"
"Utilities","1886","$3.9B","American Water Works","Camden, New Jersey"
"Semiconductors","1980","$7.6B","United Microelectronics","Hsinchu, Taiwan"
"Clothing, Shoes, Sports Equipment","1899","$11.6B","VF","Denver, Colorado"
"Health Care Equipment & Services","1995","$5.9B","Intuitive Surgical","Sunnyvale, California"
"Oil & Gas Operations","1941","$3.9B","Snam","Milan, Italy"
"Capital Goods","1945","$18.4B","Vestas Wind Systems","Aarhus, Denmark"
"Consumer Durables","1953","$25.1B","Subaru","Tokyo, Japan"
"Construction","1998","$14B","Jiangsu Zhongnan Construction Group","Shanghai, China"
"Food, Drink & Tobacco","1847","$10.6B","Carlsberg","Copenhagen, Denmark"
"Construction","1998","$19.9B","Builders FirstSource","Dallas, Texas"
"Semiconductors","2000","$5.5B","Semiconductor Manufacturing International","Shanghai, China"
"Banking","1919","$4.5B","PKO Bank Polski","Warsaw, Poland"
"Oil & Gas Operations","1992","$14.4B","ENN Energy Holdings","Langfang, China"
"Food, Drink & Tobacco","2006","$27.3B","WH Group","Hong Kong, Hong Kong"
"Materials","1860","$13.6B","Amcor","Warmley, United Kingdom"
"Oil & Gas Operations","1983","$24B","Korea Gas","Daegu, South Korea"
"Conglomerates","1968","$8.6B","Jefferies Financial","New York, New York"
"Materials","1955","$11.6B","Severstal","Cherepovets, Russia"
"Diversified Financials","1994","$2.1B","Alexandria Real Estate Equities","Pasadena, California"
"Banking","1890","$5B","Julius Baer Group","Zurich, Switzerland"
"Diversified Financials","1918","$14.4B","Sanlam","Bellville, South Africa"
"Construction","1997","$7.9B","Emaar Properties","Dubai, United Arab Emirates"
"Banking","1955","$3.9B","Joint Stock Commercial Bank for Foreign Trade of Vietnam","Ha Noi, Vietnam"
"Aerospace & Defense","2011","$8.2B","Motorola Solutions","Chicago, Illinois"
"Banking","2005","$5.8B","Shanghai Rural Commercial Bank","Shanghai, China"
"Chemicals","2002","$19.6B","Braskem","Butanta, Brazil"
"Banking","1957","$12.1B","Bank of Baroda","Vadodara, India"
"Oil & Gas Operations","1976","$24B","S-Oil","Seoul, South Korea"
"Retailing","1938","$13B","Tractor Supply","Brentwood, Tennessee"
"Insurance","1996","$9.9B","Suncorp Group","Brisbane, Australia"
"Oil & Gas Operations","1991","$19.6B","MOL Hungarian Oil","Budapest, Hungary"
"Consumer Durables","1994","$15.6B","Aptiv","Dublin, Ireland"
"Insurance","1999","$4.2B","Voya Financial","New York, New York"
"Conglomerates","1966","$17.7B","GS Holdings","Seoul, South Korea"
"Materials","1901","$14.5B","Gerdau (Cosigua)","São Paulo, Brazil"
"Diversified Financials","1993","$2.4B","Equity Residential","Chicago, Illinois"
"Banking","1982","$1.8B","Qatar Islamic Bank","Doha, Qatar"
"Food, Drink & Tobacco","1891","$12B","Hormel Foods","Austin, Minnesota"
"Diversified Financials","1996","$6.8B","Shenwan Hongyuan Group","Urumqi, China"
"Insurance","1973","$16.7B","Reinsurance Group of America","Chesterfield, Missouri"
"Health Care Equipment & Services","1967","$10.7B","Quest Diagnostics","Secaucus, New Jersey"
"Construction, Oil & Gas Operations, Mining and Chemicals","1863","$13.5B","Solvay","Brussels, Belgium"
"Oil & Gas Operations","1997","$6.9B","Pembina Pipeline","Calgary, Canada"
"Banking","1977","$2.2B","Banque Saudi Fransi","Riyadh, Saudi Arabia"
"Capital Goods","1959","$6.4B","SMC","Tokyo, Japan"
"Construction, Oil & Gas Operations, Mining and Chemicals","1950","$15.5B","Sasol","Sandton, South Africa"
"Food, Drink & Tobacco","1786","$10.3B","Molson Coors Brewing","Golden, Colorado"
"Retailing","1929","$25.3B","Macy's","New York, New York"
"Banking","1945","$6.1B","Bancolombia","Medellin, Colombia"
"Business Services & Supplies","1968","$7.6B","Cintas","Cincinnati, Ohio"
"Capital Goods","1980","$25.3B","China International Marine","Shenzhen, China"
"Utilities","1994","$31.5B","Huaneng Power International","Beijing, China"
"Hotels, Restaurants & Leisure","2014","$5.7B","Restaurant Brands International","Toronto, Canada"
"Insurance","1803","$10.1B","Grupa PZU","Warsaw, Poland"
"Household & Personal Products","1887","$12.9B","Kao","Tokyo, Japan"
"Construction","2005","$11.5B","Agile Group Holdings","Guangzhou, China"
"Trading Companies","1946","$34.5B","Arrow Electronics","Centennial, Colorado"
"Business Services & Supplies","1997","$14.9B","Shenzhen Overseas","Shenzhen, China"
"Health Care Equipment & Services","1967","$19.4B","Tenet Healthcare","Dallas, Texas"
"Diversified Financials","1994","$10.3B","Grupo Aval","Bogota, Colombia"
"Food Markets","1988","$17.7B","CP All","Bangkok, Thailand"
"Consumer Durables","1973","$15.8B","Geely Automobile Holdings","Hong Kong, Hong Kong"
"Utilities","1997","$20.3B","Centrica","Windsor, United Kingdom"
"Banking","1975","$3.2B","Dubai Islamic Bank","Dubai, United Arab Emirates"
"Materials","1924","$7.6B","Suzano Papel e Celulose","Salvador, Brazil"
"Diversified Financials","2005","$1.5B","Link REIT","Hong Kong, Hong Kong"
"Hotels, Restaurants & Leisure","1997","$6.6B","Yum! Brands","Louisville, Canada"
"Materials","1983","$8.3B","First Quantum Minerals","Vancouver, Canada"
"Business Services & Supplies","1995","$4.5B","AerCap Holdings","Dublin, Ireland"
"Banking","1864","$3.1B","First Horizon","Memphis, Tennessee"
"Media","2001","$9.9B","Dentsu","Tokyo, Japan"
"Drugs & Biotechnology","1980","$27.8B","Molina Healthcare","Long Beach, California"
"Banking","1919","$11.3B","Union Bank of India","Mumbai, India"
"Household & Personal Products","1926","$19.7B","Toray Industries","Tokyo, Japan"
"IT Software & Services","2009","$17.7B","Block","San Francisco, California"
"Utilities","1962","$7B","Eletrobrás","Rio de Janeiro, Brazil"
"Food, Drink & Tobacco","2004","$13.7B","China Mengniu Dairy","Hong Kong, Hong Kong"
"Insurance","1968","$15B","Db Insurance","Seoul, South Korea"
"Banking","1992","$3.1B","E.Sun Financial","Taipei, Taiwan"
"Banking","1949","$5.8B","OTP Bank","Budapest, Hungary"
"Retailing","1958","$8.1B","SM Investments","Manila, Philippines"
"Business Services & Supplies","1995","$10.9B","eBay","San Jose, California"
"Drugs & Biotechnology","1958","$5.2B","Edwards Lifesciences","Irvine, California"
"Banking","1946","$2.7B","Taiwan Cooperative Financial","Taipei, Taiwan"
"Food, Drink & Tobacco","1945","$8.8B","Constellation Brands","Victor, New York"
"Construction","2004","$14B","China Jinmao","Hong Kong, Hong Kong"
"Capital Goods","1972","$6.5B","Fanuc","Minamitsuru, Japan"
"Construction","","$12.6B","Yango Group","Shanghai, China"
"Capital Goods","1860","$8.3B","Legrand","Limoges, France"
"Drugs & Biotechnology","1994","$33.4B","Shanghai Pharmaceuticals","Shanghai, China"
"Chemicals","1907","$15.4B","AGC","Tokyo, Japan"
"Construction","","$23.8B","Shaanxi Construction Engineering Group","Xi'an, China"
"Materials","1997","$25.8B","Hunan Valin Steel","Changsha, China"
"Construction","1989","$1.3B","Goodman Group","Sydney, Australia"
"Insurance","1892","$13.3B","iA Financial Corporation","Québec, Canada"
"Insurance","1848","$12B","Unum","Chattanooga, Tennessee"
"Household & Personal Products","1991","$7.7B","Anta Sports Products","Xiamen, China"
"Oil & Gas Operations","1967","$5.8B","Continental Resources","Oklahoma City, Oklahoma"
"Insurance","1864","$11.1B","Bâloise Group","Basel, Switzerland"
"Technology Hardware & Equipment","2007","$45.2B","Pegatron","Taipei, Taiwan"
"Construction","1783","$19.5B","Jones Lang LaSalle","Chicago, Illinois"
"Insurance","1959","$6.2B","American Financial Group","Cincinnati, Ohio"
"Diversified Financials","1902","$5.8B","Daiwa Securities","Tokyo, Japan"
"Transportation","1953","$19.9B","Deutsche Lufthansa","Cologne, Germany"
"Diversified Financials","1935","$7B","Invesco","Atlanta, Georgia"
"Diversified Financials","1971","$5.8B","NASDAQ","New York, New York"
"Capital Goods","1874","$12.3B","Schindler Holding","Hergiswil, Switzerland"
"Banking","1849","$3B","Comerica","Dallas, Texas"
"Banking","1923","$4.3B","Mizrahi Tefahot Bank","Ramat Gan, Israel"
"Health Care Equipment & Services","1952","$2.9B","Bio-Rad Laboratories","Hercules, California"
"Chemicals","2003","$4.2B","Industries Qatar","Doha, Qatar"
"IT Software & Services","1995","$5.4B","Kakao","Jejusi, South Korea"
"Business Services & Supplies","1984","$7.6B","Ashtead Group","London, United Kingdom"
"Banking","1895","$12.1B","Punjab National Bank","New Delhi, India"
"Technology Hardware & Equipment","1975","$11.3B","Delta Electronics","Taipei, Taiwan"
"Health Care Equipment & Services","1945","$8.3B","Alcon","Geneva, Switzerland"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1980","$42.1B","TD SYNNEX","Fremont, California"
"Materials","1888","$7.5B","Antofagasta","London, United Kingdom"
"Construction","1950","$13.9B","PulteGroup","Atlanta, Georgia"
"Transportation","","$8.2B","Wan Hai Lines","Taipei, Taiwan"
"Diversified Financials","1998","$6.6B","Equinix","Redwood City, California"
"Materials","1939","$14.1B","Reliance Steel","Los Angeles, California"
"Chemicals","1978","$14.6B","PTT Global Chemical","Bangkok, Thailand"
"Banking","1965","$2.8B","Bankinter","Madrid, Spain"
"Drugs & Biotechnology","1944","$15.8B","Teva Pharmaceutical","Tel Aviv, Israel"
"Transportation","1905","$23.1B","C.H. Robinson","Eden Prairie, Minnesota"
"Utilities","1947","$5.6B","Verbund","Vienna , Austria"
"Banking","1955","$3B","Zions Bancorp","Salt Lake City, Utah"
"Banking","1996","$4.7B","Bank Of Chengdu","Chengdu, China"
"Diversified Financials","","$331M","3i Group","London, United Kingdom"
"Banking","2006","$1.9B","Alinma Bank","Riyadh, Saudi Arabia"
"Food & Drink","2018","$8.3B","JDE Peet's","Amsterdam, Netherlands"
"Oil & Gas Operations","2015","$21.9B","Cosmo Energy Holdings","Tokyo, Japan"
"Construction","1996","$10.9B","RiseSun Real Estate Development","Langfang, China"
"Food, Drink & Tobacco","1967","$17B","Uni-President","Tainan, Taiwan"
"Consumer Durables","1945","$11.6B","Mahindra & Mahindra","Mumbai, India"
"Telecommunications Services","1855","$13B","Telenor","Fornebu, Norway"
"Drugs & Biotechnology","1928","$6.8B","UCB","Brussels, Belgium"
"Business Services & Supplies","1930","$10.2B","Interpublic Group","New York, New York"
"Chemicals","1969","$11.4B","Akzo Nobel","Amsterdam, Netherlands"
"Chemicals","1918","$8.5B","Celanese","Irving, Texas"
"Diversified Financials","1978","$2.3B","AvalonBay Communities","Arlington, Virginia"
"Business Services & Supplies","1960","$29.1B","Randstad N.V.","Diemen, Netherlands"
"Materials","2002","$11.6B","Sibanye Stillwater","Weltevreden Park, South Africa"
"Banking","2003","$2.9B","First Financial Holding","Taipei, Taiwan"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1989","$6.4B","Microchip Technology","Chandler, Arizona"
"Technology Hardware & Equipment","1969","$25.5B","Flex","Singapore, Singapore"
"Media","1991","$11.4B","Liberty Media Corporation Series A Liberty Formula One","Englewood, Colorado"
"Health Care Equipment & Services","1999","$6.4B","Agilent Technologies","Santa Clara, California"
"Consumer Durables","1997","$11.7B","Guangzhou Automobile Group","Guangzhou, China"
"Utilities","","$14.5B","Rosseti","Moscow, Russia"
"Materials","","$20.6B","Beijing Shougang","Beijing, China"
"IT Software & Services","1976","$9.7B","CGI","Montreal, Canada"
"Diversified Financials","2005","$6.1B","Csc Financial","Beijing, China"
"Conglomerates","1999","$42.2B","ThyssenKrupp Group","Essen, Germany"
"Health Care Equipment & Services","1991","$4.1B","Shenzhen Mindray Bio-Medical Electronics","Shenzhen, China"
"Technology Hardware & Equipment","1944","$5.9B","Hoya","Tokyo, Japan"
"Food, Drink & Tobacco","1995","$9.1B","Tongwei","Chengdu, China"
"Banking","1977","$3.5B","Kuwait Finance House","Kuwait City, Kuwait"
"Food, Drink & Tobacco","1945","$17.2B","Grupo Bimbo","Mexico City, Mexico"
"Consumer Durables","1998","$13.1B","LKQ","Chicago, Illinois"
"Utilities","1951","$24.1B","Chubu Electric Power","Nagoya, Japan"
"Retailing","1946","$25.2B","Lithia Motors","Medford, Oregon"
"Conglomerates","1816","$11.7B","Swire Pacific","Hong Kong, Hong Kong"
"Banking","2011","$1.7B","Unicaja Banco","Malaga, Spain"
"Automotive (Automotive and Suppliers)","1920","$28.1B","Mazda Motor","Hiroshima, Japan"
"Telecommunications Services","1994","$18.2B","Telecom Italia","Rome, Italy"
"Diversified Financials","2007","$5B","China Galaxy Securities","Beijing, China"
"Capital Goods","1920","$5.3B","CNPC Capital","Beijing, China"
"Transportation","1988","$15.8B","China Southern Airlines","Guangzhou, China"
"IT Software & Services","1981","$5.7B","Dassault Systemes","Vélizy-Villacoublay, France"
"Utilities","1992","$23.2B","GD Power Development","Beijing, China"
"Business Services & Supplies","1971","$4.5B","Paychex","Rochester, New York"
"Insurance","1871","$7.8B","Genworth Financial","Richmond, Virginia"
"Food, Drink & Tobacco","1985","$5.5B","Monster Beverage","Corona, California"
"Utilities","1993","$5.7B","China Longyuan Power","Beijing, China"
"Oil & Gas Operations","1881","$10.5B","Ovintiv","Denver, Colorado"
"Banking","1967","$4.3B","BDO Unibank","Makati City, Philippines"
"Retailing","1991","$26.7B","AutoNation","Fort Lauderdale, Florida"
"Construction","2007","$10.9B","China Aoyuan Group","Guangzhou, China"
"Oil & Gas Operations","1989","$7.3B","Chesapeake Energy","Oklahoma City, Oklahoma"
"Transportation","1961","$13B","J.B. Hunt Transport Services","Lowell, Arkansas"
"Banking","1946","$3.7B","Mediobanca","Milan, Italy"
"Banking","1995","$4.9B","Credicorp","Lima, Peru"
"Diversified Financials","1969","$2.1B","Realty Income","San Diego, California"
"Conglomerates","1997","$10.3B","Beijing Enterprises","Hong Kong, Hong Kong"
"Oil & Gas Operations","1989","$3.7B","Coterra Energy","Houston, Texas"
"Banking","1907","$5.4B","Siam Commercial Bank","Bangkok, Thailand"
"Food & Drink","1996","$4.6B","Nongfu Spring","Hangzhou, China"
"Trading Companies","1971","$36.1B","Finatis","Paris, France"
"Construction","1995","$15.7B","Greentown China Holdings","Hangzhou, China"
"Insurance","2007","$11B","Meritz Financial Group","Seoul, South Korea"
"Capital Goods","","$9.4B","TBEA","Changji, China"
"Capital Goods","1903","$7.3B","Rockwell Automation","Milwaukee, Wisconsin"
"Materials","","$10.5B","West Fraser Timber Co.","Vancouver, Canada"
"Insurance","1996","$13.8B","Helvetia Holding","St. Gallen, Switzerland"
"Consumer Durables","1929","$11.6B","Chow Tai Fook Jewellery","Hong Kong, Hong Kong"
"Construction, Oil & Gas Operations, Mining and Chemicals","1895","$7.3B","Givaudan","Vernier, Switzerland"
"Materials","2006","$5B","Polyus","Moscow, Russia"
"Retailing","1998","$6.3B","Lululemon Athletica","Sumner, Washington"
"Retailing","1990","$11.1B","Bath & Body Works","Columbus, Ohio"
"Technology Hardware & Equipment","1966","$30.7B","Jabil Circuit","St. Petersburg, Florida"
"Technology Hardware & Equipment","2003","$12.5B","Innolux","Miaoli, Taiwan"
"Diversified Financials","1996","$3.2B","Partners Group Holding","Baar, Switzerland"
"Food, Drink & Tobacco","1573","$2.9B","Luzhou Lao Jiao","Luzhou, China"
"Insurance","1855","$17.2B","Scor","Paris, France"
"Conglomerates","1955","$8.1B","Dover","Downers Grove, Illinois"
