"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"249","Big Dutchman Aktiengeselischaft","1,052.7","3,268","Meerpohl","1938","Private","7","Yes","No","Industrial Manufacturing","Vechta","NI","www.bigdutchman.de"
"250","Beckhoff Automation Group","1,048.8","4,300","Beckhoff","1980","Private","2","Yes","No","Technology","Verl","NW","www.beckhoff.de"
"251","Ferchau Holding GmbH & Co. KG","1,044.7","9,500","Ferchau","1966","Private","2","Yes","No","Financial Services","Gummersbach","NW","www.able-group.de"
"252","C.D. Wälzholz KG","1,034.0","2,073","Junius","1829","Private","6","Yes","No","Industrial Manufacturing","Hagen","NW","www.waelzholz.com"
"253","Fahrzeug-Werke Lueg AG","1,028.2","1,400","Lueg","1868","Private","6","No","No","Profe ional Services","Bochum","NW","www.lueg.de"
"254","Windmöller & Hölscher KG","1,024.7","2,950","Windmöller","1869","Private","4","No","No","Industrial Manufacturing","Lengerich","NW","www.wuh-group.com"
"255","Ifm electronic GmbH","1,023.1","5,949","Marhofer, Buck","1969","Private","2","Yes","No","Technology","E en","NW","www.ifm.com"
"256","Msg Group GmbH","1,020.7","6,849","Zehetmaier","1980","Private","1","Yes","No","Technology","Ismaning","BY","www.msg.group"
"257","Albert Handtmann Holding Verwaltungs-GmbH","1,010.2","3,700","Handtmann","1873","Private","4","Yes","No","Profe ional Services","Biberach an der Rib","BW","www.handtmann.de"
"258","Apetito AG","1,009.8","9,418","Düsterberg","1958","Private","2","No","No","Profe ional Services","Rheine","NW","www.apetito.de"
"259","Gerry Weber International AG","1,008.6","6,900","Weber, Hardieck","1973","Public","2","Yes","No","Consumer Products","Halle","NW","www.gerryweber.com"
"260","Fischer Holding GmbH & Co. KG","991.9","5,200","Fischer","1948","Private","2","Yes","No","Industrial Manufacturing","Waldachtal","BW","https://www.fischer.group/de-de/"
"261","Klingele Papierwerke GmbH & Co. KG","984.7","2,500","Klingele","1920","Private","3","Yes","No","Industrial Manufacturing","Remshalden","BW","www.klingele.com"
"262","Vo loh AG","982.5","3,925","Thiele","1888","Public","1","No","No","Industrial Manufacturing","Werdohl","NW","www.vo loh.com"
"263","huber group","976.8","3,500","Huber","1765","Private","8","No","Yes","Industrial Manufacturing","Kirchheim","BY","www.hubergroup.de"
"264","Ehrmann AG","973.2","2,600","Ehrmann","1920","Private","3","Yes","No","Foods and Beverages","Oberschönegg","BY","www.ehrmann.de"
"265","C. & A. Veltins GmbH & Co. KG","968.6","1,545","Veltins","1824","Private","5","No","Yes","Foods and Beverages","Meschede-Grevenstein","NW","www.veltins.de"
"266","Leonhard Kurz Stiftung & Co. KG","965.9","5,113","Kurz","1899","Private","5","Yes","No","Industrial Manufacturing","Fürth","BY","www.kurz.de"
"267","Friedrich Scharr KG","962.2","624","Scharr","1883","Private","4","Yes","No","Energy and Utilities","Stuttgart","BW","www.scharr.de"
"268","Rei er AG","961.6","1,557","Reißer","1871","Private","5","Yes","No","Industrial Manufacturing","Böblingen","BW","www.rei er.de"
"269","Thalia Bücher GmbH","960.3","5,060","Herder, Göritz, Busch, Kreke","1919","Private","5","Yes","No","Retail","Hagen","NW","www.thalia.de"
"270","Rauch GmbH & Co. KG","959.6","1,600","Rauch","1879","Private","4","Yes","No","Consumer Products","Freudenberg","BW","www.rauchmoebel.de"
"271","Schön Holding GmbH & Co. KG","957.2","10,600","Schön","1985","Private","2","Yes","Yes","Healthcare","Prien am Chiemsee","BY","www.schoen-kliniken.de"
"272","Lindner Group KG","951.5","6,622","Lindner","1965","Private","2","Yes","Yes","Industrial Manufacturing","Arnstorf","BY","www.lindner-group.com"
"273","Bos GmbH & Co. KG","945.7","8,000","Baumeister, Schmid","1910","Private","3","No","No","Automotive","Ostfildern","BW","www.bos.de"
"274","Weidmüller Holding AG & Co. KGaA","944.8","4,900","Gläsel","1850","Private","5","No","Yes","Technology","Detmold","NW","www.weidmueller.de"
"275","Persona Service AG & Co. KG","944.5","19,000","Müller, Schröter","1967","Private","2","No","No","Profe ional Services","Lüdenscheid","NW","www.persona.de"
"276","Villeroy & Boch AG","942.6","7,461","von Boch-Galhau, Villeroy de Galhau","1748","Public","8","Yes","No","Industrial Manufacturing","Mettlach","SL","www.villeroy-boch.com"
"277","Bericap Capital GmbH & Co KG","932.0","3,650","Krautkrämer","1926","Private","3","Yes","No","Industrial Manufacturing","Budenheim","RP","www.bericap.com"
"278","Ernst Dello GmbH & Co. KG","928.6","1,700","Ravenborg, Kröger, Kreidel","1898","Private","5","Yes","No","Retail","Hamburg","HH","www.dello.de"
"279","Notebooksbilliger.de","926.0","398","Von Wedemeyer, Haubrichs","1989","Private","1","Yes","No","Retail","Sarstedt","NI","www.notebooksbilliger.de"
"280","Koehler Holding GmbH & Co. KG","924.0","1,915","Furler","1807","Private","8","Yes","No","Industrial Manufacturing","Oberkirch","BW","www.koehlerpaper.com"
"281","Klüh Service Management GmbH","922.8","50,000","Klüh","1911","Private","4","No","No","Profe ional Services","Dü eldorf","NW","www.klueh.de"
"282","Hans Segmüller, Polstermöbelfabrik GmbH & Co. KG","920.9","3,522","Segmüller","1925","Private","3","Yes","No","Consumer Products","Friedberg","BY","www.segmueller.de"
"283","Autohaus Glinicke GmbH","917.1","1,600","Glinicke","1930","Private","3","Yes","No","Retail","Ka el","HE","www.glinicke.de"
"284","Brüder Schlau GmbH & Co. KG","916.7","6,464","Beeth","1921","Private","3","No","No","Retail","Porta Westfalica","NW","www.brueder-schlau.de"
"285","Printus-Group","916.0","1,600","Schmid","1977","Private","1","Yes","No","Profe ional Services","Offenburg","BW","www.printus-info.de"
"286","Lenze SE","913.8","3,613","Belling, Finger, Herbert","1947","Private","4","No","No","Industrial Manufacturing","Aerzen","NI","www.lenze.com"
"287","Kamax Holding GmbH & Co. KG","903.5","3,310","Kellermann","1935","Private","3","No","No","Automotive","Homberg","HE","www.kamax.com"
"288","Schorghuber Stiftung & Co. Holding KG","898.1","2,707","Schörghuber","1954","Private","3","Yes","Yes","Industrial Manufacturing","München","BY","www.sug-munich.com"
"289","Rational AG","895.0","2,166","Meister","1973","Public","1","No","No","Industrial Manufacturing","Landsberg am Lech","BY","www.rational-online.de"
"290","Hahn Automobil-Holding GmbH","893.1","1,800","Hahn","1919","Private","4","Yes","No","Retail","Fellbach","BW","www.hahn-automobile.de"
"291","Bitzer SE","891.5","3,500","Schaufler","1934","Private","3","No","No","Industrial Manufacturing","Sindelfingen","BW","www.bitzer.de"
"292","Schwenk Zement KG","889.2","3,073","Schleicher","1847","Private","5","Yes","No","Industrial Manufacturing","Ulm","BW","www.schwenk.de"
"293","Grillo-Werke AG","884.6","1,423","Grillo","1842","Private","5","Yes","Yes","Industrial Manufacturing","Duisburg","NW","www.grillo.de"
"294","Krombacher Brauerei Bernhard Schadeberg GmbH & Co. KG","884.1","997","Schadeberg","1803","Private","3","Yes","Yes","Foods and Beverages","Kreuztal","NW","www.krombacher.de"
"295","Autohaus Jacob Fleischhauer GmbH & Co. KG","882.8","1,150","Franz","1924","Private","4","No","No","Retail","Köln","NW","www.fleischhauer.com"
"296","Alnatura Produktions- und Handels GmbH","881.6","2,980","Rehn","1984","Private","1","Yes","No","Consumer Products","Darmstadt","HE","www.alnatura.de"
"297","Felix Schoeller Holding GmbH & Co. KG","881.5","2,230","Gallenkamp","1895","Private","6","Yes","No","Industrial Manufacturing","Osnabrück","NI","www.felix-schoeller.com"
"298","Geis Holding GmbH & Co. KG","880.0","6,438","Geis","1948","Private","2","Yes","No","Transportation and Logistics","Bad Neustadt an der Saale","BY","www.geis-group.com"
"299","Reinhausen Group","878.7","3,404","Scheubeck","1868","Private","5","Yes","No","Industrial Manufacturing","Regensburg","BY","www.reinhausen.com"
"300","SMA Solar Technology AG","873.6","3,000","Cramer, Drews, Wettlaufer","1981","Public","2","No","No","Technology","Niestetal","HE","www.sma.de"
"301","Sprehe Unternehmensgruppe","872.9","2,181","Sprehe","1987","Private","2","Yes","No","Foods and Beverages","Lorup","NI","www.sprehe.de"
"302","Harting AG & Co. KG","872.5","4,980","Harting","1945","Private","3","Yes","Yes","Industrial Manufacturing","Espelkamp","NW","www.harting.com"
"303","Wanzl GmbH & Co. Holding KG","871.8","4,900","Wanzl","1918","Private","3","Yes","No","Profe ional Services","Leipheim","BY","www.wanzl.com"
"304","Eder Familien Holding GmbH & Co. KG","861.7","1,992","Eder","1487","Private","2","Yes","No","Industrial Manufacturing","Tuntenhausen","BY","www.eder-gmbh.de"
"305","Klett Gruppe","861.0","6,641","Klett","1897","Private","4","Yes","No","Media and Entertainment","Stuttgart","BW","www.klett-gruppe.de"
"306","Arburg GmbH + Co KG","858.7","3,000","Hehl, Keinath","1923","Private","3","Yes","Yes","Industrial Manufacturing","Loßburg","BW","www.arburg.com"
"307","Igus GmbH","856.4","4,150","Blase","1964","Private","2","Yes","No","Industrial Manufacturing","Köln","NW","www.igus.de"
"308","geobra Brandstätter Stiftung & Co. KG (aka Playmobil)","856.4","4,635","Brandstätter","1876","Private","3","No","Yes","Consumer Products","Zirndorf","BY","www.playmobil.de"
"309","Groz-Beckert KG","855.3","9,282","Groz, Lindner","1852","Private","6","Yes","No","Industrial Manufacturing","Albstadt","BW","www.groz-beckert.com"
"310","Eisenmann SE","852.4","3,198","Eisenmann","1951","Private","3","No","No","Industrial Manufacturing","Böblingen","BW","www.eisenmann.com"
"311","Layher Holding GmbH & Co. KG","852.4","1,939","Layher, Langer","1945","Private","3","Yes","Yes","Industrial Manufacturing","Güglingen","BW","www.layher.com"
"312","Gelita AG","851.3","2,548","Koepff","1875","Private","5","No","No","Industrial Manufacturing","Eberbach","BW","www.gelita.com"
"313","Stockmeier Holding GmbH","851.1","1,174","Stockmeier","1920","Private","3","Yes","No","Industrial Manufacturing","Bielefeld","NW","www.stockmeier.de"
"314","ACO Severin Ahlmann GmbH & Co KG","850.8","4,618","Ahlmann","1946","Private","3","Yes","No","Industrial Manufacturing","Büdelsdorf","SH","www.aco.com"
"315","F. E. R. fischer Edelstahlrohre GmbH","847.2","2,450","Fischer","1969","Private","2","Yes","No","Industrial Manufacturing","Achern","BW","www.fischer-group.com"
"316","Kathrein-Werke KG","845.7","7,600","Kathrein","1919","Private","3","Yes","No","Technology","Rosenheim","BY","www.kathrein.de"
"317","G. Siempelkamp GmbH & Co. KG","845.4","2,935","Siempelkamp","1883","Private","4","No","Yes","Industrial Manufacturing","Krefeld","NW","www.siempelkamp.com"
"318","Schatt Holding GmbH","837.7","1,996","Schatt","1985","Private","2","No","No","Industrial Manufacturing","Thansau","BY","www.schattdecor.de"
"319","Georg Jos. Kaes GmbH","837.0","2,410","Hermann","1865","Private","5","Yes","No","Consumer Products","Mauerstetten","BY","www.v-markt.de"
"320","Compugroup Medical SE","836.7","5,000","Gotthardt","1987","Public","2","Yes","No","Healthcare","Koblenz","RP","www.compugroup.com"
"321","Simba Toys GmbH & Co. KG","833.5","4,140","Sieber","1982","Private","2","Yes","No","Consumer Products","Fürth","BY","www.simba-dickie-group.de"
"322","Walter Klein Group (WKW)","832.2","4,571","Mayer","1940","Private","N.A.","No","No","Automotive","Wuppertal","NW","www.wkw.de"
"323","Autohaus Wolfsburg Heitmann GmbH U. Co. KG","831.2","1,973","Heitmann, Hotz","1952","Private","2","No","No","Retail","Wolfsburg","NI","www.autohaus-wolfsburg.de"
"324","Gegenbauer Holding SE & Co. KG","821.5","17,947","Gegenbauer","1925","Private","2","No","No","Profe ional Services","Berlin","BB","www.gegenbauer.de"
"325","Wünsche GmbH & Co. KG","821.1","1,080","Wünsche","1934","Private","3","Yes","No","Consumer Products","Hamburg","HH","www.whi.de"
"326","Rheinisch-Bergische Verlagsges. Mbh","819.1","5,428","Arnold, Betz, Droste, Alt, Ebel","1946","Private","2","Yes","No","Media and Entertainment","Dü eldorf","NW","www.rp-online.de"
"327","Eppendorf AG","817.2","3,367","Hinz, Netheler","1945","Private","3","No","Yes","Pharmaceuticals and Life Sciences","Hamburg","HH","www.eppendorf.de"
"328","Wortmann AG","816.7","580","Wortmann, Knicker","1986","Private","2","Yes","No","Technology","Hüllhorst","NW","www.wortmann.de"
"329","Autohaus Heermann und Rhein GmbH","815.2","1,165","Rhein","1924","Private","4","Yes","No","Retail","Heilbronn","BW","www.heermann-rhein.de"
"330","Woco GmbH & Co. KG","812.9","6,456","Wolf","1956","Private","2","Yes","No","Automotive","Bad Soden-Salmünster","HE","www.wocogroup.com"
"331","Scherdel GmbH","812.9","5,500","Scherdel","1890","Private","4","Yes","No","Industrial Manufacturing","Marktredwitz","BY","www.scherdel.de"
"332","Hugo Kern und Liebers GmbH & Co. KG Platinen- und Federnfabrik","810.9","8,000","Steim","1888","Private","6","No","No","Industrial Manufacturing","Schramberg","BW","www.kern-liebers.de"
"333","Beresa GmbH & Co. KG","808.3","1,030","Longerich, Ahlemeyer, Kirchhoff","1911","Private","3","No","No","Retail","Münster","NW","www.beresa.de"
"334","Graf Hardenberg GmbH","808.3","1,332","Hardenberg","1919","Private","4","No","No","Retail","Karlsruhe","BW","www.grafhardenberg.de"
"335","Pfeiffer & May SE","807.6","2,500","Pfeiffer, May","1906","Private","4","No","No","Industrial Manufacturing","Karlsruhe","BW","www.pfeiffer-may.de"
"336","Bremer AG","807.2","686","Bremer","1947","Private","3","No","No","Industrial Manufacturing","Paderborn","NW","www.bremerbau.de"
"337","J. Bauer GmbH & Co. KG","806.9","1,500","Bauer","1887","Private","5","Yes","No","Foods and Beverages","Wa erburg am Inn","BY","www.bauer-milch.de"
"338","Verlagsgesellschaft Madsack GmbH & Co. KG","803.3","3,563","Madsack","1893","Private","3","No","No","Media and Entertainment","Hannover","NI","www.madsack.de"
"339","Biotronik SE & Co. KG","801.3","4,500","Schaldach","1963","Private","2","No","No","Healthcare","Berlin","BE","www.biotronik.de"
"340","E. Breuninger","798.9","5,373","Van Agtmael, Meilicke, Bretschneider, Seidel","1881","Private","3","No","No","Retail","Stuttgart","BW","www.breuninger.com"
"341","Mewa Textil-Service AG","792.2","5,600","Gebauer","1908","Private","3","Yes","Yes","Retail","Wiesbaden","HE","www.mewa.de"
"342","Zentis GmbH & Co. KG","789.2","2,001","Döring, Zentis, Goerdt","1893","Private","4","No","No","Foods and Beverages","Aachen","NW","www.zentis.de"
"343","Allgeier SE","788.7","9,600","Dürschmidt, Dinsel","1977","Public","1","Yes","No","Technology","München","BY","www.allgeier.com"
"344","JCK Holding","787.6","1,531","Kollmann, Güldenpfennig","1838","Private","4","Yes","No","Consumer Products","Quakenbrück","NI","www.jck.de"
"345","Sennheiser electronic GmbH & Co. KG","787.3","2,726","Sennheiser","1945","Private","3","Yes","No","Consumer Products","Wedemark","NI","www.sennheiser.com"
"346","Schwanhäußer Industrie Holding GmbH & Co. KG","786.8","4,899","Schwanhäußer","1855","Private","5","Yes","No","Profe ional Services","Heroldsberg","BY","www.schwan-stabilo.com"
"347","Lexzau, Scharbau GmbH & Co. KG","786.4","2,000","Conrad","1879","Private","2","Yes","No","Transportation and Logistics","Bremen","HB","www.leschaco.com"
"348","Brückner Verwaltungsges. Mbh","781.8","2,600","Brückner","1960","Private","2","No","No","Financial Services","Siegsdorf","BY","www.brueckner.com"
"349","C. Melchers GmbH & Co. KG","777.3","1,545","Melchers, Helms, Clau en","1806","Private","7","Yes","No","Industrial Manufacturing","Bremen","HB","www.melchers.de"
"350","OQEMA AG","776.3","807","Overlack","1922","Private","3","Yes","Yes","Industrial Manufacturing","Mönchengladbach","NW","www.overlack.de"
"351","Thomas Duvenbeck Holding GmbH","774.0","5,900","Duvenbeck","1932","Private","3","Yes","No","Transportation and Logistics","Bocholt","NW","www.duvenbeck.de"
"352","Bizerba GmbH & Co. KG","772.8","4,146","Kraut","1866","Private","5","Yes","No","Technology","Balingen","BW","www.bizerba.de"
"353","Wuppermann AG","768.5","1,492","Wuppermann","1872","Private","5","Yes","No","Industrial Manufacturing","Leverkusen","NW","www.wuppermann.com"
"354","Lambertz Beteiligungs GmbH","764.6","4,000","Buehlbecker","1688","Private","9","Yes","No","Foods and Beverages","Aachen","NW","www.lambertz.de"
"355","Hoberg & Driesch GmbH","759.4","2,398","Hoberg, Driesch","1948","Private","3","No","No","Industrial Manufacturing","Dü eldorf","NW","www.hoberg-driesch.de"
"356","Siegfried Jacob Metallwerke GmbH & Co. KG","756.2","1,246","Jacob","1953","Private","3","Yes","No","Profe ional Services","Ennepetal","NW","www.jacob-metall.de"
"357","Erwo Holding AG","755.7","3,200","Steger","1918","Private","2","Yes","No","Consumer Products","Schwaig","BY","www.erwo.de"
"358","A. W. Faber-Castell Unternehmensverwaltung GmbH","755.3","8,785","Faber-Castell","1761","Private","9","No","No","Financial Services","Stein","BY","www.faber-castell.de"
"359","Rosier Holding GmbH & Co. KG","755.2","1,180","Rosier","1927","Private","3","Yes","No","Retail","Menden","NW","www.rosier.de"
"360","Ara AG","754.0","9,570","Röseler","1949","Private","2","No","No","Consumer Products","Langenfeld","NW","www.ara-shoes.de"
"361","L&O Group","752.1","2,603","Lüke, Ortmeier","1912","Private","N.A.","No","No","Profe ional Services","Emsdetten","NW","www.sigsauer.de; blaser-group.com"
"362","Trilux GmbH & Co. KG","751.3","5,000","Lenze","1912","Private","4","No","No","Industrial Manufacturing","Arnsberg","NW","www.trilux.de"
"363","Roto Frank AG","750.8","4,600","Frank","1935","Private","3","No","No","Industrial Manufacturing","Leinfelden-Echterdingen","BW","www.roto-frank.com"
"364","Nord Drivesystems KG","748.8","3,338","Küchenmeister","1965","Private","2","Yes","Yes","Industrial Manufacturing","Bargteheide","SH","www.nord.com"
"365","Fev Group GmbH","748.8","5,826","Pischinger","1978","Private","2","Yes","No","Automotive","Aachen","NW","www.fev.com"
"366","Topp Holding AG / Libri","748.8","1,089","Wolfgang und Michael Herz","1928","Private","2","Yes","No","Retail","Hamburg","HH","www.libri.de"
"367","Wilhelm Böllhoff GmbH & Co. KG","745.4","3,100","Böllhoff","1877","Private","4","Yes","No","Industrial Manufacturing","Bielefeld","NW","www.boellhoff.com"
"368","Gebr. Dingerkus GmbH & Co. KG.","744.2","4,200","Hillesheim","1910","Private","4","No","No","Automotive","Attendorn","NW","www.gedia.com"
"369","TTS Tooltechnic Systems AG & Co. KG","744.2","2,800","Maier-Stoll","1925","Private","2","Yes","No","Industrial Manufacturing","Wendlingen","BW","www.tooltechnicsystems.com"
"370","Witte Automotive GmbH","744.2","5,300","Gölz","1899","Private","5","Yes","No","Automotive","Velbert","NW","www.witte-automotive.de"
"371","Pepperl + Fuchs GmbH","744.2","6,000","Müller-Michael, Fuchs","1945","Private","3","No","No","Technology","Mannheim","BW","www.pepperl-fuchs.com"
"372","Veritas AG","740.7","3,807","Hehl, Krebaum-Marschollek","1849","Private","3","Yes","No","Automotive","Gelnhausen","HE","www.veritas-ag.de"
"373","Witzenmann GmbH","736.8","4,300","von Trotha, Witzenmann","1854","Private","5","No","No","Industrial Manufacturing","Pforzheim","BW","www.witzenmann.de"
"374","Kohl Medical AG","736.3","800","Kohl","1979","Private","2","Yes","Yes","Healthcare","Merzig","SL","www.kohlmedical.de"
"375","Medien Union GmbH","730.6","3,648","Schaub, Lenk, Rei , ...","1945","Private","3","Yes","No","Media and Entertainment","Ludwigshafen am Rhein","RP","www.rheinpfalz.de"
"376","Mapal Fabrik für Präzisionswerkzeuge Dr. Kre  KG","730.2","5,133","Kre ","1950","Private","3","Yes","No","Industrial Manufacturing","Aalen","BW","www.mapal.com"
"377","Dumont Mediengruppe GmbH & Co.KG","724.7","4,000","DuMont Schütte, Neven DuMont","1620","Private","12","No","No","Media and Entertainment","Köln","NW","www.dumont.de"
"378","Karl Mayer Holding GmbH & Co. KG","723.3","2,500","Mayer, Forker","1937","Private","4","No","No","Industrial Manufacturing","Obertshausen","HE","www.karlmayer.de"
"379","Samson AG","722.5","4,400","Sandvo , Nothdurft","1907","Private","4","No","No","Industrial Manufacturing","Frankfurt am Main","HE","www.samson.de"
"380","Max Weishaupt GmbH","721.3","3,580","Weishaupt","1932","Private","2","Yes","No","Industrial Manufacturing","Schwendi","BW","www.weishaupt.de"
"381","Sarstedt AG & Co. KG","719.0","2,700","Sarstedt","1961","Private","2","No","No","Healthcare","Nümbrecht","NW","www.sarstedt.com"
"382","Autohaus Adelbert Moll GmbH & Co. KG","718.2","528","Moll","1932","Private","3","Yes","Yes","Retail","Dü eldorf","NW","www.moll.de"
"383","Tiemeyer Automobile AG","717.9","1,166","Tiemeyer","1953","Private","2","Yes","No","Retail","Bochum","NW","www.tiemeyer.de"
"384","Gp Günter Papenburg AG","715.1","3,500","Papenburg","1963","Private","3","Yes","Yes","Industrial Manufacturing","Hannover","ST","www.gp.ag"
"385","Frischli Milchwerke GmbH","711.5","743","Schäkel, Holtorf, Winkelmann","1901","Private","4","Yes","No","Foods and Beverages","Rehburg-Loccum","NI","www.frischli.de"
"386","Häcker Küchen GmbH & Co. KG","710.5","1,500","Finkemeier","1898","Private","4","Yes","No","Consumer Products","Rödinghausen","NW","www.haecker-kuechen.de"
"387","Fruchthof Nagel GmbH","710.2","142","Löffler","1949","Private","3","Yes","No","Foods and Beverages","Neu-Ulm","BY","www.fruchthof.de"
"388","Lohmann & Rauscher International GmbH & Co KG.","710.0","4,474","Barthu.a.","1851","Private","6","No","No","Healthcare","Neuwied","RP","www.lohmann-rauscher.com"
"389","Fricke Group GmbH & Co. KG","709.9","2,842","Fricke","1923","Private","3","Yes","No","Industrial Manufacturing","Heeslingen","NI","www.fricke.de"
"390","Hörmann Holding GmbH & Co. KG","709.9","3,200","Hörmann","1955","Private","2","No","No","Industrial Manufacturing","Kirchseeon","BY","www.hoermann-gruppe.de"
"391","Scherer Holding GmbH & Co. KG","709.1","1,900","Scherer","1937","Private","3","Yes","No","Industrial Manufacturing","Simmern","RP","www.scherer-holding.info"
"392","Thimm Holding GmbH + Co. KG","708.1","3,028","Thimm","1949","Private","3","No","No","Industrial Manufacturing","Northeim","NI","www.thimm.de"
"393","Vetter Pharma-Fertigung GmbH & Co. KG","708.1","4,500","Vetter","1950","Private","1","No","No","Healthcare","Ravensburg","BW","www.vetter-pharma.com"
"394","Dehner GmbH & Co. KG","707.7","5,000","Weber","1947","Private","3","Yes","No","Retail","Rain","BY","www.dehner.de"
"395","Gebr. Hüttenes GmbH & Co. KG","701.2","1,444","Hüttenes, Kuhlgatz","1905","Private","4","Yes","No","Industrial Manufacturing","Dü eldorf","NW","www.huettenes-albertus.com"
"396","Leipa Georg Leinfelder GmbH","699.9","1,523","Schrödinger","1847","Private","N.A.","No","No","Industrial Manufacturing","Schwedt","BB","www.leipa.de"
"397","Mast-Jagermeister Se","699.7","1,000","Rehm, Flügel, Kreuter","1878","Private","5","No","No","Foods and Beverages","Wolfenbüttel","NI","www.jaegermeister.de"
"398","Riha Wesergold Getränke GmbH & Co. KG","698.9","2,064","Hartinger","1934","Private","3","Yes","No","Foods and Beverages","Rinteln","NI","www.riha.de"
"399","Centrotec Sustainable AG","697.7","3,115","Kra ","1981","Public","1","No","No","Industrial Manufacturing","Brilon","NW","www.centrotec.de"
"400","Zschimmer & Schwarz Holding GmbH & Co KG","695.6","1,312","Schwarz, Zschimmer","1894","Private","5","No","No","Industrial Manufacturing","Lahnstein","RP","www.zschimmer-schwarz.com"
"401","S&G Leasing GmbH & Co. KG","695.0","1,396","Schoemperlen, Gast","1898","Private","5","No","No","Financial Services","Karlsruhe","BW","www.sug.de"
"402","WDI - Westfälische Drahtindustrie GmbH","693.4","1,404","Pampus","1987","Private","2","Yes","No","Industrial Manufacturing","Hamm","NW","www.wdi.de"
"403","Heinrich Winkelmann Vermögen + Kapital GmbH & Co. KG","693.0","4,000","Winkelmann","1898","Private","4","Yes","No","Industrial Manufacturing","Ahlen","NW","www.winkelmann-group.de"
