"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"457","Erich Netzsch GmbH & Co. Holding KG","611.4","3,550","Netzsch","1873","Private","5","Yes","No","Industrial Manufacturing","Selb","BY","www.netzsch.com"
"458","Autohaus Widmann GmbH & Co. KG","611.4","931","Widmann","1956","Private","2","Yes","No","Retail","Aalen","BW","www.widmannbewegt.de"
"459","Ims Gear SE & Co. KGaA","610.3","3,700","Zimber-Morat","1863","Private","5","No","No","Automotive","Donaueschingen","BW","www.imsgear.com"
"460","Westmetall GmbH & Co. KG","607.9","34","Weber","1919","Private","3","Yes","Yes","Industrial Manufacturing","Wuppertal","NW","www.westmetall.com"
"461","Alois Pöschl GmbH & Co. KG","606.8","840","Pöschl, Engels","1902","Private","4","Yes","Yes","Foods and Beverages","Geisenhausen","BY","www.poeschl-tobacco.com"
"462","Otto Kirchner Beteiligungen GmbH","606.8","4,400","Kirchner","1906","Private","3","Yes","No","Financial Services","Königsberg","BY","www.fraenkische.de"
"463","Heinrich Schmid Group","606.8","5,200","Schmid","1914","Private","4","Yes","No","Industrial Manufacturing","Reutlingen","BW","www.heinrich-schmid.de"
"464","Kögel Trailer GmbH & Co. KG","606.8","1,350","Humbaur","1934","Private","1","No","Yes","Industrial Manufacturing","Burtenbach","BY","www.koegel.com"
"465","Ei mann Automotive Deutschland GmbH","606.4","5,000","Eißmann","1964","Private","3","No","No","Automotive","Bad Urach","BW","www.ei mann.com"
"466","Ke eböhmer Holding E.K.","601.1","2,550","Ke eböhmer","1954","Private","2","Yes","No","Consumer Products","Bad E en","NI","www.ke eboehmer.com"
"467","Automobil-Verkaufs-Gesellschaft Joseph Bra  GmbH & Co. KG","600.0","1,104","Bra ","1937","Private","3","Yes","No","Retail","Aschaffenburg","BY","www.bra -gruppe.de"
"468","Ejot Holding GmbH & Co. KG","598.0","3,119","Kocherscheidt","1922","Private","3","Yes","No","Industrial Manufacturing","Bad Berleburg","NW","www.ejot.com"
"469","Hawesko Holding GmbH","596.7","1,170","Meyer","1964","Public","2","No","No","Consumer Products","Hamburg","HH","www.hawesko.com"
"470","Berger Holding GmbH","596.2","2,572","Berger","1905","Private","4","Yes","No","Industrial Manufacturing","Pa au","BY","www.bergerholding.eu"
"471","Lorenz Snack-World Holding GmbH","595.4","1,950","Bahlsen","1889","Private","4","No","Yes","Foods and Beverages","Neu-Isenburg","HE","www.lorenz-snackworld.de"
"472","Moritz J. Weig GmbH & Co. KG","595.4","1,500","Weig","1931","Private","3","Yes","No","Industrial Manufacturing","Mayen","RP","www.weig-packaging.de"
"473","Vector Stiftung","595.4","2,000","Hindereru.a.","1988","Private","1","Yes","No","Technology","Stuttgart","BW","www.vector.com"
"474","Helu Kabel GmbH","592.2","1,442","Luksch","1978","Private","1","Yes","No","Industrial Manufacturing","Hemmingen","BW","www.helukabel.de"
"475","Gretsch-Unitas GmbH","590.7","1,650","Von Resch","1907","Private","5","Yes","No","Technology","Ditzingen","BW","www.g-u.com"
"476","Georg Nordmann Holding AG","590.0","750","Nordmann","1912","Private","4","No","Yes","Industrial Manufacturing","Hamburg","HH","www.nrc.de"
"477","Heinrich Schmidt Group","588.4","433","Schmidt","1960","Private","3","Yes","No","Industrial Manufacturing","Mönchengladbach","NW","www.heinrich-schmidt-gruppe.de"
"478","Boschgotthardshütte O. Breyer GmbH","587.2","1,821","Winterhager","1466","Private","3","Yes","No","Industrial Manufacturing","Freital","SN","www.bgh.de"
"479","A. Hartrodt (GmbH & Co.) KG","587.1","2,078","Wenzel, van Tienhoven","1887","Private","2","Yes","No","Transportation and Logistics","Hamburg","HH","www.hartrodt.com"
"480","Coroplast Fritz Müller GmbH & Co.KG","586.1","6,200","Müller","1928","Private","3","Yes","Yes","Industrial Manufacturing","Wuppertal","NW","www.coroplast.de"
"481","Grie on - De Beukelaer GmbH & Co. KG","585.2","2,052","Gries, Land","1924","Private","3","No","Yes","Foods and Beverages","Polch","RP","www.grie on-debeukelaer.de"
"482","Frosta AG","584.3","1,779","Ahlers","1961","Public","2","Yes","No","Foods and Beverages","Bremerhaven","HB","www.frosta-ag.com"
"483","Alfred Ritter GmbH & Co.KG","583.9","1,089","Ritter","1912","Private","3","No","No","Foods and Beverages","Waldenbuch","BW","www.ritter-sport.de"
"484","Auto-Scholz GmbH & Co. KG","583.9","1,098","Eidenmüller, Prickel","1894","Private","4","Yes","No","Retail","Bamberg","BY","www.auto-scholz.de"
"485","Develey Holding GmbH & Co. Beteiligungs KG","583.9","2,300","Durach","1845","Private","2","Yes","No","Foods and Beverages","Unterhaching","BY","www.develey.de"
"486","Kemna Bau Andreae GmbH & Co. KG","583.9","1,816","Kemna, Andreae","1867","Private","4","No","No","Industrial Manufacturing","Pinneberg","SH","www.kemna.de"
"487","Haver & Boecker Ohg","579.3","2,954","Festge, Haver","1887","Private","4","Yes","No","Industrial Manufacturing","Oelde","NW","www.haverboecker.com"
"488","Richard Kehr GmbH & Co. KG","577.7","381","Kehr","1924","Private","3","Yes","No","Retail","Braunschweig","NI","www.kehr.de"
"489","Schüller Möbelwerk KG","577.1","1,662","Schüller","1966","Private","2","Yes","No","Consumer Products","Herrieden","BY","www.schueller.de"
"490","Verlag C.H. Beck Ohg","574.7","2,092","Beck","1763","Private","7","Yes","No","Media and Entertainment","München","BY","www.beck.de"
"491","Trox GmbH","574.0","4,000","Trox","1951","Private","2","No","No","Industrial Manufacturing","Neukirchen-Vluyn","NW","www.trox.de"
"492","Birkenstock GmbH & Co. KG","570.2","2,552","Birkenstock","1774","Private","6","No","No","Retail","Neustadt (Wied)","RP","www.birkenstock-group.com"
"493","Lukad Holding GmbH & Co. KG","570.0","2,512","Menshen","1955","Private","3","Yes","Yes","Industrial Manufacturing","Werdohl","NW","www.lukad.com"
"494","Linde + Wiemann GmbH-KG","569.7","2,330","Schoof, Mauden","1939","Private","3","Yes","No","Automotive","Dillenburg","HE","www.linde-wiemann.com"
"495","Dieffenbacher GmbH","568.3","1,700","Dieffenbacher","1873","Private","5","Yes","No","Industrial Manufacturing","Eppingen","BW","www.dieffenbacher.de"
"496","Mediengruppe Pre edruck","564.9","3,600","Holland, Scherer","1945","Private","3","Yes","Yes","Media and Entertainment","Augsburg","BY","www.mediengruppe-pd.de"
"497","Index-Werke GmbH & Co. KG","563.6","2,032","Hahn","1914","Private","N.A.","No","No","Industrial Manufacturing","E lingen","BW","www.index-werke.de"
"498","Dr. Theodor Stiebel Werke GmbH & Co. KG","557.2","3,700","Stiebel","1924","Private","3","No","No","Financial Services","Holzminden","NI","www.stiebel-eltron.de"
"499","Amazonen-Werke H. Dreyer GmbH & Co. KG","557.1","1,850","Dreyer","1883","Private","4","Yes","No","Industrial Manufacturing","Hasbergen","NI","www.amazone.de"
"500","W. Markgraf GmbH & Co KG Bauunternehmung","556.5","968","Markgraf","1932","Private","3","No","No","Industrial Manufacturing","Bayreuth","BY","www.markgraf-bau.de/"
