categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
"['Pharmaceuticals', 'Biotech']",-4.23%,-71.22%,USA,63a055bfa82f4ee3ae226018eea53b0c,$0.19 B,Invivyd,6218,$1.81
"['Oil&Gas', 'Energy']",-1.75%,-4.11%,USA,ffead6aec6b049e289758d2ee5bca887,$0.19 B,Csi Compressco,6217,$1.40
"['Insurance', 'Financial services']",1.36%,53.85%,Canada,75a8a03bfc9545c1ad14928d3b98c5f6,$0.19 B,Kingsway Financial Services,6216,$8.20
"['Software', 'Tech']",3.33%,-73.25%,Switzerland,ceba0941d84a410cb6a8a45129f899cb,$0.19 B,Sophia Genetics,6215,$3.10
['Telecommunications equipment'],0.29%,16.29%,USA,31ab6cc7991a4943bdbeb5f78da07a7f,$0.19 B,Kvh Industries,6214,$10.42
['Automotive Suppliers'],-1.15%,41.27%,India,623d452f09d449348a6bc88af7bfbd6b,$0.19 B,Lumax Industries,6213,$21.36
"['Software', 'Tech']",2.69%,41.11%,USA,d84f6af638fb45b684feed7c499fd28c,$0.19 B,Asure Software,6212,$9.92
"['REITs', 'Real estate', 'Investment']",1.27%,-30.61%,USA,ca7f7b7769b64d61827a914f139fc4fe,$0.20 B,Great Ajax,6211,$8.75
['Cannabis'],-4.69%,-67.96%,USA,e85e410547b34c87944fe970b396eac0,$0.20 B,Planet13,6210,$0.91
"['Pharmaceuticals', 'Biotech']",2.18%,-44.58%,Netherlands,e8f2d5afa9da4bbf8c2796d0caee13f6,$0.20 B,Proqr,6209,$2.81
"['Investment', 'Financial services']",2.65%,-7.99%,USA,1d3ce0f9a7c2476a84779d799e5e0a6b,$0.20 B,Lcnb,6208,$17.84
"['Biotech', 'Pharmaceuticals']",11.06%,-44.47%,Switzerland,fcf41b39c04b4c78be8160790af2286a,$0.20 B,Ac Immune,6207,$2.41
"['Oil&Gas', 'Energy']",0.63%,,Sweden,4c5bebf9f80c49608a69e999468324ee,$0.20 B,Tethys Oil,6206,$6.12
"['Pharmaceuticals', 'Biotech']",-1.43%,-6.12%,USA,6874b5276df844f7adf241bff710b1c4,$0.20 B,Citius Pharmaceuticals,6205,$1.38
"['Electric Vehicles', 'Automakers', 'Manufacturing']",1.12%,-9.33%,China,d38548db81b14d7fa7d195047ebed3bf,$0.20 B,Kandi Technologies Group,6204,$2.72
['Automotive Suppliers'],3.24%,156.70%,China,8c4af41242e043dc822038d11ab64c50,$0.20 B,China Automotive Systems,6203,$6.70
['Telecommunication'],-4.05%,-21.95%,India,c7e87eb343114dc7b6f43fff517cc493,$0.20 B,Mahanagar Telephone Nigam,6202,$0.32
"['Gambling', 'Entertainment']",2.68%,-29.93%,USA,2aff22e5832c4086945764fbf21e83bf,$0.20 B,Playags,6201,$5.36
['Manufacturing'],2.37%,-50.89%,Israel,3e1aa02fd8434e91ade7cc91046be79d,$0.20 B,Caesarstone,6184,$6.05
"['Banks', 'Financial services']",2.56%,16.03%,USA,aed296ddffeb498b923cfa553bf81d0b,$0.20 B,Mainstreet Bancshares,6183,$28.08
"['Banks', 'Financial services']",1.05%,-34.36%,Canada,5553dfd32b1e4d958de9dc199a67f11f,$0.20 B,Versabank,6182,$7.68
"['Banks', 'Financial services']",-0.32%,9.12%,USA,de83bed045734815972458131d447293,$0.20 B,Western New England Bancorp,6181,$9.45
['Sports goods'],1.61%,-49.00%,USA,a90319c71d0c45f9bba421e363a15631,$0.20 B,Big 5 Sporting Goods,6180,$9.45
"['Tech', 'Tech Hardware', 'Lidar', 'Autonomous driving']",1.79%,-67.05%,USA,9c59d4f9536e4fc9a31b1299bb504ec0,$0.21 B,Ouster,6179,$1.14
"['Banks', 'Financial services']",1.90%,15.14%,USA,420ca9bc97b746ac87cff1bbb761d374,$0.21 B,Investar Holding,6178,$21.45
"['Engineering', 'Professional services']",-1.13%,13.28%,USA,fa11c8dc530e4c19b3c9a478dffa1ff0,$0.21 B,Matrix Service,6177,$7.85
"['Manufacturing', 'auto parts', 'Automotive Suppliers']",0.13%,21.66%,India,5aa857ce528b4e04b9a22b7e40fdc152,$0.21 B,Federal-mogul Goetze,6176,$3.82
"['Pharmaceuticals', 'Biotech']",11.36%,-69.93%,USA,6c0c25aaff454ac89b50b57bfa3973db,$0.21 B,Praxis Precision Medicines,6175,$4.51
,4.13%,87.20%,India,1c0e3406cb714b57998045947a337243,$0.21 B,Tamil Nadu Newsprint And Papers Limited,6174,$3.07
,-0.02%,-37.71%,India,8e81985c80ca43678f99344b23a9fd81,$0.21 B,Tide Water Oil,6173,$12.24
['Utility companies'],-1.33%,-27.43%,USA,489fc9aec01a4a29b4653a39ffb77277,$0.21 B,Pure Cycle (water),6172,$8.89
['Financial services'],10.29%,-66.09%,USA,2e7681413f4648d5b8e2e0d54ec5db01,$0.21 B,Oportun Financial,6171,$6.43
['Renewable energy'],-5.13%,-35.04%,Israel,be2545cf895d4357b2eab23101764a61,$0.21 B,Ellomay Capital,6170,$16.61
"['Aerospace', 'Software', 'Tech']",2.33%,-35.77%,USA,0dfefd73995245918d78369eb31a4102,$0.21 B,Blacksky Technology,6169,$1.76
"['Retail', 'Clothing']",1.69%,-35.58%,USA,599209cd0561497c80248c21ba5d0e70,$0.21 B,Cato Fashion,6168,$10.23
['Automotive Suppliers'],0.48%,-42.05%,USA,c63891190cd6435a9883ebe084e54009,$0.21 B,Cooper Standard,6167,$12.50
['Dietary supplements'],9.86%,-20.12%,USA,eae4c68578f5477786d1767bbc28a2b7,$0.21 B,Thorne Healthtech,6166,$4.01
"['Food', 'Restaurant chains']",1.85%,-11.37%,USA,e07a6e90f046469ab430987e71cf7b0b,$0.21 B,Fiesta Restaurant Group,6165,$8.26
"['Pharmaceuticals', 'Biotech']",2.98%,-3.86%,USA,3c9bf0bd260e433a9f7afcaf0d8fe503,$0.21 B,Kempharm,6164,$6.23
['Healthcare'],4.14%,11.85%,USA,4b93b01a0c73481ca2f822d018e4741f,$0.21 B,Quipt Home Medical,6163,$6.04
"['Banks', 'Financial services']",1.03%,18.16%,USA,8e6d66a6d57f462f94da78029e74a816,$0.21 B,Essa Bancorp,6162,$20.69
"['Restaurant chains', 'Food']",1.08%,31.98%,USA,c92888cf337e4827aab3233db9c0c21f,$0.21 B,Potbelly Corporation,6161,$7.47
['Healthcare'],4.50%,-80.14%,USA,7fb2dc62f3604250b299b690080e07aa,$0.21 B,Aveanna Healthcare,6160,$1.16
"['Pharmaceuticals', 'Biotech']",3.26%,56.16%,USA,a20ea467af3544a9b66df9a9364af921,$0.21 B,Scpharmaceuticals,6159,$6.34
,-1.03%,-9.73%,USA,4f5583ef4c354833ad31eee1b737bfd2,$0.21 B,Avita Medical,6158,$8.63
,-0.76%,-36.92%,India,9320b4c5534c457e9bb07ab2e202135e,$0.21 B,Greenply,6157,$1.76
['Investment'],0.45%,-8.35%,USA,de5da49f28fc48d0a87b2842e5064808,$0.21 B,Portman Ridge,6156,$22.50
"['Banks', 'Financial services']",0.83%,-2.62%,USA,bcf80dbc93854e01a05d819889dc4250,$0.21 B,Ames National Corp.,6155,$24.18
"['Banks', 'Financial services']",-0.03%,-2.42%,USA,60645c657a9e4d9ba7dff2169676fb13,$0.21 B,Evans Bancorp,6154,$39.48
"['Banks', 'Financial services']",-0.22%,7.04%,USA,52eecec871c14dd4ac065e823e287965,$0.21 B,Middlefield Banc,6153,$27.51
"['Footwear', 'Manufacturing']",1.56%,-25.06%,USA,eed0d74cb3934a34ac39eec91671b1e2,$0.21 B,Rocky Brands,6152,$29.94
"['Oil&Gas', 'Energy']",-0.15%,-40.93%,India,d83b0ed51027413691c6373badf7a796,$0.21 B,Hindustan Oil Exploration Company,6151,$1.66
"['Cement', 'Building materials']",-2.06%,6.25%,India,244ae41ca9274b899d23760dc7bcc572,$0.21 B,Sanghi Industries,6150,$0.85
"['Real estate', 'Investment', 'REITs']",6.28%,-28.94%,USA,4886ee5a8dd94f5f97e0f31e65c2e933,$0.22 B,Ashford Hospitality Trust,6149,$6.09
"['Video games', 'Entertainment']",0.19%,-21.37%,Japan,f53068add1564da9a5d669a606e65a37,$0.22 B,Furyu,6148,$8.28
"['Video games', 'Entertainment']",-3.92%,278.80%,Japan,7176a2e9260643caa53010ee88b2abcf,$0.22 B,Bank Of Innovation,6147,$55.04
"['Tech', 'Professional services', 'IT services']",-3.40%,-75.62%,Australia,6559a249730a4b7b905e71796008b646,$0.22 B,Appen,6146,$1.78
['Entertainment'],6.43%,-21.59%,USA,acc55adf6b9842c7ad9f08da8b5859c9,$0.22 B,Genius Brands,6145,$0.69
['Medical devices'],1.93%,,USA,de919d2d608f4ebb9869ba0a33154487,$0.22 B,Zimvie,6144,$8.46
['Food'],-0.08%,-19.78%,India,75916d6a6401437d881825d4a09af815,$0.22 B,Vidhi Specialty Food,6143,$4.42
,1.17%,16.42%,India,9dc64338b42c401db1d2e5aced74688a,$0.22 B,Gallantt Ispat,6142,$0.78
