ceo,country,founded,industry,link,name,rank,revenue
Bobby Kotick,USA,2008,"['Communication Services', 'Software and IT', 'Software Products', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Gaming', 'Entertainment', 'Technology']",https://www.value.today/company/activision-blizzard,ACTIVISION BLIZZARD,387,"8,803 Million USD"
Wang Dongjin,China,1999,"['Energy', 'Oil and Gas', 'Natural Gas Generation']",https://www.value.today/company/cnooc,CNOOC LIMITED,393,"23,007 Million USD"
Scott D. Sheffield,USA,1997,"['Energy', 'Oil and Gas', 'Natural Gas Generation', 'Petroleum']",https://www.value.today/company/pioneer-natural-resources-company,PIONEER NATURAL RESOURCES COMPANY,400,"17,870 Million USD"
Takeshi Kunibe,Japan,2002,"['Financial Services', 'Banking Services']",https://www.value.today/company/sumitomo-mitsui-financial-group,SUMITOMO MITSUI FINANCIAL GROUP,392,"25,639 Million USD"
Zhu Hexin,China,1995,"['Financial Services', 'Banking Services', 'Asset Management', 'Wealth Management', 'Brokerage Services', 'Investments', 'Stock Markets, Trading, Capital Markets']",https://www.value.today/company/citic-securities-company,CITIC SECURITIES COMPANY,398,"11,001 Million USD"
Arthur F. Ryan,UK,1848,"['Financial Services', 'Insurance', 'Asset Management']",https://www.value.today/company/prudential,PRUDENTIAL,391,"26,500 Million USD"
David B. Baszucki,USA,2004,"['Gaming', 'Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Entertainment', 'Leisure']",https://www.value.today/company/roblox,ROBLOX CORP,397,"1,919 Million USD"
Neil Hunn,USA,1981,"['Industries', 'Engineering Products', 'Technology Hardware and Instruments', 'Electrical Products', 'Machinery Manufacturing', 'Capital Goods', 'Technology', 'Manufacturing', 'Industry Machinery']",https://www.value.today/company/roper-technologies,ROPER TECHNOLOGIES,399,"5,777 Million USD"
Ari Bousbib,USA,1982,"['Healthcare', 'Pharmaceutical', 'Market Research', 'Biotechnology', 'HealthCare Products', 'Technology', 'Healthcare Service', 'Health Care Diagnostics']",https://www.value.today/company/iqvia-holdings,IQVIA HOLDINGS,396,"13,874 Million USD"
Andrew Gould,USA,1926,"['Energy', 'Oil and Gas', 'Oil Field Services']",https://www.value.today/company/schlumberger,SCHLUMBERGER,394,"22,929 Million USD"
Martin H. Loeffler,USA,1932,"['Technology', 'Electronics', 'Cables and Wires', 'Electrical Products', 'Capital Goods', 'Technology Hardware and Instruments', 'Industrial Electrical Electronics']",https://www.value.today/company/amphenol-corporation,AMPHENOL CORPORATION,395,"10,876 Million USD"
Michael Chaney AO,Australia,1914,"['Consumer Cyclical', 'Conglomerate', 'Retail', 'Super Markets', 'Fertilizers', 'Chemicals', 'Mining', 'Coal Mining', 'Consumer Non Durables']",https://www.value.today/company/wesfarmers,WESFARMERS,406,"23,397 Million USD"
Markus Mosa,Germany,Not found,"['Retail', 'Super Markets']",https://www.value.today/company/edeka,EDEKA GROUP,405,"70,615 Million USD"
Conni Jonsson,Sweden,1994,"['Financial Services', 'Investments', 'Asset Management']",https://www.value.today/company/eqt-ab-publ,EQT AB (PUBL),402,150 Million USD
Francois Poirier,Canada,1951,"['Energy', 'Oil and Gas', 'Infrastructure', 'Electricity Generation', 'Power Generation', 'Natural Gas Generation', 'Oil and Gas Pipeline Transport', 'Utilities', 'Gas Utilities', 'Electric Utilities']",https://www.value.today/company/tc-energy-corporation,TC ENERGY CORPORATION,405,"10,694 Million USD"
Dennis Segers,USA,1984,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Processors / Chips']",https://www.value.today/company/xilinx,XILINX,403,"3,160 Million USD"
Takehiko Kakiuchi,Japan,1950,"['Industries', 'Chemicals', 'Energy', 'Financial Services', 'Oil and Gas', 'Petrochemicals', 'Metals', 'Automobile', 'Petroleum', 'Banking Services', 'Conglomerate', 'Mining']",https://www.value.today/company/mitsubishi-corporation,MITSUBISHI CORPORATION,404,"125,980 Million USD"
Nigel Higgins,UK,1896,"['Financial Services', 'Banking Services', 'Wealth Management', 'Asset Management']",https://www.value.today/company/barclays,BARCLAYS PLC,407,0 Million USD
Mirko Bibic,Canada,1983,"['Communication Services', 'Telecom', 'Mobile Services', 'Fixed Line Service', 'Internet Providers', 'Television Services', 'Radio Broadcasting', 'Media', 'Utilities', 'Telecom Equipment', 'Advertising', 'Broadcasting']",https://www.value.today/company/bce,BCE (Bell Canada Enterprises),408,"18,731 Million USD"
Thomas J. Falk,USA,1872,"['Consumer Defensive', 'FMCG', 'Personal Care Products', 'Consumer Durables']",https://www.value.today/company/kimberly-clark-corporation,KIMBERLY-CLARK CORPORATION,401,"19,440 Million USD"
Wayne W Murdy,USA,1921,"['Basic Materials', 'Mining', 'Metals', 'Gold Mining', 'Precious Metals']",https://www.value.today/company/newmont-goldcorp-corporation,NEWMONT CORPORATION,409,"12,222 Million USD"
C Vijayakumar,India,1976,"['Technology', 'Software and IT', 'Software Products', 'Software Outsourcing Services', 'Software Consulting Services', 'Consulting Services', 'Outsourcing and Staffing']",https://www.value.today/company/hcl-technologies,HCL TECHNOLOGIES,412,"11,295 Million USD"
Bin Li,China,2014,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Cars', 'Electric Vehicles', 'Passenger Vehicles']",https://www.value.today/company/nio,NIO INC,416,"5,677 Million USD"
Andrey Bougrov,Russia,1993,"['Basic Materials', 'Mining', 'Metals', 'Nickel', 'Copper Mining', 'Platinum']",https://www.value.today/company/mmc-norilsk-nickel,MMC NORILSK NICKEL,411,"17,852 Million USD"
Sarah Hogg,UK,1945,"['Financial Services', 'Investments', 'Asset Management']",https://www.value.today/company/3i-group,3I GROUP,410,"4,882 Million USD"
Jonathan W. Ayers,USA,1983,"['Healthcare', 'HealthCare Products', 'Pharmaceutical', 'Animal Health Medicine', 'Animal Healthcare Companies', 'Biotechnology', 'Technology', 'Health Care Diagnostics']",https://www.value.today/company/idexx-laboratories,IDEXX LABORATORIES,415,"3,215 Million USD"
Thomas Thune Andersen,Denmark,2006,"['Utilities', 'Electricity Generation', 'Power Generation', 'Energy', 'Electric Utilities', 'Renewable Energy']",https://www.value.today/company/orsted-0,ORSTED A/S,413,"11,496 Million USD"
Kurt Hilzinger,USA,1961,"['Healthcare', 'Insurance', 'Healthcare Service', 'HealthCare Products']",https://www.value.today/company/humana,HUMANA,414,"83,064 Million USD"
John Rim,South Korea,2011,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",https://www.value.today/company/samsung-biologics,SAMSUNG BIOLOGICS,417,"1,286 Million USD"
Martin Mucci,USA,1971,"['Industries', 'Software and IT', 'Software Products', 'Consumer Services', 'Outsourcing and Staffing']",https://www.value.today/company/paychex,PAYCHEX,419,"4,611 Million USD"
Stefano Pessina,USA,2014,"['Healthcare', 'Pharmacy', 'Healthcare Service', 'Retail', 'HealthCare Products']",https://www.value.today/company/walgreens-boots-alliance,WALGREENS BOOTS ALLIANCE,418,"132,510 Million USD"
Not found,USA,2010,"['Digital Payment Solution Services', 'Technology', 'Software and IT']",https://www.value.today/company/stripe,STRIPE,427,Not found
David E Oreilly,USA,1957,"['Consumer Cyclical', 'Retail', 'Automobile Parts', 'Consumer Services', 'Automobile']",https://www.value.today/company/oreilly-automotive,O'REILLY AUTOMOTIVE,425,"13,327 Million USD"
Calvin Grieder,Switzerland,1895,"['Basic Materials', 'Chemicals', 'Flavors and Fragrances', 'Consumer Non Durables']",https://www.value.today/company/givaudan-sa,GIVAUDAN SA,423,"7,105 Million USD"
Philippe Brassac,France,1894,"['Financial Services', 'Banking Services']",https://www.value.today/company/credit-agricole,CREDIT AGRICOLE,421,0 Million USD
Qin Yinglin,China,1992,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'FMCG', 'Farming / Seeds / Milling']",https://www.value.today/company/muyuan-foods,MUYUAN FOODS,420,"11,480 Million USD"
Richard Sands,USA,1995,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages', 'Beer', 'Wine', 'FMCG', 'Consumer Non Durables']",https://www.value.today/company/constellation-brands,CONSTELLATION BRANDS,422,"8,820 Million USD"
Ashwin Dani,India,1942,"['Basic Materials', 'Chemicals', 'Paints and Coatings', 'Construction Materials']",https://www.value.today/company/asian-paints,ASIAN PAINTS,426,"3,623 Million USD"
Anirudh Devgan,USA,1988,"['Technology', 'Software and IT', 'Software Products', 'Technology Hardware and Instruments', 'Processors / Chips', 'Semiconductors', 'Electronics']",https://www.value.today/company/cadence-design-systems,CADENCE DESIGN SYSTEMS,424,"2,988 Million USD"
Elon Musk,USA,2002,"['Satellites', 'Rockets', 'Technology']",https://www.value.today/company/spacex,SPACEX,427,"2,000 Million USD"
Glenn K. Murphy(Non-Executive Chairman),Canada,1998,"['Consumer Cyclical', 'Apparels and Accessories', 'Sports Goods', 'Readymade Clothing', 'Clothing', 'Consumer Non Durables', 'Textile', 'Retail']",https://www.value.today/company/lululemon-athletica,LULULEMON ATHLETICA,427,"4,811 Million USD"
Rajesh Nambiar,USA,1994,"['Technology', 'Software and IT', 'Software Products', 'Software Consulting Services', 'Software Outsourcing Services', 'Consulting Services', 'Outsourcing and Staffing']",https://www.value.today/company/cognizant-technology-solutions,COGNIZANT TECHNOLOGY SOLUTIONS,428,"18,507 Million USD"
Steve Sanghi,USA,1989,"['Technology', 'Semiconductors', 'Technology Hardware and Instruments', 'Electronics']",https://www.value.today/company/microchip-technology,MICROCHIP TECHNOLOGY,436,"6,820 Million USD"
Kevin Sayer,USA,1999,"['Healthcare', 'Medical Equipment', 'HealthCare Products', 'Health Care Diagnostics']",https://www.value.today/company/dexcom,DEXCOM,433,"2,448 Million USD"
Henry A. Fernandez,USA,1969,"['Financial Services', 'Business Services', 'Stock Markets, Trading, Capital Markets']",https://www.value.today/company/msci,MSCI,434,"2,043 Million USD"
Maurizio Tamagnini,Switzerland,1987,"['Technology', 'Electronics', 'Sensors', 'Semiconductors']",https://www.value.today/company/stmicroelectronics,STMICROELECTRONICS,437,"13,249 Million USD"
Miguel Patricio,USA,2015,"['Consumer Defensive', 'Food Products', 'Food Service', 'Non-Alcoholic Beverages', 'FMCG', 'Consumer Non Durables', 'Beverages', 'Package Foods']",https://www.value.today/company/kraft-heinz-company,KRAFT HEINZ COMPANY,431,"26,042 Million USD"
Kevin P. Clark,Ireland,1994,"['Consumer Cyclical', 'Automobile Parts', 'Automobile', 'Capital Goods', 'Technology']",https://www.value.today/company/aptiv,APTIV,430,"15,618 Million USD"
Bom Suk Kim,South Korea,2010,"['Internet or Mobile App Based Business', 'eCommerce', 'Retail']",https://www.value.today/company/coupang,"COUPANG, INC.",435,"18,406 Million USD"
Masahiro Okafuji,Japan,1949,"['Industries', 'Trading', 'Imports / Exports Services', 'Conglomerate']",https://www.value.today/company/itochu-corporation,ITOCHU CORPORATION,429,"89,705 Million USD"
Laurence A. Chapman,USA,2001,"['Real Estate', 'Data Centers', 'Cloud Services', 'Consumer Services', 'Property Investments', 'Commercial Properties']",https://www.value.today/company/digital-realty-trust,DIGITAL REALTY TRUST,432,"4,427 Million USD"
Jeff Weiner,USA,2002,"['Social Media', 'Internet or Mobile App Based Business', 'Technology']",https://www.value.today/company/linkedin,LINKEDIN,443,"6,700 Million USD"
Andrew Forrest,Australia,2003,"['Basic Materials', 'Mining', 'Iron and Steel', 'Metals']",https://www.value.today/company/fortescue-metals-group,FORTESCUE METALS GROUP,440,"22,231 Million USD"
Nick Akins,USA,1906,"['Utilities', 'Electricity Generation', 'Electric Utilities', 'Utilities', 'Power Generation']",https://www.value.today/company/american-electric-power-company,AMERICAN ELECTRIC POWER COMPANY,439,"16,792 Million USD"
Tony Xu,USA,2013,"['Online Food Delivery', 'Food Service', 'Technology', 'Internet or Mobile App Based Business']",https://www.value.today/company/doordash,DOORDASH,438,"4,888 Million USD"
Olivier Pomel,USA,2010,"['Technology', 'Software and IT', 'Cloud Services']",https://www.value.today/company/datadog,DATADOG,444,"1,028 Million USD"
David Gitlin,USA,1915,"['Consumer Electronics', 'Heating Equipment', 'Air Conditioners', 'Electronics', 'Building Products and Equipment']",https://www.value.today/company/carrier-global,CARRIER GLOBAL,443,"20,613 Million USD"
Not found,Ireland,1871,"['Industry Machinery', 'Engineering Products']",https://www.value.today/company/trane-technologies-plc,TRANE TECHNOLOGIES PLC,442,"14,136 Million USD"
Michael F. Neidorff,USA,1984,"['Healthcare', 'HealthCare Products', 'Healthcare Service', 'Insurance']",https://www.value.today/company/centene-corporation,CENTENE CORPORATION,445,"125,980 Million USD"
Steve Ells,USA,1993,"['Consumer Cyclical', 'Restaurants', 'Food Service', 'Retail', 'Consumer Services', 'Entertainment']",https://www.value.today/company/chipotle-mexican-grill,CHIPOTLE MEXICAN GRILL,441,"7,547 Million USD"
Jeremy Weir,USA,Not found,"['Commodities Trading', 'Trading']",https://www.value.today/company/trafigura,TRAFIGURA,442,"147,000 Million USD"
Raden Bei Aria Wirjaatmadja,Indonesia,1895,"['Financial Services', 'Banking Services']",https://www.value.today/company/pt-bank-rakyat-indonesia-persero-tbk,PT BANK RAKYAT INDONESIA (PERSERO) TBK,450,"10,409 Million USD"
Jeffrey W. Martin,USA,1998,"['Utilities', 'Electric Utilities', 'Gas Utilities', 'Oil and Gas']",https://www.value.today/company/sempra-energy,SEMPRA ENERGY,449,"12,857 Million USD"
John Witt,Bermuda,1832,"['Industries', 'Conglomerate', 'Automobile', 'Real Estate', 'Financial Services', 'Insurance', 'Hotels', 'Shipping', 'Travel and Transport', 'Restaurants', 'Retail', 'Infrastructure']",https://www.value.today/company/jardine-matheson-holdings,JARDINE MATHESON HOLDINGS,446,"35,862 Million USD"
Jose E. Almeida,USA,1931,"['Healthcare', 'Medical Equipment', 'Pharmaceutical', 'HealthCare Products']",https://www.value.today/company/baxter-international,BAXTER INTERNATIONAL,453,"12,784 Million USD"
John P. Surma(Non-Executive Chairman),USA,2009,"['Energy', 'Oil and Gas', 'Oil Refining', 'Petroleum', 'Petrochemicals', 'Chemicals']",https://www.value.today/company/marathon-petroleum-corporation,MARATHON PETROLEUM CORPORATION,455,"120,920 Million USD"
"Shin, Hak-Cheol",South Korea,1947,"['Basic Materials', 'Chemicals', 'Petrochemicals', 'Electronics', 'Plastics / Plastic Products', 'Conglomerate', 'Energy']",https://www.value.today/company/lg-chem,LG CHEM,448,"34,977 Million USD"
Michael S. Dell,USA,1984,"['Technology', 'Laptops', 'Computers Hardware', 'Computers and Components', 'Mobiles', ""TV's"", 'Software and IT', 'Network Hardware and Software']",https://www.value.today/company/dell-technologies,DELL TECHNOLOGIES,447,"101,200 Million USD"
Rob Sharps,USA,1937,"['Financial Services', 'Asset Management', 'Investments']",https://www.value.today/company/t.-rowe-price-group,T. ROWE PRICE GROUP,451,"7,671 Million USD"
Jim Fitterling,USA,2019,"['Basic Materials', 'Chemicals', 'Paints and Coatings', 'Plastics / Plastic Products']",https://www.value.today/company/dow,DOW Inc,454,"54,968 Million USD"
Michael R. McMullen,USA,1999,"['Healthcare', 'Medical Equipment', 'HealthCare Products', 'Biotechnology', 'Capital Goods', 'Technology', 'Health Care Diagnostics']",https://www.value.today/company/agilent-technologies,AGILENT TECHNOLOGIES,452,"6,319 Million USD"
David Velez-Osomo,Brazil,2013,"['Financial Services', 'Technology']",https://www.value.today/company/nu-holdings-ltd,NU HOLDINGS LTD.,464,"1,698 Million USD"
Wan Min,China,2005,"['Industries', 'Shipping']",https://www.value.today/company/cosco-shipping-holdings,COSCO SHIPPING HOLDINGS,458,"48,560 Million USD"
Ge Li(Non-Executive Chairman),China,2014,"['Healthcare', 'Healthcare Service', 'Technology', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products']",https://www.value.today/company/wuxi-biologics-cayman,WUXI BIOLOGICS (CAYMAN),456,"1,617 Million USD"
Jeffrey S. Sloan,USA,1967,"['Industries', 'Digital Payment Solution Services', 'Software and IT', 'Software Products', 'Business Services']",https://www.value.today/company/global-payments,GLOBAL PAYMENTS,457,"8,523 Million USD"
Katsunori Maruyama,Japan,1959,"['Industries', 'Automation', 'Industry Machinery']",https://www.value.today/company/smc-corporation,SMC CORPORATION,462,"5,308 Million USD"
David Hsu,Hong Kong,1832,"['Industries', 'Conglomerate', 'Automobile', 'Real Estate', 'Financial Services', 'Insurance', 'Hotels', 'Shipping', 'Travel and Transport', 'Restaurants', 'Retail', 'Infrastructure']",https://www.value.today/company/jardine-strategic-holdings,JARDINE STRATEGIC HOLDINGS,460,"38,545 Million USD"
Arthur F. Ryan,USA,1875,"['Financial Services', 'Insurance', 'Asset Management']",https://www.value.today/company/prudential-financial,PRUDENTIAL FINANCIAL,459,"70,934 Million USD"
Gerhard Watzinger,USA,2011,"['Technology', 'Software and IT', 'Cloud Services', 'Software and IT Infrastructure', 'Security Systems and Solutions', 'Artificial Intelligence']",https://www.value.today/company/crowdstrike-holdings,CROWDSTRIKE HOLDINGS,460,"1,451 Million USD"
Joachim Wenning,Germany,1880,"['Financial Services', 'Insurance']",https://www.value.today/company/munchener-ruckversicherungs-gesellschaft,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,463,"76,540 Million USD"
Zhang Ruimin,China,1984,"['Technology', 'Home Appliances', 'Consumer Electronics', 'Electronics', 'Refrigerators', 'Air Conditioners', 'Electrical Products', 'Home Furnishing']",https://www.value.today/company/haier-smart-home,HAIER SMART HOME,461,"33,114 Million USD"
Mike Rogers,Ireland,1996,"['Industries', 'Software and IT', 'Software Products', 'Consumer Services', 'Professional Services', 'Consulting Services']",https://www.value.today/company/experian,EXPERIAN,472,"6,288 Million USD"
Manuel Kadre,USA,1998,"['Industries', 'Utilities', 'Environmental Services', 'Waste and Trash Management']",https://www.value.today/company/republic-services,REPUBLIC SERVICES,474,"11,295 Million USD"
"C. Raymond Larkin, Jr",USA,1997,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",https://www.value.today/company/align-technology,ALIGN TECHNOLOGY,465,"3,952 Million USD"
Greg Brown,USA,2011,"['Technology', 'Technology Hardware and Instruments', 'Network Hardware and Software', 'Electronics', 'Software and IT', 'Software Products', 'Communications Equipment']",https://www.value.today/company/motorola-solutions,MOTOROLA SOLUTIONS,473,"8,171 Million USD"
Roger F. Dunbar,USA,1983,"['Financial Services', 'Banking Services']",https://www.value.today/company/svb-financial-group,SVB FINANCIAL GROUP,469,"5,917 Million USD"
Daniel Ek,Sweden,2006,"['Communication Services', 'Media', 'Internet or Mobile App Based Business', 'Broadcasting', 'Music', 'Consumer Services', 'Advertising']",https://www.value.today/company/spotify-technology,SPOTIFY TECHNOLOGY,471,"10,654 Million USD"
Chris Kubasik,USA,2019,"['Industries', 'Electronics', 'Technology Hardware and Instruments', 'Communications Equipment', 'Networking Products / Solutions', 'Automation', 'Robotics', 'Marine Systems', 'Space Products', 'Technology', 'Machinery Manufacturing', 'Capital Goods', 'Manufacturing', 'Aerospace and Defense']",https://www.value.today/company/l3harris-technologies,L3HARRIS TECHNOLOGIES,466,"17,814 Million USD"
Yasuchika Hasegawa,Japan,1781,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",https://www.value.today/company/takeda-pharmaceutical-company,TAKEDA PHARMACEUTICAL COMPANY,468,"26,043 Million USD"
Himanshu Kapania,UK,1982,"['Communication Services', 'Telecom', 'Mobile Services', 'Fixed Line Service', 'Internet Providers', 'Television Services', 'Utilities', 'Telecom Equipment']",https://www.value.today/company/vodafone-group,VODAFONE GROUP,470,"53,685 Million USD"
Edward D. Breen,USA,1897,"['Basic Materials', 'Chemicals', 'Plastics / Plastic Products', 'Agriculture Products', 'Adhesives']",https://www.value.today/company/dupont-de-nemours,DUPONT DE NEMOURS,467,"16,653 Million USD"
Onur Genc,Spain,1999,"['Financial Services', 'Banking Services', 'Asset Management', 'Insurance']",https://www.value.today/company/banco-bilbao-vizcaya-argentaria,BANCO BILBAO VIZCAYA ARGENTARIA,482,0 Million USD
Bouchard,Canada,1980,"['Consumer Defensive', 'Retail', 'Convenience Stores']",https://www.value.today/company/alimentation-couche-tard,ALIMENTATION COUCHE-TARD,476,"62,809 Million USD"
Rolf Buch,Germany,2001,"['Real Estate', 'Construction', 'Property Investments', 'Investments', 'Financial Services', 'Construction']",https://www.value.today/company/vonovia-se,VONOVIA SE,479,"3,622 Million USD"
Kentaro Kawabe,Japan,1996,"['Consumer Cyclical', 'Internet or Mobile App Based Business', 'Software and IT', 'eCommerce', 'Media', 'Advertising', 'Retail']",https://www.value.today/company/z-holdings-corporation,Z HOLDINGS CORPORATION,478,"11,437 Million USD"
Christopher J. Nassetta,USA,1919,"['Consumer Cyclical', 'Hotels', 'Resorts', 'Consumer Services']",https://www.value.today/company/hilton-worldwide-holdings,HILTON WORLDWIDE HOLDINGS,475,"5,788 Million USD"
Donald E. Washkewicz,USA,1918,"['Industries', 'Capital Goods', 'Machinery Manufacturing', 'Metal Fabrication Products', 'Manufacturing', 'Engineering Products', 'Industry Machinery']",https://www.value.today/company/parker-hannifin-corporation,PARKER-HANNIFIN CORPORATION,481,"15,861 Million USD"
John Elkann,UK,2014,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Cars', 'Capital Goods', 'Passenger Vehicles']",https://www.value.today/company/fiat-chrysler-automobiles,FIAT CHRYSLER AUTOMOBILES,481,"127,660 Million USD"
Enrique Lores,USA,1939,"['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Technology Hardware and Instruments', 'Laptops', 'Printers', 'Desktops', 'Electronics', 'Consumer Electronics']",https://www.value.today/company/hp,HP INC,480,"63,487 Million USD"
Choi Soo-yeon,South Korea,1999,"['Communication Services', 'Internet or Mobile App Based Business', 'Software and IT', 'Software Products', 'Technology']",https://www.value.today/company/naver-corporation,NAVER CORPORATION,477,"5,590 Million USD"
William C. Rhodes III,USA,1979,"['Consumer Cyclical', 'Retail', 'Automobile Parts', 'Consumer Services', 'Automobile']",https://www.value.today/company/autozone,AUTOZONE,483,"14,629 Million USD"
Edward D. Shirley,USA,1969,"['Consumer Defensive', 'Food Products', 'Food Service', 'Retail', 'Consumer Non Durables', 'Food Chains / Distributor']",https://www.value.today/company/sysco-corporation,SYSCO CORPORATION,487,"68,636 Million USD"
Marc Rowan,USA,1990,"['Financial Services', 'Asset Management', 'Investments']",https://www.value.today/company/apollo-global-management,APOLLO GLOBAL MANAGEMENT,485,"5,951 Million USD"
Ramesh Damani,India,2000,"['Consumer Defensive', 'Super Markets', 'Retail', 'Hypermarkets']",https://www.value.today/company/avenue-supermarts,AVENUE SUPERMARTS,492,"3,866 Million USD"
Jeff Lawson,USA,2008,"['Communication Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Cloud Services', 'Software Products', 'Internet or Mobile App Based Business']",https://www.value.today/company/twilio,TWILIO,493,"2,841 Million USD"
IAN MEAKINS,UK,1941,"['Consumer Cyclical', 'Food Service', 'Travel and Transport', 'Food Products', 'Consumer Services', 'Facility Support Services', 'Restaurants']",https://www.value.today/company/compass-group,COMPASS GROUP,491,"23,442 Million USD"
Daniel P. Amos,USA,1955,"['Financial Services', 'Insurance']",https://www.value.today/company/aflac,AFLAC,490,"22,106 Million USD"
Seiuemon Inaba,Japan,1958,"['Industries', 'Automation', 'Robotics', 'Technology', 'Machinery Manufacturing', 'Manufacturing', 'Industry Machinery']",https://www.value.today/company/fanuc-corporation,FANUC CORPORATION,489,"5,349 Million USD"
Jeff Harmening,USA,1928,"['Consumer Defensive', 'Food Products', 'FMCG', 'Dairy Products', 'Consumer Non Durables', 'Package Foods']",https://www.value.today/company/general-mills,GENERAL MILLS,486,"18,992 Million USD"
Paul Pressler,USA,1995,"['Consumer Cyclical', 'eCommerce', 'Technology', 'Business Services', 'Retail', 'Internet or Mobile App Based Business']",https://www.value.today/company/ebay,EBAY,484,"10,420 Million USD"
Scott D. Farmer,USA,1968,"['Industries', 'B2B Services', 'Business Services', 'Apparels and Accessories', 'Consumer Non Durables', 'Professional Services']",https://www.value.today/company/cintas-corporation,CINTAS CORPORATION,488,"7,854 Million USD"
Chung Eui-sun,South Korea,1967,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Cars', 'Commercial Vehicles', 'Passenger Vehicles', 'Electric Vehicle Charging Station']",https://www.value.today/company/hyundai-motor-company,HYUNDAI MOTOR COMPANY,495,"96,441 Million USD"
Hua Yu Lu,China,1997,"['Financial Services', 'Banking Services']",https://www.value.today/company/bank-ningbo,BANK OF NINGBO,501,"7,757 Million USD"
Richie Boucher,Ireland,1970,"['Basic Materials', 'Construction Materials', 'Construction', 'Capital Goods']",https://www.value.today/company/crh,CRH PLC,494,"30,981 Million USD"
Ola Rollen,Sweden,1992,"['Technology', 'Software and IT', 'Software Products', 'Technology Hardware and Instruments']",https://www.value.today/company/hexagon-ab-publ,HEXAGON AB (PUBL),503,"4,784 Million USD"
Gilles Schnepp,Switzerland,1919,"['Consumer Defensive', 'FMCG', 'Food Products', 'Non-Alcoholic Beverages', 'Beverages', 'Dairy Products', 'Food and Beverage', 'Package Foods']",https://www.value.today/company/danone,DANONE,498,"26,758 Million USD"
Henry R. Kravis,USA,1976,"['Financial Services', 'Investments', 'Asset Management']",https://www.value.today/company/kkr,KKR & CO,502,"16,236 Million USD"
Jean Jereissati,Brazil,1999,"['Consumer Defensive', 'Beverages', 'Alcoholic Beverages', 'Non-Alcoholic Beverages', 'Beer', 'FMCG', 'Consumer Non Durables']",https://www.value.today/company/ambev,AMBEV,500,"15,634 Million USD"
Satoru Komiya,Japan,1879,"['Financial Services', 'Insurance']",https://www.value.today/company/tokio-marine-holdings,TOKIO MARINE HOLDINGS,496,"41,970 Million USD"
George Nakayama,Japan,2005,"['Healthcare', 'Pharmaceutical', 'Medical Equipment', 'HealthCare Products']",https://www.value.today/company/daiichi-sankyo-company,DAIICHI SANKYO COMPANY,499,"7,625 Million USD"
Alan D. Schnitzer,USA,1853,"['Financial Services', 'Insurance']",https://www.value.today/company/travelers-companies,THE TRAVELERS COMPANIES,497,"34,818 Million USD"
Richard H Lenny,USA,1894,"['Consumer Defensive', 'Food Products', 'Non-Alcoholic Beverages', 'Chocolate & Confectionery', 'Consumer Non Durables', 'Food and Beverage', 'Beverages']",https://www.value.today/company/hershey-company,THE HERSHEY COMPANY,506,"8,971 Million USD"
Michael D. McKee,USA,1969,"['Real Estate', 'Property Investments', 'Investments', 'Consumer Services', 'Retail', 'Commercial Properties']",https://www.value.today/company/realty-income-corporation,REALTY INCOME CORPORATION,505,"2,080 Million USD"
He Xiaopeng,China,2014,"['Automobile', 'Electric Vehicles', 'Passenger Vehicles']",https://www.value.today/company/xpeng-motors,XPENG MOTORS,508,"3,054 Million USD"
Michael Ball,Switzerland,1945,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",https://www.value.today/company/alcon,ALCON,512,"8,291 Million USD"
David Gibbs,USA,1997,"['Consumer Cyclical', 'Restaurants', 'Retail', 'Consumer Services', 'Entertainment']",https://www.value.today/company/yum-brands,YUM! BRANDS,513,"6,584 Million USD"
Andy Bechtolsheim,USA,2004,"['Technology', 'Network Hardware and Software', 'Networking Products / Solutions', 'Software and IT', 'Electronics', 'Computers Hardware', 'Software Products']",https://www.value.today/company/arista-networks,ARISTA NETWORKS,511,"2,948 Million USD"
David Layton,Switzerland,1996,"['Financial Services', 'Investments', 'Asset Management']",https://www.value.today/company/partners-group-holding-ag,PARTNERS GROUP HOLDING AG,504,"2,688 Million USD"
Michael H. McGarry,USA,1882,"['Basic Materials', 'Chemicals', 'Paints and Coatings']",https://www.value.today/company/ppg-industries,PPG INDUSTRIES,510,"16,802 Million USD"
