ceo,country,founded,industry,link,name,rank,revenue
William C. Weldon,USA,1886,"['Healthcare', 'Medical Equipment', 'Pharmaceutical', 'FMCG', 'Biotechnology', 'Technology', 'HealthCare Products']",https://www.value.today/company/johnson-johnson,JOHNSON & JOHNSON,14,"93,770 Million USD"
William B. Harrison Jr.,USA,2000,"['Financial Services', 'Banking Services', 'Credit Cards', 'Asset Management']",https://www.value.today/company/j-p-morgan-chase-co,J P MORGAN CHASE & CO,12,"121,640 Million USD"
Brian Moynihan,USA,1998,"['Financial Services', 'Banking Services', 'Investment Banking', 'Insurance', 'Credit Cards', 'Wealth Management', 'Asset Management', 'Mortgage']",https://www.value.today/company/bank-america-corporation,BANK OF AMERICA CORPORATION,19,"89,110 Million USD"
Alfred F Kelly Jr,USA,1958,"['Financial Services', 'Technology', 'Software and IT', 'Credit Cards', 'Digital Payment Solution Services', 'Business Services', 'Software Products', 'Artificial Intelligence']",https://www.value.today/company/visa,VISA,13,"24,100 Million USD"
Ma Huateng,China,1998,"['Communication Services', 'Investments', 'Internet or Mobile App Based Business', 'Advertising', 'Media', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Artificial Intelligence', 'Software and IT', 'Software Products', 'Technology']",https://www.value.today/company/tencent,TENCENT,11,"87,995 Million USD"
Albert Bourla,USA,1849,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology', 'Technology']",https://www.value.today/company/pfizer,PFIZER,27,"81,288 Million USD"
Michael Miebach,USA,1966,"['Digital Payment Solution Services', 'Financial Services', 'Credit Cards', 'Technology', 'Business Services', 'Artificial Intelligence']",https://www.value.today/company/mastercard,MASTERCARD,24,"18,880 Million USD"
Daniel Zhang,China,1999,"['eCommerce', 'Internet or Mobile App Based Business', 'Technology', 'Software and IT', 'Business Services', 'Software Products', 'Retail', 'B2B Services']",https://www.value.today/company/alibaba-group-holding,ALIBABA GROUP HOLDING,26,"124,140 Million USD"
Li Bao Fang,China,1999,"['Consumer Defensive', 'Beverages', 'Alcoholic Beverages', 'Food Products', 'FMCG', 'Food and Beverage']",https://www.value.today/company/kweichow-moutai,KWEICHOW MOUTAI,22,"15,929 Million USD"
Christoph Franz,Switzerland,1896,"['Healthcare', 'Pharmaceutical', 'Medical Equipment', 'Biotechnology', 'Healthcare Service', 'Technology', 'HealthCare Products']",https://www.value.today/company/roche-holding-ag,ROCHE HOLDING AG,25,"66,757 Million USD"
Gerard Kleisterlee,Netherlands,1984,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments']",https://www.value.today/company/asml-holding,ASML HOLDING,28,"20,509 Million USD"
Suresh Narayanan,Switzerland,1866,"['Consumer Defensive', 'FMCG', 'Food Products', 'Beverages', 'Dairy Products', 'Non-Alcoholic Beverages', 'Chocolate & Confectionery', 'Coffee', 'Consumer Non Durables', 'Food and Beverage', 'Package Foods']",https://www.value.today/company/nestle-ag,NESTLE AG,23,"92,575 Million USD"
Jon R. Moeller,USA,1837,"['Consumer Defensive', 'FMCG', 'Consumer Non Durables', 'Beauty and Personal Care', 'Personal Care Products', 'HealthCare Products']",https://www.value.today/company/procter-gamble-company,PROCTER & GAMBLE COMPANY,21,"80,187 Million USD"
Susan Arnold,USA,1923,"['Communication Services', 'Broadcasting', 'Television Services', 'Media', 'Advertising', 'Consumer Services', ""TV's"", 'Entertainment']",https://www.value.today/company/walt-disney-company,THE WALT DISNEY COMPANY,30,"67,410 Million USD"
Darren W. Woods,USA,1999,"['Energy', 'Oil and Gas', 'Petrochemicals', 'Natural Gas Generation', 'Electricity Generation', 'Chemicals', 'Plastics / Plastic Products']",https://www.value.today/company/exxon-mobil-corporation,EXXON MOBIL CORPORATION,29,"285,640 Million USD"
Henry Samueli,USA,1991,"['Technology', 'Electronics', 'Semiconductors', 'Processors / Chips', 'Networking Products / Solutions', 'Network Hardware and Software', 'Software Products', 'Software and IT']",https://www.value.today/company/broadcom,BROADCOM,34,"27,450 Million USD"
Jean Paul Agon,France,1909,"['Consumer Defensive', 'Cosmetics', 'Beauty and Personal Care', 'FMCG', 'Consumer Non Durables', 'Consumer Goods']",https://www.value.today/company/loreal,L'OREAL,37,"35,580 Million USD"
Shantanu Narayen,USA,1982,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure', 'Artificial Intelligence']",https://www.value.today/company/adobe,ADOBE,40,"15,785 Million USD"
James Quincey,USA,1892,"['Consumer Defensive', 'Beverages', 'Non-Alcoholic Beverages', 'FMCG', 'Consumer Non Durables']",https://www.value.today/company/coca-cola-company,COCA-COLA COMPANY,32,"38,655 Million USD"
Koos Bekker,Netherlands,1997,"['Communication Services', 'Internet or Mobile App Based Business', 'eCommerce', 'Technology', 'Investments']",https://www.value.today/company/prosus,PROSUS,35,"6,866 Million USD"
Chen Siqing,China,1984,"['Financial Services', 'Banking Services', 'Investment Banking']",https://www.value.today/company/icbc,ICBC,36,"138,160 Million USD"
Juan R. Luciano,USA,1876,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",https://www.value.today/company/eli-lilly-and-company,ELI LILLY AND COMPANY,39,"28,318 Million USD"
Chuck Robbins,USA,1984,"['Technology', 'Network Hardware and Software', 'Telecom Equipment', 'Internet of Things', 'Computers Hardware', 'Software and IT', 'Communications Equipment']",https://www.value.today/company/cisco-systems,CISCO SYSTEMS,33,"51,557 Million USD"
Takeshi Uchiyamada,Japan,1937,"['Automobile', 'Cars', 'Capital Goods', 'Passenger Vehicles']",https://www.value.today/company/toyota-motor-corporation,TOYOTA MOTOR CORPORATION,31,"228,980 Million USD"
