ceo,country,employees,founded,industry,link,name,revenue
John J. Zillmer,United States,"248,300",1936,"Hotels, Restaurants & Leisure",https://www.forbes.com/companies/aramark,Aramark,$13.3B
Wen Tan,China,"10,200",2000,Diversified Financials,https://www.forbes.com/companies/china-industrial-securities,China Industrial Securities,$3.3B
Nan Chun Jiang,China,"6,779",1997,Media,https://www.forbes.com/companies/focus-media-information-technology,Focus Media Information Technology,$2.3B
Craig Ralph McNally,Australia,"80,000",1964,Health Care Equipment & Services,https://www.forbes.com/companies/ramsay-health-care,Ramsay Health Care,$9.8B
Phillip D. Green,United States,"4,553",1868,Banking,https://www.forbes.com/companies/cullen-frost-bankers,Cullen/Frost Bankers,$1.4B
Michael Rapino,United States,"10,200",2010,Media,https://www.forbes.com/companies/live-nation-entertainment,Live Nation Entertainment,$6.3B
Scott Carlyle Balfour,Canada,"7,140",1998,Utilities,https://www.forbes.com/companies/emera,Emera,$4.7B
Li Guo Luo,China,"8,893",2005,Chemicals,https://www.forbes.com/companies/hoshine-silicon-industry,Hoshine Silicon Industry,$2.5B
Kang Min Xie,China,"6,337",1958,Chemicals,https://www.forbes.com/companies/qinghai-salt-lake-industry,Qinghai Salt Lake Industry,$2.1B
Barry Stuart Sternlicht,United States,277,2009,Diversified Financials,https://www.forbes.com/companies/starwood-property-trust,Starwood Property Trust,$1.2B
Paolo Bertoluzzo,Italy,"9,929",1939,IT Software & Services,https://www.forbes.com/companies/nexi-spa,Nexi S.p.A.,$3.6B
W. Troy Rudd,United States,"51,000",1980,Construction,https://www.forbes.com/companies/aecom-technology,AECOM Technology,$13.3B
Vassilios E. Psaltis,Greece,"8,939",1879,Banking,https://www.forbes.com/companies/alpha-bank,Alpha Bank,$398M
Klaus Josef Lutz,Germany,"3,300",1923,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/baywa,BayWa,$23.4B
Ricardo Ramos Rodríguez,Chile,"6,081",1968,Chemicals,https://www.forbes.com/companies/sqm,SQM,$2.9B
Mark A. Douglas,United States,"6,400",1883,Chemicals,https://www.forbes.com/companies/fmc,FMC,$5B
Bradley S. Shaw,Canada,"9,400",1966,Media,https://www.forbes.com/companies/shaw-communications,Shaw Communications,$4.4B
Joseph C. Papa,Canada,"19,600",1959,Health Care Equipment & Services,https://www.forbes.com/companies/bausch-health-companies,Bausch Health Companies,$8.4B
Chander Prakash Gurnani,India,"106,177",1986,IT Software & Services,https://www.forbes.com/companies/tech-mahindra,Tech Mahindra,$5.7B
Torger Rød,Norway,950,1965,Oil & Gas Operations,https://www.forbes.com/companies/var-energi-asa,Var Energi ASA,$6B
Shao Quan Guo,China,"4,117",1996,Banking,https://www.forbes.com/companies/bank-of-qingdao,Bank of Qingdao,$3.4B
Takao Kato,Japan,"30,091",1970,Consumer Durables,https://www.forbes.com/companies/mitsubishi-motors,Mitsubishi Motors,$17.5B
Yuriy Olegovich Denisov,Russia,"2,208",1992,Diversified Financials,https://www.forbes.com/companies/moscow-exchange,Moscow Exchange,$761M
Heyward R. Donigan,United States,"50,000",1968,Retailing,https://www.forbes.com/companies/rite-aid,Rite Aid,$24.6B
Udit Batra,United States,"7,800",1958,Health Care Equipment & Services,https://www.forbes.com/companies/waters,Waters,$2.8B
"Takeshi Kosaka, Ning Li",China,"4,019",1989,Household & Personal Products,https://www.forbes.com/companies/li-ning,Li Ning,$3.5B
Nasser Al Awadhi,United Arab Emirates,Not found,1997,Banking,https://www.forbes.com/companies/abu-dhabi-islamic-bank,Abu Dhabi Islamic Bank,$1.7B
Xiao Ming Chen,China,"5,365",1998,Banking,https://www.forbes.com/companies/jiangxi-bank,Jiangxi Bank,$3.5B
Hsiang Li Chen,Taiwan,"20,000",1954,Insurance,https://www.forbes.com/companies/mercuries-associates,Mercuries & Associates,$6.3B
John V. Oyler,China,"8,200",2010,Drugs & Biotechnology,https://www.forbes.com/companies/beigene,BeiGene,$1.2B
Naoki Yoshida,Japan,"16,838",1980,Retailing,https://www.forbes.com/companies/pan-pacific-international-holdings,Pan Pacific International Holdings,$16.1B
John Jacob Philip,Netherlands,10,2015,Diversified Financials,https://www.forbes.com/companies/exor,EXOR,$1.8B
Naomi Kumakiri,Japan,"17,422",1974,Construction,https://www.forbes.com/companies/daito-trust-construction,Daito Trust Construction,$14.2B
Shu Tu,Taiwan,Not found,1988,Trading Companies,https://www.forbes.com/companies/synnex-tech-intl,Synnex Technology Intl,$14.6B
Suresh P. Manglani,India,517,2005,Oil & Gas Operations,https://www.forbes.com/companies/adani-total-gas,Adani Total Gas,$353M
Zhi Sheng Chen,China,"9,864",2010,Drugs & Biotechnology,https://www.forbes.com/companies/wuxi-biologics,WuXi Biologics,$1.6B
Liam Condon,United Kingdom,"14,582",1817,Chemicals,https://www.forbes.com/companies/johnson-matthey,Johnson Matthey,$23.6B
Tuck Kwong Low,Indonesia,"2,876",2004,Materials,https://www.forbes.com/companies/bayan-resources,Bayan Resources,$2.9B
Michael B. O'Sullivan,United States,"62,395",1972,Retailing,https://www.forbes.com/companies/burlington-stores,Burlington Stores,$9.3B
Roberto Frignani,Italy,"6,219",1910,Banking,https://www.forbes.com/companies/credito-emiliano,Credito Emiliano,$2.6B
Hiroyuki Kanome,Japan,"12,045",2003,Drugs & Biotechnology,https://www.forbes.com/companies/alfresa-holdings,Alfresa Holdings,$23.5B
", Hideo Tanaka",Japan,"9,550",2005,Consumer Durables,https://www.forbes.com/companies/bandai-namco-holdings,Bandai Namco Holdings,$7.5B
Bi Lei Wu,China,"20,684",1997,Consumer Durables,https://www.forbes.com/companies/faw-jiefang-group,FAW Jiefang Group,$15.3B
Not found,Canada,"25,000",1995,"IT, Internet, Software & Services",https://www.forbes.com/companies/constellation-software,Constellation Software,$5.1B
Rajivnayan Rahulkumar Bajaj,India,"10,052",1945,Consumer Durables,https://www.forbes.com/companies/bajaj-auto,Bajaj Auto,$4.5B
Sumit Singh,United States,"20,000",2011,Retail and Wholesale,https://www.forbes.com/companies/chewy,Chewy,$8.9B
Huai Chun Chang,China,"4,476",2000,Chemicals,https://www.forbes.com/companies/shandong-hualu-hengsheng-chemical,Shandong Hualu-Hengsheng Chemical,$4.1B
Ignatius Navil Noronha,India,"47,044",2000,Retailing,https://www.forbes.com/companies/avenue-supermarts,Avenue Supermarts,$4B
Dieter R. Weisskopf,Switzerland,"14,000",1845,"Food, Soft Beverages, Alcohol & Tobacco",https://www.forbes.com/companies/lindt-sprungli,Lindt & Sprungli,$5B
Rickard Gustafson,Sweden,"42,602",1907,"Engineering, Manufacturing",https://www.forbes.com/companies/skf-group,SKF Group,$9.5B
Kenji Miyoshi,Japan,"3,071",1878,Banking,https://www.forbes.com/companies/iyo-bank,Iyo Bank,$1.2B
Yukio Murase,Japan,"2,839",1877,Banking,https://www.forbes.com/companies/juroku-financial-group,Juroku  Financial Group,$1B
Frank Thomson Leighton,United States,"8,700",1998,IT Software & Services,https://www.forbes.com/companies/akamai-technologies,Akamai Technologies,$3.5B
Magdalena Martullo-Blocher,Switzerland,"2,646",1936,Drugs & Biotechnology,https://www.forbes.com/companies/ems-chemie-holding,EMS-Chemie Holding,$2.5B
Edward K. Aldag,United States,112,2003,Diversified Financials,https://www.forbes.com/companies/medical-properties-trust,Medical Properties Trust,$1.5B
Chien An Shih,Taiwan,"5,483",1950,Banking,https://www.forbes.com/companies/taiwan-business-bank,Taiwan Business Bank,$1.1B
Not found,China,"28,127",1997,Capital Goods,https://www.forbes.com/companies/zhejiang-chint-electrics,Zhejiang Chint Electrics,$5.9B
Ravi Saligram,United States,"32,000",1903,Consumer Durables,https://www.forbes.com/companies/newell-brands,Newell Brands,$10.6B
Manuel Velez Pangilinan,Hong Kong,"100,120",1981,Diversified Financials,https://www.forbes.com/companies/first-pacific,First Pacific,$9.1B
Not found,Hong Kong,"4,624",2000,Banking,https://www.forbes.com/companies/bank-of-jiujiang,Bank of Jiujiang,$3.3B
Tae-O Kim,South Korea,"4,606",1967,Banking,https://www.forbes.com/companies/dgb-financial-group,DGB Financial Group,$3.2B
Chao Chung Tsai,Hong Kong,13,1889,Utilities,https://www.forbes.com/companies/power-assets-holdings,Power Assets Holdings,$164M
Ching Sai Tung,Hong Kong,"13,117",1988,Consumer Durables,https://www.forbes.com/companies/xinyi-glass-holdings,Xinyi Glass Holdings,$3.9B
Douglas C. Yearley,United States,"5,100",1986,Construction,https://www.forbes.com/companies/toll-brothers,Toll Brothers,$9B
Sergey Eduardovich Gordeev,Russia,Not found,1994,Diversified Financials,https://www.forbes.com/companies/pik-group,PIK Group,$5.8B
Richard Johnson,United States,"16,555",1974,Retail and Wholesale,https://www.forbes.com/companies/foot-locker,Foot Locker,$9B
Not found,China,"4,919",2004,Banking,https://www.forbes.com/companies/bank-of-suzhou,Bank of Suzhou,$3.1B
