ceo,country,employees,founded,industry,link,name,revenue
Takahito Tokita,Japan,"126,371",1935,Technology Hardware & Equipment,https://www.forbes.com/companies/fujitsu,Fujitsu,$32.8B
Johan Torgeby,Sweden,"15,500",1972,Banking,https://www.forbes.com/companies/seb-ab,SEB AB,$7.6B
Vladimir Leonidovich Bogdanov,Russia,"116,000",1990,Oil & Gas Operations,https://www.forbes.com/companies/surgutneftegas,Surgutneftegas,$19.3B
Quan Li,China,"34,434",1996,Insurance,https://www.forbes.com/companies/new-china-life-insurance,New China Life Insurance,$34.4B
Dennis Mark Bristow,Canada,"21,869",1983,Materials,https://www.forbes.com/companies/barrick-gold,Barrick Gold,$11.9B
Jens Bjørn Andersen,Denmark,"77,958",1976,Transportation,https://www.forbes.com/companies/dsv-panalpina,DSV Panalpina,$29B
Torsten Leue,Germany,"23,954",1990,Insurance,https://www.forbes.com/companies/talanx,Talanx,$51.7B
Nicholas Jonathan Read,United Kingdom,"104,000",1984,"Telecommunications Services, Cable Supplier",https://www.forbes.com/companies/vodafone,Vodafone,$53.6B
Shuntaro Furukawa,Japan,"6,574",1889,Consumer Durables,https://www.forbes.com/companies/nintendo,Nintendo,$15.2B
Ham Young-Joo,South Korea,"21,997",2005,Banking,https://www.forbes.com/companies/hana-financial,Hana Financial Group,$13.7B
Eui-Sun Chung,South Korea,"10,835",1977,Capital Goods,https://www.forbes.com/companies/hyundai-mobis,Hyundai Mobis,$36.4B
Gurdeep Singh,India,"119,383",1975,Utilities,https://www.forbes.com/companies/ntpc,NTPC,$17B
Khairussaleh Ramli,Malaysia,"46,000",1960,Banking and Financial Services,https://www.forbes.com/companies/maybank,Maybank,$9.2B
Terrence A. Duffy,United States,"3,480",1898,Diversified Financials,https://www.forbes.com/companies/cme-group,CME Group,$4.7B
Jasim Husain Ahmed Thabet,United Arab Emirates,Not found,2005,Utilities,https://www.forbes.com/companies/taqa,TAQA,$12.4B
Alexandre Ricard,France,"18,500",1975,"Food, Soft Beverages, Alcohol & Tobacco",https://www.forbes.com/companies/pernod-ricard,Pernod Ricard,$11.6B
Darmawan Junaidi,Indonesia,"37,840",1824,Banking,https://www.forbes.com/companies/bank-mandiri,Bank Mandiri,$9.5B
Daniel Alberto Rodríguez Cofré,Mexico,"320,752",1890,"Food, Drink & Tobacco",https://www.forbes.com/companies/femsa,Femsa,$27.4B
Preston Feight,United States,"10,545",1972,Automotive (Automotive and Suppliers),https://www.forbes.com/companies/paccar,Paccar,$23.5B
Timothy P. Cawley,United States,"13,871",1823,Utilities,https://www.forbes.com/companies/consolidated-edison,Consolidated Edison,$13.7B
"Hiromichi Iwasa, Masanobu Komoda",Japan,"23,992",1941,Construction,https://www.forbes.com/companies/mitsui-fudosan,Mitsui Fudosan,$18.3B
Huey Chuan Hsieh,Taiwan,Not found,Not found,Transportation,https://www.forbes.com/companies/evergreen-marine-corp-taiwan,Evergreen Marine Corp. (Taiwan),$17.5B
Hiroyuki Ogawa,Japan,"61,564",1921,Capital Goods,https://www.forbes.com/companies/komatsu,Komatsu,$24.5B
Shi Bin Wang,China,"36,344",2008,Materials,https://www.forbes.com/companies/shaanxi-coal-industry,Shaanxi Coal Industry,$22.3B
Yuan Qing Yang,Hong Kong,"71,500",1984,Technology Hardware & Equipment,https://www.forbes.com/companies/lenovo-group,Lenovo Group,$70.6B
Tadashi Yanai,Japan,"55,589",1963,Retailing,https://www.forbes.com/companies/fast-retailing,Fast Retailing,$19.3B
David Adam Schwimmer,United Kingdom,"23,261",1802,Diversified Financials,https://www.forbes.com/companies/london-stock-exchange,London Stock Exchange,$9.3B
Rolf Buch,Germany,"15,871",1998,Construction,https://www.forbes.com/companies/vonovia,Vonovia,$6.6B
Amanda Blanc,United Kingdom,"27,463",2000,Insurance,https://www.forbes.com/companies/aviva,Aviva,$45.1B
John G. Morikis,United States,"60,000",1866,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/sherwin-williams,Sherwin-Williams,$19.9B
Teiichi Goto,Japan,"73,275",1934,Consumer Durables,https://www.forbes.com/companies/fujifilm-holdings,Fujifilm Holdings,$22.6B
Sasan Goodarzi,United States,"13,500",1983,IT Software & Services,https://www.forbes.com/companies/intuit,Intuit,$11.4B
Tim Archer,United States,"16,300",1980,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/lam-research,Lam Research,$16.7B
Bernhard Spalt,Austria,"44,773",2008,Banking and Financial Services,https://www.forbes.com/companies/erste-group-bank,Erste Group Bank,$11.4B
Dennis R. Glass,United States,"10,848",1968,Insurance,https://www.forbes.com/companies/lincoln-national,Lincoln National,$19.2B
David L. Gitlin,United States,"58,000",1915,Capital Goods,https://www.forbes.com/companies/carrier-global,Carrier Global,$20.6B
W. Erik Carlson,United States,"14,500",1980,Media,https://www.forbes.com/companies/dish-network,DISH Network,$17.9B
Yan Jiang Li,China,"44,356",2006,Materials,https://www.forbes.com/companies/china-coal-energy,China Coal Energy,$35.9B
Nikolai Setzer,Germany,"193,000",1871,Automotive (Automotive and Suppliers),https://www.forbes.com/companies/continental,Continental,$39.9B
Andrey Leonidovich Kostin,Russia,Not found,1990,Banking,https://www.forbes.com/companies/vtb-bank,VTB Bank,$21.3B
Tsuneo Murata,Japan,"75,184",1944,Technology Hardware & Equipment,https://www.forbes.com/companies/murata-manufacturing,Murata Manufacturing,$16.3B
Sekharipuram Narayan Subrahmanyan,India,"360,826",1938,Construction,https://www.forbes.com/companies/larsen-toubro,Larsen & Toubro,$20.5B
Jeffrey J. Brown,United States,"10,500",1919,Banking and Financial Services,https://www.forbes.com/companies/ally-financial,Ally Financial,$10.8B
Lei Ding,China,"32,064",1997,IT Software & Services,https://www.forbes.com/companies/netease,NetEase,$13.6B
Jahja Setiaatmadja,Indonesia,"25,370",1955,Banking,https://www.forbes.com/companies/bank-central-asia,Bank Central Asia,$6.1B
James Rowan,Sweden,Not found,2010,Consumer Durables,https://www.forbes.com/companies/volvo-car,Volvo Car,$32.9B
Charles J. G. Brindamour,Canada,"28,149",1809,Insurance,https://www.forbes.com/companies/intact-financial,Intact Financial,$14.6B
Mads Nipper,Denmark,"6,836",1972,Oil & Gas Operations,https://www.forbes.com/companies/orsted,Orsted,$11B
Tom Linebarger,United States,"58,000",1919,"Engineering, Manufacturing",https://www.forbes.com/companies/cummins,Cummins,$24B
Alan S. Armstrong,United States,"4,783",1908,Oil & Gas Operations,https://www.forbes.com/companies/williams,Williams,$10.6B
Aiman Ezzat,France,"324,684",1967,IT Software & Services,https://www.forbes.com/companies/capgemini,Capgemini,$21.5B
Not found,United States,Not found,1993,Real Estate,https://www.forbes.com/companies/prologis,Prologis,$4.8B
Patrice Caine,France,"81,000",1949,Aerospace & Defense,https://www.forbes.com/companies/thales,Thales,$19.1B
Olivier Roussat,France,"124,651",1952,Construction,https://www.forbes.com/companies/bouygues,Bouygues,$44.4B
Jose Marcos Ramírez Miguel,Mexico,"21,878",1899,Banking,https://www.forbes.com/companies/banorte,Banorte,$10.6B
Tzar Kuoi Li,Hong Kong,"54,000",2015,Construction,https://www.forbes.com/companies/ck-asset-holdings,CK Asset Holdings,$8.3B
Christel Heydemann,France,"132,002",1988,Telecommunications Services,https://www.forbes.com/companies/orange,Orange,$50.3B
Detlef A. Trefzger,Switzerland,"78,087",1890,Transportation,https://www.forbes.com/companies/kuehne-nagel-international,Kuehne & Nagel International,$35.9B
Gregory A. Heckman,United States,"22,000",1818,"Food, Drink & Tobacco",https://www.forbes.com/companies/bunge,Bunge,$59.2B
Young-Muk Jeon,South Korea,"5,250",1957,Insurance,https://www.forbes.com/companies/samsung-life-insurance,Samsung Life Insurance,$25.4B
Rangarajan Govind Raghuram,United States,"37,500",1998,IT Software & Services,https://www.forbes.com/companies/vmware,VMware,$12.9B
Vivek Sankaran,United States,"300,000",1939,Food Markets,https://www.forbes.com/companies/albertsons,Albertsons,$71.9B
Yong Cai Sun,China,"160,656",2007,Capital Goods,https://www.forbes.com/companies/crrc,CRRC,$34.8B
Bob Sulentic ,United States,"105,000",1906,Construction,https://www.forbes.com/companies/cbre-group,CBRE Group,$27.7B
Taro Shimada,Japan,"125,648",1875,Conglomerate,https://www.forbes.com/companies/toshiba,Toshiba,$30.1B
"Keum-Yong Chung, Jung-Suk Koh",South Korea,"8,819",1963,Trading Companies,https://www.forbes.com/companies/samsung-ct,Samsung C&T,$30.1B
Salil S. Parekh,India,"335,000",1981,IT Software & Services,https://www.forbes.com/companies/infosys,Infosys,$16.3B
Mark Thomas FitzPatrick,United Kingdom,"14,486",1848,Banking and Financial Services,https://www.forbes.com/companies/prudential,Prudential,$26.5B
Yao Meng Xiao,China,"63,869",1997,Materials,https://www.forbes.com/companies/yankuang-energy-group,Yankuang Energy Group,$16.9B
Keith Edward Creel,Canada,"11,834",1881,Transportation,https://www.forbes.com/companies/canadian-pacific-railway,Canadian Pacific Railway,$6.4B
James S. Tisch,United States,"10,340",1954,Insurance,https://www.forbes.com/companies/loews,Loews,$14.7B
Toshiki Kawai,Japan,"14,479",1963,Semiconductors,https://www.forbes.com/companies/tokyo-electron,Tokyo Electron,$17.1B
Joo-wan Cho,South Korea,"36,499",1958,Consumer Durables,https://www.forbes.com/companies/lg-electronics,LG Electronics,$66.1B
Paul Roger Perreault,Australia,"25,000",1916,Drugs & Biotechnology,https://www.forbes.com/companies/csl,CSL,$10.6B
Seetarama Kotagiri,Canada,"158,000",1957,Consumer Durables,https://www.forbes.com/companies/magna-international,Magna International,$36.2B
Vincent T. Roche,United States,"24,700",1965,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/analog-devices,Analog Devices,$8.4B
Masatoshi Kimata,Japan,"43,293",1890,Capital Goods,https://www.forbes.com/companies/kubota,Kubota,$20B
Seifi Ghasemi,United States,"20,875",1940,Chemicals,https://www.forbes.com/companies/air-products-chemicals,Air Products & Chemicals,$10.9B
Thomas R. Palmer,United States,"31,000",1921,Materials,https://www.forbes.com/companies/newmont-mining,Newmont Mining,$12.2B
Terrence R. Curtin,Switzerland,"89,000",2007,Technology Hardware & Equipment,https://www.forbes.com/companies/te-connectivity,TE Connectivity,$15.2B
Gregory C. Case,Ireland,"50,000",1982,Insurance,https://www.forbes.com/companies/aon,Aon,$12.2B
Darren Entwistle,Canada,"90,800",1990,Business Services & Supplies,https://www.forbes.com/companies/telus,TELUS,$13.4B
Michael A. Witynski,United States,"210,565",1986,Retailing,https://www.forbes.com/companies/dollar-tree,Dollar Tree,$26.3B
Christopher M. Gorman,United States,"18,180",1958,Banking,https://www.forbes.com/companies/keycorp,KeyCorp,$7.4B
Carl Aaron Hess,United Kingdom,"44,200",1828,Insurance,https://www.forbes.com/companies/wtw,WTW,$9.6B
Ren Kang Shen,China,"17,288",1993,Banking,https://www.forbes.com/companies/china-zheshang-bank,China Zheshang Bank,$16B
Robert Scott,Australia,"114,000",1914,Food Markets,https://www.forbes.com/companies/wesfarmers,Wesfarmers,$25.4B
Osamu Suzuki,Japan,"68,739",1909,Consumer Durables,https://www.forbes.com/companies/suzuki-motor,Suzuki Motor,$32.6B
Corie Barry,United States,"105,000",1966,Retail and Wholesale,https://www.forbes.com/companies/best-buy,Best Buy,$51.8B
Gregory W. Becker,United States,"6,567",1983,Banking,https://www.forbes.com/companies/svb-financial-group,SVB Financial Group,$6.1B
Lisa T. Su,United States,"15,500",1969,Semiconductors,https://www.forbes.com/companies/advanced-micro-devices,Advanced Micro Devices,$16.4B
Richard R. Whitt III Thomas S. Gayner,United States,"20,300",1930,Banking and Financial Services,https://www.forbes.com/companies/markel,Markel,$12.8B
Ying Lin Qin,China,"121,995",2000,"Food, Drink & Tobacco",https://www.forbes.com/companies/muyuan-foodstuff,Muyuan Foodstuff,$11.3B
Michael D. Hsu,United States,"45,000",1872,Packaged Goods,https://www.forbes.com/companies/kimberly-clark,Kimberly-Clark,$19.8B
Jens Olof Henriksson,Sweden,"17,700",1991,Banking,https://www.forbes.com/companies/swedbank,Swedbank,$6.7B
Brian J. Humphries,United States,"330,600",1994,IT Software & Services,https://www.forbes.com/companies/cognizant,Cognizant,$18.5B
Wendell P. Weeks,United States,"61,000",1851,"Engineering, Manufacturing",https://www.forbes.com/companies/corning,Corning,$14.1B
Jochen Hanebeck,Germany,"50,280",1999,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/infineon-technologies,Infineon Technologies,$13.7B
Bruce Winfield van,United States,"17,463",1828,Banking,https://www.forbes.com/companies/citizens-financial-group,Citizens Financial Group,$6.9B
Rick Muncrief,United States,"1,600",1971,Oil & Gas Operations,https://www.forbes.com/companies/devon-energy,Devon Energy,$13.7B
Atsushi Katsuki,Japan,"30,020",1949,"Food, Drink & Tobacco",https://www.forbes.com/companies/asahi-group-holdings,Asahi Group Holdings,$20.4B
Sharad Mahendra,India,"35,585",1994,Materials,https://www.forbes.com/companies/jsw-steel,JSW Steel,$17.1B
Jeffrey K. Storey,United States,"36,000",1968,"Telecommunications Services, Cable Supplier",https://www.forbes.com/companies/lumen-technologies,Lumen Technologies,$19.7B
"John M. Turner, Jr.",United States,"19,626",1971,Banking and Financial Services,https://www.forbes.com/companies/regions-financial,Regions Financial,$6.6B
Carina Åkerström,Sweden,"10,791",1871,Banking and Financial Services,https://www.forbes.com/companies/svenska-handelsbanken,Svenska Handelsbanken,$6.3B
Paul C. Reilly,United States,"20,021",1962,Diversified Financials,https://www.forbes.com/companies/raymond-james-financial,Raymond James Financial,$10.4B
Chuan Fu Wang,China,"288,200",1995,Consumer Durables,https://www.forbes.com/companies/byd,BYD,$32.8B
Ernest Scott Santi,United States,"45,000",1912,Capital Goods,https://www.forbes.com/companies/illinois-tool-works,Illinois Tool Works,$14.5B
Lei Chen,China,Not found,Not found,Retailing,https://www.forbes.com/companies/pinduoduo,Pinduoduo,$14.6B
Robert A. Kotick,United States,"9,800",2008,Consumer Durables,https://www.forbes.com/companies/activision-blizzard,Activision Blizzard,$8.8B
Michael Thomas Fries,United Kingdom,"11,200",2005,Media,https://www.forbes.com/companies/liberty-global,Liberty Global,$10.5B
Not found,United States,"33,800",1806,Household & Personal Products,https://www.forbes.com/companies/colgate-palmolive,Colgate-Palmolive,$17.4B
Alistair Phillips-Davies,United Kingdom,"12,512",1989,Utilities,https://www.forbes.com/companies/sse,SSE,$10.3B
Ming Tsou,Taiwan,Not found,1958,Chemicals,https://www.forbes.com/companies/nan-ya-plastics,Nan Ya Plastics,$14.7B
Arnaud Roy de Puyfontaine,France,"33,200",1853,Telecommunications Services,https://www.forbes.com/companies/vivendi,Vivendi,$11.3B
José E. Almeida,United States,"60,000",1931,Health Care Equipment & Services,https://www.forbes.com/companies/baxter-international,Baxter International,$12.8B
Chen Qiyu Xu Xiaoliang,China,"96,000",1992,Insurance,https://www.forbes.com/companies/fosun-international,Fosun International,$25B
Xu Guang Tan,China,"42,953",2002,Capital Goods,https://www.forbes.com/companies/weichai-power,Weichai Power,$31.4B
Michael J. Nolan,United States,"28,290",1847,Insurance,https://www.forbes.com/companies/fidelity-national-financial,Fidelity National Financial,$15.6B
Thomas L. Williams,United States,"54,640",1918,Capital Goods,https://www.forbes.com/companies/parker-hannifin,Parker-Hannifin,$15.3B
Sunil Duggal,India,"70,089",1976,Materials,https://www.forbes.com/companies/vedanta-limited,Vedanta Limited,$16.4B
Tae-Seung Son,South Korea,"26,000",2001,Diversified Financials,https://www.forbes.com/companies/woori-financial-group,Woori Financial Group,$11.5B
Kevin P. Hourican,United States,"58,000",1969,Food Markets,https://www.forbes.com/companies/sysco,Sysco,$60.7B
Andrew Richard Penn,Australia,"27,015",1975,Telecommunications Services,https://www.forbes.com/companies/telstra,Telstra,$15.8B
Thomas Gottstein PhD,Switzerland,"50,110",1856,Banking,https://www.forbes.com/companies/credit-suisse-group,Credit Suisse Group,$30.1B
Anthony Staffieri,Canada,"23,000",1960,Telecommunications Services,https://www.forbes.com/companies/rogers-communications,Rogers Communications,$11.8B
René F. Jones,United States,"17,569",1856,Banking,https://www.forbes.com/companies/mt-bank,M&T Bank,$5.9B
Michael F. Mahoney,United States,"41,000",1979,Health Care Equipment & Services,https://www.forbes.com/companies/boston-scientific,Boston Scientific,$11.9B
Pedro J. Pizarro,United States,"13,003",1886,Utilities,https://www.forbes.com/companies/edison-international,Edison International,$14.9B
Vincent Marie Claude Bolloré,France,Not found,1929,Transportation,https://www.forbes.com/companies/financiere-de-lodet,Financiere de l'Odet,$23.4B
Not found,Japan,"22,139",2002,Banking,https://www.forbes.com/companies/sumitomo-mitsui-trust,Sumitomo Mitsui Trust,$10.7B
Leo Denault,United States,"12,500",1913,Utilities,https://www.forbes.com/companies/entergy,Entergy,$11.7B
Urs Schaeppi,Switzerland,"18,905",1998,Telecommunications Services,https://www.forbes.com/companies/swisscom,Swisscom,$12.2B
Frank Mastiaux,Germany,"26,064",1997,Utilities,https://www.forbes.com/companies/enbw-energie-baden,EnBW-Energie Baden,$38B
Yang Zhong Hu,China,"52,752",2001,Technology Hardware & Equipment,https://www.forbes.com/companies/hikvision,Hikvision,$13B
", Yuichi Tsuji",Japan,"35,057",1885,Transportation,https://www.forbes.com/companies/nippon-yusen,Nippon Yusen,$19.5B
James M. Loree,United States,"71,300",1843,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/stanley-black-decker,Stanley Black & Decker,$16.8B
Pierce H. Norton II,United States,"2,847",1906,Oil & Gas Operations,https://www.forbes.com/companies/oneok,Oneok,$17.3B
Anthony Capuano,United States,"97,000",1927,Travel & Leisure,https://www.forbes.com/companies/marriott-international,Marriott International,$13.9B
David M. Zaslav,United States,"11,000",2022,Media,https://www.forbes.com/companies/warner-bros-discovery,Warner Bros. Discovery,$12.2B
Wei Wang,China,"177,129",1993,Business Services & Supplies,https://www.forbes.com/companies/sf-holding,S.F. Holding,$32.1B
Ed Bastian,United States,"81,000",1924,Transportation and Logistics,https://www.forbes.com/companies/delta-air-lines,Delta Air Lines,$35.1B
Arun Kumar Singh,India,"32,701",1928,Oil & Gas Operations,https://www.forbes.com/companies/bharat-petroleum,Bharat Petroleum,$43.2B
Jeff Miller,United States,"40,000",1919,Oil & Gas Operations,https://www.forbes.com/companies/halliburton,Halliburton,$16.1B
Bongani Nqwababa,China,"97,972",2008,Construction,https://www.forbes.com/companies/metallurgical-corp-of-china,Metallurgical Corp of China,$77.3B
Michael G. O'Grady,United States,"21,100",1889,Banking,https://www.forbes.com/companies/northern-trust,Northern Trust,$6.6B
Ralph Dominik von,Germany,"51,209",1874,Construction,https://www.forbes.com/companies/heidelbergcement,HeidelbergCement,$22.1B
Hsi Chin Wang,Taiwan,"28,648",1971,Materials,https://www.forbes.com/companies/china-steel,China Steel,$16.8B
James J. Judge,United States,"9,227",1996,Utilities,https://www.forbes.com/companies/eversource-energy,Eversource Energy,$9.9B
Hongfu Yu,China,"24,586",1994,Capital Goods,https://www.forbes.com/companies/sany-heavy-industry,Sany Heavy Industry,$17.6B
Axel Dumas Emile Hermès,France,"17,595",1837,Retail and Wholesale,https://www.forbes.com/companies/hermes-international,Hermès International,$10.6B
Mark S. Sutton,United States,"31,000",1898,Materials,https://www.forbes.com/companies/international-paper,International Paper,$21.8B
Levent Çakiroglu,Turkey,"105,908",1963,Oil & Gas Operations,https://www.forbes.com/companies/koc-holding,Koç Holding,$38.8B
Shigenobu Nagamori,Japan,"114,371",1973,Capital Goods,https://www.forbes.com/companies/nidec,Nidec,$17.1B
Xing Wang,China,"100,033",2010,IT Software & Services,https://www.forbes.com/companies/meituan,Meituan ,$27.8B
Uday Kotak,India,"73,000",1985,Diversified Financials,https://www.forbes.com/companies/kotak-mahindra-bank,Kotak Mahindra Bank,$7.9B
Donald R. Lindsay,Canada,"10,600",1906,Materials,https://www.forbes.com/companies/teck-resources,Teck Resources,$10.8B
Robert E. Jordan,United States,"55,000",1967,Transportation and Logistics,https://www.forbes.com/companies/southwest-airlines,Southwest Airlines,$15.8B
Theodor Weimer,Germany,"10,200",1990,Diversified Financials,https://www.forbes.com/companies/deutsche-boerse,Deutsche Boerse,$5.3B
Adam Schechter,United States,"75,500",1978,Health Care Equipment & Services,https://www.forbes.com/companies/labcorp,Labcorp,$16.1B
Xiao Min Gu,China,"23,300",2014,Telecommunications Services,https://www.forbes.com/companies/china-tower,China Tower Corp.,$13.4B
Naoki Kuroda,Japan,"3,189",2006,Oil & Gas Operations,https://www.forbes.com/companies/inpex,Inpex,$11.3B
Damian Paul Gammell,United Kingdom,"33,200",2016,"Food, Soft Beverages, Alcohol & Tobacco",https://www.forbes.com/companies/coca-cola-european-partners,Coca-Cola European Partners,$16.2B
Tao Zou,China,"25,882",1998,"Food, Drink & Tobacco",https://www.forbes.com/companies/wuliangye-yibin,Wuliangye Yibin,$8.5B
Wing Mau Hui,Hong Kong,"24,334",2004,Construction,https://www.forbes.com/companies/shimao-property-holdings,Shimao Property Holdings,$21.8B
Takashi Tsukioka,Japan,"14,044",1911,Oil & Gas Operations,https://www.forbes.com/companies/idemitsu-kosan,Idemitsu Kosan,$54.5B
Ming Tsao,Taiwan,Not found,1992,Oil & Gas Operations,https://www.forbes.com/companies/formosa-petrochemical,Formosa Petrochemical,$22.2B
Jay A. Brown,United States,"5,000",1994,Diversified Financials,https://www.forbes.com/companies/crown-castle-international,Crown Castle International,$6.6B
Steven E. Strah,United States,"12,395",1997,Utilities,https://www.forbes.com/companies/firstenergy,FirstEnergy,$11.4B
Jiong Jiong Xiang,China,"13,962",1995,Household & Personal Products,https://www.forbes.com/companies/rongsheng-petrochemical,Rongsheng Petrochemical,$27.2B
Satish P. Pai,India,"23,555",1958,Materials,https://www.forbes.com/companies/hindalco-industries,Hindalco Industries,$24.3B
Zhen Shan Chen,China,"10,456",1996,Banking,https://www.forbes.com/companies/bank-of-hangzhou,Bank Of Hangzhou,$8.7B
Makoto Uchida,France,"156,466",1898,Consumer Durables,https://www.forbes.com/companies/renault,Renault,$54.6B
Basar Shueb,United Arab Emirates,Not found,1998,"Food, Drink & Tobacco",https://www.forbes.com/companies/international-holding-company,International Holding Company,$7.7B
Steven J. Johnston,United States,"5,166",1950,Insurance,https://www.forbes.com/companies/cincinnati-financial,Cincinnati Financial,$9.6B
Hirotaka Sugiyama,Japan,"9,982",1937,Construction,https://www.forbes.com/companies/mitsubishi-estate,Mitsubishi Estate,$12.1B
Lourenco Goncalves,United States,"25,500",1847,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/cleveland-cliffs,Cleveland-Cliffs,$22.4B
Florentino Pérez Rodríguez,Spain,"122,502",1997,Construction,https://www.forbes.com/companies/grupo-acs,Grupo ACS,$32.9B
Li Gang Gao,China,"18,248",2014,Utilities,https://www.forbes.com/companies/cgn-power,CGN Power,$12.5B
Chien Shen Chang,Taiwan,"68,000",1984,Semiconductors,https://www.forbes.com/companies/ase-technology-holding,ASE Technology Holding,$21.3B
Koji Kakigi,Japan,"64,371",2002,Materials,https://www.forbes.com/companies/jfe-holdings,JFE Holdings,$36.5B
Jerry Norcia,United States,"10,300",1996,Utilities,https://www.forbes.com/companies/dte-energy,DTE Energy,$15.5B
Bo Zhang,China,"42,650",1994,Materials,https://www.forbes.com/companies/china-hongqiao-group,China Hongqiao Group,$17.8B
Kurt Sievers,Netherlands,"31,000",2006,Semiconductors,https://www.forbes.com/companies/nxp-semiconductors,NXP Semiconductors,$11.1B
David V. Goeckeler,United States,"65,000",1970,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/western-digital,Western Digital,$18.9B
Glenn D. Fogel,United States,"20,300",1996,Business Services & Supplies,https://www.forbes.com/companies/booking,Booking Holdings,$11B
Motoya Okada,Japan,Not found,1926,Food Markets,https://www.forbes.com/companies/aeon,Aeon,$78.2B
Michael J. Roffler,United States,"6,295",1985,Banking,https://www.forbes.com/companies/first-republic-bank,First Republic Bank,$5.5B
Not found,China,"87,240",2005,IT Software & Services,https://www.forbes.com/companies/lufax-holding,Lufax Holding,$9.7B
Mats Rahmström,Sweden,"43,000",1873,"Engineering, Manufacturing",https://www.forbes.com/companies/atlas-copco,Atlas Copco,$12.9B
Gary Norcross,United States,"55,000",2006,"IT, Internet, Software & Services",https://www.forbes.com/companies/fidelity-national-information-fis,Fidelity National Information (FIS),$13.9B
Jean-Marc Gilson,Japan,"69,607",2005,Chemicals,https://www.forbes.com/companies/mitsubishi-chemical,Mitsubishi Chemical,$34.6B
Miguel Stilwell de Andrade,Portugal,"12,236",1976,Utilities,https://www.forbes.com/companies/edp-energias-de-portugal,Edp-energias De Portugal,$17.9B
Goro Yamaguchi,Japan,"78,490",1959,Technology Hardware & Equipment,https://www.forbes.com/companies/kyocera,Kyocera,$16.2B
Yong Da Zheng,China,"26,761",1998,Trading Companies,https://www.forbes.com/companies/xiamen-cd,Xiamen C&D,$109.6B
"William C. Rhodes, III",United States,"100,000",1979,Retailing,https://www.forbes.com/companies/autozone,AutoZone,$15.6B
Zhao Jun Yin,Hong Kong,"68,446",1931,Insurance,https://www.forbes.com/companies/china-taiping-insurance,China Taiping Insurance,$40.9B
Alexander J. Pourbaix,Canada,"5,938",1881,Oil & Gas Operations,https://www.forbes.com/companies/cenovus-energy,Cenovus Energy,$37B
Matti Lehmus,Finland,"4,845",1948,Oil & Gas Operations,https://www.forbes.com/companies/neste,Neste,$17.9B
Hans Dieter Pötsch,Germany,882,1930,Consumer Durables,https://www.forbes.com/companies/porsche-automobil-holding,Porsche Automobil Holding,$151M
Gudrun Helena Lundberg Helmersson,Sweden,"107,375",1947,"Clothing, Shoes, Sports Equipment",https://www.forbes.com/companies/hm-hennes-mauritz,H&M - Hennes & Mauritz,$23.8B
Erik Engstrom,United Kingdom,"33,500",1903,Business Services & Supplies,https://www.forbes.com/companies/relx,RELX,$10B
Patricia K. Poppe,United States,"26,000",1995,Utilities,https://www.forbes.com/companies/pge,PG&E,$20.6B
Jon Vander Ark,United States,"35,000",1998,Business Services & Supplies,https://www.forbes.com/companies/republic-services,Republic Services,$11.3B
Barbara Rentler,United States,"100,000",1982,Retailing,https://www.forbes.com/companies/ross-stores,Ross Stores,$18.9B
Not found,United States,"6,938",1981,Utilities,https://www.forbes.com/companies/wec-energy-group,WEC Energy Group,$8.3B
Mike Kaufmann,United States,"48,000",1971,Retail and Wholesale,https://www.forbes.com/companies/cardinal-health,Cardinal Health,$171.3B
Bill Nash,United States,"32,647",1993,Retailing,https://www.forbes.com/companies/carmax,CarMax,$31.9B
Ming Yang Wang,Taiwan,"13,197",2001,Banking,https://www.forbes.com/companies/china-development-financial,China Development Financial,$12.8B
Tariq Abdulrahman Saleh Al-Sadhan,Saudi Arabia,"5,214",1983,Banking,https://www.forbes.com/companies/riyad-bank,Riyad Bank,$3.2B
Steve Hasker,United States,"24,400",2008,Media & Advertising,https://www.forbes.com/companies/thomson-reuters,Thomson Reuters,$6.3B
Nikolay Petrovich Tokarev,Russia,Not found,1993,Oil & Gas Operations,https://www.forbes.com/companies/transneft,Transneft,$14.1B
Kevin M. Murphy,United Kingdom,"34,352",1887,Trading Companies,https://www.forbes.com/companies/ferguson,Ferguson,$22.7B
Ari Bousbib,United States,"79,000",1982,Drugs & Biotechnology,https://www.forbes.com/companies/iqvia,IQVIA,$13.9B
Alejandro Nicolas Aguzin,Hong Kong,"2,307",2000,Diversified Financials,https://www.forbes.com/companies/hong-kong-exchanges,Hong Kong Exchanges,$2.7B
Michael H. McGarry,United States,"27,500",1883,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/ppg,PPG ,$17.2B
Peng Li,China,"75,000",1984,Technology Hardware & Equipment,https://www.forbes.com/companies/legend-holding,Legend Holding,$76B
